date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2025-11-10,"November 10, 25",,,,,,0.01,0.00013611,0.013611,74,73.48,4400795,73.48,73.29,4400795,72.21,73.47
2025-11-07,"November 07, 25",,,,,,-0.55,-0.0074728,-0.74728,74.14,73.05,4401417,73.05,73.37,4401417,72.69,73.6
2025-11-06,"November 06, 25",,,,,,-1.29,-0.0171,-1.71,76.36,74.17,2554435,74.17,75.0025,2554435,74.02,75.46
2025-11-05,"November 05, 25",,,,,,1.4,0.0189,1.89,76.81,75.61,3732200,75.61,74.985,3732200,73.31,74.21
2025-11-04,"November 04, 25",,,,,,-0.11,-0.0014783,-0.14783,75.49,74.3,2489700,74.3,74.525,2489700,73.9,74.41
2025-11-03,"November 03, 25",,,,,,-0.36,-0.0048109,-0.48109,75.87,74.47,4442900,74.47,74.7025,4442900,73.64,74.83
2025-10-31,"October 31, 25",,,,,,0.31,0.0041533,0.41533,75.19,74.95,3275729,74.95,74.575,3275729,73.52,74.64
2025-10-30,"October 30, 25",,,,,,-2.38,-0.0308,-3.08,77.38,75,3474822,75,75.9275,3474822,73.95,77.38
2025-10-29,"October 29, 25",,,,,,0.64,0.0083398,0.83398,78.39,77.38,8765313,77.38,76.56,8765313,73.73,76.74
2025-10-28,"October 28, 25",,,,,,1.28,0.0164,1.64,79.75,79.4,5877000,79.4,78.7375,5877000,77.68,78.12
2025-10-27,"October 27, 25",,,,,,-0.27,-0.0034342,-0.34342,79.15,78.35,4093600,78.35,78.6,4093600,78.28,78.62
2025-10-24,"October 24, 25",0.035,0.035,2025-10-24,2025-11-14,2025-09-24,0.56,0.0072184,0.72184,78.33,78.14,2600338,78.14,77.7975,2600338,77.14,77.58
2025-10-23,"October 23, 25",,,,,,0.94,0.0123,1.23,77.4,77.26,2235458,77.22,76.715,2235458,75.88,76.32
2025-10-22,"October 22, 25",,,,,,0.12,0.0015785,0.15785,77.14,76.14,2547671,76.11,76.25,2547671,75.7,76.02
2025-10-21,"October 21, 25",,,,,,0.85,0.0113,1.13,76.55,76.1,1644454,76.07,75.77,1644454,75.18,75.25
2025-10-20,"October 20, 25",,,,,,1.13,0.0152,1.52,75.91,75.48,2051117,75.45,74.95,2051117,74.06,74.35
