date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,adjDividend,dividend,recordDate,declarationDate
2026-01-02,102.47,104.65,101.72,104.63,104.63,1323700,1323700,2.16,2.11,103.3675,"January 02, 26",0.0211,,,,,
2025-12-31,103.81,103.86,102.32,102.38,102.38,1155100,1155100,-1.43,-1.38,103.0925,"December 31, 25",-0.0138,,,,,
2025-12-30,104.35,104.5,103.59,103.64,103.64,1703078,1703078,-0.71,-0.6804,104.02,"December 30, 25",-0.006804,,,,,
2025-12-29,104.57,104.94,104.17,104.53,104.53,1145871,1145871,-0.04,-0.03825189,104.5525,"December 29, 25",-0.0003825189,,,,,
2025-12-26,104.78,105.42,104.25,104.75,104.75,760200,760200,-0.025,-0.02863142,104.8,"December 26, 25",-0.0002863142,,,,,
2025-12-24,104.3,104.84,103.62,104.68,104.68,534648,534648,0.38,0.36433,104.36,"December 24, 25",0.0036433,,,,,
2025-12-23,104.82,105.2,103.97,104.03,104.03,1633756,1633756,-0.79,-0.75367,104.505,"December 23, 25",-0.0075367,,,,,
2025-12-22,103.1,104.83,103,104.8,104.8,2087022,2087022,1.7,1.65,103.9325,"December 22, 25",0.0165,,,,,
2025-12-19,103.32,103.79,102.58,103.28,103.28,2644100,2644100,-0.04,-0.03871467,103.2425,"December 19, 25",-0.0003871467,,,,,
2025-12-18,104.53,105.41,103.2,103.32,103.32,1280416,1280416,-1.21,-1.16,104.115,"December 18, 25",-0.0116,,,,,
2025-12-17,104.28,106.06,103.77,103.9,103.9,2089218,2089218,-0.38,-0.3644,104.5025,"December 17, 25",-0.003644,,,,,
2025-12-16,104.25,104.48,103.13,103.92,103.92,3712900,3712900,-0.33,-0.31655,103.945,"December 16, 25",-0.0031655,,,,,
2025-12-15,103.98,105.41,103.12,103.62,103.62,2521000,2521000,-0.36,-0.34622,104.0325,"December 15, 25",-0.0034622,2025-12-30,1.27,1.27,2025-12-15,2025-10-28
2025-12-12,105.12,105.73,104.37,104.9,103.63,1707319,1707319,-0.22,-0.20928,105.03,"December 12, 25",-0.0020928,,,,,
2025-12-11,102.89,105.72,102.89,104.96,103.69,1990100,1990100,2.07,2.01,104.115,"December 11, 25",0.0201,,,,,
2025-12-10,103.92,104.9,101.16,103.56,102.31,3540029,3540029,-0.36,-0.34642,103.385,"December 10, 25",-0.0034642,,,,,
2025-12-09,104.5,105.85,104.5,105.37,104.09,1410856,1410856,0.87,0.83254,105.055,"December 09, 25",0.0083254,,,,,
2025-12-08,106.74,106.89,104.41,104.52,103.25,1636863,1636863,-2.22,-2.08,105.64,"December 08, 25",-0.0208,,,,,
2025-12-05,105.65,107.1,105.24,106.58,105.29,1528800,1528800,0.93,0.88027,106.1425,"December 05, 25",0.0088027,,,,,
2025-12-04,105.24,106.36,104.79,105.79,104.51,1440400,1440400,0.55,0.52261,105.545,"December 04, 25",0.0052261,,,,,
2025-12-03,102.63,105.19,102.63,105.05,103.78,1954018,1954018,2.42,2.36,103.875,"December 03, 25",0.0236,,,,,
2025-12-02,102.22,103.23,101.6,102.47,101.23,1724830,1724830,0.25,0.24457,102.38,"December 02, 25",0.0024457,,,,,
2025-12-01,101.45,102.83,101.35,101.59,100.36,1945221,1945221,0.14,0.138,101.805,"December 01, 25",0.00138,,,,,
2025-11-28,102.09,103.11,102.02,102.38,101.14,936700,936700,0.29,0.28406,102.4,"November 28, 25",0.0028406,,,,,
2025-11-26,101.13,102.35,101.13,102.09,100.85,1401041,1401041,0.96,0.94927,101.675,"November 26, 25",0.0094927,,,,,
2025-11-25,100.26,101.45,99.61,101.13,99.91,1691000,1691000,0.87,0.86774,100.6125,"November 25, 25",0.0086774,,,,,
2025-11-24,100.63,100.88,99.4,100.45,99.23,2128904,2128904,-0.18,-0.17887,100.34,"November 24, 25",-0.0017887,,,,,
2025-11-21,97.74,100.89,97.66,100.31,99.1,2143621,2143621,2.57,2.63,99.15,"November 21, 25",0.0263,,,,,
2025-11-20,98.75,99.72,96.78,97.31,96.13,1747800,1747800,-1.44,-1.46,98.14,"November 20, 25",-0.0146,,,,,
2025-11-19,97.63,98.16,96.9,97.41,96.23,1892228,1892228,-0.22,-0.22534,97.525,"November 19, 25",-0.0022534,,,,,
2025-11-18,96.54,98.49,95.93,97.48,96.3,1586249,1586249,0.94,0.97369,97.11,"November 18, 25",0.0097369,,,,,
2025-11-17,101.67,101.67,96.58,97.42,96.24,2173509,2173509,-4.25,-4.18,99.335,"November 17, 25",-0.0418,,,,,
2025-11-14,102.54,103.24,101.56,101.72,100.49,1544546,1544546,-0.82,-0.79969,102.265,"November 14, 25",-0.0079969,,,,,
2025-11-13,104.51,105.25,103.61,103.72,102.46,1215068,1215068,-0.79,-0.75591,104.2725,"November 13, 25",-0.0075591,,,,,
2025-11-12,103.9,105.27,103.9,104.77,103.5,1431397,1431397,0.87,0.83734,104.46,"November 12, 25",0.0083734,,,,,
2025-11-11,103.3,104.07,103.2,103.67,102.41,1185533,1185533,0.37,0.35818,103.56,"November 11, 25",0.0035818,,,,,
2025-11-10,103.34,103.75,101.5,103,101.75,1661707,1661707,-0.34,-0.32901,102.8975,"November 10, 25",-0.0032901,,,,,
2025-11-07,101.72,102.75,100.75,102.66,101.42,1842900,1842900,0.94,0.92411,101.97,"November 07, 25",0.0092411,,,,,
2025-11-06,102.14,103.13,101.27,102.15,100.91,1440526,1440526,0.01,0.00979048,102.1725,"November 06, 25",9.79048e-05,,,,,
2025-11-05,101.49,102.74,100.8,102.38,101.14,1615800,1615800,0.89,0.87693,101.8525,"November 05, 25",0.0087693,,,,,
2025-11-04,101.02,102.55,100.32,101.27,100.04,1785098,1785098,0.25,0.24748,101.29,"November 04, 25",0.0024748,,,,,
2025-11-03,102.2,102.2,100.08,101.71,100.48,1739406,1739406,-0.49,-0.47945,101.5475,"November 03, 25",-0.0047945,,,,,
2025-10-31,102.86,104.17,99,102.53,101.29,3530574,3530574,-0.33,-0.32082,102.14,"October 31, 25",-0.0032082,,,,,
2025-10-30,103.29,103.94,102,102.13,100.89,2113211,2113211,-1.16,-1.12,102.84,"October 30, 25",-0.0112,,,,,
2025-10-29,104.76,104.99,103.31,103.51,102.26,1873937,1873937,-1.25,-1.19,104.1425,"October 29, 25",-0.0119,,,,,
2025-10-28,104.85,105.34,103.73,104.96,103.69,1161500,1161500,0.11,0.10491,104.72,"October 28, 25",0.0010491,,,,,
2025-10-27,105.03,106,104.5,104.91,103.64,1272252,1272252,-0.12,-0.11425,105.11,"October 27, 25",-0.0011425,,,,,
2025-10-24,103.68,104.36,103.15,103.55,102.3,1054021,1054021,-0.13,-0.12539,103.685,"October 24, 25",-0.0012539,,,,,
2025-10-23,102.84,103.35,101.89,102.49,101.25,1038008,1038008,-0.35,-0.34033,102.6425,"October 23, 25",-0.0034033,,,,,
2025-10-22,103.73,103.87,101.82,102.76,101.52,1345726,1345726,-0.97,-0.93512,103.045,"October 22, 25",-0.0093512,,,,,
2025-10-21,104.01,105,103.95,104.25,102.99,981507,981507,0.24,0.23075,104.3025,"October 21, 25",0.0023075,,,,,
2025-10-20,103.97,104.92,103.9,104.24,102.98,1130700,1130700,0.27,0.25969,104.2575,"October 20, 25",0.0025969,,,,,
2025-10-17,103.03,104.07,101.55,103.7,102.44,4353700,4353700,0.67,0.6503,103.0875,"October 17, 25",0.006503,,,,,
2025-10-16,106.16,106.32,102.81,103.15,101.9,1136468,1136468,-3.01,-2.84,104.61,"October 16, 25",-0.0284,,,,,
2025-10-15,106.92,107.44,104.4,105.71,104.43,960601,960601,-1.21,-1.13,106.1175,"October 15, 25",-0.0113,,,,,
2025-10-14,104.48,107.2,104.25,106.13,104.84,1195120,1195120,1.65,1.58,105.515,"October 14, 25",0.0158,,,,,
2025-10-13,104.55,106.26,103.84,105.36,104.08,1622100,1622100,0.81,0.77475,105.0025,"October 13, 25",0.0077475,,,,,
2025-10-10,106.79,109.19,101.24,101.43,100.2,2081200,2081200,-5.36,-5.02,104.6625,"October 10, 25",-0.0502,,,,,
2025-10-09,106.2,106.84,105.32,106.01,104.73,1332831,1332831,-0.19,-0.17891,106.0925,"October 09, 25",-0.0017891,,,,,
2025-10-08,106.14,107.65,105.63,105.82,104.54,1184912,1184912,-0.32,-0.30149,106.31,"October 08, 25",-0.0030149,,,,,
2025-10-07,106.06,107.1,105.38,105.78,104.5,1473114,1473114,-0.28,-0.264,106.08,"October 07, 25",-0.00264,,,,,
2025-10-06,104.37,105.84,103.46,105.69,104.41,1551510,1551510,1.32,1.26,104.84,"October 06, 25",0.0126,,,,,
2025-10-03,102.15,103.3,101.7,103.28,102.03,1100800,1100800,1.13,1.11,102.6075,"October 03, 25",0.0111,,,,,
2025-10-02,101.1,102.25,100.67,101.71,100.48,1796805,1796805,0.61,0.60336,101.4325,"October 02, 25",0.0060336,,,,,
2025-10-01,102.28,102.83,101.04,101.07,99.85,1503419,1503419,-1.21,-1.18,101.805,"October 01, 25",-0.0118,,,,,
2025-09-30,103.5,103.78,101.25,102.64,101.4,1458137,1458137,-0.86,-0.83092,102.7925,"September 30, 25",-0.0083092,,,,,
2025-09-29,103.88,103.91,102.86,103.52,102.27,1365300,1365300,-0.36,-0.34655,103.5425,"September 29, 25",-0.0034655,,,,,
2025-09-26,103.48,104.33,102.73,103.47,102.22,1139490,1139490,-0.01,-0.0096637,103.5025,"September 26, 25",-9.6637e-05,,,,,
2025-09-25,103.02,103.79,102.69,103.21,101.96,1160211,1160211,0.19,0.18443,103.1775,"September 25, 25",0.0018443,,,,,
2025-09-24,104.65,105.35,103.1,103.45,102.2,1353819,1353819,-1.2,-1.15,104.1375,"September 24, 25",-0.0115,,,,,
2025-09-23,105.29,106.33,104.08,104.66,103.39,1130300,1130300,-0.63,-0.59835,105.09,"September 23, 25",-0.0059835,,,,,
