date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,adjDividend,dividend,paymentDate
2026-01-02,79.77,79.77,77.35,77.62,77.62,2651577,2651577,-2.15,-2.7,78.6275,"January 02, 26",-0.027,,,,,
2025-12-31,79.97,80.44,79.52,79.7,79.7,1760101,1760101,-0.27,-0.33763,79.9075,"December 31, 25",-0.0033763,,,,,
2025-12-30,80.63,81.04,80.01,80.22,80.22,2185817,2185817,-0.41,-0.5085,80.475,"December 30, 25",-0.005085,,,,,
2025-12-29,80.96,81.47,80.62,80.86,80.86,1651800,1651800,-0.1,-0.12352,80.9775,"December 29, 25",-0.0012352,,,,,
2025-12-26,80.51,81,80.34,80.78,80.78,1105900,1105900,0.27,0.33536,80.6575,"December 26, 25",0.0033536,,,,,
2025-12-24,79.85,80.94,79.65,80.82,80.82,1109239,1109239,0.97,1.21,80.315,"December 24, 25",0.0121,,,,,
2025-12-23,80.5,80.53,79.17,79.96,79.96,2948720,2948720,-0.54,-0.67081,80.04,"December 23, 25",-0.0067081,,,,,
2025-12-22,79.85,81.17,79.77,80.37,80.37,2790200,2790200,0.52,0.65122,80.29,"December 22, 25",0.0065122,,,,,
2025-12-19,80.86,81.57,80.14,80.18,80.18,7216347,7216347,-0.68,-0.84096,80.6875,"December 19, 25",-0.0084096,,,,,
2025-12-18,80.45,81.52,80.04,81.07,81.07,2192722,2192722,0.62,0.77067,80.77,"December 18, 25",0.0077067,,,,,
2025-12-17,80.6,81.74,80.24,80.62,80.62,1842033,1842033,0.02,0.0248139,80.8,"December 17, 25",0.000248139,,,,,
2025-12-16,82.46,82.58,80.4,80.97,80.97,2824910,2824910,-1.49,-1.81,81.6025,"December 16, 25",-0.0181,,,,,
2025-12-15,81.74,82.38,81.51,82.33,82.33,2715588,2715588,0.59,0.7218,81.99,"December 15, 25",0.007218,,,,,
2025-12-12,79.81,81.69,79.56,81.62,81.62,2675665,2675665,1.81,2.27,80.67,"December 12, 25",0.0227,,,,,
2025-12-11,78.05,79.79,78.05,79.55,79.55,2603436,2603436,1.5,1.92,78.86,"December 11, 25",0.0192,,,,,
2025-12-10,78.21,78.55,76.81,77.51,77.51,2144490,2144490,-0.7,-0.89503,77.77,"December 10, 25",-0.0089503,,,,,
2025-12-09,78.42,79.05,77.67,78.41,78.41,2395100,2395100,-0.01,-0.01275185,78.3875,"December 09, 25",-0.0001275185,,,,,
2025-12-08,77.95,78.44,77.1,77.64,77.64,2813911,2813911,-0.31,-0.39769,77.7825,"December 08, 25",-0.0039769,,,,,
2025-12-05,79.85,79.86,77.63,78.37,78.37,2124218,2124218,-1.48,-1.85,78.9275,"December 05, 25",-0.0185,,,,,
2025-12-04,79.88,80.51,79.07,79.64,79.64,2249500,2249500,-0.24,-0.30045,79.775,"December 04, 25",-0.0030045,,,,,
2025-12-03,79.96,80.64,79.3,79.65,79.65,1681713,1681713,-0.31,-0.38769,79.8875,"December 03, 25",-0.0038769,,,,,
2025-12-02,81.33,81.72,79.74,79.84,79.84,2030100,2030100,-1.48,-1.83,80.6575,"December 02, 25",-0.0183,,,,,
2025-12-01,80.4,82.25,80.4,81.18,81.18,3066333,3066333,0.78,0.97015,81.0575,"December 01, 25",0.0097015,,,,,
2025-11-28,80.45,81.12,80.1,80.43,80.43,1051100,1051100,-0.02,-0.02486016,80.525,"November 28, 25",-0.0002486016,,,,,
2025-11-26,80.58,81.32,80.05,80.45,80.45,1365300,1365300,-0.13,-0.16133,80.6,"November 26, 25",-0.0016133,,,,,
2025-11-25,79.71,80.55,79.39,80.51,80.51,1744400,1744400,0.8,1,80.04,"November 25, 25",0.01,,,,,
2025-11-24,80.32,80.4,79,79.25,79.25,2783825,2783825,-1.07,-1.33,79.7425,"November 24, 25",-0.0133,,,,,
2025-11-21,80,81.18,79.23,80.32,80.32,2297446,2297446,0.32,0.4,80.1825,"November 21, 25",0.004,,,,,
2025-11-20,78.57,79.99,78.36,79.62,79.62,2741503,2741503,1.05,1.34,79.135,"November 20, 25",0.0134,,,,,
2025-11-19,80.09,80.91,78.09,78.81,78.81,2291219,2291219,-1.28,-1.6,79.475,"November 19, 25",-0.016,,,,,
2025-11-18,81.14,82.03,79.61,79.93,79.93,2602245,2602245,-1.21,-1.49,80.6775,"November 18, 25",-0.0149,,,,,
2025-11-17,80.71,81.15,80.02,80.71,80.71,2446222,2446222,0,0,80.6475,"November 17, 25",0,,,,,
2025-11-14,80.4,81.48,79.67,80.7,80.7,2521400,2521400,0.3,0.37313,80.5625,"November 14, 25",0.0037313,,,,,
2025-11-13,80.2,81.38,79.9,80.06,80.06,2505664,2505664,-0.14,-0.17456,80.385,"November 13, 25",-0.0017456,,,,,
2025-11-12,79.89,80.67,79.54,80.2,80.2,2495900,2495900,0.31,0.38803,80.075,"November 12, 25",0.0038803,,,,,
2025-11-11,78.82,80.18,78.25,80.04,80.04,2221408,2221408,1.22,1.55,79.3225,"November 11, 25",0.0155,,,,,
2025-11-10,77.89,79.08,76.96,78.51,78.51,2908619,2908619,0.62,0.79599,78.11,"November 10, 25",0.0079599,,,,,
2025-11-07,76.84,79,76.58,78.54,78.54,2560912,2560912,1.7,2.21,77.74,"November 07, 25",0.0221,,,,,
2025-11-06,76.98,77.77,76.17,76.42,76.42,2429102,2429102,-0.56,-0.72746,76.835,"November 06, 25",-0.0072746,,,,,
2025-11-05,78.8,79.2,77.83,77.84,77.84,2866708,2866708,-0.96,-1.22,78.4175,"November 05, 25",-0.0122,2025-11-05,2025-10-22,0.165,0.165,2025-11-12
2025-11-04,77.58,79.1,77.58,78.99,78.83,4574806,4574806,1.41,1.82,78.3125,"November 04, 25",0.0182,,,,,
2025-11-03,78.78,78.95,76.96,77.82,77.66,4180924,4180924,-0.96,-1.22,78.1275,"November 03, 25",-0.0122,,,,,
2025-10-31,79.42,80.34,79.3,79.74,79.57,4256976,4256976,0.32,0.40292,79.7,"October 31, 25",0.0040292,,,,,
2025-10-30,80.28,81.56,80.26,80.45,80.28,4075300,4075300,0.17,0.21176,80.6375,"October 30, 25",0.0021176,,,,,
2025-10-29,82.4,82.4,79.68,80.3,80.13,5728900,5728900,-2.1,-2.55,81.195,"October 29, 25",-0.0255,,,,,
2025-10-28,86.75,86.75,81.39,82.38,82.21,7394042,7394042,-4.37,-5.04,84.3175,"October 28, 25",-0.0504,,,,,
2025-10-27,88.48,89.05,87.25,87.76,87.58,3667635,3667635,-0.72,-0.81374,88.135,"October 27, 25",-0.0081374,,,,,
2025-10-24,88.93,89.26,87.97,88,87.82,2063904,2063904,-0.93,-1.05,88.54,"October 24, 25",-0.0105,,,,,
2025-10-23,90.11,90.46,88.32,88.77,88.58,2572824,2572824,-1.34,-1.49,89.415,"October 23, 25",-0.0149,,,,,
2025-10-22,87.54,89.35,87.3,89.2,89.01,2820255,2820255,1.66,1.9,88.3475,"October 22, 25",0.019,,,,,
2025-10-21,87.87,89.25,87.28,88.28,88.1,3970783,3970783,0.41,0.4666,88.17,"October 21, 25",0.004666,,,,,
2025-10-20,87.91,87.94,86.79,87.52,87.34,2264502,2264502,-0.39,-0.44364,87.54,"October 20, 25",-0.0044364,,,,,
2025-10-17,87.46,88.35,87.26,87.91,87.73,3279437,3279437,0.45,0.51452,87.745,"October 17, 25",0.0051452,,,,,
2025-10-16,92.45,92.91,87.39,87.42,87.24,4699200,4699200,-5.03,-5.44,90.0425,"October 16, 25",-0.0544,,,,,
2025-10-15,93.89,95.25,93.17,93.97,93.77,1831200,1831200,0.08,0.08520609,94.07,"October 15, 25",0.0008520609,,,,,
2025-10-14,94.56,94.96,93.8,94.77,94.57,1902490,1902490,0.21,0.22208,94.5225,"October 14, 25",0.0022208,,,,,
2025-10-13,94.97,95.69,94.46,94.48,94.28,3021430,3021430,-0.49,-0.51595,94.9,"October 13, 25",-0.0051595,,,,,
2025-10-10,96,96.13,95.02,95.94,95.74,3241192,3241192,-0.06,-0.0625,95.7725,"October 10, 25",-0.000625,,,,,
2025-10-09,95.81,96.03,94.89,95.5,95.3,2977704,2977704,-0.31,-0.32356,95.5575,"October 09, 25",-0.0032356,,,,,
2025-10-08,95.64,96.55,95.02,95.96,95.76,2734700,2734700,0.32,0.33459,95.7925,"October 08, 25",0.0033459,,,,,
2025-10-07,94.61,95.6,94.61,95.55,95.35,2526801,2526801,0.94,0.99355,95.0925,"October 07, 25",0.0099355,,,,,
2025-10-06,94.42,94.83,93.9,94.44,94.24,2155783,2155783,0.02,0.02118195,94.3975,"October 06, 25",0.0002118195,,,,,
2025-10-03,93.22,95.26,92.89,94.95,94.75,1571484,1571484,1.73,1.86,94.08,"October 03, 25",0.0186,,,,,
2025-10-02,92.6,93.87,91.61,93.45,93.25,2107829,2107829,0.855,0.91793,92.8825,"October 02, 25",0.0091793,,,,,
2025-10-01,94.12,94.16,92.53,92.76,92.56,2592512,2592512,-1.36,-1.44,93.3925,"October 01, 25",-0.0144,,,,,
2025-09-30,92.74,94.29,92.22,93.79,93.59,2744900,2744900,1.05,1.13,93.26,"September 30, 25",0.0113,,,,,
2025-09-29,93.78,93.78,92.73,93.02,92.82,2358400,2358400,-0.76,-0.81041,93.3275,"September 29, 25",-0.0081041,,,,,
2025-09-26,93.15,94.12,92.79,93.78,93.58,2042735,2042735,0.63,0.67633,93.46,"September 26, 25",0.0067633,,,,,
2025-09-25,93.55,94,91.8,92.65,92.45,2001498,2001498,-0.9,-0.96205,93,"September 25, 25",-0.0096205,,,,,
2025-09-24,91.55,93.51,91.47,93.22,93.02,2557800,2557800,1.67,1.82,92.4375,"September 24, 25",0.0182,,,,,
2025-09-23,92.39,93.04,91.55,92.19,91.99,2210418,2210418,-0.2,-0.21647,92.2925,"September 23, 25",-0.0021647,,,,,
2025-09-22,91.61,92.64,91.31,92.6,92.4,3422325,3422325,0.99,1.08,92.04,"September 22, 25",0.0108,,,,,
2025-09-19,92.32,92.46,91.3,91.73,91.53,6468431,6468431,-0.59,-0.63908,91.9525,"September 19, 25",-0.0063908,,,,,
2025-09-18,91.69,92.9,91.69,91.87,91.67,3189453,3189453,0.18,0.19631,92.0375,"September 18, 25",0.0019631,,,,,
2025-09-17,91.57,93.3,91.57,92.21,92.01,3282800,3282800,0.64,0.69892,92.1625,"September 17, 25",0.0069892,,,,,
2025-09-16,90.63,91.47,89.99,90.92,90.72,2231000,2231000,0.29,0.31998,90.7525,"September 16, 25",0.0031998,,,,,
2025-09-15,93.43,93.93,90.79,90.88,90.68,1910308,1910308,-2.55,-2.73,92.2575,"September 15, 25",-0.0273,,,,,
2025-09-12,93.83,94.46,93.46,93.54,93.34,1463642,1463642,-0.29,-0.30907,93.8225,"September 12, 25",-0.0030907,,,,,
2025-09-11,92.49,94.31,92.49,94.24,94.04,3147200,3147200,1.75,1.89,93.3825,"September 11, 25",0.0189,,,,,
2025-09-10,92.84,93.49,92.04,92.5,92.3,2710600,2710600,-0.34,-0.36622,92.7175,"September 10, 25",-0.0036622,,,,,
2025-09-09,95.14,95.27,93.44,93.47,93.27,1767971,1767971,-1.67,-1.76,94.33,"September 09, 25",-0.0176,,,,,
2025-09-08,94.67,95.46,94.03,95.35,95.14,2518200,2518200,0.68,0.71828,94.8775,"September 08, 25",0.0071828,,,,,
2025-09-05,95.46,96.13,94.15,94.79,94.59,1378853,1378853,-0.67,-0.70186,95.1325,"September 05, 25",-0.0070186,,,,,
2025-09-04,95.43,95.6,94.37,95.49,95.28,2188942,2188942,0.06,0.06287331,95.2225,"September 04, 25",0.0006287331,,,,,
2025-09-03,95.27,95.44,94.59,95.29,95.09,1768500,1768500,0.02,0.02099297,95.1475,"September 03, 25",0.0002099297,,,,,
2025-09-02,96.79,97.15,94.47,95.43,95.22,2456004,2456004,-1.36,-1.41,95.96,"September 02, 25",-0.0141,,,,,
2025-08-29,96.4,97.49,96.29,96.95,96.74,1755323,1755323,0.55,0.57054,96.7825,"August 29, 25",0.0057054,,,,,
2025-08-28,96.03,96.27,95.15,96.22,96.01,1548808,1548808,0.19,0.19785,95.9175,"August 28, 25",0.0019785,,,,,
2025-08-27,96,96.99,95.93,96.1,95.89,2120010,2120010,0.1,0.10417,96.255,"August 27, 25",0.0010417,,,,,
2025-08-26,96.55,96.85,95.31,96.05,95.84,3824577,3824577,-0.5,-0.51787,96.19,"August 26, 25",-0.0051787,,,,,
2025-08-25,96.18,97.73,95.7,96.72,96.51,2732044,2732044,0.54,0.56145,96.5825,"August 25, 25",0.0056145,,,,,
2025-08-22,97.03,97.39,96.53,96.66,96.45,1593835,1593835,-0.37,-0.38133,96.9025,"August 22, 25",-0.0038133,,,,,
2025-08-21,96.52,96.98,95.78,96.4,96.19,2248200,2248200,-0.12,-0.12433,96.42,"August 21, 25",-0.0012433,,,,,
2025-08-20,96.86,98.3,96.6,96.79,96.58,2573720,2573720,-0.07,-0.07226925,97.1375,"August 20, 25",-0.0007226925,,,,,
