date,open,high,low,close,volume,sma,ema,rsi,wma,dema,tema,williams,adx,standarddeviation
2026-01-02 00:00:00,99.22,99.61,97.9,98.5,1124451,100.77928571428576,100.9374390371467,40.80821750910734,100.59714285714287,100.28943400850945,101.04850357165184,-78.67746288798921,12.503051689015324,1.5335197259898554
2025-12-31 00:00:00,101.14,101.49,99.7,99.78,866200,100.79321428571434,101.03692634478534,45.651048787458365,100.80099999999997,100.55657802532167,101.14608818441558,-61.403508771929815,12.629094493517588,1.5082953125963108
2025-12-30 00:00:00,101.22,101.67,101.05,101.36,846400,100.8064682539683,101.08822946089903,52.83830304279479,100.89257142857143,100.6755067863862,101.2070907673715,-40.08097165991903,13.103555783470917,1.5149101458502425
2025-12-29 00:00:00,102.2,102.55,101.1,101.5,1826013,100.81642857142862,101.07713678583369,53.531744675915824,100.83180952380953,100.58921488654966,101.22172400437762,-38.19163292847503,13.367452659589862,1.5093230270555082
2025-12-26 00:00:00,102.46,102.72,101.21,101.75,801100,100.82432539682544,101.05987706280648,54.72258896062467,100.75638095238097,100.47496592663393,101.23246858753912,-34.81781376518218,13.630755428945058,1.5033283074564925
2025-12-24 00:00:00,102.49,102.72,101.8,102.29,616700,100.82884920634925,101.03170877965573,57.2782446718528,100.65485714285713,100.31480764579499,101.2359285218397,-27.530364372469542,13.880810422736717,1.4902764844148895
2025-12-23 00:00:00,102.06,102.69,101.25,102.64,1293302,100.83662698412702,100.98034995433555,58.93476538634751,100.50985714285713,100.06414018031413,101.22321266835068,-22.80701754385963,14.01389825633913,1.6191351858322391
2025-12-22 00:00:00,100.49,102.06,100.17,102.01,1637104,100.83142857142862,100.91260913614516,56.84889704094638,100.31009523809524,99.74001652389516,101.19972401651407,-31.309041835357547,14.15748811387662,1.6555508901873113
2025-12-19 00:00:00,100.44,100.82,99.47,100.59,5885600,100.82833333333339,100.86781767231436,51.71578330817161,100.15590476190476,99.47033412209468,101.1947943381102,-50.472334682860954,14.414691591262672,1.6529637019608134
2025-12-18 00:00:00,100.21,101.75,99.89,100.77,1972500,100.83972222222226,100.87915716914353,52.450188119653156,100.12123809523811,99.37011280863611,101.23261707072479,-48.0431848852902,14.905184818575144,1.7843469393590463
2025-12-17 00:00:00,99.02,100.43,98.66,100.05,2789217,100.85345238095242,100.88361256380244,49.80248084607138,100.0574761904762,99.23656568203894,101.26581040483254,-57.75978407557359,15.333279818694361,1.829372775024269
2025-12-16 00:00:00,100.84,101.08,98.42,99.34,2202900,100.87000000000003,100.91763756640663,47.105532794029564,100.05157142857142,99.19056680999608,101.32141413586098,-67.3414304993252,15.867277021467196,1.8969544011388346
2025-12-15 00:00:00,99.35,100.47,98.67,100.28,2257006,100.8955952380953,100.98203093646404,50.43690844438791,100.10723809523807,99.24002319135974,101.39957468161751,-54.655870445344114,16.422634112350945,1.9383871517320777
2025-12-12 00:00:00,99.59,99.59,98.17,98.71,1276200,100.91571428571432,101.01068526040135,44.33096945505522,100.06623809523808,99.16735671065229,101.45099264230949,-75.8434547908233,16.88446172690836,1.9521513132951545
