symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
TRMB,2025-01-03,70.57,245500000,17324935000,738800000,1514000000,18100135000
TRMB,2023-12-31,53.2,247900000,13188280000,229800000,3188500000,16146980000
TRMB,2022-12-31,50.56,248600000,12569216000,271000000,1625100000,13923316000
TRMB,2021-12-31,87.19,251400000,21919566000,325700000,1414600000,23008466000
TRMB,2020-12-31,66.77,250500000,16725884999,237700000,1656400000,18144584999
TRMB,2019-12-31,41.69,250800000,10455852000,189200000,1957300000,12223952000
TRMB,2018-12-31,32.91,250000000,8227499999,172500000,1968500000,10023499999
TRMB,2017-12-31,40.64,252100000,10245344000,358500000,913900000,10800744000
TRMB,2016-12-31,30.15,250500000,7552575000,216100000,619900000,7956375000
TRMB,2015-12-31,21.45,255800000,5486910000,116000000,729700000,6100610000
TRMB,2014-12-31,26.54,260103000,6903133620,148000000,735400000,7490533620
TRMB,2013-12-31,34.7,256648000,8905685600,147227000,758458000,9516916600
TRMB,2012-12-31,29.89,251132000,7506335480,157771000,911158000,8259722480
TRMB,2011-12-31,21.7,245450000,5326265000,154621000,564436000,5736080000
TRMB,2010-12-31,19.97,240704000,4805655360,220788000,153153000,4738020360
TRMB,2009-12-31,12.6,239628000,3019312800,273848000,151483000,2896947800
TRMB,2008-12-31,10.81,241428000,2608629540,147531000,151588000,2612686540
TRMB,2007-12-31,15.12,238560000,3607027200,103202000,60690000,3564515200
TRMB,2006-12-31,12.68,220088000,2791266060,129621000,481000,2662126060
TRMB,2005-12-31,8.87,212864000,1888635840,73853000,649000,1815431840
TRMB,2004-12-31,8.26,204652000,1690425520,71872000,38996000,1657549520
TRMB,2003-12-31,6.21,190020000,1179397134,45416000,90486000,1224467134
TRMB,2002-12-31,2.08,171440000,356880990,28679000,138525000,466726990
TRMB,2001-12-31,2.7,148364000,400830122,31078000,190565000,560317122
TRMB,2000-12-31,4,141608000,566432000,40876000,251062000,776618000
TRMB,1999-12-31,3.6,134544000,484919044,49300000,32000000,467619044
TRMB,1998-12-31,1.21,134820000,162907455,40900000,33000000,155007455
TRMB,1997-12-31,3.64,132790747,482749739,20000000,0,462749739
TRMB,1996-12-31,1.92,131698856,252422851,22700000,300000,230022851
TRMB,1995-12-31,3.17,121010923,383201296,29700000,2000000,355501296
TRMB,1994-12-31,2.75,109036391,299850075,17600000,1600000,283850075
TRMB,1993-12-31,1.48,101949025,150799633,1900000,7300000,156199633
TRMB,1992-12-31,1.42,100479562,142346079,1900000,17000000,157446079
TRMB,1991-12-31,2.79,104947526,292978545,1600000,17600000,308978545
TRMB,1990-12-31,1.54,94238595,145127436,9000000,1800000,137927436
TRMB,1989-12-31,1.73,88365816,152872861,500000,8300000,160672861
TRMB,1988-12-31,1.73,88365816,152872861,1900000,8900000,159872861
