holder,shares,dateReported,change
VANGUARD GROUP INC,67626485,2025-09-30,12709824
PRICE T ROWE ASSOCIATES INC /MD/,48030833,2025-09-30,712510
"BlackRock, Inc.",40247051,2025-09-30,8853393
STATE STREET CORP,22897834,2025-09-30,11139823
MORGAN STANLEY,20090673,2025-09-30,169094
"GEODE CAPITAL MANAGEMENT, LLC",14339339,2025-09-30,4964600
BAILLIE GIFFORD & CO,11655303,2025-09-30,-357341
"SANDS CAPITAL MANAGEMENT, LLC",11603057,2025-09-30,1262317
Capital World Investors,11296224,2025-09-30,7436380
LOOMIS SAYLES & CO L P,7723003,2025-09-30,129058
"Dragoneer Investment Group, LLC",6549747,2025-09-30,-2683768
BANK OF AMERICA CORP /DE/,6040812,2025-09-30,-250438
FMR LLC,5371828,2025-09-30,-3132009
AMERIPRISE FINANCIAL INC,5188834,2025-09-30,-2691502
WELLINGTON MANAGEMENT GROUP LLP,4983737,2025-09-30,-544513
NORTHERN TRUST CORP,4626238,2025-09-30,1413566
"Point72 Asset Management, L.P.",4558336,2025-09-30,-992274
TIGER GLOBAL MANAGEMENT LLC,4423312,2025-09-30,478872
Bank of New York Mellon Corp,4109803,2025-09-30,464541
CITADEL ADVISORS LLC,4075067,2025-09-30,-689030
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,4044274,2025-09-30,1413341
Lombard Odier Asset Management (Europe) Ltd,3933000,2025-09-30,3804159
Invesco Ltd.,3778298,2025-09-30,2671713
UBS Group AG,3611124,2025-09-30,1694161
Contour Asset Management LLC,3578592,2025-09-30,-46221
Legal & General Group Plc,3144760,2025-09-30,359371
DIMENSIONAL FUND ADVISORS LP,3077581,2025-09-30,520999
"Nikko Asset Management Americas, Inc.",2826639,2025-09-30,-943923
UBS ASSET MANAGEMENT AMERICAS INC,2800487,2025-09-30,-636015
"Sumitomo Mitsui Trust Holdings, Inc.",2682836,2025-09-30,-323539
ARK Investment Management LLC,2673415,2025-09-30,-418240
Hyperion Asset Management Ltd,2159765,2025-09-30,11336
"MARSHALL WACE, LLP",2038266,2025-09-30,525837
"Bares Capital Management, Inc.",1991847,2025-09-30,-157116
GOLDMAN SACHS GROUP INC,1941663,2025-09-30,1142576
Carmignac Gestion,1916626,2025-09-30,-137400
"Evergreen Quality Fund GP, Ltd.",1870994,2025-09-30,671800
DEUTSCHE BANK AG\,1804686,2025-09-30,679387
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1667091,2025-09-30,31456
Swiss National Bank,1599786,2025-09-30,-93700
FIL Ltd,1571901,2025-09-30,-435642
"Nuveen, LLC",1571046,2025-09-30,226131
"Clearbridge Investments, LLC",1550154,2025-09-30,-213838
"BNP PARIBAS ARBITRAGE, SNC",1549186,2025-09-30,640337
