date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,adjDividend,paymentDate,recordDate,declarationDate
2026-01-05,250.95,252.68,247.73,252.53,252.53,72191,72191,1.58,0.62960749,250.98,"January 05, 26",0.0062960749,,,,,
2026-01-02,250.95,251.43,247.33,248.11,248.11,475700,475700,-2.84,-1.13,249.455,"January 02, 26",-0.0113,,,,,
2025-12-31,255.84,255.84,250.95,251,251,374859,374859,-4.84,-1.89,253.4075,"December 31, 25",-0.0189,,,,,
2025-12-30,256.7,256.95,254.31,254.54,254.54,378400,378400,-2.16,-0.84145,255.625,"December 30, 25",-0.0084145,,,,,
2025-12-29,256.53,258.07,255.11,256.11,256.11,312300,312300,-0.42,-0.16372,256.455,"December 29, 25",-0.0016372,,,,,
2025-12-26,256.66,256.91,254.69,256.15,256.15,256300,256300,-0.51,-0.19871,256.1025,"December 26, 25",-0.0019871,,,,,
2025-12-24,254.69,256.85,254.03,255.96,255.96,219249,219249,1.27,0.49865,255.3825,"December 24, 25",0.0049865,,,,,
2025-12-23,251.94,255.87,251.19,254.76,254.76,376445,376445,2.82,1.12,253.44,"December 23, 25",0.0112,,,,,
2025-12-22,247.87,252.82,245.34,251.83,251.83,655410,655410,3.96,1.6,249.465,"December 22, 25",0.016,,,,,
2025-12-19,249.33,250.54,247.27,247.27,247.27,1323631,1323631,-2.06,-0.82621,248.6025,"December 19, 25",-0.0082621,,,,,
2025-12-18,251.3,253.03,248.31,248.67,248.67,736814,736814,-2.63,-1.05,250.3275,"December 18, 25",-0.0105,,,,,
2025-12-17,249.35,253.7,249.35,252.26,252.26,702600,702600,2.91,1.17,251.165,"December 17, 25",0.0117,,,,,
2025-12-16,248.16,251.46,247.14,248.99,248.99,830607,830607,0.83,0.33446,248.9375,"December 16, 25",0.0033446,,,,,
2025-12-15,252.81,254.18,244.74,246.75,246.75,1160058,1160058,-6.06,-2.4,249.62,"December 15, 25",-0.024,,,,,
2025-12-12,253.99,254.52,251.93,253.02,253.02,776400,776400,-0.97,-0.3819,253.365,"December 12, 25",-0.003819,,,,,
2025-12-11,250.26,252.5,249.54,251.1,251.1,666313,666313,0.84,0.33565,250.85,"December 11, 25",0.0033565,,,,,
2025-12-10,253.7,253.78,247.68,249.06,249.06,860834,860834,-4.64,-1.83,251.055,"December 10, 25",-0.0183,,,,,
2025-12-09,254.25,257.23,252.83,253.02,253.02,490900,490900,-1.23,-0.48378,254.3325,"December 09, 25",-0.0048378,,,,,
2025-12-08,253.21,254.75,251.98,253.22,253.22,863300,863300,0.01,0.00394929,253.29,"December 08, 25",3.94929e-05,,,,,
2025-12-05,255.13,255.13,250.59,252.76,252.76,503013,503013,-2.37,-0.92894,253.4025,"December 05, 25",-0.0092894,,,,,
2025-12-04,253.1,255.28,250.68,254.92,254.92,618948,618948,1.82,0.71908,253.495,"December 04, 25",0.0071908,,,,,
2025-12-03,255.9,256.25,252.31,253.9,253.9,556600,556600,-2,-0.78156,254.59,"December 03, 25",-0.0078156,,,,,
2025-12-02,256.32,256.6,252.89,254.35,254.35,584051,584051,-1.97,-0.76857,255.04,"December 02, 25",-0.0076857,,,,,
2025-12-01,258.72,259.56,254.74,255.28,255.28,652804,652804,-3.44,-1.33,257.075,"December 01, 25",-0.0133,,,,,
2025-11-28,258.57,260.43,257.59,258.17,258.17,231600,231600,-0.4,-0.1547,258.69,"November 28, 25",-0.001547,0.72,0.72,2025-12-15,2025-11-28,2025-10-23
2025-11-26,258.19,259.2,255.98,258.12,257.4,529400,529400,-0.07,-0.02711182,257.8725,"November 26, 25",-0.0002711182,,,,,
2025-11-25,256.44,257.73,252.48,257.32,256.6,598138,598138,0.88,0.34316,255.9925,"November 25, 25",0.0034316,,,,,
2025-11-24,252.55,256.67,251.56,254.5,253.79,1517635,1517635,1.95,0.77212,253.82,"November 24, 25",0.0077212,,,,,
2025-11-21,255.78,256.64,251.61,252.6,251.9,861942,861942,-3.18,-1.24,254.1575,"November 21, 25",-0.0124,,,,,
2025-11-20,254.29,255.83,252.33,255.32,254.61,736352,736352,1.03,0.40505,254.4425,"November 20, 25",0.0040505,,,,,
2025-11-19,258.6,259.38,251.62,254.29,253.58,867451,867451,-4.31,-1.67,255.9725,"November 19, 25",-0.0167,,,,,
2025-11-18,258.81,261.12,256.37,259.11,258.39,800513,800513,0.3,0.11592,258.8525,"November 18, 25",0.0011592,,,,,
2025-11-17,258.07,259.13,255.59,257.87,257.15,640068,640068,-0.2,-0.07749835,257.665,"November 17, 25",-0.0007749835,,,,,
2025-11-14,261.14,262.21,257.08,258.35,257.63,734100,734100,-2.79,-1.07,259.695,"November 14, 25",-0.0107,,,,,
2025-11-13,260.99,261.36,258.85,259.96,259.23,714784,714784,-1.04,-0.39465,260.29,"November 13, 25",-0.0039465,,,,,
2025-11-12,260.73,262.98,259,260.88,260.15,666938,666938,0.15,0.05753078,260.8975,"November 12, 25",0.0005753078,,,,,
2025-11-11,261.9,261.9,256.98,259.25,258.53,840500,840500,-2.65,-1.01,260.0075,"November 11, 25",-0.0101,,,,,
2025-11-10,255.98,259.98,251.62,259.14,258.42,932000,932000,3.16,1.23,256.68,"November 10, 25",0.0123,,,,,
2025-11-07,255.25,257.41,252.82,256.62,255.9,978534,978534,1.37,0.53673,255.525,"November 07, 25",0.0053673,,,,,
2025-11-06,250,253,248.86,252.64,251.94,540561,540561,2.64,1.06,251.125,"November 06, 25",0.0106,,,,,
