date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,recordDate,declarationDate,adjDividend
2026-01-02,286,298.27,280.95,297.97,297.97,389077,389077,11.97,4.19,290.7975,"January 02, 26",0.0419,,,,,
2025-12-31,291.69,293.23,286.44,287.22,287.22,297948,297948,-4.47,-1.53,289.645,"December 31, 25",-0.0153,,,,,
2025-12-30,296.97,298,292.06,292.68,292.68,255125,255125,-4.29,-1.44,294.9275,"December 30, 25",-0.0144,,,,,
2025-12-29,290,295.92,289.5,294.53,294.53,289340,289340,4.53,1.56,292.4875,"December 29, 25",0.0156,,,,,
2025-12-26,294.12,294.12,283,287.54,287.54,292680,292680,-6.58,-2.24,289.695,"December 26, 25",-0.0224,,,,,
2025-12-24,298.22,299.56,291,296,296,124023,124023,-2.22,-0.74442,296.195,"December 24, 25",-0.0074442,,,,,
2025-12-23,305.48,310.44,294.87,297.33,297.33,342300,342300,-8.15,-2.67,302.03,"December 23, 25",-0.0267,,,,,
2025-12-22,304,309.98,302.33,302.8,302.8,1301679,1301679,-1.2,-0.39473684,305.04,"December 22, 25",-0.0039473684,,,,,
2025-12-19,299.94,303.77,297.1,299.62,299.62,3665961,3665961,-0.32,-0.106688,300.16,"December 19, 25",-0.00106688,,,,,
2025-12-18,296.89,306.17,295.32,298.47,298.47,2241783,2241783,1.58,0.53218364,299.99,"December 18, 25",0.0053218364,,,,,
2025-12-17,278.33,297.33,276.46,294.33,294.33,2352060,2352060,16,5.74857,289.37,"December 17, 25",0.0574857,,,,,
2025-12-16,278.26,278.31,269.23,273.56,273.56,1972080,1972080,-4.7,-1.68907,273.7,"December 16, 25",-0.0168907,,,,,
2025-12-15,281.56,281.98,270.67,279.88,279.88,1890324,1890324,-1.68,-0.59667566,277.51,"December 15, 25",-0.0059667566,,,,,
2025-12-12,298.46,298.85,278.49,279.55,279.55,1583604,1583604,-18.91,-6.33586,285.63,"December 12, 25",-0.0633586,,,,,
2025-12-11,295.06,298.85,291.99,296.77,296.77,966087,966087,1.71,0.57954314,295.87,"December 11, 25",0.0057954314,,,,,
2025-12-10,293.34,297.79,287.79,297.5,297.5,1459737,1459737,4.16,1.41815,294.36,"December 10, 25",0.0141815,,,,,
2025-12-09,301.33,304.16,291.9,293.61,293.61,869715,869715,-7.72,-2.56198,296.56,"December 09, 25",-0.0256198,,,,,
2025-12-08,305.02,308.25,298.07,301.38,301.38,1278630,1278630,-3.64,-1.19336,302.57,"December 08, 25",-0.0119336,,,,,
