date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2026-01-05,82.335,83.29,81.59,83.02,83.02,544229,544229,0.685,0.83196696,82.63,"January 05, 26",0.0083196696,,,,,
2026-01-02,83.52,83.85,82.4,82.64,82.64,1644753,1644753,-0.88,-1.05,83.1025,"January 02, 26",-0.0105,,,,,
2025-12-31,84.21,84.73,83.8,83.85,83.85,1044166,1044166,-0.36,-0.4275,84.1475,"December 31, 25",-0.004275,,,,,
2025-12-30,85.12,85.14,84.31,84.44,84.44,1381547,1381547,-0.68,-0.79887,84.7525,"December 30, 25",-0.0079887,,,,,
2025-12-29,85.59,85.73,85.22,85.34,85.34,1778500,1778500,-0.25,-0.29209,85.47,"December 29, 25",-0.0029209,,,,,
2025-12-26,85.41,86.04,85.05,85.39,85.39,928011,928011,-0.02,-0.02341646,85.4725,"December 26, 25",-0.0002341646,,,,,
2025-12-24,85.13,85.59,85.01,85.46,85.46,516200,516200,0.33,0.38764,85.2975,"December 24, 25",0.0038764,,,,,
2025-12-23,84.09,85.44,83.89,85.25,85.25,1544322,1544322,1.16,1.38,84.6675,"December 23, 25",0.0138,,,,,
2025-12-22,84.21,84.75,83.89,84.24,84.24,2048400,2048400,0.03,0.03562522,84.2725,"December 22, 25",0.0003562522,,,,,
2025-12-19,85.13,85.24,84.39,85.08,85.08,4448100,4448100,-0.05,-0.0587337,84.96,"December 19, 25",-0.000587337,,,,,
2025-12-18,86.24,86.9,85.05,85.07,85.07,2610806,2610806,-1.17,-1.36,85.815,"December 18, 25",-0.0136,,,,,
2025-12-17,85.93,87.77,85.84,86.52,86.52,2295720,2295720,0.59,0.68661,86.515,"December 17, 25",0.0068661,,,,,
2025-12-16,85.29,85.49,83.88,84.55,84.55,2213500,2213500,-0.74,-0.86763,84.8025,"December 16, 25",-0.0086763,,,,,
2025-12-15,84.89,85.29,84.65,85.01,85.01,2739783,2739783,0.12,0.14136,84.96,"December 15, 25",0.0014136,,,,,
2025-12-12,83.76,85.32,83.43,84.61,84.61,2414536,2414536,0.85,1.01,84.28,"December 12, 25",0.0101,,,,,
2025-12-11,83.83,84.24,83.13,83.57,83.57,2797300,2797300,-0.26,-0.31015,83.6925,"December 11, 25",-0.0031015,,,,,
2025-12-10,83.1,85.05,82.93,83.31,83.31,4126524,4126524,0.21,0.25271,83.5975,"December 10, 25",0.0025271,,,,,
2025-12-09,81.61,83.84,81.61,82.63,82.63,3726809,3726809,1.02,1.25,82.4225,"December 09, 25",0.0125,,,,,
2025-12-08,83.78,84.14,81.49,81.6,81.6,3288700,3288700,-2.18,-2.6,82.7525,"December 08, 25",-0.026,,,,,
2025-12-05,83.72,84.9,83.51,84.52,84.52,2645926,2645926,0.8,0.95557,84.1625,"December 05, 25",0.0095557,,,,,
2025-12-04,83.91,84.35,83.37,83.95,83.95,2155600,2155600,0.04,0.04767012,83.895,"December 04, 25",0.0004767012,,,,,
2025-12-03,83.67,84.86,83.47,83.91,83.91,1884100,1884100,0.24,0.28684,83.9775,"December 03, 25",0.0028684,,,,,
2025-12-02,83.9,84.47,82.97,83.54,83.54,3269529,3269529,-0.36,-0.42908,83.72,"December 02, 25",-0.0042908,,,,,
2025-12-01,84.88,85.11,84.2,84.58,84.58,2746609,2746609,-0.3,-0.35344,84.6925,"December 01, 25",-0.0035344,,,,,
2025-11-28,84.29,85.3,84.21,85.16,85.16,1054005,1054005,0.87,1.03,84.74,"November 28, 25",0.0103,,,,,
2025-11-26,83.72,84.86,83.57,84.55,84.55,1906637,1906637,0.83,0.9914,84.175,"November 26, 25",0.009914,,,,,
2025-11-25,82.89,84.3,82.89,84.16,84.16,2312307,2312307,1.27,1.53,83.56,"November 25, 25",0.0153,,,,,
2025-11-24,83.75,83.96,82.3,82.74,82.74,4216000,4216000,-1.01,-1.21,83.1875,"November 24, 25",-0.0121,,,,,
2025-11-21,83.76,85.11,83.24,84.02,84.02,3073721,3073721,0.26,0.31041,84.0325,"November 21, 25",0.0031041,,,,,
2025-11-20,82,83.81,81.8,83.34,83.34,2287312,2287312,1.34,1.63,82.7375,"November 20, 25",0.0163,,,,,
2025-11-19,83.01,83.39,82.29,82.52,82.52,1786100,1786100,-0.49,-0.59029,82.8025,"November 19, 25",-0.0059029,,,,,
2025-11-18,83.37,83.9,82.48,82.89,82.89,2422527,2422527,-0.48,-0.57575,83.16,"November 18, 25",-0.0057575,,,,,
2025-11-17,83.72,84.13,82.98,83.02,83.02,2284002,2284002,-0.7,-0.83612,83.4625,"November 17, 25",-0.0083612,,,,,
2025-11-14,85.06,85.49,83.93,84.1,84.1,2473200,2473200,-0.96,-1.13,84.645,"November 14, 25",-0.0113,0.295,2025-12-01,2025-10-27,2025-11-14,0.295
2025-11-13,85.96,85.97,84.89,84.94,84.64,1962375,1962375,-1.02,-1.19,85.44,"November 13, 25",-0.0119,,,,,
2025-11-12,85.13,86.01,84.66,85.38,85.08,2113500,2113500,0.25,0.29367,85.295,"November 12, 25",0.0029367,,,,,
2025-11-11,85.08,86.15,84.75,85.51,85.21,1970422,1970422,0.43,0.50541,85.3725,"November 11, 25",0.0050541,,,,,
