holder,shares,dateReported,change
VANGUARD GROUP INC,108990652,2025-09-30,2581784
"BlackRock, Inc.",62800178,2025-09-30,-1514878
PRINCIPAL FINANCIAL GROUP INC,40175058,2025-09-30,1236101
STATE STREET CORP,37062931,2025-09-30,656428
"GEODE CAPITAL MANAGEMENT, LLC",23123458,2025-09-30,2661382
Capital World Investors,22173297,2025-09-30,-271684
Bank of New York Mellon Corp,18063979,2025-09-30,-796250
ALLIANCEBERNSTEIN L.P.,15105186,2025-09-30,-10551452
JPMORGAN CHASE & CO,13191737,2025-09-30,-937890
MORGAN STANLEY,12521737,2025-09-30,1269673
EDGEWOOD MANAGEMENT LLC,12423670,2025-09-30,-7492377
Invesco Ltd.,10931871,2025-09-30,771573
Capital Research Global Investors,9347568,2025-09-30,-1507495
NORTHERN TRUST CORP,8931216,2025-09-30,97411
Fiera Capital Corp,8777398,2025-09-30,1776968
BARCLAYS PLC,8298911,2025-09-30,312072
FIRST TRUST ADVISORS LP,7796203,2025-09-30,1216799
StonePine Asset Management Inc.,7722652,2025-09-30,1315181
BANK OF AMERICA CORP /DE/,7586427,2025-09-30,266321
ROYAL BANK OF CANADA,7326804,2025-09-30,564042
VICTORY CAPITAL MANAGEMENT INC,7149708,2025-09-30,266286
Legal & General Group Plc,5749271,2025-09-30,276586
AKO CAPITAL LLP,5527245,2025-09-30,186270
UBS ASSET MANAGEMENT AMERICAS INC,5445404,2025-09-30,-516424
UBS Group AG,5342669,2025-09-30,-162110
JENSEN INVESTMENT MANAGEMENT INC,5263823,2025-09-30,-52038
DEUTSCHE BANK AG\,5132550,2025-09-30,525754
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,5089440,2025-09-30,-762231
AQR CAPITAL MANAGEMENT LLC,4887359,2025-09-30,3660031
"Nuveen, LLC",4862838,2025-09-30,78832
GOLDMAN SACHS GROUP INC,4827311,2025-09-30,-560724
BLAIR WILLIAM & CO/IL,4738566,2025-09-30,-343725
DIMENSIONAL FUND ADVISORS LP,4705613,2025-09-30,1323281
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",4651474,2025-09-30,336529
FRANKLIN RESOURCES INC,4581966,2025-09-30,-431996
"Madison Asset Management, LLC",4510596,2025-09-30,-79826
AMERICAN CENTURY COMPANIES INC,4258092,2025-09-30,-122674
AKRE CAPITAL MANAGEMENT LLC,4236760,2025-09-30,3036760
TD ASSET MANAGEMENT INC,4220413,2025-09-30,647187
Amundi,4216980,2025-09-30,202662
FIRST MANHATTAN CO. LLC.,3971202,2025-09-30,72883
VAN ECK ASSOCIATES CORP,3689003,2025-09-30,3533133
BNP Paribas Asset Management Holding S.A.,3653187,2025-09-30,142911
BESSEMER GROUP INC,3522605,2025-09-30,-19261
Pictet Asset Management Holding SA,3275290,2025-09-30,140892
WELLS FARGO & COMPANY/MN,3245133,2025-09-30,19065
LONDON CO OF VIRGINIA,3221283,2025-09-30,-152773
"Russell Investments Group, Ltd.",3188024,2025-09-30,729720
COMGEST GLOBAL INVESTORS S.A.S.,3181919,2025-09-30,212520
"Epoch Investment Partners, Inc.",3180593,2025-09-30,419616
ENVESTNET ASSET MANAGEMENT INC,3172552,2025-09-30,22965
Stonehage Fleming Financial Services Holdings Ltd,3167115,2025-09-30,65545
"Jarislowsky, Fraser Ltd",3112375,2025-09-30,-82339
HSBC HOLDINGS PLC,2908685,2025-09-30,-1157876
"Bowie Capital Management, LLC",2898884,2025-09-30,817857
WELLINGTON MANAGEMENT GROUP LLP,2891049,2025-09-30,101223
Assenagon Asset Management S.A.,2765619,2025-09-30,462067
Swiss National Bank,2648000,2025-09-30,-130200
Squarepoint Ops LLC,2568928,2025-09-30,1966455
"Douglass Winthrop Advisors, LLC",2568690,2025-09-30,115526
"MARSHALL WACE, LLP",2499370,2025-09-30,1995074
Vontobel Holding Ltd.,2456270,2025-09-30,-94633
"Sumitomo Mitsui Trust Holdings, Inc.",2291411,2025-09-30,28561
FMR LLC,2214546,2025-09-30,-12999379
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,2200902,2025-09-30,280650
DF DENT & CO INC,2193373,2025-09-30,647375
FLOSSBACH VON STORCH AG,2147849,2025-09-30,1012727
"NATIXIS ADVISORS, L.P.",2139903,2025-09-30,722681
CAPTRUST FINANCIAL ADVISORS,2067037,2025-09-30,-17548
Allianz Asset Management GmbH,2055206,2025-09-30,131639
CITADEL ADVISORS LLC,2023194,2025-09-30,-479188
"Clearbridge Investments, LLC",1992184,2025-09-30,-9672
GOBI CAPITAL LLC,1982068,2025-09-30,0
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1967409,2025-09-30,41184
Maren Capital LLC,1953340,2025-09-30,451973
"Connor, Clark & Lunn Investment Management Ltd.",1942458,2025-09-30,806790
MACKENZIE FINANCIAL CORP,1869236,2025-09-30,-521592
Qube Research & Technologies Ltd,1813193,2025-09-30,1625190
WORLDQUANT MILLENNIUM ADVISORS LLC,1810202,2025-09-30,1810202
RHUMBLINE ADVISERS,1679504,2025-09-30,2427
PRICE T ROWE ASSOCIATES INC /MD/,1653124,2025-09-30,22326
"Quantum Capital Management, LLC / NJ",1626405,2025-09-30,252961
BANK OF MONTREAL /CAN/,1608882,2025-09-30,357650
"BNP PARIBAS ARBITRAGE, SNC",1604687,2025-09-30,-153978
SNYDER CAPITAL MANAGEMENT L P,1594569,2025-09-30,309237
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1505706,2025-09-30,-1042569
MACQUARIE GROUP LTD,1483813,2025-09-30,-1262085
Port Capital LLC,1430014,2025-09-30,17195
US BANCORP \DE\,1406272,2025-09-30,-26346
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,1403092,2025-09-30,-8106
NOMURA ASSET MANAGEMENT CO LTD,1394342,2025-09-30,-596954
"Baird Financial Group, Inc.",1360902,2025-09-30,-10354
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",1349030,2025-09-30,77207
RAYMOND JAMES FINANCIAL INC,1318393,2025-09-30,86870
CANADA PENSION PLAN INVESTMENT BOARD,1317164,2025-09-30,148943
MILLENNIUM MANAGEMENT LLC,1295494,2025-09-30,619730
"YCG, LLC",1293787,2025-09-30,120377
ROYAL LONDON ASSET MANAGEMENT LTD,1243130,2025-09-30,-74964
"Provident Investment Management, Inc.",1236422,2025-09-30,-50541
"Kimelman & Baird, LLC",1233862,2025-09-30,11697
ProShare Advisors LLC,1227168,2025-09-30,-269784
National Pension Service,1225792,2025-09-30,14365
"JANE STREET GROUP, LLC",1218048,2025-09-30,1187294
AMERIPRISE FINANCIAL INC,1204211,2025-09-30,-311039
NATIONAL BANK OF CANADA /FI/,1171083,2025-09-30,159190
AVIVA PLC,1150442,2025-09-30,46487
AVENIR CORP,1114345,2025-09-30,-40420
GREAT WEST LIFE ASSURANCE CO /CAN/,1083461,2025-09-30,32171
NEW YORK STATE COMMON RETIREMENT FUND,1063581,2025-09-30,-26238
Trexquant Investment LP,977844,2025-09-30,390933
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,971579,2025-09-30,-40736
SEI INVESTMENTS CO,971129,2025-09-30,70799
SCHWARTZ INVESTMENT COUNSEL INC,962800,2025-09-30,-200000
GENEVA CAPITAL MANAGEMENT LLC,947726,2025-09-30,-62651
"Gotham Asset Management, LLC",944876,2025-09-30,623012
CITIGROUP INC,935949,2025-09-30,-639106
Universal- Beteiligungs- und Servicegesellschaft mbH,858450,2025-09-30,-43783
BANK OF NOVA SCOTIA,836722,2025-09-30,720149
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,829679,2025-09-30,-38233
"Kovitz Investment Group Partners, LLC",818685,2025-09-30,-144900
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",813306,2025-09-30,443546
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,809128,2025-09-30,-3270988
Lionstone Capital Management LLC,776300,2025-09-30,0
Baskin Financial Services Inc.,768806,2025-09-30,2868
NORDEA INVESTMENT MANAGEMENT AB,766429,2025-09-30,12456
"CIBC Private Wealth Group, LLC",762101,2025-09-30,-23462
"Susquehanna Portfolio Strategies, LLC",742651,2025-09-30,742651
"CI Private Wealth, LLC",737058,2025-09-30,419410
"HighTower Advisors, LLC",736900,2025-09-30,-205816
LPL Financial LLC,716070,2025-09-30,82099
STIFEL FINANCIAL CORP,712555,2025-09-30,18322
Retirement Systems of Alabama,711910,2025-09-30,1116
BRIDGES INVESTMENT MANAGEMENT INC,701576,2025-09-30,-24433
GUGGENHEIM CAPITAL LLC,696823,2025-09-30,144748
Vancity Investment Management Ltd,653292,2025-09-30,-20610
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,646983,2025-09-30,-16306
APG Asset Management N.V.,642442,2025-09-30,-4500
Swedbank AB,633001,2025-09-30,16904
ALTA CAPITAL MANAGEMENT LLC/,631923,2025-09-30,-10362
TWINBEECH CAPITAL LP,614115,2025-09-30,-391899
STATE OF WISCONSIN INVESTMENT BOARD,612678,2025-09-30,-48103
WEYBOSSET RESEARCH & MANAGEMENT LLC,611772,2025-09-30,-3436
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,602859,2025-09-30,-82725
abrdn plc,584555,2025-09-30,72682
Korea Investment CORP,582341,2025-09-30,-65338
AXA Investment Managers S.A.,566579,2025-09-30,566579
RENAISSANCE GROUP LLC,555769,2025-09-30,12591
FIL Ltd,535398,2025-09-30,323373
WHITTIER TRUST CO,528882,2025-09-30,7679
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",513412,2025-09-30,8646
TOKIO MARINE ASSET MANAGEMENT CO LTD,508962,2025-09-30,43000
WEDGEWOOD PARTNERS INC,497020,2025-09-30,16729
"Bank Julius Baer & Co. Ltd, Zurich",496668,2025-09-30,117684
OLD NATIONAL BANCORP /IN/,494953,2025-09-30,-114415
Sterling Capital Management LLC,491835,2025-09-30,-12088
Lombard Odier Asset Management (Europe) Ltd,491823,2025-09-30,237051
ROCKLAND TRUST CO,490844,2025-09-30,43705
Mitsubishi UFJ Trust & Banking Corp,485653,2025-09-30,21306
PRUDENTIAL FINANCIAL INC,484784,2025-09-30,-13903
"Asset Management One Co., Ltd.",476918,2025-09-30,-2755
"ASSETMARK, INC",472845,2025-09-30,107160
Handelsbanken Fonder AB,470937,2025-09-30,-8746
"Chevy Chase Trust Holdings, LLC",460227,2025-09-30,-10414
Capital International Sarl,458525,2025-09-30,17696
Stephens Investment Management Group LLC,450224,2025-09-30,-28644
NEOS Investment Management LLC,448197,2025-09-30,158868
"Mill Capital Management, LLC",441758,2025-09-30,1064
DANSKE BANK A/S,440977,2025-09-30,24800
INTECH INVESTMENT MANAGEMENT LLC,431273,2025-09-30,376033
GATEWAY INVESTMENT ADVISERS LLC,425755,2025-09-30,741
"UNITED CAPITAL FINANCIAL ADVISERS, LLC",423374,2025-09-30,-13688
Andra AP-fonden,421100,2025-09-30,249600
ASHFORD CAPITAL MANAGEMENT INC,420349,2025-09-30,-13227
"NISA INVESTMENT ADVISORS, LLC",419096,2025-09-30,-26549
DekaBank Deutsche Girozentrale,411055,2025-09-30,0
SCHRODER INVESTMENT MANAGEMENT GROUP,408794,2025-09-30,-40319
Man Group plc,408702,2025-09-30,-1057910
COBBLESTONE CAPITAL ADVISORS LLC /NY/,406844,2025-09-30,-2384
JLB & ASSOCIATES INC,400664,2025-09-30,4519
Treasurer of the State of North Carolina,397594,2025-09-30,-15489
STATE OF MICHIGAN RETIREMENT SYSTEM,387408,2025-09-30,1600
"Rafferty Asset Management, LLC",382068,2025-09-30,20841
"Aptus Capital Advisors, LLC",382036,2025-09-30,40093
Mediolanum International Funds Ltd,381240,2025-09-30,78971
"Pacer Advisors, Inc.",379626,2025-09-30,50339
TORONTO DOMINION BANK,374042,2025-09-30,-46259
GABELLI FUNDS LLC,373200,2025-09-30,-1500
TRUIST FINANCIAL CORP,371615,2025-09-30,45198
"Mirae Asset Global Investments Co., Ltd.",371603,2025-09-30,45346
TUDOR INVESTMENT CORP ET AL,368648,2025-09-30,-1321754
Cerity Partners LLC,364076,2025-09-30,42710
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,353244,2025-09-30,-36896
"Greenbrier Partners Capital Management, LLC",350000,2025-09-30,100000
Mn Services Vermogensbeheer B.V.,347080,2025-09-30,4000
"CIM, LLC",338161,2025-09-30,-79055
"Norinchukin Bank, The",337558,2025-09-30,10724
"Robertson Opportunity Capital, LLC",336388,2025-09-30,0
CONFLUENCE INVESTMENT MANAGEMENT LLC,335829,2025-09-30,335829
Engineers Gate Manager LP,335310,2025-09-30,-33600
KLP KAPITALFORVALTNING AS,330600,2025-09-30,0
"Cresset Asset Management, LLC",329934,2025-09-30,-9808
FFT WEALTH MANAGEMENT LLC,324699,2025-09-30,0
BROWN BROTHERS HARRIMAN & CO,319329,2025-09-30,-16430
State of New Jersey Common Pension Fund D,319132,2025-09-30,18525
Burgundy Asset Management Ltd.,319054,2025-09-30,-8074
KORNITZER CAPITAL MANAGEMENT INC /KS,316351,2025-09-30,0
LOGAN CAPITAL MANAGEMENT INC,313768,2025-09-30,7102
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,313155,2025-09-30,-854176
"Resona Asset Management Co.,Ltd.",300602,2025-09-30,-14643
INGALLS & SNYDER LLC,300419,2025-09-30,-4968
Lansforsakringar Fondforvaltning AB (publ),299303,2025-09-30,21870
Investment Management Corp of Ontario,293703,2025-09-30,69964
PINNACLE FINANCIAL PARTNERS INC,292621,2025-09-30,-42257
Incline Global Management LLC,291228,2025-09-30,291228
CIBC Asset Management Inc,288596,2025-09-30,298
"Capital International, Inc./CA/",284752,2025-09-30,34279
Sage Mountain Advisors LLC,284660,2025-09-30,-359
Canoe Financial LP,279327,2025-09-30,28300
LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,271220,2025-09-30,-617
CAPITAL INTERNATIONAL LTD /CA/,270792,2025-09-30,-4720
Arizona State Retirement System,268260,2025-09-30,5
WHITTIER TRUST CO OF NEVADA INC,264596,2025-09-30,1559
SHEETS SMITH WEALTH MANAGEMENT,260112,2025-09-30,-12466
"MetLife Investment Management, LLC",259633,2025-09-30,-1955
"ADVISOR GROUP HOLDINGS, INC.",257691,2025-09-30,75512
Rockbridge Capital Management LLC,256067,2025-09-30,8248
