date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,recordDate,dividend,adjDividend
2026-01-02,167.15,170.11,166.34,169.36,169.36,656500,656500,2.21,1.32,168.24,"January 02, 26",0.0132,,,,,
2025-12-31,168.58,169.01,167.47,167.63,167.63,469144,469144,-0.95,-0.56353,168.1725,"December 31, 25",-0.0056353,,,,,
2025-12-30,168.91,169.27,168.25,168.58,168.58,472929,472929,-0.33,-0.19537,168.7525,"December 30, 25",-0.0019537,,,,,
2025-12-29,168.93,169.6,168.47,168.78,168.78,526625,526625,-0.15,-0.08879418,168.945,"December 29, 25",-0.0008879418,,,,,
2025-12-26,168.34,168.78,167.3,168.13,168.13,345909,345909,-0.21,-0.12475,168.1375,"December 26, 25",-0.0012475,,,,,
2025-12-24,168.44,169.21,167.72,168.4,168.4,438600,438600,-0.04,-0.02374733,168.4425,"December 24, 25",-0.0002374733,,,,,
2025-12-23,167.42,168.68,166.99,167.99,167.99,983932,983932,0.57,0.34046,167.77,"December 23, 25",0.0034046,,,,,
2025-12-22,166.7,167.45,165.37,167.34,167.34,910800,910800,0.64,0.38392,166.715,"December 22, 25",0.0038392,,,,,
2025-12-19,169.19,169.42,166.6,166.7,166.7,1628234,1628234,-2.49,-1.47,167.9775,"December 19, 25",-0.0147,,,,,
2025-12-18,168.71,170.44,168.71,169.42,169.42,1025000,1025000,0.71,0.42084,169.32,"December 18, 25",0.0042084,,,,,
2025-12-17,167.95,170.78,167.43,169.17,169.17,1192400,1192400,1.22,0.72641,168.8325,"December 17, 25",0.0072641,,,,,
2025-12-16,168.67,170.43,167.89,168,168,1570004,1570004,-0.67,-0.39723,168.7475,"December 16, 25",-0.0039723,,,,,
2025-12-15,168.75,171.42,167.91,170.75,170.75,1819145,1819145,2,1.19,169.7075,"December 15, 25",0.0119,,,,,
2025-12-12,167.34,169.64,167.07,168.37,168.37,983945,983945,1.03,0.61551,168.105,"December 12, 25",0.0061551,,,,,
2025-12-11,167.37,170.1,166.4,167.09,167.09,916804,916804,-0.28,-0.16729,167.74,"December 11, 25",-0.0016729,,,,,
2025-12-10,166.16,167.73,165.99,166.8,166.8,1051300,1051300,0.64,0.38517,166.67,"December 10, 25",0.0038517,,,,,
2025-12-09,168.24,169.08,165.89,166.28,166.28,972536,972536,-1.96,-1.17,167.3725,"December 09, 25",-0.0117,,,,,
2025-12-08,170.83,171.16,166.75,167.07,167.07,1066600,1066600,-3.76,-2.2,168.9525,"December 08, 25",-0.022,,,,,
2025-12-05,170.28,172.13,170.28,171.29,171.29,939141,939141,1.01,0.59314,170.995,"December 05, 25",0.0059314,,,,,
