date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,SBAC,2024,FY,-0.08969680695478717,242.34034416826003,1.1201805403806424,0.4077011369145978,0,21.464003800613945,3.08601040335187,-0.00518027961278542,0,-0.027239811744353817,-0.027239811744353817,-0.1532599837000815,-0.20006521126969307,-0.19170866512228943,-0.026362019084864786,0,0.12171755969308069,0.4110468698165964,0.8470376042727534,0.007693383690026577,-0.4597993787871073,-0.03906333726288715,0.3188513701358289,0.06186495017194339,0,0,-0.0896152770801735,0.051909405601039696,0,0.07567226815031936,-0.003703703703703704,0.016727680052568684,-0.2358297653763504,0,0.011785997050406487,0.12171755969308069,9.760298600797311,0.08937892821671709,0.09199877544016738
2023-12-31,SBAC,2023,FY,0.4511857377459849,-0.21412471825694968,0.44508028874992245,-0.23566247929634027,0,-0.012290422133588406,0.0031777400757768788,-0.026858937499914817,0,-0.11556932682915586,-0.11556932682915586,-0.39699233339885986,3.1719532554257097,0.08258252392171948,-0.040400074913574203,0,-0.03841269958236345,-0.17938048107025492,25.797708333333333,-0.6249803283848292,0.31113138686131386,0.44331013147718484,0.9565577440855153,-0.09054635094138488,0,0,0.629241293682755,-0.0780976123675787,0,-0.03255573838438709,0,0.004174919183364049,-0.041807928739564106,0,0.019982317204336738,-0.03841269958236345,-0.39120089466295477,-0.046647074662410346,-0.05140786721789802
2022-12-31,SBAC,2022,FY,-0.6087214589493517,0.7107969151670951,-0.6059322494403026,0.7536904651378702,0,-0.31736253988591706,-0.2143605784723149,0.13688902310152157,0,-0.009551423759661564,-0.009551423759661564,-0.1502015076531145,-0.6884895411995839,0.3985965782400276,0.0996005008243487,0,0.0799190017975455,0.5096283684612223,0,0.18610004977600797,-0.05414820505804224,1.6759105960264902,0.13050292780989436,0.046052780531870896,0,0,0.2955581668625147,0.047146245219015684,0,0.05055584229551483,-0.008264462809917356,-0.03866575988914325,0.22536661642457323,0,0.001341748615097388,0.0799190017975455,-0.13643742166149547,0.04466235392366517,0.06161530274316286
2021-12-31,SBAC,2021,FY,0.1902968628467721,0,0.1928182525278714,0.38490503655266156,0,0.8334161546801591,0.29906763356519167,0.1499689361430846,0,-0.11181439411941764,-0.11181439411941764,-0.16823273990447243,-0.033580283682662596,0.29763700077721267,0.05782652629329462,0,0.07028605971292042,-0.690221789777119,0,0.677136596055515,0.6799773685652908,-0.6620269986710499,0.002488610135637385,0.10900652432541207,0,0,0.028075770754808157,0.08231603220543415,0,0.07880223145559677,-0.00819672131147541,-0.09077838555499765,0.05605994190063671,0,-0.09514627987584731,0.07028605971292042,-0.15471993052540164,0.08165738083966598,0.07910190525183043
2020-12-31,SBAC,2020,FY,1.848886057483681,0,1.848886057483681,-0.3127658768729724,0,-0.23622875873371862,0.41498963415911044,-0.05886783213669028,0,-0.12976356667483738,-0.12976356667483738,3.343643907959261,11.372639336711194,-0.11529117136853076,-0.07857711971668857,0,-0.061672811341789875,2.4531495321233434,-0.9540309142101936,-0.0015628255886643051,-0.0034359114415851003,-0.1564196365352844,-0.41352179209438583,0.12835487169975343,0,0,-0.3124104729979178,0.08006420654291009,0,0.041481941251352634,-0.017889087656529516,-0.18762636684802889,-0.4198869480365353,0,-0.3156184321437074,-0.061672811341789875,3.343643907959261,0.043959492537034905,0.02863000293824026
2019-12-31,SBAC,2019,FY,-0.24493879144474498,0,-0.24493879144474498,0.08520664666639269,0,0.22968730111587254,-0.10587823053919444,0.9261074055531331,0,0.08864208388801924,0.08864208388801924,0,-0.7631205673758865,-0.41100009521062153,0.3780515458446256,0,0.35297164134889314,-0.07176168823597995,-0.4456042509089673,0.21064581231079718,0.050465507986747364,0.7290348908386044,-0.1309697010393118,0.09064419948148375,0,0,-0.3008522917924972,0.3173777001488984,0,0.266310184664979,-0.005338078291814947,-0.08261226609931376,-0.11107529717428039,0,-0.08593402733871452,0.35297164134889314,0,0.29403545968915196,0.30192844204183944
2018-12-31,SBAC,2018,FY,1.0854571623802394,0,1.0854571623802394,0.3387188468521337,0,-0.04165734848638868,0.44048733687045577,-0.009241750481626372,0,-0.07411236555867477,-0.07411236555867477,0,9.976047904191617,0.08508230214718014,-0.03127450191709798,0,-0.014548499666334482,0.029219415611687765,46.0864,0.11270175438596491,0.10294072614806725,0.10869811107340799,3.3250533335723635,-0.03162963423798845,0,0,0.10779234147680483,-0.026571784157817288,0,0.06766704448158185,-0.03436426116838488,-0.17047194714658656,-0.34903547145944236,0,-0.29922081139957696,-0.014548499666334482,0,0.06743509554505436,0.05985845123022823
2017-12-31,SBAC,2017,FY,-0.5292350231676352,0,-0.5292350231676352,0.21892009701467516,0,-0.10595099607386942,-0.20038142655998226,0.007259831036117928,0,-0.01607717305582506,-0.01607717305582506,-1,0,0.11913061485098966,0.0034531990482598,0,-0.005534615460379068,0.17704802259887006,-0.9681100585658774,-0.06789638932496075,-0.030950167164533422,-0.2134341637010676,-0.680684689511785,0.1401816743503592,0,0,0.043985993737182566,0.13638310214313357,0,0.060111259475127674,-0.03801652892561983,-0.20641314409175396,-0.025057809089533853,0,-0.3022128631343625,-0.005534615460379068,-1,0.06097634766829736,0.07096944726874431
2016-12-31,SBAC,2016,FY,0.23780276010471116,-1,0.23044338708998274,-0.10761021344504289,0,1.1699996055693607,0.10413321540345626,0.003494524239016401,0,-0.02101213440120276,-0.02101213440120276,-0.03144963144963145,0,0.17516436361571563,0.0024724249254169384,0,-0.005709681537007908,0.0448256779192031,30.35785,-0.032282567413596655,0.04135636517206926,-0.06822515128906574,2.195097504856038,-0.04387064297745739,0,0,0.06793482592298594,-0.029995587572619532,0,0.02717062748322906,-0.03739061256961018,-0.14816533352019795,0.2626477706181717,0,-0.1698432254252865,-0.005709681537007908,-0.10874971738638933,0.03827618559713774,0.03545019210991656
2015-12-31,SBAC,2015,FY,1.992647618081789,-0.8727698684447648,1.6392469772403984,-0.2537180117011299,0,-0.5172604200384623,-0.10073174910060938,0.007216868416318029,0,-0.1083954324341097,-0.1083954324341097,-0.8153985712665835,0,-0.04838233449443732,-0.0659038302890899,0,-0.05584785346490459,-0.3674593358381368,-0.38461538461538464,0.48171074845244793,-0.19129174406690713,-0.2870988712251049,-0.17423047877964054,0.08865348653647491,0,0,-0.08434040913549111,0.0703569691128551,0,0.07144664296615179,-0.026336173508907823,-0.24610365090977745,-1.7511425534013567,0,-1.5819370460048425,-0.05584785346490459,-0.8218112964305858,0.07521767189314979,0.06554809677503491
