holder,shares,dateReported,change
VANGUARD GROUP INC,42227167,2025-09-30,-844847
Capital Research Global Investors,34041456,2025-09-30,-15252311
"BlackRock, Inc.",27288726,2025-09-30,-14467
PRICE T ROWE ASSOCIATES INC /MD/,14644179,2025-09-30,-1239581
STATE STREET CORP,14290778,2025-09-30,-1101665
CITADEL ADVISORS LLC,8513233,2025-09-30,3241856
"GEODE CAPITAL MANAGEMENT, LLC",8354784,2025-09-30,-469182
Invesco Ltd.,6865559,2025-09-30,-3037060
Bank of New York Mellon Corp,6646825,2025-09-30,-3021938
BARROW HANLEY MEWHINNEY & STRAUSS LLC,5454013,2025-09-30,1660823
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",5167553,2025-09-30,4154753
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",4678631,2025-09-30,-380946
"ARGA Investment Management, LP",4410249,2025-09-30,-5630726
DIMENSIONAL FUND ADVISORS LP,3723494,2025-09-30,187389
MORGAN STANLEY,3038443,2025-09-30,-724609
AQR CAPITAL MANAGEMENT LLC,2819128,2025-09-30,1105630
Neuberger Berman Group LLC,2602785,2025-09-30,-674763
BALYASNY ASSET MANAGEMENT L.P.,2544777,2025-09-30,2505032
NORTHERN TRUST CORP,2476109,2025-09-30,-167574
BANK OF AMERICA CORP /DE/,2102313,2025-09-30,-536775
"JANE STREET GROUP, LLC",2054526,2025-09-30,1698626
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1963293,2025-09-30,-160727
RENAISSANCE TECHNOLOGIES LLC,1941508,2025-09-30,-153571
Legal & General Group Plc,1822120,2025-09-30,16674
AMERIPRISE FINANCIAL INC,1782789,2025-09-30,27559
UBS ASSET MANAGEMENT AMERICAS INC,1755061,2025-09-30,-1061925
UBS Group AG,1738235,2025-09-30,351206
MILLENNIUM MANAGEMENT LLC,1728086,2025-09-30,1551245
FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,1579505,2025-09-30,81414
WORLDQUANT MILLENNIUM ADVISORS LLC,1546163,2025-09-30,1341715
UniSuper Management Pty Ltd,1296543,2025-09-30,-1534
"Nuveen, LLC",1220643,2025-09-30,-1928773
BAMCO INC /NY/,1218229,2025-09-30,36
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",1202136,2025-09-30,-894011
FMR LLC,1177104,2025-09-30,721544
DEUTSCHE BANK AG\,1121168,2025-09-30,-317446
Amundi,1105533,2025-09-30,-294840
JPMORGAN CHASE & CO,1039199,2025-09-30,41805
SCHRODER INVESTMENT MANAGEMENT GROUP,1028808,2025-09-30,1006463
Swiss National Bank,1018200,2025-09-30,-51300
BARCLAYS PLC,1009469,2025-09-30,-187605
ArrowMark Colorado Holdings LLC,1003975,2025-09-30,-5700
GOLDMAN SACHS GROUP INC,945830,2025-09-30,101487
