date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,adjDividend,recordDate,dividend,declarationDate
2025-10-31,219.73,221.47,218.5,220.4,219.48,902005,902005,0.67,0.30492,220.025,"October 31, 25",0.0030492,,,,,
2025-10-30,220.24,223,219.19,221,220.07,1095500,1095500,0.76,0.34508,220.8575,"October 30, 25",0.0034508,,,,,
2025-10-29,227.13,228.25,217.89,219.88,218.96,1077736,1077736,-7.25,-3.19,223.2875,"October 29, 25",-0.0319,,,,,
2025-10-28,230.76,231.92,229.11,229.8,228.84,408200,408200,-0.96,-0.41602,230.3975,"October 28, 25",-0.0041602,,,,,
2025-10-27,233.74,233.74,230.24,231.92,230.95,415101,415101,-1.82,-0.77864,232.41,"October 27, 25",-0.0077864,,,,,
2025-10-24,234.08,235.27,230.65,232.29,231.32,466547,466547,-1.79,-0.7647,233.0725,"October 24, 25",-0.007647,,,,,
2025-10-23,234.15,236.02,230.09,232.1,231.13,381818,381818,-2.05,-0.87551,233.09,"October 23, 25",-0.0087551,,,,,
2025-10-22,231.33,234.77,230.9,232.95,231.97,431700,431700,1.62,0.7003,232.4875,"October 22, 25",0.007003,,,,,
2025-10-21,230.3,233.25,228.49,232.32,231.35,356552,356552,2.02,0.87712,231.09,"October 21, 25",0.0087712,,,,,
2025-10-20,229.07,231.35,228.07,230.68,229.71,378600,378600,1.61,0.70284,229.7925,"October 20, 25",0.0070284,,,,,
2025-10-17,226.91,229.14,225.62,228.99,228.03,533715,533715,2.08,0.91666,227.665,"October 17, 25",0.0091666,,,,,
2025-10-16,232,233.49,225.65,226.38,225.43,865610,865610,-5.62,-2.42,229.38,"October 16, 25",-0.0242,,,,,
2025-10-15,234.22,235.92,231.43,231.49,230.52,739628,739628,-2.73,-1.17,233.265,"October 15, 25",-0.0117,,,,,
2025-10-14,232.83,235.69,232.44,235.01,234.03,429023,429023,2.18,0.93631,233.9925,"October 14, 25",0.0093631,,,,,
2025-10-13,233,234.23,231.74,232.67,231.7,364300,364300,-0.33,-0.14163,232.91,"October 13, 25",-0.0014163,,,,,
2025-10-10,235.12,235.62,232.62,232.85,231.87,490400,490400,-2.27,-0.96546,234.0525,"October 10, 25",-0.0096546,,,,,
2025-10-09,236.29,237.39,233.61,234.12,233.14,471300,471300,-2.17,-0.91836,235.3525,"October 09, 25",-0.0091836,,,,,
2025-10-08,237.54,237.98,235.86,236.6,235.61,405829,405829,-0.94,-0.39572,236.995,"October 08, 25",-0.0039572,,,,,
2025-10-07,235.66,238.73,235.08,236.9,235.91,591700,591700,1.24,0.52618,236.5925,"October 07, 25",0.0052618,,,,,
2025-10-06,234.33,235.54,232.16,235.17,234.18,707800,707800,0.84,0.35847,234.3,"October 06, 25",0.0035847,,,,,
2025-10-03,233.41,235.4,232.53,234.69,233.71,414902,414902,1.28,0.54839,234.0075,"October 03, 25",0.0054839,,,,,
2025-10-02,233.52,235,231.7,233.69,232.71,574118,574118,0.17,0.0727989,233.4775,"October 02, 25",0.000727989,,,,,
2025-10-01,236.68,238.12,234.34,234.6,233.62,609161,609161,-2.08,-0.87882,235.935,"October 01, 25",-0.0087882,,,,,
2025-09-30,236.23,238.23,235.3,238.17,237.17,636840,636840,1.94,0.82123,236.9825,"September 30, 25",0.0082123,,,,,
2025-09-29,236.76,238.58,235.66,237.63,236.63,568008,568008,0.87,0.36746,237.1575,"September 29, 25",0.0036746,,,,,
2025-09-26,235.87,236.98,234.65,236,235.01,603129,603129,0.13,0.05511511,235.875,"September 26, 25",0.0005511511,,,,,
2025-09-25,236.22,237.11,233.8,234.88,233.9,641100,641100,-1.34,-0.56727,235.5025,"September 25, 25",-0.0056727,,,,,
2025-09-24,238.23,239.6,235.71,236.01,235.02,486314,486314,-2.22,-0.93187,237.3875,"September 24, 25",-0.0093187,,,,,
2025-09-23,241.23,241.99,238.46,238.82,237.82,579100,579100,-2.41,-0.99905,240.125,"September 23, 25",-0.0099905,,,,,
2025-09-22,241.46,242.26,240.43,241.6,240.59,639214,639214,0.14,0.05798062,241.4375,"September 22, 25",0.0005798062,,,,,
2025-09-19,243.75,243.83,240.61,241.46,240.45,1989601,1989601,-2.29,-0.93949,242.4125,"September 19, 25",-0.0093949,,,,,
2025-09-18,245.32,247.64,242.42,242.56,241.54,555749,555749,-2.76,-1.13,244.485,"September 18, 25",-0.0113,,,,,
2025-09-17,246,250.26,244.92,245.12,244.09,931500,931500,-0.88,-0.35772,246.575,"September 17, 25",-0.0035772,,,,,
2025-09-16,249.48,250.02,244.91,245.61,244.58,524400,524400,-3.87,-1.55,247.505,"September 16, 25",-0.0155,,,,,
2025-09-15,252.47,253.36,249.67,249.79,248.74,405622,405622,-2.68,-1.06,251.3225,"September 15, 25",-0.0106,,,,,
2025-09-12,253.67,255.74,251.81,252.03,250.97,547705,547705,-1.64,-0.64651,253.3125,"September 12, 25",-0.0064651,,,,,
2025-09-11,251.13,255.66,250.32,254.82,253.75,663200,663200,3.69,1.47,252.9825,"September 11, 25",0.0147,2025-10-02,0.975,2025-09-11,0.975,2025-08-04
2025-09-10,251.2,252.85,247.71,250.11,248.09,566800,566800,-1.09,-0.43392,250.4675,"September 10, 25",-0.0043392,,,,,
2025-09-09,252.9,253.06,250.84,252.37,250.33,491300,491300,-0.53,-0.20957,252.2925,"September 09, 25",-0.0020957,,,,,
2025-09-08,250.54,253.79,249.25,253.43,251.38,593102,593102,2.89,1.15,251.7525,"September 08, 25",0.0115,,,,,
2025-09-05,252.44,253.93,249.24,251.02,248.99,542025,542025,-1.42,-0.56251,251.6575,"September 05, 25",-0.0056251,,,,,
2025-09-04,250.31,252.11,249.15,252.02,249.98,655440,655440,1.71,0.68315,250.8975,"September 04, 25",0.0068315,,,,,
2025-09-03,250.8,252.16,247.52,249.82,247.8,523915,523915,-0.98,-0.39075,250.075,"September 03, 25",-0.0039075,,,,,
2025-09-02,254.84,256.67,251.23,251.96,249.92,706300,706300,-2.88,-1.13,253.675,"September 02, 25",-0.0113,,,,,
2025-08-29,257.75,258.7,255.61,255.62,253.55,817511,817511,-2.13,-0.82638,256.92,"August 29, 25",-0.0082638,,,,,
2025-08-28,258.4,258.5,256.27,257.07,254.99,542200,542200,-1.33,-0.51471,257.56,"August 28, 25",-0.0051471,,,,,
2025-08-27,257.53,259.02,256.34,258.15,256.06,459040,459040,0.62,0.24075,257.76,"August 27, 25",0.0024075,,,,,
2025-08-26,256.86,257.3,255.36,257.29,255.21,1292400,1292400,0.43,0.16741,256.7025,"August 26, 25",0.0016741,,,,,
2025-08-25,262.03,263,256.04,256.69,254.62,580504,580504,-5.34,-2.04,259.44,"August 25, 25",-0.0204,,,,,
2025-08-22,261.45,264.1,260.81,262.18,260.06,651200,651200,0.73,0.27921,262.135,"August 22, 25",0.0027921,,,,,
2025-08-21,260.82,261.62,259.52,260.83,258.72,529615,529615,0.01,0.00383406,260.6975,"August 21, 25",3.83406e-05,,,,,
2025-08-20,263.74,265.37,261.79,261.86,259.74,866057,866057,-1.88,-0.71282,263.19,"August 20, 25",-0.0071282,,,,,
2025-08-19,260.14,263.44,260.14,262.92,260.8,467800,467800,2.78,1.07,261.66,"August 19, 25",0.0107,,,,,
2025-08-18,260.6,261.76,259.97,260.06,257.96,609321,609321,-0.54,-0.20721,260.5975,"August 18, 25",-0.0020721,,,,,
2025-08-15,259.3,260.75,256.95,260.6,258.49,803800,803800,1.3,0.50135,259.4,"August 15, 25",0.0050135,,,,,
2025-08-14,261.23,261.23,258.62,259.23,257.14,644803,644803,-2,-0.76561,260.0775,"August 14, 25",-0.0076561,,,,,
2025-08-13,263.45,263.99,260.15,261.68,259.57,800605,800605,-1.77,-0.67185,262.3175,"August 13, 25",-0.0067185,,,,,
2025-08-12,263.17,264.15,260.96,262.5,260.38,679400,679400,-0.67,-0.25459,262.695,"August 12, 25",-0.0025459,,,,,
2025-08-11,266.35,266.37,262.6,263.47,261.34,644300,644300,-2.88,-1.08,264.6975,"August 11, 25",-0.0108,,,,,
2025-08-08,267.04,268.17,264.73,265.94,263.79,536111,536111,-1.1,-0.41192,266.47,"August 08, 25",-0.0041192,,,,,
2025-08-07,267.89,271.91,263.28,266.48,264.33,1263400,1263400,-1.41,-0.52634,267.39,"August 07, 25",-0.0052634,,,,,
2025-08-06,267.02,267.81,262.62,266.89,264.73,1028600,1028600,-0.13,-0.04868549,266.085,"August 06, 25",-0.0004868549,,,,,
2025-08-05,250.9,269.14,250.9,265.33,263.19,1608603,1608603,14.43,5.75,259.0675,"August 05, 25",0.0575,,,,,
2025-08-04,244.98,249.13,243.76,248.46,246.45,968600,968600,3.48,1.42,246.5825,"August 04, 25",0.0142,,,,,
2025-08-01,247.06,247.06,242.42,244.65,242.67,534600,534600,-2.41,-0.97547,245.2975,"August 01, 25",-0.0097547,,,,,
2025-07-31,246.43,249.22,244.54,247.51,245.51,1340912,1340912,1.08,0.43826,246.925,"July 31, 25",0.0043826,,,,,
2025-07-30,247.42,249.6,245.81,246.68,244.69,497400,497400,-0.74,-0.29909,247.3775,"July 30, 25",-0.0029909,,,,,
2025-07-29,253.68,253.8,246.1,247.97,245.97,970500,970500,-5.71,-2.25,250.3875,"July 29, 25",-0.0225,,,,,
2025-07-28,252.35,256.11,250.58,252.47,250.43,2012707,2012707,0.12,0.047553,252.8775,"July 28, 25",0.00047553,,,,,
2025-07-25,252.44,257.65,251,253.69,251.64,1815742,1815742,1.25,0.49517,253.695,"July 25, 25",0.0049517,,,,,
2025-07-24,243.12,254.97,241.32,252.99,250.95,2123545,2123545,9.87,4.06,248.1,"July 24, 25",0.0406,,,,,
2025-07-23,244.08,246,241.73,242.64,240.68,807800,807800,-1.44,-0.58997,243.6125,"July 23, 25",-0.0058997,,,,,
2025-07-22,241.9,245.33,241.19,244.1,242.13,567307,567307,2.2,0.90947,243.13,"July 22, 25",0.0090947,,,,,
2025-07-21,239.31,243.81,239.31,241.72,239.77,536200,536200,2.41,1.01,241.0375,"July 21, 25",0.0101,,,,,
2025-07-18,237.91,239.36,236.48,239.11,237.18,494800,494800,1.2,0.50439,238.215,"July 18, 25",0.0050439,,,,,
2025-07-17,234.39,237.71,234.21,237.19,235.27,356400,356400,2.8,1.19,235.875,"July 17, 25",0.0119,,,,,
2025-07-16,234.62,235.8,231.97,234.86,232.96,428527,428527,0.24,0.10229,234.3125,"July 16, 25",0.0010229,,,,,
2025-07-15,235.59,236.39,233.49,233.75,231.86,509618,509618,-1.84,-0.78102,234.805,"July 15, 25",-0.0078102,,,,,
2025-07-14,234.64,237.21,232.56,236.02,234.11,313200,313200,1.38,0.58814,235.1075,"July 14, 25",0.0058814,,,,,
2025-07-11,237.95,237.95,233.87,235.18,233.28,639405,639405,-2.77,-1.16,236.2375,"July 11, 25",-0.0116,,,,,
2025-07-10,238.05,240.47,237.13,238.59,236.66,501518,501518,0.54,0.22684,238.56,"July 10, 25",0.0022684,,,,,
2025-07-09,237.64,238.78,236.4,238.76,236.83,450800,450800,1.12,0.4713,237.895,"July 09, 25",0.004713,,,,,
2025-07-08,239.98,240.74,237.01,237.53,235.61,377300,377300,-2.45,-1.02,238.815,"July 08, 25",-0.0102,,,,,
2025-07-07,241.92,242.38,239.08,240.56,238.62,384880,384880,-1.36,-0.56217,240.985,"July 07, 25",-0.0056217,,,,,
2025-07-03,240.87,242.24,238.66,242.13,240.17,321244,321244,1.26,0.5231,240.975,"July 03, 25",0.005231,,,,,
2025-07-02,242.84,243.4,232.88,238.02,236.1,867800,867800,-4.82,-1.98,239.285,"July 02, 25",-0.0198,,,,,
2025-07-01,241.91,245.38,241.91,244.73,242.75,523135,523135,2.82,1.17,243.4825,"July 01, 25",0.0117,,,,,
2025-06-30,239.8,243.13,238.09,243.03,241.07,520042,520042,3.23,1.35,241.0125,"June 30, 25",0.0135,,,,,
2025-06-27,239.6,241.4,237.58,239.45,237.52,527705,527705,-0.15,-0.06260434,239.5075,"June 27, 25",-0.0006260434,,,,,
2025-06-26,238.78,239.58,236.97,239.17,237.24,395500,395500,0.39,0.16333,238.625,"June 26, 25",0.0016333,,,,,
2025-06-25,245.72,246.67,237,238.16,236.24,548400,548400,-7.56,-3.08,241.8875,"June 25, 25",-0.0308,,,,,
2025-06-24,242.09,243.69,239.44,241.8,239.85,437911,437911,-0.29,-0.11979,241.755,"June 24, 25",-0.0011979,,,,,
2025-06-23,236.86,240.5,236.27,240.36,238.42,339200,339200,3.5,1.48,238.4975,"June 23, 25",0.0148,,,,,
2025-06-20,238.74,239.04,235.65,236.5,234.59,739310,739310,-2.24,-0.93826,237.4825,"June 20, 25",-0.0093826,,,,,
2025-06-18,238.74,240.44,237.56,237.79,235.87,487845,487845,-0.95,-0.39792,238.6325,"June 18, 25",-0.0039792,,,,,
2025-06-17,237.62,239.71,237.38,238.76,236.83,456126,456126,1.14,0.47976,238.3675,"June 17, 25",0.0047976,,,,,
2025-06-16,237.55,240.83,237.55,238.99,237.06,332330,332330,1.44,0.60619,238.73,"June 16, 25",0.0060619,,,,,
2025-06-13,238.16,239.88,236.42,237.18,235.26,368038,368038,-0.98,-0.41149,237.91,"June 13, 25",-0.0041149,,,,,
2025-06-12,240.69,240.69,238.87,239.83,237.89,388450,388450,-0.86,-0.35731,240.02,"June 12, 25",-0.0035731,2025-07-02,0.88,2025-06-12,0.88,2025-05-13
2025-06-11,242.84,243.12,240.1,241.18,238.36,475200,475200,-1.66,-0.68358,241.81,"June 11, 25",-0.0068358,,,,,
2025-06-10,243.81,244.9,241.56,243.01,240.17,369801,369801,-0.8,-0.32812,243.32,"June 10, 25",-0.0032812,,,,,
2025-06-09,244.81,245.14,240.9,243.71,240.86,405600,405600,-1.1,-0.44933,243.64,"June 09, 25",-0.0044933,,,,,
2025-06-06,246.03,246.66,244.87,245.35,242.48,309800,309800,-0.68,-0.27639,245.7275,"June 06, 25",-0.0027639,,,,,
2025-06-05,244.5,245.57,243.37,244.89,242.03,380847,380847,0.39,0.15951,244.5825,"June 05, 25",0.0015951,,,,,
2025-06-04,244.51,245.56,242.76,244.12,241.27,435025,435025,-0.39,-0.1595,244.2375,"June 04, 25",-0.001595,,,,,
2025-06-03,241.18,244.23,239.98,244.01,241.16,554800,554800,2.83,1.17,242.35,"June 03, 25",0.0117,,,,,
2025-06-02,241.11,242.42,238.56,242.39,239.56,583905,583905,1.28,0.53088,241.12,"June 02, 25",0.0053088,,,,,
2025-05-30,239.77,242.94,238.64,242.83,239.99,1379327,1379327,3.06,1.28,241.045,"May 30, 25",0.0128,,,,,
2025-05-29,240.06,240.86,238.03,239.72,236.92,453314,453314,-0.34,-0.14163,239.6675,"May 29, 25",-0.0014163,,,,,
2025-05-28,239.17,241,239.04,240.25,237.44,385510,385510,1.08,0.45156,239.865,"May 28, 25",0.0045156,,,,,
2025-05-27,239.83,240.49,238.31,239.99,237.18,573500,573500,0.16,0.06671392,239.655,"May 27, 25",0.0006671392,,,,,
2025-05-23,236.52,238.23,235.15,236.97,234.2,389858,389858,0.45,0.19026,236.7175,"May 23, 25",0.0019026,,,,,
2025-05-22,238.28,238.95,236.88,238.04,235.26,394700,394700,-0.24,-0.10072,238.0375,"May 22, 25",-0.0010072,,,,,
2025-05-21,240.53,241.84,237.48,239.09,236.3,747600,747600,-1.44,-0.59868,239.735,"May 21, 25",-0.0059868,,,,,
2025-05-20,241.41,242.84,241.12,242.68,239.84,374400,374400,1.27,0.52608,242.0125,"May 20, 25",0.0052608,,,,,
2025-05-19,240.32,242.98,240.17,242.79,239.95,435420,435420,2.47,1.03,241.565,"May 19, 25",0.0103,,,,,
2025-05-16,240.5,241.98,239.32,241.21,238.39,476437,476437,0.71,0.29522,240.7525,"May 16, 25",0.0029522,,,,,
2025-05-15,238.22,241,238.22,240.32,237.51,393142,393142,2.1,0.88154,239.44,"May 15, 25",0.0088154,,,,,
2025-05-14,236.82,237.86,234.97,237.49,234.71,511500,511500,0.67,0.28292,236.785,"May 14, 25",0.0028292,,,,,
2025-05-13,238.14,239.22,237.01,237.31,234.54,618025,618025,-0.83,-0.34853,237.92,"May 13, 25",-0.0034853,,,,,
2025-05-12,241.44,241.44,233.14,237.05,234.28,703319,703319,-4.38,-1.82,238.2675,"May 12, 25",-0.0182,,,,,
2025-05-09,236.04,237.56,234.39,237,234.23,400600,400600,0.96,0.40671,236.2475,"May 09, 25",0.0040671,,,,,
2025-05-08,237.32,240.5,235.92,236,233.24,571912,571912,-1.32,-0.55621,237.435,"May 08, 25",-0.0055621,,,,,
2025-05-07,234.07,237.2,234.07,236.19,233.43,602538,602538,2.12,0.90571,235.3825,"May 07, 25",0.0090571,,,,,
2025-05-06,232.23,234.44,231.2,233.57,230.84,533000,533000,1.34,0.57701,232.86,"May 06, 25",0.0057701,,,,,
2025-05-05,232.27,234.21,230.91,232.18,229.47,741202,741202,-0.09,-0.03874801,232.3925,"May 05, 25",-0.0003874801,,,,,
2025-05-02,231.25,234.57,230.66,232.91,230.19,599949,599949,1.66,0.71784,232.3475,"May 02, 25",0.0071784,,,,,
2025-05-01,237.18,237.18,224.2,228.01,225.34,1048794,1048794,-9.17,-3.87,231.6425,"May 01, 25",-0.0387,,,,,
2025-04-30,238.56,242.78,235.38,242.4,239.57,781000,781000,3.84,1.61,239.78,"April 30, 25",0.0161,,,,,
2025-04-29,236.76,240.7,236.51,239.68,236.88,621442,621442,2.92,1.23,238.4125,"April 29, 25",0.0123,,,,,
2025-04-28,238.18,239.15,234.87,237.18,234.41,658642,658642,-1,-0.41985,237.345,"April 28, 25",-0.0041985,,,,,
2025-04-25,237.48,239.58,235.69,237.72,234.94,350806,350806,0.24,0.10106,237.6175,"April 25, 25",0.0010106,,,,,
2025-04-24,234.26,238.77,233.11,238.13,235.35,334241,334241,3.87,1.65,236.0675,"April 24, 25",0.0165,,,,,
2025-04-23,238.28,240.95,235.43,236.26,233.5,442817,442817,-2.02,-0.84774,237.73,"April 23, 25",-0.0084774,,,,,
2025-04-22,230.69,235.37,230.43,235,232.25,384500,384500,4.31,1.87,232.8725,"April 22, 25",0.0187,,,,,
2025-04-21,234.67,234.67,225.12,228.08,225.41,352740,352740,-6.59,-2.81,230.635,"April 21, 25",-0.0281,,,,,
2025-04-17,236.01,238.72,234.88,235.85,233.09,533700,533700,-0.16,-0.06779374,236.365,"April 17, 25",-0.0006779374,,,,,
2025-04-16,235.74,236.91,232.92,235.29,232.54,476004,476004,-0.45,-0.19089,235.215,"April 16, 25",-0.0019089,,,,,
2025-04-15,236.98,237.61,235.28,235.76,233,461800,461800,-1.22,-0.51481,236.4075,"April 15, 25",-0.0051481,,,,,
2025-04-14,233.07,237.83,232.49,236.53,233.76,341639,341639,3.46,1.48,234.98,"April 14, 25",0.0148,,,,,
2025-04-11,226.84,232.56,223.86,231.6,228.89,575000,575000,4.76,2.1,228.715,"April 11, 25",0.021,,,,,
2025-04-10,228.28,231.56,221.95,228.38,225.71,812000,812000,0.1,0.04380585,227.5425,"April 10, 25",0.0004380585,,,,,
2025-04-09,215.29,234.07,215.29,232.29,229.57,617314,617314,17,7.9,224.235,"April 09, 25",0.079,,,,,
2025-04-08,226.17,227.41,214.01,217.22,214.68,794819,794819,-8.95,-3.96,221.2025,"April 08, 25",-0.0396,,,,,
2025-04-07,220.69,227.11,212.33,220.24,217.67,945900,945900,-0.45,-0.20391,220.0925,"April 07, 25",-0.0020391,,,,,
2025-04-04,235.48,236.13,224.7,225.04,222.41,740704,740704,-10.44,-4.43,230.3375,"April 04, 25",-0.0443,,,,,
2025-04-03,240.95,246.22,239.06,239.91,237.11,825733,825733,-1.04,-0.43162,241.535,"April 03, 25",-0.0043162,,,,,
2025-04-02,242.63,247.01,242.07,246.25,243.37,534803,534803,3.62,1.49,244.49,"April 02, 25",0.0149,,,,,
2025-04-01,242.31,244.95,238.98,244.72,241.86,658700,658700,2.41,0.99459,242.74,"April 01, 25",0.0099459,,,,,
2025-03-31,237.08,243.81,236.42,242.46,239.63,794900,794900,5.38,2.27,239.9425,"March 31, 25",0.0227,,,,,
2025-03-28,238.99,238.99,236.02,237.51,234.73,420600,420600,-1.48,-0.61927,237.8775,"March 28, 25",-0.0061927,,,,,
2025-03-27,238.4,241.74,237.15,238.89,236.1,445122,445122,0.49,0.20554,239.045,"March 27, 25",0.0020554,,,,,
2025-03-26,237.59,240.55,236.14,238.19,235.41,395900,395900,0.6,0.25254,238.1175,"March 26, 25",0.0025254,,,,,
2025-03-25,236.45,239.11,234.9,236.94,234.17,482804,482804,0.49,0.20723,236.85,"March 25, 25",0.0020723,,,,,
2025-03-24,234.99,238.25,234.23,235.82,233.06,472830,472830,0.83,0.35321,235.8225,"March 24, 25",0.0035321,,,,,
2025-03-21,232.38,234.21,230.96,232.9,230.18,1115423,1115423,0.52,0.22377,232.6125,"March 21, 25",0.0022377,,,,,
2025-03-20,234.36,234.66,231.69,233.81,231.08,362248,362248,-0.55,-0.23468,233.63,"March 20, 25",-0.0023468,,,,,
2025-03-19,232.14,236.69,231.5,235.37,232.62,518736,518736,3.23,1.39,233.925,"March 19, 25",0.0139,,,,,
2025-03-18,230.77,231.53,228.82,231.23,228.53,471722,471722,0.46,0.19933,230.5875,"March 18, 25",0.0019933,,,,,
2025-03-17,227.16,231.82,227.16,231.47,228.76,765512,765512,4.31,1.9,229.4025,"March 17, 25",0.019,,,,,
2025-03-14,226.55,228.55,225.29,227.65,224.99,297700,297700,1.1,0.48554,227.01,"March 14, 25",0.0048554,,,,,
2025-03-13,223.59,226.09,222.55,225.57,222.93,494234,494234,1.98,0.88555,224.45,"March 13, 25",0.0088555,2025-04-03,0.88,2025-03-13,0.88,2025-02-04
2025-03-12,227.8,228.03,222.91,225.11,221.61,601535,601535,-2.69,-1.18,225.9625,"March 12, 25",-0.0118,,,,,
2025-03-11,233.51,233.51,226.19,226.33,222.81,886700,886700,-7.18,-3.07,229.885,"March 11, 25",-0.0307,,,,,
