date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,adjDividend,recordDate,dividend,declarationDate
2026-01-02,223.17,224.4,219.23,220.47,220.47,544270,544270,-2.7,-1.21,221.8175,"January 02, 26",-0.0121,,,,,
2025-12-31,224.97,225.36,223.04,223.17,223.17,291400,291400,-1.8,-0.80011,224.135,"December 31, 25",-0.0080011,,,,,
2025-12-30,226.37,227.08,225.09,225.24,225.24,332200,332200,-1.13,-0.49918,225.945,"December 30, 25",-0.0049918,,,,,
2025-12-29,228.41,229.77,227.02,227.38,227.38,310200,310200,-1.03,-0.45094,228.145,"December 29, 25",-0.0045094,,,,,
2025-12-26,228.56,228.84,227.46,228.19,228.19,233700,233700,-0.37,-0.16188,228.2625,"December 26, 25",-0.0016188,,,,,
2025-12-24,226.3,228.84,226.3,228.38,228.38,146734,146734,2.08,0.91913,227.455,"December 24, 25",0.0091913,,,,,
2025-12-23,228.26,228.31,226.31,227.36,227.36,396000,396000,-0.9,-0.39429,227.56,"December 23, 25",-0.0039429,,,,,
2025-12-22,226.17,228.71,225.81,228.22,228.22,490000,490000,2.05,0.9064,227.2275,"December 22, 25",0.009064,,,,,
2025-12-19,226.05,227.92,224.75,225.96,225.96,2439600,2439600,-0.09,-0.0398142,226.17,"December 19, 25",-0.000398142,,,,,
2025-12-18,230.21,230.92,225.57,226.61,226.61,786138,786138,-3.6,-1.56,228.3275,"December 18, 25",-0.0156,,,,,
2025-12-17,227.33,231.44,227.19,228.77,228.77,1097100,1097100,1.44,0.63344,228.6825,"December 17, 25",0.0063344,,,,,
2025-12-16,230.33,230.81,227.25,227.47,227.47,784200,784200,-2.86,-1.24,228.965,"December 16, 25",-0.0124,,,,,
2025-12-15,230.16,231.12,226.9,229.23,229.23,637446,637446,-0.93,-0.40407,229.3525,"December 15, 25",-0.0040407,,,,,
2025-12-12,231.5,232.89,229.54,230.05,230.05,590905,590905,-1.45,-0.62635,230.995,"December 12, 25",-0.0062635,2026-01-05,0.975,2025-12-12,0.975,2025-11-13
2025-12-11,228.33,232.34,227.77,231.5,230.53,590123,590123,3.17,1.39,229.985,"December 11, 25",0.0139,,,,,
2025-12-10,225.72,227.41,224.46,226.91,225.95,665715,665715,1.19,0.5272,226.125,"December 10, 25",0.005272,,,,,
2025-12-09,227.75,228.29,224.85,225.32,224.37,647200,647200,-2.43,-1.07,226.5525,"December 09, 25",-0.0107,,,,,
2025-12-08,231.25,231.25,226.18,227.54,226.58,654021,654021,-3.71,-1.6,229.055,"December 08, 25",-0.016,,,,,
2025-12-05,230.45,233.1,229.46,232.02,231.04,748649,748649,1.57,0.68128,231.2575,"December 05, 25",0.0068128,,,,,
2025-12-04,230.86,232.5,229.19,230.88,229.91,584625,584625,0.02,0.00866326,230.8575,"December 04, 25",8.66326e-05,,,,,
2025-12-03,227.26,230.58,227.26,230.46,229.49,741100,741100,3.2,1.41,228.89,"December 03, 25",0.0141,,,,,
2025-12-02,227.19,229.58,224.98,227.61,226.65,749139,749139,0.42,0.18487,227.34,"December 02, 25",0.0018487,,,,,
2025-12-01,227.06,229,226.32,226.55,225.6,669217,669217,-0.51,-0.22461,227.2325,"December 01, 25",-0.0022461,,,,,
2025-11-28,228.69,229.25,226.22,228.09,227.13,222732,222732,-0.6,-0.26236,228.0625,"November 28, 25",-0.0026236,,,,,
2025-11-26,227.15,229.58,227.15,227.59,226.63,566100,566100,0.44,0.1937,227.8675,"November 26, 25",0.001937,,,,,
2025-11-25,227.37,229.5,227.37,228.22,227.26,432630,432630,0.85,0.37384,228.115,"November 25, 25",0.0037384,,,,,
2025-11-24,228.4,230.22,226.22,226.23,225.28,1140400,1140400,-2.17,-0.95009,227.7675,"November 24, 25",-0.0095009,,,,,
2025-11-21,228.13,230.76,227.39,228.39,227.43,914600,914600,0.26,0.11397,228.6675,"November 21, 25",0.0011397,,,,,
2025-11-20,227.27,229.23,225.55,227.12,226.16,999557,999557,-0.15,-0.06600079,227.2925,"November 20, 25",-0.0006600079,,,,,
2025-11-19,224.61,227.43,221.31,226.33,225.38,961000,961000,1.72,0.76577,224.92,"November 19, 25",0.0076577,,,,,
2025-11-18,224.89,226.68,224.46,224.94,223.99,726635,726635,0.05,0.02223309,225.2425,"November 18, 25",0.0002223309,,,,,
2025-11-17,225.92,227.84,224.6,224.77,223.82,796737,796737,-1.14,-0.50903,225.7825,"November 17, 25",-0.0050903,,,,,
2025-11-14,225.6,228.53,224.74,226.06,225.11,1257100,1257100,0.46,0.2039,226.2325,"November 14, 25",0.002039,,,,,
2025-11-13,222.22,226.53,220.43,225.61,224.66,675603,675603,3.39,1.53,223.6975,"November 13, 25",0.0153,,,,,
2025-11-12,224.15,228.41,222.66,223.66,222.72,704800,704800,-0.49,-0.2186,224.72,"November 12, 25",-0.002186,,,,,
2025-11-11,223.79,225.32,222.3,222.87,221.94,811907,811907,-0.92,-0.4111,223.57,"November 11, 25",-0.004111,,,,,
2025-11-10,220.64,224.59,220.42,223.16,222.22,797300,797300,2.52,1.14,222.2025,"November 10, 25",0.0114,,,,,
2025-11-07,218.19,222.13,217.16,221.72,220.79,646729,646729,3.53,1.62,219.8,"November 07, 25",0.0162,,,,,
2025-11-06,217.53,220.6,215.08,217.49,216.58,780625,780625,-0.04,-0.01838827,217.675,"November 06, 25",-0.0001838827,,,,,
2025-11-05,221.35,223.49,217.93,218.58,217.66,821452,821452,-2.77,-1.25,220.3375,"November 05, 25",-0.0125,,,,,
2025-11-04,225.77,226.93,218.79,222.86,221.93,919700,919700,-2.91,-1.29,223.5875,"November 04, 25",-0.0129,,,,,
2025-11-03,219.27,222.48,217.83,221.18,220.25,1049012,1049012,1.91,0.87107,220.19,"November 03, 25",0.0087107,,,,,
