date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2024-01-10,92.5,96.24,92.3,96.22,96.22,1353468,1353468,3.72,4.02,94.315,"January 10, 24",0.0402,,,,,
2024-01-09,92.88,94.34,92.2,92.83,92.83,1525640,1525640,-0.05,-0.0538329,93.0625,"January 09, 24",-0.000538329,,,,,
2024-01-08,91.38,93.42,91.38,93.39,93.39,747792,747792,2.02,2.2,92.3925,"January 08, 24",0.022,,,,,
2024-01-05,91.44,92.09,91.12,91.48,91.48,676804,676804,0.0475,0.04374453,91.5325,"January 05, 24",0.0004374453,,,,,
2024-01-04,90.81,91.94,90.72,91.5,91.5,641516,641516,0.6825,0.75983,91.2425,"January 04, 24",0.0075983,,,,,
2024-01-03,92.89,92.89,90.61,90.97,90.97,1133832,1133832,-1.92,-2.07,91.84,"January 03, 24",-0.0207,,,,,
2024-01-02,93.52,95.24,92.98,93.27,93.27,726520,726520,-0.2475,-0.26732,93.7525,"January 02, 24",-0.0026732,,,,,
2023-12-29,94.42,95.13,94.03,94.61,94.61,597520,597520,0.1925,0.20123,94.5475,"December 29, 23",0.0020123,,,,,
2023-12-28,94.9,95.63,94.73,94.89,94.89,599840,599840,-0.0125,-0.01053741,95.0375,"December 28, 23",-0.0001053741,,,,,
2023-12-27,94.24,95.28,93.85,95,95,738444,738444,0.76,0.80645,94.5925,"December 27, 23",0.0080645,,,,,
2023-12-26,93.55,94.61,92.65,94.24,94.24,630620,630620,0.6925,0.73757,93.7625,"December 26, 23",0.0073757,,,,,
2023-12-22,92.79,93.81,92.19,93.35,93.35,824820,824820,0.5575,0.60351,93.035,"December 22, 23",0.0060351,,,,,
2023-12-21,90.99,92.36,90.99,92.12,92.12,499428,499428,1.13,1.24,91.615,"December 21, 23",0.0124,,,,,
2023-12-20,91.42,91.84,90.05,90.09,90.09,788556,788556,-1.34,-1.45,90.85,"December 20, 23",-0.0145,,,,,
2023-12-19,91.45,92.99,90.82,91.35,91.35,1513636,1513636,-0.095,-0.10935,91.6525,"December 19, 23",-0.0010935,,,,,
2023-12-18,90.86,92.29,90.31,91.42,91.42,1183212,1183212,0.5575,0.61633,91.22,"December 18, 23",0.0061633,,,,,
2023-12-15,91.29,91.51,90.49,90.8,90.8,2451620,2451620,-0.485,-0.53675,91.0225,"December 15, 23",-0.0053675,,,,,
2023-12-14,89.59,94.57,89.07,91.81,91.81,2863508,2863508,2.22,2.48,91.26,"December 14, 23",0.0248,,,,,
2023-12-13,85.22,89.26,84.79,88.9,88.9,1492336,1492336,3.69,4.32,87.0425,"December 13, 23",0.0432,,,,,
2023-12-12,85.26,85.78,84.26,85.07,85.07,1039008,1039008,-0.1925,-0.22285,85.0925,"December 12, 23",-0.0022285,,,,,
2023-12-11,83.74,84.85,83.45,84.84,84.84,1359240,1359240,1.1,1.31,84.22,"December 11, 23",0.0131,,,,,
2023-12-08,86,86.5,82.69,83.75,83.75,2311204,2311204,-2.25,-2.62,84.735,"December 08, 23",-0.0262,,,,,
2023-12-07,85.7,86.49,85.36,86.24,86.24,1072288,1072288,0.535,0.63011,85.9475,"December 07, 23",0.0063011,,,,,
2023-12-06,84.53,86.23,84.25,85.64,85.64,1428700,1428700,1.11,1.31,85.1625,"December 06, 23",0.0131,,,,,
2023-12-05,84.29,84.39,82.55,83.82,83.82,892228,892228,-0.465,-0.5576,83.7625,"December 05, 23",-0.005576,,,,,
2023-12-04,84.61,85.09,84.14,84.58,84.58,1087388,1087388,-0.03,-0.0354568,84.605,"December 04, 23",-0.000354568,,,,,
2023-12-01,84.15,85.37,83.48,85.27,85.27,871200,871200,1.12,1.33,84.71,"December 01, 23",0.0133,,,,,
2023-11-30,82.97,84.38,82.21,84.23,84.23,1850800,1850800,1.26,1.52,83.61,"November 30, 23",0.0152,,,,,
2023-11-29,83.74,84.38,82.55,82.9,82.9,1398800,1398800,-0.84,-1,83.27,"November 29, 23",-0.01,,,,,
2023-11-28,83.7,84.31,83.2,83.58,83.58,975200,975200,-0.12,-0.14337,83.69,"November 28, 23",-0.0014337,,,,,
2023-11-27,84.15,84.69,83.66,83.76,83.76,1437600,1437600,-0.39,-0.46346,84.04,"November 27, 23",-0.0046346,,,,,
2023-11-24,84.54,84.99,84.13,84.83,84.83,288400,288400,0.29,0.34303,84.65,"November 24, 23",0.0034303,,,,,
2023-11-22,84.98,85.72,84.54,84.76,84.76,709200,709200,-0.22,-0.25888,85.01,"November 22, 23",-0.0025888,,,,,
2023-11-21,84.71,86.24,84.13,84.35,84.35,1015200,1015200,-0.36,-0.42498,84.91,"November 21, 23",-0.0042498,,,,,
2023-11-20,83.75,84.67,83.6,84.5,84.5,1434000,1434000,0.75,0.89552,84.26,"November 20, 23",0.0089552,,,,,
2023-11-17,86.02,86.02,83.71,84.28,84.28,1393600,1393600,-1.74,-2.02,84.67,"November 17, 23",-0.0202,,,,,
2023-11-16,86.17,86.78,85.03,85.14,85.14,870400,870400,-1.03,-1.2,85.65,"November 16, 23",-0.012,,,,,
2023-11-15,85.38,86.5,84.77,85.38,85.38,1195200,1195200,0,0,85.55,"November 15, 23",0,,,,,
2023-11-14,84.04,86.08,84.04,85.74,85.74,878000,878000,1.7,2.02,85.29,"November 14, 23",0.0202,,,,,
2023-11-13,82.49,83.15,81.99,82.64,82.64,650800,650800,0.15,0.18184,82.6,"November 13, 23",0.0018184,,,,,
2023-11-10,81.7,84.75,80.48,82.32,82.32,716000,716000,0.62,0.75887,82.52,"November 10, 23",0.0075887,,,,,
2023-11-09,83.39,83.39,80.99,81.42,81.42,1022400,1022400,-1.97,-2.36,81.93,"November 09, 23",-0.0236,,,,,
2023-11-08,83.84,84.92,82.65,83.17,83.17,693200,693200,-0.67,-0.79914,83.58,"November 08, 23",-0.0079914,,,,,
2023-11-07,83.44,83.58,82.82,83.44,83.44,810000,810000,0,0,83.28,"November 07, 23",0,,,,,
2023-11-06,83.53,84.12,82.91,83.63,83.63,1180000,1180000,0.1,0.11972,83.55,"November 06, 23",0.0011972,,,,,
2023-11-03,82.75,84.38,82.34,83.66,83.66,1120000,1120000,0.91,1.1,83.46,"November 03, 23",0.011,,,,,
2023-11-02,79.26,82.17,78.63,81.84,81.84,1212000,1212000,2.58,3.26,80.88,"November 02, 23",0.0326,,,,,
2023-11-01,78.01,79.44,77.59,79.23,79.23,837600,837600,1.22,1.56,78.76,"November 01, 23",0.0156,,,,,
2023-10-31,77.8,78.14,77.01,77.94,77.94,1283200,1283200,0.14,0.17995,77.7,"October 31, 23",0.0017995,,,,,
2023-10-30,77.6,77.66,75.93,77.39,77.39,1140000,1140000,-0.21,-0.27062,76.99,"October 30, 23",-0.0027062,,,,,
2023-10-27,77.34,78.14,76.36,76.72,76.72,703600,703600,-0.62,-0.80166,77.08,"October 27, 23",-0.0080166,,,,,
2023-10-26,78.57,78.69,76.89,76.96,76.96,1004000,1004000,-1.61,-2.05,77.51,"October 26, 23",-0.0205,,,,,
2023-10-25,80,80,78.42,78.81,78.81,767600,767600,-1.19,-1.49,79.07,"October 25, 23",-0.0149,,,,,
2023-10-24,80.26,81.22,80.25,80.38,80.38,875200,875200,0.12,0.14951,80.62,"October 24, 23",0.0014951,,,,,
2023-10-23,81.11,81.75,80.54,80.6,80.6,866000,866000,-0.51,-0.62878,80.97,"October 23, 23",-0.0062878,,,,,
2023-10-20,81.33,81.99,81.1,81.12,81.12,760400,760400,-0.21,-0.25821,81.4,"October 20, 23",-0.0025821,,,,,
2023-10-19,81.63,82.91,80.78,80.95,80.95,948000,948000,-0.68,-0.83303,81.55,"October 19, 23",-0.0083303,,,,,
2023-10-18,82.58,83.18,81.63,81.71,81.71,1090400,1090400,-0.87,-1.05,82.17,"October 18, 23",-0.0105,,,,,
2023-10-17,82.15,83.3,81.28,82.51,82.51,1249200,1249200,0.36,0.43822,82.36,"October 17, 23",0.0043822,,,,,
2023-10-16,82.17,83.07,80.66,82.9,82.9,1686400,1686400,0.73,0.8884,82.21,"October 16, 23",0.008884,,,,,
2023-10-13,77.99,81.51,77.6,81.39,81.39,2200800,2200800,3.4,4.36,80.17,"October 13, 23",0.0436,,,,,
2023-10-12,77.69,78.99,77.13,77.69,77.69,2189200,2189200,0,0,77.94,"October 12, 23",0,,,,,
2023-10-11,78.87,78.87,76.83,77.69,77.69,1151600,1151600,-1.18,-1.5,77.8,"October 11, 23",-0.015,,,,,
2023-10-10,78,79.25,77.54,79.03,79.03,1206800,1206800,1.03,1.32,78.61,"October 10, 23",0.0132,,,,,
2023-10-09,77.9,78.69,77.14,77.7,77.7,1934800,1934800,-0.2,-0.25674,77.85,"October 09, 23",-0.0025674,,,,,
2023-10-06,77.36,78.97,76.34,78.36,78.36,1875600,1875600,1,1.29,77.89,"October 06, 23",0.0129,,,,,
2023-10-05,78.44,78.44,77.1,77.88,77.88,919600,919600,-0.56,-0.71392,77.81,"October 05, 23",-0.0071392,,,,,
2023-10-04,78.44,79.14,77.81,78.72,78.72,1077200,1077200,0.28,0.35696,78.55,"October 04, 23",0.0035696,,,,,
2023-10-03,77.5,78.53,77.3,78.23,78.23,1178800,1178800,0.73,0.94194,78.02,"October 03, 23",0.0094194,,,,,
2023-10-02,78.79,79.4,77.43,77.97,77.97,1311200,1311200,-0.82,-1.04,78.27,"October 02, 23",-0.0104,,,,,
2023-09-29,80.24,81.14,79.33,79.5,79.5,1246000,1246000,-0.74,-0.92223,79.99,"September 29, 23",-0.0092223,,,,,
2023-09-28,79.1,80.08,79.03,79.84,79.84,1928000,1928000,0.74,0.93552,79.65,"September 28, 23",0.0093552,,,,,
2023-09-27,80.54,81.82,78.45,78.98,78.98,3007600,3007600,-1.56,-1.94,79.75,"September 27, 23",-0.0194,,,,,
2023-09-26,82.65,82.65,80.42,80.52,80.52,1131200,1131200,-2.13,-2.58,81.2,"September 26, 23",-0.0258,,,,,
2023-09-25,82,83.47,81.92,82.84,82.84,1168400,1168400,0.84,1.02,82.74,"September 25, 23",0.0102,,,,,
2023-09-22,82.32,82.95,81.54,82.22,82.22,626400,626400,-0.1,-0.12148,82.24,"September 22, 23",-0.0012148,,,,,
2023-09-21,83.73,83.82,82.01,82.1,82.1,665600,665600,-1.63,-1.95,82.64,"September 21, 23",-0.0195,,,,,
2023-09-20,84.73,85.21,83.97,84.15,84.15,625600,625600,-0.58,-0.68453,84.44,"September 20, 23",-0.0068453,,,,,
2023-09-19,84.22,84.58,83.62,84.18,84.18,764800,764800,-0.04,-0.04749466,84.13,"September 19, 23",-0.0004749466,,,,,
2023-09-18,85.4,85.66,84.32,84.36,84.36,738400,738400,-1.04,-1.22,84.78,"September 18, 23",-0.0122,,,,,
2023-09-15,85.06,86.16,84.9,85.59,85.59,1683200,1683200,0.53,0.62309,85.55,"September 15, 23",0.0062309,,,,,
