date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,recordDate,paymentDate
2025-09-22,140.2,140.2,138.57,138.6,136.93,884265,884265,-1.6,-1.14,139.3925,"September 22, 25",-0.0114,,,,,
2025-09-19,142.31,143.09,139.28,139.32,137.64,2182108,2182108,-2.99,-2.1,141,"September 19, 25",-0.021,,,,,
2025-09-18,142.84,143.73,142.01,142.69,140.97,875212,875212,-0.15,-0.10501,142.8175,"September 18, 25",-0.0010501,,,,,
2025-09-17,144.01,145.84,142.66,143.18,141.45,738130,738130,-0.83,-0.57635,143.9225,"September 17, 25",-0.0057635,,,,,
2025-09-16,143.36,144.35,142.72,143.42,141.69,981596,981596,0.06,0.04185268,143.4625,"September 16, 25",0.0004185268,,,,,
2025-09-15,146.46,147.15,143.58,143.73,142,892922,892922,-2.73,-1.86,145.23,"September 15, 25",-0.0186,2025-08-21,1.62,1.62,2025-09-15,2025-09-30
2025-09-12,148.31,149.31,147.06,147.15,143.78,1176659,1176659,-1.16,-0.78215,147.9575,"September 12, 25",-0.0078215,,,,,
2025-09-11,145.04,148.56,145.01,148.31,144.91,959091,959091,3.27,2.25,146.73,"September 11, 25",0.0225,,,,,
2025-09-10,145,145.6,144.58,145,141.68,944947,944947,0,0,145.045,"September 10, 25",0,,,,,
2025-09-09,146.09,146.98,143.92,144.88,141.56,1206036,1206036,-1.21,-0.82826,145.4675,"September 09, 25",-0.0082826,,,,,
2025-09-08,145.17,147.15,144.11,147.02,143.65,1434148,1434148,1.85,1.27,145.8625,"September 08, 25",0.0127,,,,,
2025-09-05,144.98,148,144.69,147.28,143.91,1229017,1229017,2.3,1.59,146.2375,"September 05, 25",0.0159,,,,,
2025-09-04,144.17,144.31,141.96,143.84,140.55,1435500,1435500,-0.33,-0.2289,143.57,"September 04, 25",-0.002289,,,,,
2025-09-03,140.64,143.2,140.56,143.2,139.92,925917,925917,2.56,1.82,141.9,"September 03, 25",0.0182,,,,,
2025-09-02,142.1,142.63,140.47,140.86,137.63,1185746,1185746,-1.24,-0.87262,141.515,"September 02, 25",-0.0087262,,,,,
2025-08-29,142.37,143.78,142.36,143.58,140.29,857381,857381,1.21,0.8499,143.0225,"August 29, 25",0.008499,,,,,
2025-08-28,141.78,142.42,141.23,142.32,139.06,649000,649000,0.54,0.38087,141.9375,"August 28, 25",0.0038087,,,,,
2025-08-27,141.86,142.46,140.11,141.57,138.33,1086812,1086812,-0.29,-0.20443,141.5,"August 27, 25",-0.0020443,,,,,
2025-08-26,141.94,142.28,140.02,140.56,137.34,1295954,1295954,-1.38,-0.97224,141.2,"August 26, 25",-0.0097224,,,,,
2025-08-25,142.3,142.99,140.08,140.19,136.98,562126,562126,-2.11,-1.48,141.39,"August 25, 25",-0.0148,,,,,
2025-08-22,139.88,144.28,139.34,142.75,139.48,940484,940484,2.87,2.05,141.5625,"August 22, 25",0.0205,,,,,
2025-08-21,138.26,139.77,138.26,139.03,135.85,725900,725900,0.77,0.55692,138.83,"August 21, 25",0.0055692,,,,,
2025-08-20,140.39,141.69,139.55,139.64,136.44,1085300,1085300,-0.75,-0.53423,140.3175,"August 20, 25",-0.0053423,,,,,
2025-08-19,137.57,139.64,137.51,139.46,136.27,912400,912400,1.89,1.37,138.545,"August 19, 25",0.0137,,,,,
2025-08-18,136.98,137.23,136.22,136.86,133.73,1217100,1217100,-0.12,-0.08760403,136.8225,"August 18, 25",-0.0008760403,,,,,
2025-08-15,137.25,137.56,135.7,137.05,133.91,1195000,1195000,-0.2,-0.14572,136.89,"August 15, 25",-0.0014572,,,,,
2025-08-14,137.09,137.18,135.37,136.63,133.5,1475700,1475700,-0.46,-0.33555,136.5675,"August 14, 25",-0.0033555,,,,,
2025-08-13,136.02,138.35,135.4,138.21,135.04,1183322,1183322,2.19,1.61,136.995,"August 13, 25",0.0161,,,,,
2025-08-12,135.88,136.7,134.86,135.54,132.44,1049619,1049619,-0.34,-0.25022,135.745,"August 12, 25",-0.0025022,,,,,
2025-08-11,136.1,136.73,134.86,135.23,132.13,1321667,1321667,-0.865,-0.63924,135.73,"August 11, 25",-0.0063924,,,,,
2025-08-08,138.65,139.05,136.12,136.36,133.24,839500,839500,-2.29,-1.65,137.545,"August 08, 25",-0.0165,,,,,
2025-08-07,138.64,138.78,136.6,138.29,135.12,828500,828500,-0.35,-0.25245,138.0775,"August 07, 25",-0.0025245,,,,,
2025-08-06,139.14,139.34,137.79,138.05,134.89,1106600,1106600,-1.09,-0.78338,138.58,"August 06, 25",-0.0078338,,,,,
2025-08-05,138.66,139.18,136.92,138.61,135.44,1484267,1484267,-0.05,-0.03605943,138.3425,"August 05, 25",-0.0003605943,,,,,
2025-08-04,138.38,139.99,137.97,138.06,134.9,1309628,1309628,-0.32,-0.23125,138.6,"August 04, 25",-0.0023125,,,,,
2025-08-01,137.24,140.32,135.45,139.3,136.11,3193450,3193450,2.06,1.5,138.0775,"August 01, 25",0.015,,,,,
2025-07-31,144.39,144.47,134.36,134.36,131.28,4363500,4363500,-10.02,-6.95,139.395,"July 31, 25",-0.0695,,,,,
2025-07-30,152.03,152.9,148.67,149.34,145.92,1423761,1423761,-2.69,-1.77,150.735,"July 30, 25",-0.0177,,,,,
2025-07-29,149.32,151.96,148.11,151.91,148.43,1125622,1125622,2.59,1.73,150.325,"July 29, 25",0.0173,,,,,
2025-07-28,150.02,150.68,148.19,148.31,144.91,939100,939100,-1.71,-1.14,149.3,"July 28, 25",-0.0114,,,,,
2025-07-25,150.67,151.96,149.02,150.86,147.41,866700,866700,0.19,0.1261,150.6275,"July 25, 25",0.001261,,,,,
2025-07-24,150.27,151.1,149.29,150.51,147.06,889537,889537,0.24,0.15971,150.2925,"July 24, 25",0.0015971,,,,,
2025-07-23,151.01,151.74,150,150.98,147.52,908100,908100,-0.03,-0.01986623,150.9325,"July 23, 25",-0.0001986623,,,,,
2025-07-22,148.08,151.45,147.31,151.33,147.86,689368,689368,3.25,2.19,149.5425,"July 22, 25",0.0219,,,,,
2025-07-21,148.62,149.31,147.58,147.8,144.42,1146327,1146327,-0.82,-0.55174,148.3275,"July 21, 25",-0.0055174,,,,,
2025-07-18,147.08,148.16,145.94,148.11,144.72,761317,761317,1.03,0.7003,147.3225,"July 18, 25",0.007003,,,,,
2025-07-17,148.83,149.93,146.68,147.27,143.9,1231150,1231150,-1.56,-1.05,148.1775,"July 17, 25",-0.0105,,,,,
2025-07-16,148.43,149.13,147,148.95,145.54,1041223,1041223,0.52,0.35033,148.3775,"July 16, 25",0.0035033,,,,,
2025-07-15,150.15,151.1,147.88,147.95,144.56,1488956,1488956,-2.2,-1.47,149.27,"July 15, 25",-0.0147,,,,,
2025-07-14,149.62,150.98,149.42,150.45,147,1078400,1078400,0.83,0.55474,150.1175,"July 14, 25",0.0055474,,,,,
2025-07-11,148.75,150.6,147.44,150.24,146.8,1142700,1142700,1.49,1,149.2575,"July 11, 25",0.01,,,,,
2025-07-10,148.39,151.02,147.84,148.82,145.41,1052900,1052900,0.43,0.28978,149.0175,"July 10, 25",0.0028978,,,,,
2025-07-09,149.93,150.55,148.3,148.71,145.3,798446,798446,-1.22,-0.81371,149.3725,"July 09, 25",-0.0081371,,,,,
2025-07-08,147.8,150.61,147.8,149.83,146.4,998931,998931,2.03,1.37,149.01,"July 08, 25",0.0137,,,,,
2025-07-07,152.9,154,148.48,148.99,145.58,1225546,1225546,-3.91,-2.56,151.0925,"July 07, 25",-0.0256,,,,,
2025-07-03,152.96,153.41,151.26,152.88,149.38,836000,836000,-0.08,-0.05230126,152.6275,"July 03, 25",-0.0005230126,,,,,
2025-07-02,150.19,152.12,149.95,151.78,148.3,1326110,1326110,1.59,1.06,151.01,"July 02, 25",0.0106,,,,,
2025-07-01,147.38,152.23,147.26,150.5,147.05,1598435,1598435,3.12,2.12,149.3425,"July 01, 25",0.0212,,,,,
2025-06-30,145.76,147.57,142.7,147.44,144.06,1396200,1396200,1.68,1.15,145.8675,"June 30, 25",0.0115,,,,,
2025-06-27,146,148.01,145.27,145.86,142.52,1431500,1431500,-0.14,-0.09589041,146.285,"June 27, 25",-0.0009589041,,,,,
2025-06-26,145.88,146.12,143.74,145.65,142.31,1328433,1328433,-0.23,-0.15766,145.3475,"June 26, 25",-0.0015766,,,,,
2025-06-25,147.81,148.84,145.08,145.44,142.11,1051400,1051400,-2.37,-1.6,146.7925,"June 25, 25",-0.016,,,,,
2025-06-24,148.47,149.3,146.46,148.53,145.13,1224407,1224407,0.06,0.0404122,148.19,"June 24, 25",0.000404122,,,,,
2025-06-23,146.51,149.25,146.44,148.97,145.56,993300,993300,2.46,1.68,147.7925,"June 23, 25",0.0168,,,,,
2025-06-20,146.47,148.19,145.89,146.07,142.72,2164127,2164127,-0.4,-0.27309,146.655,"June 20, 25",-0.0027309,,,,,
2025-06-18,148.19,148.34,146.29,146.45,143.1,948239,948239,-1.74,-1.17,147.3175,"June 18, 25",-0.0117,,,,,
2025-06-17,148.67,149.48,146.92,147.89,144.5,635854,635854,-0.78,-0.52465,148.24,"June 17, 25",-0.0052465,,,,,
2025-06-16,148.68,150.66,148.06,148.97,145.56,874486,874486,0.29,0.19505,149.0925,"June 16, 25",0.0019505,2025-05-22,1.62,1.62,2025-06-16,2025-06-30
2025-06-13,149.03,150.06,148.17,149.6,144.59,945917,945917,0.57,0.38247,149.215,"June 13, 25",0.0038247,,,,,
2025-06-12,150.44,151.31,149.6,150.51,145.47,812626,812626,0.07,0.04653018,150.465,"June 12, 25",0.0004653018,,,,,
2025-06-11,152.25,152.95,149.72,150.27,145.24,789200,789200,-1.98,-1.3,151.2975,"June 11, 25",-0.013,,,,,
2025-06-10,150.81,152.15,150.31,151.62,146.54,776140,776140,0.81,0.5371,151.2225,"June 10, 25",0.005371,,,,,
2025-06-09,149.77,151.94,148.82,150.44,145.4,1219506,1219506,0.67,0.44735,150.2425,"June 09, 25",0.0044735,,,,,
2025-06-06,150.08,151.4,148.51,149.83,144.81,692700,692700,-0.25,-0.16658,149.955,"June 06, 25",-0.0016658,,,,,
2025-06-05,149.59,150.38,148.67,149.43,144.43,694800,694800,-0.16,-0.10696,149.5175,"June 05, 25",-0.0010696,,,,,
2025-06-04,149.21,150.43,148.14,149.67,144.66,1105900,1105900,0.46,0.30829,149.3625,"June 04, 25",0.0030829,,,,,
2025-06-03,152.19,152.48,149.37,149.93,144.91,1008024,1008024,-2.26,-1.48,150.9925,"June 03, 25",-0.0148,,,,,
2025-06-02,150.33,153.24,148.82,152.99,147.87,1123035,1123035,2.66,1.77,151.345,"June 02, 25",0.0177,,,,,
2025-05-30,150.01,151.58,149.21,151.15,146.09,1450400,1450400,1.14,0.75995,150.4875,"May 30, 25",0.0075995,,,,,
2025-05-29,149.07,151.48,148.41,150.81,145.76,759561,759561,1.74,1.17,149.9425,"May 29, 25",0.0117,,,,,
2025-05-28,147.81,148.63,146.88,148.49,143.52,753253,753253,0.68,0.46005,147.9525,"May 28, 25",0.0046005,,,,,
2025-05-27,147.26,148.25,145.56,147.92,142.97,844741,844741,0.66,0.44819,147.2475,"May 27, 25",0.0044819,,,,,
2025-05-23,145.13,146.14,144.14,145.73,140.85,829246,829246,0.6,0.41342,145.285,"May 23, 25",0.0041342,,,,,
2025-05-22,145.26,145.85,142.81,144.78,139.93,1425911,1425911,-0.48,-0.33044,144.675,"May 22, 25",-0.0033044,,,,,
2025-05-21,150.86,151.49,144.74,145.41,140.54,849115,849115,-5.45,-3.61,148.125,"May 21, 25",-0.0361,,,,,
2025-05-20,151.68,153.37,151.23,152.06,146.97,928237,928237,0.38,0.25053,152.085,"May 20, 25",0.0025053,,,,,
2025-05-19,149.98,152.83,149.75,152.59,147.48,699200,699200,2.61,1.74,151.2875,"May 19, 25",0.0174,,,,,
2025-05-16,148.65,151.89,148.46,151.76,146.68,646600,646600,3.11,2.09,150.19,"May 16, 25",0.0209,,,,,
2025-05-15,146.44,148.7,146.07,148.58,143.6,687113,687113,2.14,1.46,147.4475,"May 15, 25",0.0146,,,,,
2025-05-14,146.12,146.48,144.66,145.81,140.93,1001735,1001735,-0.31,-0.21215,145.7675,"May 14, 25",-0.0021215,,,,,
2025-05-13,149.58,149.93,145.94,147.02,142.1,914545,914545,-2.56,-1.71,148.1175,"May 13, 25",-0.0171,,,,,
2025-05-12,150.12,151.07,147.14,148.89,143.9,876100,876100,-1.23,-0.81934,149.305,"May 12, 25",-0.0081934,,,,,
2025-05-09,147.55,149.43,147.55,148.42,143.45,522300,522300,0.87,0.58963,148.2375,"May 09, 25",0.0058963,,,,,
2025-05-08,147.52,148.98,145.68,147.43,142.49,925200,925200,-0.09,-0.06100868,147.4025,"May 08, 25",-0.0006100868,,,,,
2025-05-07,147.37,149,146.87,147.23,142.3,996000,996000,-0.14,-0.09499898,147.6175,"May 07, 25",-0.0009499898,,,,,
2025-05-06,148.13,149.18,147.12,147.22,142.29,654900,654900,-0.91,-0.61433,147.9125,"May 06, 25",-0.0061433,,,,,
2025-05-05,149.23,150.32,148.15,149.38,144.38,833046,833046,0.15,0.10052,149.27,"May 05, 25",0.0010052,,,,,
2025-05-02,150.76,151.58,148.87,149.56,144.55,838100,838100,-1.2,-0.79597,150.1925,"May 02, 25",-0.0079597,,,,,
2025-05-01,146.62,150.07,145.51,148.28,143.31,1467700,1467700,1.66,1.13,147.62,"May 01, 25",0.0113,,,,,
2025-04-30,143.45,146.88,141.47,146.52,141.61,1783028,1783028,3.07,2.14,144.58,"April 30, 25",0.0214,,,,,
2025-04-29,141.54,142.29,140.09,141.43,136.69,1154400,1154400,-0.11,-0.07771655,141.3375,"April 29, 25",-0.0007771655,,,,,
2025-04-28,140.56,142.12,140.35,141.91,137.16,804143,804143,1.35,0.96044,141.235,"April 28, 25",0.0096044,,,,,
2025-04-25,141.76,142.44,139.72,141.05,136.33,730000,730000,-0.71,-0.50085,141.2425,"April 25, 25",-0.0050085,,,,,
2025-04-24,141.74,143.27,140.48,141.86,137.11,906100,906100,0.12,0.08466206,141.8375,"April 24, 25",0.0008466206,,,,,
2025-04-23,144.16,144.45,140.24,141.3,136.57,798342,798342,-2.86,-1.98,142.5375,"April 23, 25",-0.0198,,,,,
2025-04-22,140.61,142.88,139.91,141.83,137.08,789700,789700,1.22,0.86765,141.3075,"April 22, 25",0.0086765,,,,,
2025-04-21,139.76,140.73,136.34,138.2,133.57,946723,946723,-1.56,-1.12,138.7575,"April 21, 25",-0.0112,,,,,
2025-04-17,139.5,142.1,139.05,141.18,136.45,714501,714501,1.68,1.2,140.4575,"April 17, 25",0.012,,,,,
2025-04-16,139.01,140.06,137.08,138.22,133.59,632800,632800,-0.79,-0.5683,138.5925,"April 16, 25",-0.005683,,,,,
2025-04-15,137.52,139.25,136.91,138.24,133.61,1171000,1171000,0.72,0.52356,137.98,"April 15, 25",0.0052356,,,,,
2025-04-14,134.3,137.8,134,137.67,133.06,1139924,1139924,3.37,2.51,135.9425,"April 14, 25",0.0251,,,,,
2025-04-11,130.74,133.99,128.55,133.87,129.39,1346111,1346111,3.13,2.39,131.7875,"April 11, 25",0.0239,,,,,
2025-04-10,134.76,137.24,128.9,131.84,127.42,2067935,2067935,-2.92,-2.17,133.185,"April 10, 25",-0.0217,,,,,
2025-04-09,124.21,136.21,121.03,135.69,131.15,1864010,1864010,11.48,9.24,129.285,"April 09, 25",0.0924,,,,,
2025-04-08,134.93,134.93,124.91,126.61,122.37,1634785,1634785,-8.32,-6.17,130.345,"April 08, 25",-0.0617,,,,,
2025-04-07,137.48,138.81,130.74,132.38,127.95,1775843,1775843,-5.1,-3.71,134.8525,"April 07, 25",-0.0371,,,,,
2025-04-04,142.84,144.29,137.9,138.21,133.58,1378935,1378935,-4.63,-3.24,140.81,"April 04, 25",-0.0324,,,,,
2025-04-03,146.05,148.54,143.4,144.16,139.33,1530032,1530032,-1.89,-1.29,145.5375,"April 03, 25",-0.0129,,,,,
2025-04-02,147.32,148.15,145.45,147.47,142.53,1442625,1442625,0.15,0.10182,147.0975,"April 02, 25",0.0010182,,,,,
2025-04-01,149.21,149.67,146.45,147.84,142.89,830000,830000,-1.37,-0.91817,148.2925,"April 01, 25",-0.0091817,,,,,
2025-03-31,146.08,149.43,146.08,148.49,143.52,1355012,1355012,2.41,1.65,147.52,"March 31, 25",0.0165,,,,,
2025-03-28,146.39,146.39,144.6,145.46,140.59,612743,612743,-0.93,-0.63529,145.71,"March 28, 25",-0.0063529,,,,,
2025-03-27,146.33,148.44,144.79,145.19,140.33,650400,650400,-1.14,-0.77906,146.1875,"March 27, 25",-0.0077906,,,,,
2025-03-26,145.2,146,143.7,145.58,140.7,532721,532721,0.38,0.26171,145.12,"March 26, 25",0.0026171,,,,,
2025-03-25,146.11,146.78,143,144.59,139.75,1034925,1034925,-1.52,-1.04,145.12,"March 25, 25",-0.0104,,,,,
2025-03-24,144.38,146.42,143.91,145.99,141.1,1248200,1248200,1.61,1.12,145.175,"March 24, 25",0.0112,,,,,
2025-03-21,145.57,145.57,143.38,143.8,138.98,1769891,1769891,-1.77,-1.22,144.58,"March 21, 25",-0.0122,,,,,
2025-03-20,147.44,147.99,145.5,145.87,140.98,1288252,1288252,-1.57,-1.06,146.7,"March 20, 25",-0.0106,,,,,
2025-03-19,147.03,148.49,145.51,146.79,141.87,1192128,1192128,-0.24,-0.16323,146.955,"March 19, 25",-0.0016323,,,,,
2025-03-18,145.74,148.04,145.25,147.92,142.97,1336600,1336600,2.18,1.5,146.7375,"March 18, 25",0.015,,,,,
2025-03-17,144.69,147.13,144.22,146.63,141.72,1125200,1125200,1.94,1.34,145.6675,"March 17, 25",0.0134,,,,,
2025-03-14,142.88,145.15,142.25,144.99,140.13,1543800,1543800,2.11,1.48,143.8175,"March 14, 25",0.0148,2025-02-21,1.62,1.62,2025-03-14,2025-03-31
