date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,recordDate,paymentDate
2026-01-05,130.57,131.42,130.185,130.92,130.92,275586,275586,0.35,0.26805545,130.84,"January 05, 26",0.0026805545,,,,,
2026-01-02,130.06,131.09,129.35,130.97,130.97,1429420,1429420,0.91,0.69968,130.3675,"January 02, 26",0.0069968,,,,,
2025-12-31,131.5,131.75,130.19,130.22,130.22,806805,806805,-1.28,-0.97338,130.915,"December 31, 25",-0.0097338,,,,,
2025-12-30,130.51,131.72,130,131.56,131.56,734958,734958,1.05,0.80454,130.9475,"December 30, 25",0.0080454,,,,,
2025-12-29,131.39,131.4,130.28,130.74,130.74,708800,708800,-0.65,-0.49471,130.9525,"December 29, 25",-0.0049471,,,,,
2025-12-26,130.13,130.98,129.82,130.79,130.79,532449,532449,0.66,0.50719,130.43,"December 26, 25",0.0050719,,,,,
2025-12-24,129.26,130.61,129.13,130.26,130.26,496722,496722,1,0.77363,129.815,"December 24, 25",0.0077363,,,,,
2025-12-23,130.9,131,129.14,129.4,129.4,1330649,1330649,-1.5,-1.15,130.11,"December 23, 25",-0.0115,,,,,
2025-12-22,129.53,131.68,129.02,130.76,130.76,1152715,1152715,1.23,0.94959,130.2475,"December 22, 25",0.0094959,,,,,
2025-12-19,130.54,131.07,129.37,130.07,130.07,2880504,2880504,-0.47,-0.36004,130.2625,"December 19, 25",-0.0036004,,,,,
2025-12-18,132.21,132.66,130.52,130.89,130.89,1224904,1224904,-1.32,-0.99841,131.57,"December 18, 25",-0.0099841,,,,,
2025-12-17,131.35,133.37,129.45,131.88,131.88,1571735,1571735,0.53,0.4035,131.5125,"December 17, 25",0.004035,,,,,
2025-12-16,133.27,133.79,130.66,130.7,130.7,1337700,1337700,-2.57,-1.93,132.105,"December 16, 25",-0.0193,,,,,
2025-12-15,133.49,134.16,132.42,133.3,133.3,1625633,1625633,-0.19,-0.14233,133.3425,"December 15, 25",-0.0014233,2025-11-20,1.62,1.62,2025-12-15,2025-12-31
2025-12-12,134.24,134.68,133.55,134.48,132.86,1728900,1728900,0.24,0.17878,134.2375,"December 12, 25",0.0017878,,,,,
2025-12-11,130.86,133.05,130.25,133.02,131.42,1351100,1351100,2.16,1.65,131.795,"December 11, 25",0.0165,,,,,
2025-12-10,126.82,130.19,126.82,129.77,128.21,1924900,1924900,2.95,2.33,128.4,"December 10, 25",0.0233,,,,,
2025-12-09,128.75,129.8,125.71,126.69,125.16,1538615,1538615,-2.06,-1.6,127.7375,"December 09, 25",-0.016,,,,,
2025-12-08,129.25,130.42,128.43,128.54,126.99,1103900,1103900,-0.71,-0.54932,129.16,"December 08, 25",-0.0054932,,,,,
2025-12-05,130.25,130.79,129.24,129.56,128,1158200,1158200,-0.69,-0.52975,129.96,"December 05, 25",-0.0052975,,,,,
2025-12-04,132.08,132.63,130.89,131.09,129.51,974519,974519,-0.99,-0.74955,131.6725,"December 04, 25",-0.0074955,,,,,
2025-12-03,132.86,133.65,131.93,132.24,130.65,991500,991500,-0.62,-0.46666,132.67,"December 03, 25",-0.0046666,,,,,
2025-12-02,132.51,133.01,131.01,132.52,130.92,997683,997683,0.01,0.0075466,132.2625,"December 02, 25",7.5466e-05,,,,,
2025-12-01,132.25,133.27,131.16,131.94,130.35,992957,992957,-0.31,-0.2344,132.155,"December 01, 25",-0.002344,,,,,
2025-11-28,132.82,134.39,132.82,133.17,131.57,371005,371005,0.35,0.26351,133.3,"November 28, 25",0.0026351,,,,,
2025-11-26,132.24,134.1,132.24,133.29,131.68,936600,936600,1.05,0.79401,132.9675,"November 26, 25",0.0079401,,,,,
2025-11-25,131.19,133.5,131.15,132.37,130.78,980902,980902,1.18,0.89946,132.0525,"November 25, 25",0.0089946,,,,,
2025-11-24,131.68,132.2,129.52,130.35,128.78,1126400,1126400,-1.33,-1.01,130.9375,"November 24, 25",-0.0101,,,,,
2025-11-21,129.39,133.26,129.35,131.46,129.88,1154200,1154200,2.07,1.6,130.865,"November 21, 25",0.016,,,,,
2025-11-20,130.35,130.62,128.26,128.81,127.26,1490959,1490959,-1.54,-1.18,129.51,"November 20, 25",-0.0118,,,,,
2025-11-19,130.93,130.93,128.17,129.42,127.86,838102,838102,-1.51,-1.15,129.8625,"November 19, 25",-0.0115,,,,,
2025-11-18,130.13,131.12,129.01,130.34,128.77,878427,878427,0.21,0.16138,130.15,"November 18, 25",0.0016138,,,,,
2025-11-17,133.27,133.35,130.2,130.55,128.98,1138728,1138728,-2.72,-2.04,131.8425,"November 17, 25",-0.0204,,,,,
2025-11-14,132.57,133.32,131.68,132.91,131.31,1171345,1171345,0.34,0.25647,132.62,"November 14, 25",0.0025647,,,,,
2025-11-13,132.5,133.58,131.71,131.94,130.35,1202029,1202029,-0.56,-0.42264,132.4325,"November 13, 25",-0.0042264,,,,,
2025-11-12,133.48,134.55,132.17,132.63,131.03,1745200,1745200,-0.85,-0.6368,133.2075,"November 12, 25",-0.006368,,,,,
2025-11-11,131.51,133.97,131.51,133.93,132.32,1248005,1248005,2.42,1.84,132.73,"November 11, 25",0.0184,,,,,
2025-11-10,132.07,133,129.24,130.5,128.93,953800,953800,-1.57,-1.19,131.2025,"November 10, 25",-0.0119,,,,,
2025-11-07,131.64,133.33,130.56,133.18,131.58,866900,866900,1.54,1.17,132.1775,"November 07, 25",0.0117,,,,,
2025-11-06,132.2,133.04,130.78,131.06,129.48,1055563,1055563,-1.14,-0.86233,131.77,"November 06, 25",-0.0086233,,,,,
2025-11-05,131.98,133.29,131.54,133.01,131.41,1380730,1380730,1.03,0.78042,132.455,"November 05, 25",0.0078042,,,,,
2025-11-04,131.7,131.7,129.72,131.42,129.84,1333800,1333800,-0.28,-0.2126,131.135,"November 04, 25",-0.002126,,,,,
2025-11-03,131.97,132.87,130.25,131.2,129.62,1575572,1575572,-0.77,-0.58347,131.5725,"November 03, 25",-0.0058347,,,,,
2025-10-31,133.82,135.24,133.02,133.54,131.93,2550805,2550805,-0.28,-0.20924,133.905,"October 31, 25",-0.0020924,,,,,
2025-10-30,137.59,139,130.67,134.8,133.18,3030767,3030767,-2.79,-2.03,135.515,"October 30, 25",-0.0203,,,,,
2025-10-29,145.3,146.53,141.53,141.76,140.05,1228473,1228473,-3.54,-2.44,143.78,"October 29, 25",-0.0244,,,,,
2025-10-28,149.57,149.57,146.74,146.92,145.15,685700,685700,-2.65,-1.77,148.2,"October 28, 25",-0.0177,,,,,
2025-10-27,149.84,150.31,148.95,149.51,147.71,889800,889800,-0.33,-0.22023,149.6525,"October 27, 25",-0.0022023,,,,,
2025-10-24,152.06,152.64,150.22,150.26,148.45,604123,604123,-1.8,-1.18,151.295,"October 24, 25",-0.0118,,,,,
2025-10-23,152.77,152.77,149.48,150.81,148.99,575518,575518,-1.96,-1.28,151.4575,"October 23, 25",-0.0128,,,,,
2025-10-22,150.45,152.55,150.22,152.09,150.26,715715,715715,1.65,1.09,151.3275,"October 22, 25",0.0109,,,,,
2025-10-21,151.73,152.09,150.31,150.55,148.74,789301,789301,-1.18,-0.7777,151.17,"October 21, 25",-0.007777,,,,,
2025-10-20,152.37,153.46,150.43,151.47,149.64,742325,742325,-0.9,-0.59067,151.9325,"October 20, 25",-0.0059067,,,,,
2025-10-17,151.8,152.6,150.41,151.54,149.71,1191205,1191205,-0.26,-0.17128,151.5875,"October 17, 25",-0.0017128,,,,,
2025-10-16,149.69,152.94,149.07,152,150.17,961100,961100,2.31,1.54,150.925,"October 16, 25",0.0154,,,,,
2025-10-15,148.75,152.05,148.44,149.19,147.39,1161300,1161300,0.44,0.2958,149.6075,"October 15, 25",0.002958,,,,,
2025-10-14,145.44,148.65,144.73,147.84,146.06,1284337,1284337,2.4,1.65,146.665,"October 14, 25",0.0165,,,,,
2025-10-13,142.34,145.25,142.25,145.02,143.27,1162740,1162740,2.68,1.88,143.715,"October 13, 25",0.0188,,,,,
2025-10-10,143,144.77,141.68,141.98,140.27,1040400,1040400,-1.02,-0.71329,142.8575,"October 10, 25",-0.0071329,,,,,
2025-10-09,142.59,143.9,141.94,143.08,141.36,859800,859800,0.49,0.34364,142.8775,"October 09, 25",0.0034364,,,,,
2025-10-08,141.58,143.11,141.17,142.41,140.69,1064523,1064523,0.83,0.58624,142.0675,"October 08, 25",0.0058624,,,,,
2025-10-07,141.21,143.06,140.59,142.87,141.15,973200,973200,1.66,1.18,141.9325,"October 07, 25",0.0118,,,,,
2025-10-06,143.13,143.35,140.95,141.58,139.87,1145239,1145239,-1.55,-1.08,142.2525,"October 06, 25",-0.0108,,,,,
2025-10-03,142.5,144.2,141.82,142.82,141.1,812438,812438,0.32,0.22456,142.835,"October 03, 25",0.0022456,,,,,
2025-10-02,141.03,141.8,140.24,141.47,139.77,922500,922500,0.44,0.31199,141.135,"October 02, 25",0.0031199,,,,,
2025-10-01,141.58,142.1,140.54,141.13,139.43,889600,889600,-0.45,-0.31784,141.3375,"October 01, 25",-0.0031784,,,,,
2025-09-30,141.73,141.88,139.51,140.94,139.24,828000,828000,-0.79,-0.5574,141.015,"September 30, 25",-0.005574,,,,,
2025-09-29,139.71,141.46,138.9,141.45,139.75,1099500,1099500,1.74,1.25,140.38,"September 29, 25",0.0125,,,,,
2025-09-26,138.2,140.73,137.93,139.83,138.15,896151,896151,1.63,1.18,139.1725,"September 26, 25",0.0118,,,,,
2025-09-25,137.67,138.78,137.28,137.71,136.05,800307,800307,0.04,0.02905499,137.86,"September 25, 25",0.0002905499,,,,,
2025-09-24,138.27,139.04,137.38,137.66,136,797400,797400,-0.61,-0.44117,138.0875,"September 24, 25",-0.0044117,,,,,
2025-09-23,138.49,139.5,138.19,138.55,136.88,1113300,1113300,0.06,0.04332443,138.6825,"September 23, 25",0.0004332443,,,,,
