date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,adjDividend,paymentDate,declarationDate
2026-01-02,220.61,223.61,219.44,221.28,221.28,2896439,2896439,0.675,0.3037,221.235,"January 02, 26",0.003037,,,,,
2025-12-31,219.62,220.34,216.88,217.06,217.06,1413047,1413047,-2.56,-1.17,218.475,"December 31, 25",-0.0117,,,,,
2025-12-30,221.17,223.39,219.78,219.98,219.98,1746342,1746342,-1.19,-0.53805,221.08,"December 30, 25",-0.0053805,,,,,
2025-12-29,222.46,224.11,219.14,220.46,220.46,2498446,2498446,-2,-0.89904,221.5425,"December 29, 25",-0.0089904,,,,,
2025-12-26,225.64,225.64,222.75,222.87,222.87,1439742,1439742,-2.77,-1.23,224.225,"December 26, 25",-0.0123,,,,,
2025-12-24,226.47,228.43,224.58,225.26,225.26,1031000,1031000,-1.21,-0.53429,226.185,"December 24, 25",-0.0053429,,,,,
2025-12-23,226.67,227.9,224.5,225.98,225.98,1871560,1871560,-0.69,-0.30441,226.2625,"December 23, 25",-0.0030441,,,,,
2025-12-22,229.74,231.95,227.53,228.94,228.94,1801200,1801200,-0.8,-0.34822,229.54,"December 22, 25",-0.0034822,,,,,
2025-12-19,224.28,229.12,224.01,226.27,226.27,10501679,10501679,1.99,0.88728,225.92,"December 19, 25",0.0088728,,,,,
2025-12-18,227.27,228.6,222.03,222.08,222.08,2665352,2665352,-5.19,-2.28,224.995,"December 18, 25",-0.0228,,,,,
2025-12-17,230.32,231.83,223.03,223.23,223.23,2685389,2685389,-7.09,-3.08,227.1025,"December 17, 25",-0.0308,,,,,
2025-12-16,232.17,233,227.96,229.75,229.75,2467200,2467200,-2.42,-1.04,230.72,"December 16, 25",-0.0104,,,,,
2025-12-15,230.78,233.79,228.29,231.83,231.83,3077145,3077145,1.05,0.45498,231.1725,"December 15, 25",0.0045498,,,,,
2025-12-12,232.17,234.93,227.41,228.16,228.16,3591000,3591000,-4.01,-1.73,230.6675,"December 12, 25",-0.0173,,,,,
