date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2024-12-28,HSIC,2024,FY,0.027068644136477835,0.02532228360957643,0.031224322103533278,0.004046154117703748,0,0,0,0,0.033707865168539325,0.027440860215053764,0.5057471264367817,0.1975806451612903,0.07297605473204105,0.04469750975258664,0.02100840336134454,-0.0059005219001256205,-0.2848101265822785,-0.0539568345323741,-0.07889003336072788,0.06666666666666667,-0.0625,-0.0872080418340981,-0.034591194968553556,-0.03481012658227858,-0.02932186966075913,-0.030125222763054526
2023-12-31,HSIC,2023,FY,-0.02435360164465881,-0.03445210046677039,0.0005480953685941354,0.02552328085442021,0,0,0,0,0.083364072298045,-0.0071739687419933385,0.9772727272727273,0.16981132075471697,-0.1023541453428864,-0.07994755484565401,-0.23880597014925373,-0.21980542231846667,0.21782178217821782,-0.24456521739130435,-0.22570842810600197,-0.29411764705882354,-0.22676579925650558,-0.20746470980998902,-0.19493670886075948,-0.1918158567774936,-0.04001956546680997,-0.04360981293909717
2022-12-31,HSIC,2022,FY,0.01983710991049109,0.030843979163158154,-0.006331538884460784,-0.02565963567141314,0,0,0,0,-0.03778000122806389,0.014098735230330499,0.5942028985507246,0.011797945859264632,-0.08492838651426088,-0.10272767618829039,0.09732243965896435,0.0759781428240355,-46.518231004469534,-0.13468468309590068,-0.15151615094230392,-0.13858190312593427,-0.13770167042252618,-0.1544744548888994,-0.12416851441241678,-0.12134831460674157,-0.028744023527564225,-0.02833635459502162
2021-12-31,HSIC,2021,FY,0.22549927903959438,0.1949365334948345,0.30483420109062753,0.0647368164270936,0,0,0,0,0.2538982895457703,0.20880666307569978,-0.3329627570872707,0.12929965829102394,0.4689891443430883,0.19868625729542355,0.5065456929551847,0.22933217270212508,0.922929093315445,0.6604690388666228,0.3549326948885145,1.0692117348543628,0.5511682603139559,0.26574392092016424,0.599290780141844,0.5892857142857144,-0.016932858025037894,-0.011373462385986443
2020-12-31,HSIC,2020,FY,0.013352756908983684,0.0594468359807667,-0.08947046251463173,-0.10146833742237048,0,-1,-1,0,-0.047063937707810276,0.032304470509963594,-0.18536383682469681,0.0032226319602902532,-0.20657481488273996,-0.21702962752816674,-0.22589042329384992,-0.23609071731855666,-0.5868408182053569,-0.2663508100033371,-0.2760179669654128,-0.40210011597655393,-0.20816985422223971,-0.21860365017295907,-0.18023255813953493,-0.17647058823529416,-0.03594309179593687,-0.03921424120811754
2019-12-31,HSIC,2019,FY,-0.24361409014319427,0.059638787150046044,0.061887549828274324,0.4038965247524194,0,-0.13193446829599023,0.0453257790368272,0,0.06343242352204713,0.06060295532081197,-0.33182487897284785,0.2876279328831024,0.21092240132613863,0.6009319919266022,0.056948061499061245,0.3973661426574599,0.7436670821011645,0.25155187650235805,0.6546472662176251,0.4847996872440241,-0.052093655121192954,0.2532046564799048,-0.019943019943019898,-0.02578796561604593,-0.03169872130803899,-0.028951186348051813
2018-12-31,HSIC,2018,FY,0.05941896601408028,-0.2819973428789598,-0.14367202170690327,-0.19170035140127104,0,0.06325609136173826,0.08615384615384615,0,-0.12513213139631368,-0.2477155648055778,0.41678160062623476,-0.25608063313168145,-0.29272588899879765,-0.3323943281166585,-0.19801224479411214,-0.2429928280533758,-2.161230912693787,-0.3211563898228156,-0.3592302652920011,-0.7036407673252305,0.3189326087438069,0.24495846304158436,0.3552123552123552,0.3579766536964982,-0.02634784771696633,-0.02844988875404531
2017-12-31,HSIC,2017,FY,0.07690118658779356,0.08594706295059612,0.05350424441797591,-0.02172617336240223,0,0.06097738739140426,-0.2261904761904762,0,0.052055036762019884,0.07835503942040149,0.682312733201643,0.13718930380492403,0.11703923100381407,0.0372717991871132,0.057774950609506215,-0.01776043695651185,0.0050334013731675635,0.06127179722942896,-0.014513299098324644,0.6631919911175548,-0.1982702485111824,-0.25552152646882226,-0.1803797468354431,-0.17628205128205135,-0.022585873698647216,-0.025698819443161453
2016-12-31,HSIC,2016,FY,0.0886146661073543,0.09553512588185563,0.07111407086840806,-0.016076023859088427,0,0.07754026505828178,0.06734434561626429,0,0.07384115583973297,0.09059970290491172,0.22627653029836972,0.0669465269878776,0.05697692773870645,-0.029062385548348047,0.0631575114156142,-0.023384909010727657,-0.26483790523690776,0.05380243815475397,-0.03197846730911229,0.031065655586094015,0.05786355723106597,-0.02824792718449215,0.09342560553633218,0.09473684210526316,-0.031855052870455314,-0.03488261515601783
2015-12-31,HSIC,2015,FY,0.024907847453427168,0.021096972885661338,0.03467299141453261,0.00952782624469818,0,0.022137877855653083,0.003826530612244898,0,0.021484190908457577,0.021185039986545497,0.08109905640769838,0.04525151407664315,0.022906323007835305,-0.0019528812316989307,0.07517527987448647,0.04904580708806205,-6.77320460704607,0.01910002967910508,-0.005666673842270981,-0.019567738045545197,0.0278516210840698,0.002872233514933509,0.04332129963898921,0.04779411764705878,-0.016863466445143298,-0.018836015861908095
