holder,shares,dateReported,change
VANGUARD GROUP INC,8796200,2025-09-30,87845
FMR LLC,7569822,2025-09-30,63064
"BlackRock, Inc.",6592652,2025-09-30,178194
Capital Research Global Investors,4549069,2025-09-30,-187058
STATE STREET CORP,3090172,2025-09-30,33926
BAILLIE GIFFORD & CO,2091698,2025-09-30,-43370
"GEODE CAPITAL MANAGEMENT, LLC",1965394,2025-09-30,37851
"Clearbridge Investments, LLC",1467274,2025-09-30,-69390
AMERICAN CENTURY COMPANIES INC,1406863,2025-09-30,97187
Invesco Ltd.,1339395,2025-09-30,38584
MORGAN STANLEY,1269109,2025-09-30,11055
FIL Ltd,1110751,2025-09-30,-19100
UBS ASSET MANAGEMENT AMERICAS INC,776429,2025-09-30,-56028
GOLDMAN SACHS GROUP INC,757812,2025-09-30,-231077
NORTHERN TRUST CORP,709180,2025-09-30,3618
"FEDERATED HERMES, INC.",700624,2025-09-30,-22739
Artisan Partners Limited Partnership,668846,2025-09-30,-2626
Qube Research & Technologies Ltd,574365,2025-09-30,156009
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,512056,2025-09-30,-169074
AMERIPRISE FINANCIAL INC,494712,2025-09-30,4057
MACQUARIE GROUP LTD,480733,2025-09-30,-72119
Man Group plc,461601,2025-09-30,77219
BANK OF AMERICA CORP /DE/,460373,2025-09-30,-93280
Bank of New York Mellon Corp,409055,2025-09-30,4898
NORDEA INVESTMENT MANAGEMENT AB,408211,2025-09-30,18553
RAYMOND JAMES FINANCIAL INC,396660,2025-09-30,44316
RENAISSANCE TECHNOLOGIES LLC,390893,2025-09-30,16637
Alecta Tjanstepension Omsesidigt,365000,2025-09-30,99700
CITADEL ADVISORS LLC,352443,2025-09-30,-419105
Amundi,344089,2025-09-30,16323
Legal & General Group Plc,338061,2025-09-30,15797
Allianz Asset Management GmbH,334426,2025-09-30,71548
ROYAL BANK OF CANADA,334058,2025-09-30,10263
DIMENSIONAL FUND ADVISORS LP,328638,2025-09-30,19150
AustralianSuper Pty Ltd,317658,2025-09-30,112490
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",293503,2025-09-30,-289636
"MARSHALL WACE, LLP",280470,2025-09-30,-348098
JPMORGAN CHASE & CO,278265,2025-09-30,-69519
"TWO SIGMA INVESTMENTS, LP",250804,2025-09-30,-112628
PRICE T ROWE ASSOCIATES INC /MD/,235596,2025-09-30,11538
