date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-12-07,34.5,34.98,34.42,34.9,33.54,3894101,3894101,0.4,1.16,34.7,"December 07, 23",0.0116,,,,,
2023-12-06,34.37,34.94,34.26,34.3,32.97,4369833,4369833,-0.07,-0.20367,34.4675,"December 06, 23",-0.0020367,,,,,
2023-12-05,33.76,34.23,33.58,33.98,32.66,4924200,4924200,0.22,0.65166,33.8875,"December 05, 23",0.0065166,,,,,
2023-12-04,33.6,34.5,33.51,33.97,32.65,4350151,4350151,0.37,1.1,33.895,"December 04, 23",0.011,,,,,
2023-12-01,32.36,34.14,32.36,33.83,32.52,6095000,6095000,1.47,4.54,33.1725,"December 01, 23",0.0454,,,,,
2023-11-30,31.43,32.45,31.26,32.36,31.1,10065202,10065202,0.93,2.96,31.875,"November 30, 23",0.0296,,,,,
2023-11-29,31.09,31.94,31.09,31.22,30.01,4636616,4636616,0.13,0.41814,31.335,"November 29, 23",0.0041814,,,,,
2023-11-28,29.75,30.93,29.65,30.89,29.69,5634917,5634917,1.14,3.83,30.305,"November 28, 23",0.0383,,,,,
2023-11-27,29.62,29.67,29.15,29.39,28.25,3931029,3931029,-0.23,-0.7765,29.4575,"November 27, 23",-0.007765,,,,,
2023-11-24,29.78,29.94,29.63,29.83,28.67,1313017,1313017,0.05,0.1679,29.795,"November 24, 23",0.001679,,,,,
2023-11-22,29.75,29.87,29.44,29.68,28.53,2257431,2257431,-0.07,-0.23529,29.685,"November 22, 23",-0.0023529,,,,,
2023-11-21,29.69,29.8,29.36,29.47,28.33,3038600,3038600,-0.22,-0.74099,29.58,"November 21, 23",-0.0074099,,,,,
2023-11-20,29.81,29.91,29.52,29.82,28.66,3496413,3496413,0.01,0.03354579,29.765,"November 20, 23",0.0003354579,,,,,
2023-11-17,29.29,29.89,29.1,29.88,28.72,3701422,3701422,0.59,2.01,29.54,"November 17, 23",0.0201,,,,,
2023-11-16,29.72,29.89,28.84,28.91,27.79,4851007,4851007,-0.81,-2.73,29.34,"November 16, 23",-0.0273,,,,,
2023-11-15,30.17,30.3,29.65,29.76,28.6,4657631,4657631,-0.41,-1.36,29.97,"November 15, 23",-0.0136,,,,,
2023-11-14,30.16,30.67,29.86,30.3,29.12,3962709,3962709,0.14,0.46419,30.2475,"November 14, 23",0.0046419,,,,,
2023-11-13,29.48,29.73,29.26,29.46,28.32,2791700,2791700,-0.02,-0.06784261,29.4825,"November 13, 23",-0.0006784261,,,,,
2023-11-10,29.26,29.6,29.02,29.57,28.42,2866434,2866434,0.31,1.06,29.3625,"November 10, 23",0.0106,,,,,
2023-11-09,29.51,29.56,29.05,29.15,28.02,3238247,3238247,-0.36,-1.22,29.3175,"November 09, 23",-0.0122,,,,,
2023-11-08,29.29,29.44,29.09,29.32,28.18,4057610,4057610,0.03,0.10242,29.285,"November 08, 23",0.0010242,,,,,
2023-11-07,29.36,29.45,29.07,29.35,28.21,3067306,3067306,-0.01,-0.03405995,29.3075,"November 07, 23",-0.0003405995,,,,,
2023-11-06,30.05,30.22,29.15,29.51,28.36,3890901,3890901,-0.54,-1.8,29.7325,"November 06, 23",-0.018,,,,,
2023-11-03,29.6,30.36,29.52,30.15,28.98,4226937,4226937,0.55,1.86,29.9075,"November 03, 23",0.0186,,,,,
2023-11-02,28.47,29.09,28.24,29.08,27.95,3555300,3555300,0.61,2.14,28.72,"November 02, 23",0.0214,,,,,
