date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2025-05-25,LW,USD,0001679273,2025-07-23,2025-07-23 13:42:11,2025,FY,357200000,407500000,600000,39500000,78100000,-22200000,112600000,2000000,-14300000,-14600000,868300000,-638200000,0,0,21100000,-30900000,-648000000,291500000,0,-294400000,-206900000,-15200000,-225000000,4000000,-700000,70700000,71400000,868300000,-638200000,230100000,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000049/0001679273-25-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000049/lw-20250525.htm
2024-05-26,LW,USD,0001679273,2024-07-24,2024-07-24 13:29:21,2024,FY,725500000,306800000,-1300000,46800000,-271000000,-15100000,-203300000,36500000,-89100000,-8600000,798200000,-929500000,-10500000,0,18000000,-62100000,-984100000,355800000,0,-225300000,-174000000,-4500000,-48000000,500000,-233400000,71400000,304800000,798200000,-929500000,-131300000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/0001679273-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/lw-20240526.htm
2023-05-28,LW,USD,0001679273,2023-07-25,2023-07-25 14:13:42,2023,FY,1008900000,222800000,400000,38500000,-49600000,-53600000,-125100000,83100000,46000000,-459300000,761700000,-654000000,-610400000,0,0,-76500000,-1340900000,538300000,0,-51600000,-146100000,200000,340800000,18200000,-220200000,304800000,525000000,761700000,-654000000,107700000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/0001558370-23-012203-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/lw-20230528x10k.htm
2022-05-29,LW,USD,0001679273,2022-07-27,2022-07-27 14:09:53,2022,FY,200900000,192100000,13500000,21300000,-85900000,-76300000,-63000000,16500000,36900000,76700000,418600000,-290100000,0,0,0,-20400000,-310500000,-61600000,0,-158400000,-138400000,-5000000,-363400000,-3200000,-258500000,525000000,783500000,418600000,-290100000,128500000,https://www.sec.gov/Archives/edgar/data/1679273/000155837022011121/0001558370-22-011121-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837022011121/lw-20220529x10k.htm
2021-05-30,LW,USD,0001679273,2021-07-27,2021-07-27 13:36:37,2021,FY,317800000,187800000,3800000,20600000,44500000,-21000000,-22000000,104700000,-17200000,-21800000,552700000,-147200000,0,0,0,-15300000,-162500000,-804300000,0,-36100000,-135300000,1700000,-974000000,3300000,-580500000,783500000,1364000000,552700000,-147200000,405500000,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/0001558370-21-009330-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/lw-20210530x10k.htm
2020-05-31,LW,USD,0001679273,2020-07-28,2020-07-28 15:23:45,2020,FY,365900000,182300000,20000000,22800000,-33900000,1100000,15300000,-34900000,-15400000,16900000,574000000,-167700000,-139300000,0,0,-39000000,-346000000,1277100000,0,-28900000,-121300000,-1900000,1125000000,-1200000,1351800000,1364000000,12200000,574000000,-167700000,406300000,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/0001558370-20-008501-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/lw-20200531x10k.htm
2019-05-31,LW,USD,0001679273,2019-07-25,2019-07-25 13:44:43,2019,FY,487200000,162400000,37500000,18800000,-24400000,-25100000,-15800000,32900000,-16400000,-600000,680900000,-334200000,-88600000,0,0,-200000,-423000000,-67700000,0,-36400000,-113300000,-82200000,-299600000,-1700000,-43400000,12200000,55600000,680900000,-334200000,346700000,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/0001558370-19-006311-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/lw-20190526x10k.htm
2018-05-31,LW,USD,0001679273,2018-07-26,2018-07-25 17:59:46,2018,FY,433700000,143300000,-3600000,13500000,-62600000,-40400000,-23600000,-8300000,9700000,-43100000,481200000,-306800000,2200000,0,0,0,-306800000,-39200000,0,-2700000,-110200000,-26800000,-178900000,3000000,-1500000,55600000,57100000,481200000,-306800000,174400000,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/0001558370-18-005726-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/lw-20180527x10k.htm
2017-05-31,LW,USD,0001679273,2017-07-25,2017-07-25 15:35:50,2017,FY,340200000,109100000,14800000,5700000,-5500000,1200000,-26100000,12100000,7300000,-17400000,446900000,-287400000,2100000,0,0,2100000,-285300000,771500000,0,-200000,-850900000,-62400000,-142000000,1100000,20700000,57100000,36400000,446900000,-287400000,159500000,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/0001558370-17-005308-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/lw-20170528x10k.htm
2016-05-31,LW,USD,0001679273,2016-05-31,2016-05-30 20:00:00,2016,FY,294600000,95900000,20700000,3200000,8200000,-15100000,-10700000,7500000,26500000,-40300000,382300000,-152300000,8000000,0,0,8000000,-144300000,12300000,0,0,0,-245100000,-232800000,600000,5800000,36400000,30600000,382300000,-152300000,230000000,,
2015-05-31,LW,USD,0001679273,2015-05-31,2015-05-30 20:00:00,2015,FY,277600000,96400000,23700000,6900000,-14300000,3500000,-43800000,1300000,24700000,-36600000,353700000,-114700000,-74900000,0,0,18400000,-171200000,-15700000,0,0,0,-162000000,-177700000,-1200000,3600000,30600000,27000000,353700000,-114700000,239000000,,
2014-05-31,LW,USD,0001679273,2014-05-31,2014-05-30 20:00:00,2014,FY,270300000,79200000,0,4800000,200000,-3500000,24500000,10400000,-31200000,31900000,386400000,-194600000,0,0,0,21400000,-173200000,-3600000,0,0,0,-196000000,-199600000,300000,13900000,27000000,13100000,386400000,-194600000,191800000,,
2013-05-31,LW,USD,0001679273,2013-05-31,2013-05-30 20:00:00,2013,FY,298300000,77900000,47800000,5500000,-85400000,-10600000,-42700000,0,-32100000,6300000,302600000,-112500000,0,0,0,6100000,-106400000,0,0,0,0,-203600000,-203600000,700000,-6700000,13100000,19800000,302600000,-112500000,190100000,,
