date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,recordDate,declarationDate,dividend,adjDividend
2026-01-02,340.07,349.96,336,349.75,349.75,402974,402974,9.68,2.85,343.945,"January 02, 26",0.0285,,,,,
2025-12-31,343.18,344.22,339.11,340.07,340.07,262458,262458,-3.11,-0.90623,341.645,"December 31, 25",-0.0090623,,,,,
2025-12-30,346.26,347.34,340.27,341.98,341.98,384903,384903,-4.28,-1.24,343.9625,"December 30, 25",-0.0124,,,,,
2025-12-29,350.58,352.5,344.9,345.73,345.73,423020,423020,-4.85,-1.38,348.4275,"December 29, 25",-0.0138,,,,,
2025-12-26,355.04,356.1,350,351.13,351.13,323015,323015,-3.91,-1.1,353.0675,"December 26, 25",-0.011,,,,,
2025-12-24,354.01,359.3,353,355.45,355.45,197300,197300,1.44,0.40677,355.44,"December 24, 25",0.0040677,,,,,
2025-12-23,358.07,360.2,351.23,354.52,354.52,645024,645024,-3.55,-0.99143,356.005,"December 23, 25",-0.0099143,,,,,
2025-12-22,338.69,357.44,338.07,353.52,353.52,866816,866816,14.83,4.38,346.93,"December 22, 25",0.0438,,,,,
2025-12-19,324.15,337.44,324.15,336.64,336.64,1438540,1438540,12.49,3.85,330.595,"December 19, 25",0.0385,,,,,
2025-12-18,321.71,327.19,320.73,322.63,322.63,399204,399204,0.92,0.28597,323.065,"December 18, 25",0.0028597,,,,,
2025-12-17,324.17,327.38,318.62,321.29,321.29,475100,475100,-2.88,-0.88842,322.865,"December 17, 25",-0.0088842,,,,,
2025-12-16,327.06,328.24,322.01,326.8,326.8,377916,377916,-0.26,-0.07949612,326.0275,"December 16, 25",-0.0007949612,,,,,
2025-12-15,328.03,331.86,324.72,329.16,329.16,335021,335021,1.13,0.34448,328.4425,"December 15, 25",0.0034448,,,,,
2025-12-12,331.25,333.31,326.29,326.92,326.92,386317,386317,-4.33,-1.31,329.4425,"December 12, 25",-0.0131,,,,,
2025-12-11,324.19,330.45,321.73,326.72,326.72,521900,521900,2.53,0.78041,325.7725,"December 11, 25",0.0078041,,,,,
2025-12-10,314.19,326.63,311.04,323.14,323.14,441408,441408,8.95,2.85,318.75,"December 10, 25",0.0285,,,,,
2025-12-09,315.15,320,314.45,314.95,314.95,322900,322900,-0.2,-0.06346184,316.1375,"December 09, 25",-0.0006346184,,,,,
2025-12-08,306.18,316.58,303.61,315.88,315.88,450197,450197,9.7,3.17,310.5625,"December 08, 25",0.0317,,,,,
2025-12-05,315.51,317.86,300.2,304.58,304.58,632912,632912,-10.93,-3.46,309.5375,"December 05, 25",-0.0346,,,,,
2025-12-04,308.68,318.61,308.4,315.88,315.88,358000,358000,7.2,2.33,312.8925,"December 04, 25",0.0233,,,,,
2025-12-03,307.08,310.16,304.01,309.23,309.23,347042,347042,2.15,0.70014,307.62,"December 03, 25",0.0070014,,,,,
2025-12-02,307.95,310.87,306.63,307.2,307.2,330919,330919,-0.75,-0.24355,308.1625,"December 02, 25",-0.0024355,,,,,
2025-12-01,312.46,312.46,306.08,306.65,306.65,357100,357100,-5.81,-1.86,309.4125,"December 01, 25",-0.0186,,,,,
2025-11-28,313.24,314.31,311.64,313.62,313.62,133144,133144,0.38,0.12131,313.2025,"November 28, 25",0.0012131,2025-12-12,2025-11-28,2025-10-21,1.38,1.38
2025-11-26,315.39,317.78,313,314.31,312.93,229900,229900,-1.08,-0.34243,315.12,"November 26, 25",-0.0034243,,,,,
2025-11-25,311.6,316.13,307.38,314.73,313.35,452665,452665,3.13,1,312.46,"November 25, 25",0.01,,,,,
2025-11-24,302.18,311.3,300.77,309.92,308.56,282600,282600,7.74,2.56,306.0425,"November 24, 25",0.0256,,,,,
2025-11-21,301.26,308.33,295.87,305.49,304.15,516501,516501,4.23,1.4,302.7375,"November 21, 25",0.014,,,,,
2025-11-20,315.44,319.9,301.32,301.83,300.5,533410,533410,-13.61,-4.31,309.6225,"November 20, 25",-0.0431,,,,,
2025-11-19,307,311.05,304.8,309.74,308.38,312940,312940,2.74,0.89251,308.1475,"November 19, 25",0.0089251,,,,,
2025-11-18,310.32,312.37,305.37,309.16,307.8,308900,308900,-1.16,-0.37381,309.305,"November 18, 25",-0.0037381,,,,,
2025-11-17,314,314.65,308.34,309.74,308.38,321002,321002,-4.26,-1.36,311.6825,"November 17, 25",-0.0136,,,,,
2025-11-14,309.33,317.25,305.3,313.97,312.59,340418,340418,4.64,1.5,311.4625,"November 14, 25",0.015,,,,,
2025-11-13,320,321.04,310.06,312.67,311.3,431403,431403,-7.33,-2.29,315.9425,"November 13, 25",-0.0229,,,,,
2025-11-12,321.45,325.76,317.77,317.89,316.49,471147,471147,-3.56,-1.11,320.7175,"November 12, 25",-0.0111,,,,,
2025-11-11,317.57,327.98,315.38,324.19,322.77,725502,725502,6.62,2.08,321.28,"November 11, 25",0.0208,,,,,
2025-11-10,311.17,319.79,310.97,318.66,317.26,708128,708128,7.49,2.41,315.1475,"November 10, 25",0.0241,,,,,
2025-11-07,303.86,310.8,299.07,309.56,308.2,595480,595480,5.7,1.88,305.8225,"November 07, 25",0.0188,,,,,
2025-11-06,307.12,308.22,301.29,305.43,304.09,434712,434712,-1.69,-0.55027,305.515,"November 06, 25",-0.0055027,,,,,
2025-11-05,313.45,314.5,305.27,306.68,305.33,525890,525890,-6.77,-2.16,309.975,"November 05, 25",-0.0216,,,,,
2025-11-04,312.55,318.2,311,315.9,314.51,383397,383397,3.35,1.07,314.4125,"November 04, 25",0.0107,,,,,
2025-11-03,322.41,323.12,312.18,317.54,316.15,651324,651324,-4.87,-1.51,318.8125,"November 03, 25",-0.0151,,,,,
2025-10-31,316.18,323.34,311.85,322.02,320.61,788430,788430,5.84,1.85,318.3475,"October 31, 25",0.0185,,,,,
2025-10-30,315,330,310,319.07,317.67,981618,981618,4.07,1.29,318.5175,"October 30, 25",0.0129,,,,,
2025-10-29,300,301.24,296.3,298.42,297.11,549709,549709,-1.58,-0.52667,298.99,"October 29, 25",-0.0052667,,,,,
