date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,dividend,paymentDate,declarationDate
2026-01-05,1358.29,1387.84,1358.29,1369.82996,1369.82996,92423,92423,11.54,0.84959471,1371.99,"January 05, 26",0.0084959471,,,,,
2026-01-02,1329.03,1359.98,1319.75,1358.55,1358.55,278700,278700,29.52,2.22,1341.8275,"January 02, 26",0.0222,,,,,
2025-12-31,1326.59,1341.07,1323.93,1329.85,1329.85,266500,266500,3.26,0.24574,1330.36,"December 31, 25",0.0024574,,,,,
2025-12-30,1312.67,1319.88,1304.39,1316.45,1316.45,149200,149200,3.78,0.28796,1313.3475,"December 30, 25",0.0028796,,,,,
2025-12-29,1310,1320.67,1310,1315.96,1315.96,205703,205703,5.96,0.45496,1314.1575,"December 29, 25",0.0045496,,,,,
2025-12-26,1309.48,1316.68,1305,1309.24,1309.24,120655,120655,-0.24,-0.01832789,1310.1,"December 26, 25",-0.0001832789,,,,,
2025-12-24,1311.5,1319.89,1310.86,1313.57,1313.57,72700,72700,2.07,0.15783,1313.955,"December 24, 25",0.0015783,,,,,
2025-12-23,1305.42,1318.18,1296.26,1314.52,1314.52,246600,246600,9.1,0.69709,1308.595,"December 23, 25",0.0069709,,,,,
2025-12-22,1280,1303.14,1276.54,1301.79,1301.79,308543,308543,21.79,1.7,1290.3675,"December 22, 25",0.017,,,,,
2025-12-19,1263.57,1280.96,1260.97,1276.83,1276.83,633000,633000,13.26,1.05,1270.5825,"December 19, 25",0.0105,,,,,
2025-12-18,1270.99,1276.77,1237.09,1262.78,1262.78,720106,720106,-8.21,-0.64595,1261.9075,"December 18, 25",-0.0064595,,,,,
2025-12-17,1263.8,1286.81,1256.53,1261.64,1261.64,469012,469012,-2.16,-0.17091,1267.195,"December 17, 25",-0.0017091,,,,,
2025-12-16,1289.79,1292.49,1264.28,1270.57,1270.57,399315,399315,-19.22,-1.49,1279.2825,"December 16, 25",-0.0149,,,,,
2025-12-15,1306.58,1312.34,1282.1,1292.08,1292.08,554427,554427,-14.5,-1.11,1298.275,"December 15, 25",-0.0111,,,,,
2025-12-12,1320,1321.25,1293.09,1294.65,1294.65,432232,432232,-25.35,-1.92,1307.2475,"December 12, 25",-0.0192,,,,,
