holder,shares,dateReported,change
VANGUARD GROUP INC,5353414,2025-09-30,33674
"BlackRock, Inc.",3991403,2025-09-30,-87518
STATE STREET CORP,1975260,2025-09-30,44182
"Sanders Capital, LLC",1263820,2025-09-30,103540
MORGAN STANLEY,1257365,2025-09-30,-79877
JPMORGAN CHASE & CO,1223522,2025-09-30,-6433
"GEODE CAPITAL MANAGEMENT, LLC",1218263,2025-09-30,15876
PRICE T ROWE ASSOCIATES INC /MD/,1063392,2025-09-30,-44561
"T. Rowe Price Investment Management, Inc.",971760,2025-09-30,99588
Invesco Ltd.,840383,2025-09-30,211485
BANK OF AMERICA CORP /DE/,742542,2025-09-30,-87085
FRANKLIN RESOURCES INC,626093,2025-09-30,43458
NORTHERN TRUST CORP,591480,2025-09-30,-868
Swedbank AB,581506,2025-09-30,36456
DIMENSIONAL FUND ADVISORS LP,510909,2025-09-30,1659
DEUTSCHE BANK AG\,493636,2025-09-30,-37643
UBS ASSET MANAGEMENT AMERICAS INC,482837,2025-09-30,-80117
"Alyeska Investment Group, L.P.",456613,2025-09-30,195041
"MARSHALL WACE, LLP",454206,2025-09-30,-200392
Alecta Tjanstepension Omsesidigt,450505,2025-09-30,-38300
Amundi,444763,2025-09-30,-3783
TD ASSET MANAGEMENT INC,432497,2025-09-30,-64961
CITADEL ADVISORS LLC,415142,2025-09-30,261437
"Holocene Advisors, LP",379939,2025-09-30,293516
Legal & General Group Plc,369434,2025-09-30,15462
UBS Group AG,339730,2025-09-30,-132461
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,339606,2025-09-30,8662
"Epoch Investment Partners, Inc.",306010,2025-09-30,-51019
AQR CAPITAL MANAGEMENT LLC,298338,2025-09-30,-179166
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,295833,2025-09-30,211266
GOLDMAN SACHS GROUP INC,283443,2025-09-30,18714
BARCLAYS PLC,276463,2025-09-30,146130
Bank of New York Mellon Corp,253639,2025-09-30,-22998
WELLS FARGO & COMPANY/MN,244512,2025-09-30,-2625
Pictet Asset Management Holding SA,229603,2025-09-30,24129
Andra AP-fonden,228800,2025-09-30,228735
Universal- Beteiligungs- und Servicegesellschaft mbH,227235,2025-09-30,-1375
"FEDERATED HERMES, INC.",223236,2025-09-30,-5309
AMERIPRISE FINANCIAL INC,213134,2025-09-30,113319
Robeco Institutional Asset Management B.V.,212952,2025-09-30,123230
DekaBank Deutsche Girozentrale,209415,2025-09-30,0
SUMMITRY LLC,201543,2025-09-30,2785
"Interval Partners, LP",182348,2025-09-30,-80769
"Nuveen, LLC",178055,2025-09-30,45942
AMERICAN CENTURY COMPANIES INC,177241,2025-09-30,20329
EARNEST PARTNERS LLC,165902,2025-09-30,-3735
MILLENNIUM MANAGEMENT LLC,163207,2025-09-30,-47073
ROYAL BANK OF CANADA,162258,2025-09-30,74223
THRIVENT FINANCIAL FOR LUTHERANS,158132,2025-09-30,148815
"Smead Capital Management, Inc.",153423,2025-09-30,-11735
HSBC HOLDINGS PLC,140726,2025-09-30,17910
"Allspring Global Investments Holdings, LLC",139468,2025-09-30,-12908
KEYBANK NATIONAL ASSOCIATION/OH,133889,2025-09-30,2121
"Rakuten Investment Management, Inc.",131681,2025-09-30,131681
Candlestick Capital Management LP,130101,2025-09-30,101510
Swiss National Bank,129500,2025-09-30,-7700
"Russell Investments Group, Ltd.",128863,2025-09-30,11724
BANK OF MONTREAL /CAN/,128577,2025-09-30,58889
Quantinno Capital Management LP,127834,2025-09-30,55824
"Shellback Capital, LP",126822,2025-09-30,-11198
"Champlain Investment Partners, LLC",122920,2025-09-30,-212995
BALYASNY ASSET MANAGEMENT L.P.,120276,2025-09-30,-382932
BNP Paribas Asset Management Holding S.A.,118797,2025-09-30,40087
VICTORY CAPITAL MANAGEMENT INC,116632,2025-09-30,-7391
"Glenmede Investment Management, LP",115964,2025-09-30,-6020
"Sumitomo Mitsui Trust Holdings, Inc.",112875,2025-09-30,-649
AMI ASSET MANAGEMENT CORP,109783,2025-09-30,-1554
ALLIANCEBERNSTEIN L.P.,107780,2025-09-30,-42764
"Zuckerman Investment Group, LLC",105145,2025-09-30,-5704
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",98753,2025-09-30,-1419
Rathbones Group PLC,97214,2025-09-30,-44946
HUNTINGTON NATIONAL BANK,91772,2025-09-30,91001
"BNP PARIBAS ARBITRAGE, SNC",90853,2025-09-30,18428
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,87901,2025-09-30,5944
RHUMBLINE ADVISERS,87887,2025-09-30,-2820
VIRGINIA RETIREMENT SYSTEMS ET AL,84000,2025-09-30,1500
OSSIAM,81881,2025-09-30,-464
BRIDGES INVESTMENT MANAGEMENT INC,80902,2025-09-30,-1390
"LORD, ABBETT & CO. LLC",74920,2025-09-30,72417
Allianz Asset Management GmbH,74201,2025-09-30,67325
"Gotham Asset Management, LLC",73076,2025-09-30,5445
LPL Financial LLC,71771,2025-09-30,8466
"HighTower Advisors, LLC",71358,2025-09-30,-20766
NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,71084,2025-09-30,-9729
PRUDENTIAL FINANCIAL INC,70209,2025-09-30,-53922
PANAGORA ASSET MANAGEMENT INC,70142,2025-09-30,62600
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,70135,2025-09-30,514
BI Asset Management Fondsmaeglerselskab A/S,69614,2025-09-30,28776
MANE GLOBAL CAPITAL MANAGEMENT LP,66933,2025-09-30,-59658
RENAISSANCE GROUP LLC,66187,2025-09-30,66187
"NATIXIS ADVISORS, L.P.",65859,2025-09-30,19197
"Carnegie Capital Asset Management, LLC",63987,2025-09-30,428
RAYMOND JAMES FINANCIAL INC,63842,2025-09-30,-551
PRIMECAP MANAGEMENT CO/CA/,61930,2025-09-30,-500
"ADAGE CAPITAL PARTNERS GP, L.L.C.",60952,2025-09-30,22100
ENVESTNET ASSET MANAGEMENT INC,60559,2025-09-30,2413
AMF Tjanstepension AB,60137,2025-09-30,60137
DANSKE BANK A/S,58958,2025-09-30,36817
"CIBC Private Wealth Group, LLC",57444,2025-09-30,-1288
PRINCIPAL FINANCIAL GROUP INC,55371,2025-09-30,-19873
CLARET ASSET MANAGEMENT Corp,53986,2025-09-30,-583
Korea Investment CORP,53249,2025-09-30,24471
STRS OHIO,52580,2025-09-30,-2999
HARVEY INVESTMENT CO LLC,49767,2025-09-30,-495
JONES FINANCIAL COMPANIES LLLP,49321,2025-09-30,5910
GREAT WEST LIFE ASSURANCE CO /CAN/,49169,2025-09-30,-4373
"Point72 Asset Management, L.P.",49020,2025-09-30,-240225
"Ensign Peak Advisors, Inc",48327,2025-09-30,-4576
SEI INVESTMENTS CO,47921,2025-09-30,-2159
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,46773,2025-09-30,703
Treasurer of the State of North Carolina,44395,2025-09-30,-822
Impax Asset Management Group plc,42068,2025-09-30,-3435
abrdn plc,42005,2025-09-30,6551
"Advisors Capital Management, LLC",41862,2025-09-30,-30
"IEQ CAPITAL, LLC",40510,2025-09-30,3241
Verition Fund Management LLC,39346,2025-09-30,-14773
FIRST TRUST ADVISORS LP,39197,2025-09-30,-37161
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,38894,2025-09-30,-5213
Achmea Investment Management B.V.,38634,2025-09-30,8405
Zurcher Kantonalbank (Zurich Cantonalbank),37998,2025-09-30,10044
COERENTE CAPITAL MANAGEMENT,37448,2025-09-30,85
CITIGROUP INC,37385,2025-09-30,-23675
"NICHOLAS COMPANY, INC.",37185,2025-09-30,-5
Mitsubishi UFJ Trust & Banking Corp,37166,2025-09-30,8988
AVIVA PLC,36672,2025-09-30,543
Assenagon Asset Management S.A.,36647,2025-09-30,17365
DIAMOND HILL CAPITAL MANAGEMENT INC,36532,2025-09-30,-21505
Handelsbanken Fonder AB,36498,2025-09-30,-397
TORONTO DOMINION BANK,35989,2025-09-30,-5141
KLP KAPITALFORVALTNING AS,35716,2025-09-30,17700
Neuberger Berman Group LLC,35313,2025-09-30,-4109
Quadrature Capital Ltd,35238,2025-09-30,23657
Compass Wealth Management LLC,34728,2025-09-30,34728
Rempart Asset Management Inc.,34241,2025-09-30,124
ROYAL LONDON ASSET MANAGEMENT LTD,34174,2025-09-30,839
HOLLENCREST CAPITAL MANAGEMENT,34163,2025-09-30,0
THOMPSON SIEGEL & WALMSLEY LLC,33865,2025-09-30,-8687
"Clearstead Advisors, LLC",33519,2025-09-30,226
Heron Bay Capital Management,32978,2025-09-30,-815
"PUNCH & ASSOCIATES INVESTMENT MANAGEMENT, INC.",32950,2025-09-30,62
Freestone Grove Partners LP,32917,2025-09-30,-81030
TEACHER RETIREMENT SYSTEM OF TEXAS,32790,2025-09-30,25910
Illinois Municipal Retirement Fund,32747,2025-09-30,957
MERCER GLOBAL ADVISORS INC /ADV,32643,2025-09-30,8259
"GHP Investment Advisors, Inc.",32162,2025-09-30,162
Man Group plc,31874,2025-09-30,21714
Candriam S.C.A.,30849,2025-09-30,6118
JUPITER ASSET MANAGEMENT LTD,30540,2025-09-30,-5181
STIFEL FINANCIAL CORP,29526,2025-09-30,281
NEW YORK STATE COMMON RETIREMENT FUND,29498,2025-09-30,-1388
"Brandywine Global Investment Management, LLC",29308,2025-09-30,71
"ISTHMUS PARTNERS, LLC",29187,2025-09-30,-794
Baader Bank Aktiengesellschaft,29016,2025-09-30,4992
NATIONAL BANK OF CANADA /FI/,28809,2025-09-30,-24030
Voleon Capital Management LP,27389,2025-09-30,15350
BALDWIN BROTHERS LLC/MA,27031,2025-09-30,-156
Schonfeld Strategic Advisors LLC,26799,2025-09-30,-17950
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",26598,2025-09-30,-2462
Courant Investment Management LLC,26173,2025-09-30,0
AXA Investment Managers S.A.,26144,2025-09-30,26144
F/M Investments LLC,26077,2025-09-30,-172
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,25923,2025-09-30,10856
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",25665,2025-09-30,-959
APG Asset Management N.V.,25400,2025-09-30,-700
Artemis Investment Management LLP,24999,2025-09-30,24999
STATE OF WISCONSIN INVESTMENT BOARD,24918,2025-09-30,-5287
"Stanley Capital Management, LLC",23730,2025-09-30,-8200
"State of Tennessee, Treasury Department",23292,2025-09-30,4018
GENEVA CAPITAL MANAGEMENT LLC,23023,2025-09-30,-1080
North Growth Management Ltd.,23000,2025-09-30,0
"Chevy Chase Trust Holdings, LLC",22938,2025-09-30,-910
SHELTON CAPITAL MANAGEMENT,22447,2025-09-30,7481
