holder,shares,dateReported,change
VANGUARD GROUP INC,75581275,2025-09-30,2894355
"BlackRock, Inc.",62126478,2025-09-30,-1738122
STATE STREET CORP,29660558,2025-09-30,477397
"GEODE CAPITAL MANAGEMENT, LLC",17181771,2025-09-30,264797
Bank of New York Mellon Corp,13611407,2025-09-30,-945305
Invesco Ltd.,10816519,2025-09-30,1568337
MORGAN STANLEY,10758494,2025-09-30,1387705
Fundsmith LLP,8420092,2025-09-30,1730
FIRST TRUST ADVISORS LP,7575662,2025-09-30,1790033
NORDEA INVESTMENT MANAGEMENT AB,6922031,2025-09-30,195896
NORTHERN TRUST CORP,6814245,2025-09-30,-102267
UBS ASSET MANAGEMENT AMERICAS INC,6363994,2025-09-30,-784250
PRICE T ROWE ASSOCIATES INC /MD/,6212812,2025-09-30,-1887076
Legal & General Group Plc,6115450,2025-09-30,273428
DEUTSCHE BANK AG\,5711637,2025-09-30,1510080
VAN ECK ASSOCIATES CORP,5564558,2025-09-30,2132109
AMERIPRISE FINANCIAL INC,5160348,2025-09-30,969899
GOLDMAN SACHS GROUP INC,5044486,2025-09-30,438743
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",4643983,2025-09-30,-2557941
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,4524187,2025-09-30,282681
Swedbank AB,4475441,2025-09-30,651057
JPMORGAN CHASE & CO,3954320,2025-09-30,481447
FMR LLC,3855512,2025-09-30,-4189312
DIMENSIONAL FUND ADVISORS LP,3846164,2025-09-30,858723
BARCLAYS PLC,3777966,2025-09-30,-891314
BANK OF AMERICA CORP /DE/,3677607,2025-09-30,42393
UBS Group AG,3318991,2025-09-30,62561
Amundi,3288379,2025-09-30,-85720
BESSEMER GROUP INC,3238791,2025-09-30,-1511678
Sarasin & Partners LLP,2894003,2025-09-30,85278
CITIGROUP INC,2830355,2025-09-30,458468
Pictet Asset Management Holding SA,2525624,2025-09-30,-395546
Allianz Asset Management GmbH,2373680,2025-09-30,-37083
AQR CAPITAL MANAGEMENT LLC,2331901,2025-09-30,-3721768
FUNDSMITH INVESTMENT SERVICES LTD.,2279732,2025-09-30,-230706
National Pension Service,2223198,2025-09-30,50861
"JACOBS LEVY EQUITY MANAGEMENT, INC",2088545,2025-09-30,237040
HSBC HOLDINGS PLC,2088538,2025-09-30,832064
ProShare Advisors LLC,1974442,2025-09-30,776705
ROYAL BANK OF CANADA,1953034,2025-09-30,-474707
BANK OF MONTREAL /CAN/,1906276,2025-09-30,350088
Swiss National Bank,1875400,2025-09-30,-103700
"TWO SIGMA ADVISERS, LP",1792320,2025-09-30,-42000
"Sumitomo Mitsui Trust Holdings, Inc.",1656888,2025-09-30,-109928
ACADIAN ASSET MANAGEMENT LLC,1655236,2025-09-30,-1073344
VICTORY CAPITAL MANAGEMENT INC,1651683,2025-09-30,90284
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,1636607,2025-09-30,159942
Robeco Institutional Asset Management B.V.,1629635,2025-09-30,-931704
VOYA INVESTMENT MANAGEMENT LLC,1625176,2025-09-30,-26200
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1608359,2025-09-30,-533794
"Nuveen, LLC",1493226,2025-09-30,-191735
CCLA Investment Management,1486658,2025-09-30,30723
"Vident Advisory, LLC",1381188,2025-09-30,276231
