date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,recordDate,dividend,declarationDate
2025-12-10,58.82,61.2,58.75,60.83,60.83,2301100,2301100,2.01,3.42,59.9,"December 10, 25",0.0342,,,,,
2025-12-09,60.04,60.6,58.78,58.82,58.82,1835920,1835920,-1.22,-2.03,59.56,"December 09, 25",-0.0203,,,,,
2025-12-08,61.68,61.69,59.95,60.29,60.29,2070615,2070615,-1.39,-2.25,60.9025,"December 08, 25",-0.0225,,,,,
2025-12-05,63.5,63.98,61.35,61.68,61.68,1765000,1765000,-1.82,-2.87,62.6275,"December 05, 25",-0.0287,,,,,
2025-12-04,63.78,63.79,61.27,63.54,63.54,1442714,1442714,-0.24,-0.37629,63.095,"December 04, 25",-0.0037629,,,,,
2025-12-03,63.33,64.72,63.11,63.82,63.82,1783107,1783107,0.49,0.77372,63.745,"December 03, 25",0.0077372,,,,,
2025-12-02,63.85,64,62.84,62.95,62.95,1368627,1368627,-0.9,-1.41,63.41,"December 02, 25",-0.0141,,,,,
2025-12-01,63.78,65.25,63.57,63.76,63.76,1657014,1657014,-0.02,-0.03135779,64.09,"December 01, 25",-0.0003135779,,,,,
2025-11-28,64.63,65.11,63.99,64.51,64.51,867038,867038,-0.12,-0.18567,64.56,"November 28, 25",-0.0018567,,,,,
2025-11-26,65.44,65.74,64.09,64.63,64.63,1472256,1472256,-0.81,-1.24,64.975,"November 26, 25",-0.0124,,,,,
2025-11-25,64.03,66.06,63.36,65.85,65.85,2047000,2047000,1.82,2.84,64.825,"November 25, 25",0.0284,,,,,
2025-11-24,61.29,64.11,61.16,63.49,63.49,2954428,2954428,2.2,3.59,62.5125,"November 24, 25",0.0359,,,,,
2025-11-21,58.83,62.56,58.42,61.53,61.53,2001749,2001749,2.7,4.59,60.335,"November 21, 25",0.0459,,,,,
2025-11-20,59.1,59.47,58.14,58.73,58.73,1534635,1534635,-0.37,-0.62606,58.86,"November 20, 25",-0.0062606,,,,,
2025-11-19,57.96,58.49,57.02,57.81,57.81,1257133,1257133,-0.15,-0.2588,57.82,"November 19, 25",-0.002588,,,,,
2025-11-18,57.91,58.89,57.23,58.15,58.15,1726800,1726800,0.245,0.41444,58.045,"November 18, 25",0.0041444,,,,,
2025-11-17,58.98,59.54,58.16,58.61,58.61,1672209,1672209,-0.37,-0.62733,58.8225,"November 17, 25",-0.0062733,0.08,2025-11-28,2025-11-17,0.08,2025-11-05
2025-11-14,59.43,60.59,58.67,59.38,59.3,1969100,1969100,-0.05,-0.08413259,59.5175,"November 14, 25",-0.0008413259,,,,,
2025-11-13,60.57,62.31,60.37,60.75,60.67,2515400,2515400,0.18,0.29718,61,"November 13, 25",0.0029718,,,,,
2025-11-12,59.12,61.65,58.8,61.4,61.32,2609600,2609600,2.28,3.86,60.2425,"November 12, 25",0.0386,,,,,
2025-11-11,58,59.9,58,59.18,59.1,2228600,2228600,1.18,2.03,58.77,"November 11, 25",0.0203,,,,,
2025-11-10,57.77,58.41,56.97,57.46,57.38,1840915,1840915,-0.31,-0.53661,57.6525,"November 10, 25",-0.0053661,,,,,
2025-11-07,57.76,58.04,56.53,57.41,57.33,1756126,1756126,-0.35,-0.60596,57.435,"November 07, 25",-0.0060596,,,,,
2025-11-06,60.43,60.79,56.93,58.18,58.1,2370015,2370015,-2.25,-3.72,59.0825,"November 06, 25",-0.0372,,,,,
2025-11-05,54.4,61.12,54.2,59.94,59.86,4297306,4297306,5.54,10.18,57.415,"November 05, 25",0.1018,,,,,
2025-11-04,61.22,62.67,60.77,61.1,61.02,3015944,3015944,-0.12,-0.19601,61.44,"November 04, 25",-0.0019601,,,,,
2025-11-03,61.91,62.38,60.78,61.26,61.18,1879048,1879048,-0.65,-1.05,61.5825,"November 03, 25",-0.0105,,,,,
2025-10-31,60.81,62.96,60.48,62.57,62.49,2108427,2108427,1.76,2.89,61.705,"October 31, 25",0.0289,,,,,
2025-10-30,61.85,62.23,60.81,60.96,60.88,1424913,1424913,-0.89,-1.44,61.4625,"October 30, 25",-0.0144,,,,,
2025-10-29,63.5,64.1,61.37,62.02,61.94,1833200,1833200,-1.48,-2.33,62.7475,"October 29, 25",-0.0233,,,,,
2025-10-28,64.65,65.16,63.6,63.94,63.85,1143036,1143036,-0.71,-1.1,64.3375,"October 28, 25",-0.011,,,,,
2025-10-27,65.79,65.86,64.16,64.25,64.16,1690550,1690550,-1.54,-2.34,65.015,"October 27, 25",-0.0234,,,,,
2025-10-24,66.3,66.96,65.81,65.91,65.82,1806811,1806811,-0.395,-0.58824,66.245,"October 24, 25",-0.0058824,,,,,
2025-10-23,63.8,66.4,63.29,66.06,65.97,2368526,2368526,2.26,3.54,64.8875,"October 23, 25",0.0354,,,,,
2025-10-22,63.36,64.8,62.9,63.79,63.7,1691100,1691100,0.43,0.67866,63.7125,"October 22, 25",0.0067866,,,,,
2025-10-21,63.38,64.94,62.64,63.46,63.37,1942800,1942800,0.08,0.12622,63.605,"October 21, 25",0.0012622,,,,,
2025-10-20,62.5,63.54,62.06,62.54,62.46,1490447,1490447,0.04,0.064,62.66,"October 20, 25",0.00064,,,,,
2025-10-17,61.33,62.43,61.17,61.86,61.78,1991700,1991700,0.53,0.86418,61.6975,"October 17, 25",0.0086418,,,,,
2025-10-16,59.62,62.37,59.61,61.6,61.52,1797900,1797900,1.98,3.32,60.8,"October 16, 25",0.0332,,,,,
2025-10-15,59.63,60.58,58.78,59.58,59.5,1351500,1351500,-0.05,-0.08385041,59.6425,"October 15, 25",-0.0008385041,,,,,
2025-10-14,58.73,60.08,58.15,59.27,59.19,1691243,1691243,0.54,0.91946,59.0575,"October 14, 25",0.0091946,,,,,
2025-10-13,59.35,59.88,58.23,59.65,59.57,1565400,1565400,0.3,0.50548,59.2775,"October 13, 25",0.0050548,,,,,
2025-10-10,59.95,60.07,57.85,58.66,58.58,1600217,1600217,-1.29,-2.15,59.1325,"October 10, 25",-0.0215,,,,,
2025-10-09,60.56,60.97,59.62,59.9,59.82,1630815,1630815,-0.66,-1.09,60.2625,"October 09, 25",-0.0109,,,,,
2025-10-08,59.17,61.06,58.86,60.56,60.48,2095185,2095185,1.39,2.35,59.9125,"October 08, 25",0.0235,,,,,
2025-10-07,62.1,63.28,58.99,59.19,59.11,2549032,2549032,-2.91,-4.69,60.89,"October 07, 25",-0.0469,,,,,
2025-10-06,62.95,63.1,61.5,61.92,61.84,2820148,2820148,-1.03,-1.64,62.3675,"October 06, 25",-0.0164,,,,,
2025-10-03,62.42,63.87,61.87,62.95,62.87,3493000,3493000,0.53,0.84909,62.7775,"October 03, 25",0.0084909,,,,,
2025-10-02,60.13,62.82,59.56,62.09,62.01,7247117,7247117,1.96,3.26,61.15,"October 02, 25",0.0326,,,,,
2025-10-01,55.57,60.17,54.4,59.92,59.84,3836428,3836428,4.35,7.83,57.515,"October 01, 25",0.0783,,,,,
2025-09-30,52.23,55.73,51.75,55.63,55.55,3640600,3640600,3.4,6.51,53.835,"September 30, 25",0.0651,,,,,
2025-09-29,52.11,52.46,51.32,52.23,52.16,2974639,2974639,0.12,0.23028,52.03,"September 29, 25",0.0023028,,,,,
2025-09-26,50.56,52.08,50.52,51.85,51.78,1695700,1695700,1.29,2.55,51.2525,"September 26, 25",0.0255,,,,,
2025-09-25,50.78,51.38,50.13,50.48,50.41,2461400,2461400,-0.3,-0.59078,50.6925,"September 25, 25",-0.0059078,,,,,
2025-09-24,52.92,53.08,50.88,51.22,51.15,2320548,2320548,-1.7,-3.21,52.025,"September 24, 25",-0.0321,,,,,
2025-09-23,53.06,54.57,52.74,52.92,52.85,2392048,2392048,-0.14,-0.26385,53.3225,"September 23, 25",-0.0026385,,,,,
2025-09-22,53.01,54,52.5,53.04,52.97,2437815,2437815,0.03,0.0565931,53.1375,"September 22, 25",0.000565931,,,,,
2025-09-19,53.24,53.43,51.96,53.15,53.08,4477845,4477845,-0.09,-0.16905,52.945,"September 19, 25",-0.0016905,,,,,
2025-09-18,52.03,53.26,51.8,52.99,52.92,1647167,1647167,0.96,1.85,52.52,"September 18, 25",0.0185,,,,,
2025-09-17,51.84,53.75,51.1,51.52,51.45,1820009,1820009,-0.32,-0.61728,52.0525,"September 17, 25",-0.0061728,,,,,
2025-09-16,51.52,52.2,50.96,51.78,51.71,3987733,3987733,0.26,0.50466,51.615,"September 16, 25",0.0050466,,,,,
2025-09-15,51.52,51.87,51.02,51.62,51.55,2006229,2006229,0.1,0.1941,51.5075,"September 15, 25",0.001941,,,,,
2025-09-12,52.96,52.96,50.76,51.26,51.19,1982100,1982100,-1.7,-3.21,51.985,"September 12, 25",-0.0321,,,,,
2025-09-11,51.02,53.4,50.98,53.21,53.14,1846586,1846586,2.19,4.29,52.1525,"September 11, 25",0.0429,,,,,
2025-09-10,53.9,54.62,50.87,50.96,50.89,3130403,3130403,-2.94,-5.45,52.5875,"September 10, 25",-0.0545,,,,,
2025-09-09,54.19,54.54,53.49,54.2,54.13,2229709,2229709,0.01,0.01845359,54.105,"September 09, 25",0.0001845359,,,,,
2025-09-08,54.05,54.33,53.29,54.11,54.04,2427814,2427814,0.06,0.11101,53.945,"September 08, 25",0.0011101,,,,,
2025-09-05,53.04,54.48,52.77,54.41,54.34,1745318,1745318,1.37,2.58,53.675,"September 05, 25",0.0258,,,,,
2025-09-04,53.19,53.19,51.62,52.92,52.85,2402255,2402255,-0.27,-0.50761,52.73,"September 04, 25",-0.0050761,,,,,
2025-09-03,53.6,54.04,52.81,53.34,53.27,2340600,2340600,-0.26,-0.48507,53.4475,"September 03, 25",-0.0048507,,,,,
2025-09-02,54.17,54.38,52.31,53.42,53.35,1738974,1738974,-0.75,-1.38,53.57,"September 02, 25",-0.0138,,,,,
2025-08-29,54.15,55.25,54.09,54.63,54.56,1720800,1720800,0.48,0.88643,54.53,"August 29, 25",0.0088643,,,,,
2025-08-28,56.23,56.6,52.93,54.33,54.26,4028800,4028800,-1.9,-3.38,55.0225,"August 28, 25",-0.0338,,,,,
2025-08-27,56.88,57.37,56.02,56.22,56.14,1813940,1813940,-0.66,-1.16,56.6225,"August 27, 25",-0.0116,,,,,
2025-08-26,56.64,57.6,56.11,56.79,56.71,1870500,1870500,0.15,0.26483,56.785,"August 26, 25",0.0026483,,,,,
2025-08-25,56.86,56.94,55.77,56.71,56.63,2317300,2317300,-0.15,-0.26381,56.57,"August 25, 25",-0.0026381,,,,,
2025-08-22,54.89,57.43,54.31,57.09,57.01,1442496,1442496,2.2,4.01,55.93,"August 22, 25",0.0401,,,,,
2025-08-21,54.66,54.94,53.89,54,53.93,1872932,1872932,-0.66,-1.21,54.3725,"August 21, 25",-0.0121,,,,,
2025-08-20,54.68,54.95,53.99,54.33,54.26,1661448,1661448,-0.35,-0.64009,54.4875,"August 20, 25",-0.0064009,,,,,
2025-08-19,53.33,54.92,53.33,54.87,54.8,1617600,1617600,1.54,2.89,54.1125,"August 19, 25",0.0289,,,,,
2025-08-18,53.44,54.14,53.07,53.29,53.22,1325600,1325600,-0.15,-0.28069,53.485,"August 18, 25",-0.0028069,0.08,2025-08-29,2025-08-18,0.08,2025-08-06
2025-08-15,54.33,54.38,53.39,53.6,53.45,1305900,1305900,-0.73,-1.34,53.925,"August 15, 25",-0.0134,,,,,
2025-08-14,53.86,54.18,53.22,53.74,53.59,1597109,1597109,-0.12,-0.2228,53.75,"August 14, 25",-0.002228,,,,,
2025-08-13,53.18,54.83,52.92,54.71,54.56,1667072,1667072,1.53,2.88,53.91,"August 13, 25",0.0288,,,,,
2025-08-12,50.15,52.9,50.04,52.83,52.68,2060013,2060013,2.68,5.34,51.48,"August 12, 25",0.0534,,,,,
2025-08-11,50.21,51.36,49.68,50.15,50.01,1965120,1965120,-0.06,-0.1195,50.35,"August 11, 25",-0.001195,,,,,
2025-08-08,50.38,50.58,49.56,50.42,50.28,1898101,1898101,0.04,0.07939659,50.235,"August 08, 25",0.0007939659,,,,,
2025-08-07,50.51,50.85,49.15,50.15,50.01,3135361,3135361,-0.36,-0.71273,50.165,"August 07, 25",-0.0071273,,,,,
2025-08-06,53.16,54.56,47.66,49.87,49.73,6682413,6682413,-3.29,-6.19,51.3125,"August 06, 25",-0.0619,,,,,
2025-08-05,55,55.23,53.96,54.64,54.49,2616800,2616800,-0.36,-0.65455,54.7075,"August 05, 25",-0.0065455,,,,,
2025-08-04,54.42,55.28,53.71,54.88,54.73,1847300,1847300,0.46,0.84528,54.5725,"August 04, 25",0.0084528,,,,,
2025-08-01,53.81,55.08,52.99,54.89,54.74,1771200,1771200,1.08,2.01,54.1925,"August 01, 25",0.0201,,,,,
2025-07-31,56.73,57.74,54.61,54.73,54.58,2877015,2877015,-2,-3.53,55.9525,"July 31, 25",-0.0353,,,,,
2025-07-30,58.2,58.5,57.1,57.71,57.55,1981245,1981245,-0.49,-0.84192,57.8775,"July 30, 25",-0.0084192,,,,,
2025-07-29,58.45,58.94,57.44,57.87,57.71,2100728,2100728,-0.58,-0.9923,58.175,"July 29, 25",-0.009923,,,,,
2025-07-28,58.82,60.06,58.36,58.55,58.39,2952225,2952225,-0.265,-0.45903,58.9475,"July 28, 25",-0.0045903,,,,,
2025-07-25,58.86,59.5,57.76,58.78,58.62,2697087,2697087,-0.08,-0.13592,58.725,"July 25, 25",-0.0013592,,,,,
2025-07-24,55.31,58.66,54.81,58.47,58.31,4382500,4382500,3.16,5.71,56.8125,"July 24, 25",0.0571,,,,,
2025-07-23,55.66,55.99,54.09,55.31,55.16,2631374,2631374,-0.35,-0.62882,55.2625,"July 23, 25",-0.0062882,,,,,
2025-07-22,50.93,53.56,50.68,53.12,52.97,1650044,1650044,2.19,4.3,52.0725,"July 22, 25",0.043,,,,,
2025-07-21,51.94,51.97,49.71,50.27,50.13,2599053,2599053,-1.67,-3.22,50.9725,"July 21, 25",-0.0322,,,,,
2025-07-18,53.71,53.89,51.74,52.02,51.87,1806033,1806033,-1.69,-3.15,52.84,"July 18, 25",-0.0315,,,,,
2025-07-17,51.92,53.33,51.63,53.29,53.14,1275300,1275300,1.37,2.64,52.5425,"July 17, 25",0.0264,,,,,
2025-07-16,51.98,52.05,50.72,51.79,51.64,1073673,1073673,-0.19,-0.36553,51.635,"July 16, 25",-0.0036553,,,,,
2025-07-15,52.99,53.36,51.27,51.42,51.28,1526305,1526305,-1.57,-2.96,52.26,"July 15, 25",-0.0296,,,,,
2025-07-14,53.37,53.68,52.29,52.62,52.47,1592300,1592300,-0.75,-1.41,52.99,"July 14, 25",-0.0141,,,,,
2025-07-11,53.68,54.46,53.43,54.14,53.99,1420805,1420805,0.46,0.85693,53.9275,"July 11, 25",0.0085693,,,,,
2025-07-10,52.67,55.53,52.34,54.41,54.26,1985904,1985904,1.74,3.3,53.7375,"July 10, 25",0.033,,,,,
2025-07-09,52.91,53.61,51.83,52.59,52.44,1513005,1513005,-0.32,-0.6048,52.735,"July 09, 25",-0.006048,,,,,
2025-07-08,51.68,53.43,51.26,52.68,52.53,1664272,1664272,1,1.93,52.2625,"July 08, 25",0.0193,,,,,
2025-07-07,52.8,52.8,50.97,51.54,51.4,2101700,2101700,-1.27,-2.39,52.0275,"July 07, 25",-0.0239,,,,,
2025-07-03,53.31,53.62,52.7,53.14,52.99,843100,843100,-0.17,-0.31889,53.1925,"July 03, 25",-0.0031889,,,,,
2025-07-02,52.16,53.23,51.56,53.18,53.03,1805402,1805402,1.02,1.96,52.5325,"July 02, 25",0.0196,,,,,
2025-07-01,51.12,53.95,49.89,52.08,51.93,2532628,2532628,0.96,1.88,51.76,"July 01, 25",0.0188,,,,,
2025-06-30,52.01,52.13,50.79,51.45,51.31,1917534,1917534,-0.56,-1.08,51.595,"June 30, 25",-0.0108,,,,,
2025-06-27,53,53,51.1,51.84,51.69,2486400,2486400,-1.16,-2.19,52.235,"June 27, 25",-0.0219,,,,,
2025-06-26,51.48,53.41,50.61,52.8,52.65,2348827,2348827,1.32,2.56,52.075,"June 26, 25",0.0256,,,,,
2025-06-25,49.83,53.28,49.27,51.89,51.74,3881753,3881753,2.06,4.13,51.0675,"June 25, 25",0.0413,,,,,
2025-06-24,50.1,50.25,49.43,50,49.86,1580958,1580958,-0.1,-0.1996,49.945,"June 24, 25",-0.001996,,,,,
2025-06-23,49.81,49.97,48.41,49.3,49.16,1375244,1375244,-0.51,-1.02,49.3725,"June 23, 25",-0.0102,,,,,
2025-06-20,50.33,50.54,49.72,49.89,49.75,2577400,2577400,-0.44,-0.87423,50.12,"June 20, 25",-0.0087423,,,,,
2025-06-18,49.58,50.42,49.05,50.13,49.99,2164765,2164765,0.55,1.11,49.795,"June 18, 25",0.0111,,,,,
2025-06-17,50.9,51.24,49.1,49.5,49.36,2335100,2335100,-1.4,-2.75,50.185,"June 17, 25",-0.0275,,,,,
2025-06-16,50.62,51.66,49.72,51.63,51.49,1635500,1635500,1.01,2,50.9075,"June 16, 25",0.02,,,,,
2025-06-13,50.49,51.35,50.3,50.52,50.38,1915514,1915514,0.03,0.05941771,50.665,"June 13, 25",0.0005941771,,,,,
2025-06-12,51.1,52.2,50.49,51.53,51.39,1811657,1811657,0.43,0.84149,51.33,"June 12, 25",0.0084149,,,,,
2025-06-11,51.61,52.82,51.15,51.54,51.4,2732397,2732397,-0.07,-0.13563,51.78,"June 11, 25",-0.0013563,,,,,
2025-06-10,50.52,51.68,49.95,51.4,51.26,3973246,3973246,0.88,1.74,50.8875,"June 10, 25",0.0174,,,,,
2025-06-09,49.57,50.56,48.95,49.88,49.74,2105313,2105313,0.31,0.62538,49.74,"June 09, 25",0.0062538,,,,,
2025-06-06,48.78,49.53,48.61,48.69,48.55,1191720,1191720,-0.09,-0.1845,48.9025,"June 06, 25",-0.001845,,,,,
2025-06-05,49.8,50.05,47.88,48.31,48.17,2205800,2205800,-1.49,-2.99,49.01,"June 05, 25",-0.0299,,,,,
2025-06-04,48.83,50.16,48.58,49.85,49.71,1827972,1827972,1.02,2.09,49.355,"June 04, 25",0.0209,,,,,
2025-06-03,48.28,49.53,47.54,48.78,48.64,1835585,1835585,0.5,1.04,48.5325,"June 03, 25",0.0104,,,,,
2025-06-02,47.88,48.79,47.25,48.61,48.47,2430936,2430936,0.73,1.52,48.1325,"June 02, 25",0.0152,,,,,
2025-05-30,48.14,49.03,47.23,48.4,48.26,11773100,11773100,0.26,0.54009,48.2,"May 30, 25",0.0054009,,,,,
2025-05-29,48.59,48.88,47.93,48.33,48.19,1572096,1572096,-0.26,-0.53509,48.4325,"May 29, 25",-0.0053509,,,,,
2025-05-28,48.67,48.84,47.25,47.93,47.8,2687546,2687546,-0.74,-1.52,48.1725,"May 28, 25",-0.0152,,,,,
2025-05-27,47.68,48.71,47.34,48.69,48.55,1854400,1854400,1.01,2.12,48.105,"May 27, 25",0.0212,,,,,
2025-05-23,46.24,46.97,46.21,46.78,46.65,1471200,1471200,0.54,1.17,46.55,"May 23, 25",0.0117,,,,,
2025-05-22,46.41,47.94,46.05,47.32,47.19,2050559,2050559,0.91,1.96,46.93,"May 22, 25",0.0196,,,,,
2025-05-21,48.73,48.87,46.27,46.66,46.53,2342068,2342068,-2.07,-4.25,47.6325,"May 21, 25",-0.0425,,,,,
2025-05-20,49.22,49.92,48.64,49.53,49.39,1852705,1852705,0.31,0.62983,49.3275,"May 20, 25",0.0062983,,,,,
2025-05-19,48.31,49.32,47.94,49.28,49.14,2082004,2082004,0.97,2.01,48.7125,"May 19, 25",0.0201,0.08,2025-05-30,2025-05-19,0.08,2025-05-07
2025-05-16,48.41,49.18,47.55,49.15,48.93,1616134,1616134,0.74,1.53,48.5725,"May 16, 25",0.0153,,,,,
2025-05-15,48.03,48.5,46.35,48.24,48.02,2047800,2047800,0.21,0.43723,47.78,"May 15, 25",0.0043723,,,,,
2025-05-14,51.12,51.34,47.75,47.86,47.65,2849122,2849122,-3.26,-6.38,49.5175,"May 14, 25",-0.0638,,,,,
2025-05-13,53.45,53.66,51.56,51.61,51.38,2574172,2574172,-1.84,-3.44,52.57,"May 13, 25",-0.0344,,,,,
2025-05-12,51.54,54.4,51.32,53.9,53.66,3352527,3352527,2.36,4.58,52.79,"May 12, 25",0.0458,,,,,
2025-05-09,50,50.77,49.78,49.94,49.72,3168945,3168945,-0.06,-0.12,50.1225,"May 09, 25",-0.0012,,,,,
2025-05-08,48.59,50.81,47.28,49.78,49.56,4635512,4635512,1.19,2.45,49.115,"May 08, 25",0.0245,,,,,
2025-05-07,49.99,50.39,46.77,48.75,48.53,3468609,3468609,-1.24,-2.48,48.975,"May 07, 25",-0.0248,,,,,
2025-05-06,49.32,49.45,47.29,47.72,47.51,3186203,3186203,-1.6,-3.24,48.445,"May 06, 25",-0.0324,,,,,
2025-05-05,50.49,51.04,49.69,49.8,49.58,1688978,1688978,-0.69,-1.37,50.255,"May 05, 25",-0.0137,,,,,
2025-05-02,50.95,51.54,50.2,50.49,50.26,1525117,1525117,-0.46,-0.90285,50.795,"May 02, 25",-0.0090285,,,,,
2025-05-01,50.07,50.83,48.22,49.63,49.41,1609800,1609800,-0.44,-0.87877,49.6875,"May 01, 25",-0.0087877,,,,,
2025-04-30,50.01,50.41,49.34,50.35,50.12,1530037,1530037,0.34,0.67986,50.0275,"April 30, 25",0.0067986,,,,,
2025-04-29,50.21,50.75,49.55,50.5,50.27,1335500,1335500,0.29,0.57757,50.2525,"April 29, 25",0.0057757,,,,,
2025-04-28,50.36,51.53,49.74,50.25,50.02,1556334,1556334,-0.11,-0.21843,50.47,"April 28, 25",-0.0021843,,,,,
2025-04-25,50.34,50.37,49.15,50.24,50.01,1468337,1468337,-0.1,-0.19865,50.025,"April 25, 25",-0.0019865,,,,,
2025-04-24,50.4,52,49.67,50.78,50.55,2472234,2472234,0.38,0.75397,50.7125,"April 24, 25",0.0075397,,,,,
2025-04-23,51.31,53.54,50.03,50.16,49.94,1756817,1756817,-1.15,-2.24,51.26,"April 23, 25",-0.0224,,,,,
2025-04-22,48.29,49.41,47.83,49.08,48.86,2148918,2148918,0.79,1.64,48.6525,"April 22, 25",0.0164,,,,,
2025-04-21,47.23,47.77,46.01,47.51,47.3,2468713,2468713,0.28,0.59284,47.13,"April 21, 25",0.0059284,,,,,
2025-04-17,49.42,50,47.7,48.1,47.88,2741500,2741500,-1.32,-2.67,48.805,"April 17, 25",-0.0267,,,,,
2025-04-16,51.23,51.87,49.72,49.98,49.76,1609300,1609300,-1.25,-2.44,50.7,"April 16, 25",-0.0244,,,,,
2025-04-15,53,53,50.54,51.07,50.84,1295300,1295300,-1.93,-3.64,51.9025,"April 15, 25",-0.0364,,,,,
2025-04-14,51.95,52.75,50.94,52.54,52.3,1798212,1798212,0.585,1.14,52.045,"April 14, 25",0.0114,,,,,
2025-04-11,49.26,51.09,48.42,50.72,50.49,3195500,3195500,1.46,2.96,49.8725,"April 11, 25",0.0296,,,,,
2025-04-10,52.65,52.65,48.4,49.26,49.04,2696104,2696104,-3.39,-6.44,50.74,"April 10, 25",-0.0644,,,,,
2025-04-09,46.53,54.32,46.44,54.07,53.83,4371449,4371449,7.54,16.2,50.34,"April 09, 25",0.162,,,,,
2025-04-08,53.26,53.83,48.34,48.81,48.59,3343927,3343927,-4.45,-8.36,51.06,"April 08, 25",-0.0836,,,,,
2025-04-07,50.55,54.33,48.91,52.31,52.08,3815820,3815820,1.76,3.48,51.525,"April 07, 25",0.0348,,,,,
2025-04-04,53.01,53.75,50.35,51.72,51.49,2931900,2931900,-1.29,-2.43,52.2075,"April 04, 25",-0.0243,,,,,
2025-04-03,56.93,57.19,54.82,54.86,54.61,1989326,1989326,-2.07,-3.64,55.95,"April 03, 25",-0.0364,,,,,
2025-04-02,57.04,58.64,56.82,58.38,58.12,1455900,1455900,1.34,2.35,57.72,"April 02, 25",0.0235,,,,,
2025-04-01,57.69,58.75,57.07,57.35,57.09,1675900,1675900,-0.34,-0.58936,57.715,"April 01, 25",-0.0058936,,,,,
2025-03-31,57.98,59.21,56.7,58.63,58.37,1467700,1467700,0.65,1.12,58.13,"March 31, 25",0.0112,,,,,
2025-03-28,59.71,59.88,58.47,58.73,58.47,1505100,1505100,-0.98,-1.64,59.1975,"March 28, 25",-0.0164,,,,,
2025-03-27,59.36,60.79,59.1,59.95,59.68,1604537,1604537,0.59,0.99394,59.8,"March 27, 25",0.0099394,,,,,
2025-03-26,59.97,60.36,58.97,59.38,59.11,1913835,1913835,-0.59,-0.98383,59.67,"March 26, 25",-0.0098383,,,,,
2025-03-25,61.22,61.86,59.33,59.98,59.71,1454500,1454500,-1.24,-2.03,60.5975,"March 25, 25",-0.0203,,,,,
2025-03-24,60.71,62.15,60.47,61.07,60.8,1121505,1121505,0.36,0.59298,61.1,"March 24, 25",0.0059298,,,,,
2025-03-21,59.97,61.14,59.45,60.61,60.34,2581240,2581240,0.64,1.07,60.2925,"March 21, 25",0.0107,,,,,
2025-03-20,60.67,61.33,59.65,60.34,60.07,992800,992800,-0.33,-0.54393,60.4975,"March 20, 25",-0.0054393,,,,,
2025-03-19,62.52,63.01,60.83,60.89,60.62,1520534,1520534,-1.63,-2.61,61.8125,"March 19, 25",-0.0261,,,,,
2025-03-18,62.81,62.87,61.12,62.83,62.55,1242709,1242709,0.02,0.03184206,62.4075,"March 18, 25",0.0003184206,,,,,
2025-03-17,62.31,63.76,61.83,62.58,62.3,1531700,1531700,0.27,0.43332,62.62,"March 17, 25",0.0043332,,,,,
2025-03-14,60.54,62.41,60.16,62.16,61.88,2197719,2197719,1.62,2.68,61.3175,"March 14, 25",0.0268,,,,,
