date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,recordDate,dividend,declarationDate
2026-01-02,58.81,60.53,58.4,59.65,59.65,1941700,1941700,0.84,1.43,59.3475,"January 02, 26",0.0143,,,,,
2025-12-31,59.04,59.31,58.67,58.81,58.81,852341,852341,-0.23,-0.38957,58.9575,"December 31, 25",-0.0038957,,,,,
2025-12-30,58.91,59.32,58.54,59.12,59.12,978107,978107,0.21,0.35648,58.9725,"December 30, 25",0.0035648,,,,,
2025-12-29,59.18,59.64,58.84,59.24,59.24,789200,789200,0.06,0.10139,59.225,"December 29, 25",0.0010139,,,,,
2025-12-26,59.14,59.34,58.77,59.22,59.22,584900,584900,0.08,0.13527,59.1175,"December 26, 25",0.0013527,,,,,
2025-12-24,58.97,59.47,58.66,59.19,59.19,422500,422500,0.22,0.37307,59.0725,"December 24, 25",0.0037307,,,,,
2025-12-23,59.08,59.58,58.54,59.25,59.25,1373746,1373746,0.17,0.28775,59.1125,"December 23, 25",0.0028775,,,,,
2025-12-22,58.28,59.39,58.02,58.96,58.96,1244100,1244100,0.68,1.17,58.6625,"December 22, 25",0.0117,,,,,
2025-12-19,57.83,58.87,57.03,58.27,58.27,3128327,3128327,0.44,0.76085,58,"December 19, 25",0.0076085,,,,,
2025-12-18,57.49,58.43,56.84,57.1,57.1,1731425,1731425,-0.39,-0.67838,57.465,"December 18, 25",-0.0067838,,,,,
2025-12-17,57.36,58.28,56.93,56.99,56.99,1697437,1697437,-0.37,-0.64505,57.39,"December 17, 25",-0.0064505,,,,,
2025-12-16,58.74,58.9,56.59,57.44,57.44,2750500,2750500,-1.3,-2.21,57.9175,"December 16, 25",-0.0221,,,,,
2025-12-15,59.78,60.28,57.43,58.69,58.69,1723764,1723764,-1.09,-1.82,59.045,"December 15, 25",-0.0182,,,,,
2025-12-12,60.57,60.6,58.24,58.51,58.51,2371200,2371200,-2.06,-3.4,59.48,"December 12, 25",-0.034,,,,,
2025-12-11,60.36,61.16,59.24,60.26,60.26,1479806,1479806,-0.1,-0.16567,60.255,"December 11, 25",-0.0016567,,,,,
