date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,recordDate,adjDividend,paymentDate
2026-01-02,109.98,110.33,108.23,109.77,109.77,2541900,2541900,-0.21,-0.19094,109.5775,"January 02, 26",-0.0019094,,,,,
2025-12-31,111.53,111.85,109.35,110.36,110.36,1689412,1689412,-1.17,-1.05,110.7725,"December 31, 25",-0.0105,,,,,
2025-12-30,112.85,113.42,112,112.02,112.02,1692355,1692355,-0.83,-0.73549,112.5725,"December 30, 25",-0.0073549,,,,,
2025-12-29,110.12,112.1,109.68,111.78,111.78,1866503,1866503,1.66,1.51,110.92,"December 29, 25",0.0151,,,,,
2025-12-26,109.66,109.9,108.64,109.49,109.49,1184765,1184765,-0.17,-0.15502,109.4225,"December 26, 25",-0.0015502,,,,,
2025-12-24,109.65,110.63,109.12,109.17,109.17,1146500,1146500,-0.48,-0.43776,109.6425,"December 24, 25",-0.0043776,,,,,
2025-12-23,108.71,111.51,108.48,111.17,111.17,2412602,2412602,2.46,2.26,109.9675,"December 23, 25",0.0226,,,,,
2025-12-22,109.07,109.56,107.49,107.84,107.84,2944700,2944700,-1.23,-1.13,108.49,"December 22, 25",-0.0113,,,,,
2025-12-19,108.19,109.71,107.25,108.74,108.74,5569716,5569716,0.55,0.50836,108.4725,"December 19, 25",0.0050836,,,,,
2025-12-18,109.59,110.54,107.63,107.74,107.74,3840800,3840800,-1.85,-1.69,108.875,"December 18, 25",-0.0169,,,,,
2025-12-17,107.57,109.83,107.09,109.54,109.54,3659400,3659400,1.97,1.83,108.5075,"December 17, 25",0.0183,,,,,
2025-12-16,109.25,109.25,106,106.58,106.58,4125204,4125204,-2.67,-2.44,107.77,"December 16, 25",-0.0244,,,,,
2025-12-15,112.77,112.77,108.84,110.54,110.54,3324668,3324668,-2.23,-1.98,111.23,"December 15, 25",-0.0198,,,,,
2025-12-12,114.31,114.97,111.4,112.79,112.79,2274900,2274900,-1.52,-1.33,113.3675,"December 12, 25",-0.0133,,,,,
2025-12-11,115.51,116.38,113.33,114.33,114.33,3187856,3187856,-1.18,-1.02,114.8875,"December 11, 25",-0.0102,,,,,
2025-12-10,117.97,117.97,115.22,116.69,116.69,3222500,3222500,-1.28,-1.09,116.9625,"December 10, 25",-0.0109,,,,,
2025-12-09,119.07,119.58,117.2,117.46,117.46,3297337,3297337,-1.61,-1.35,118.3275,"December 09, 25",-0.0135,,,,,
2025-12-08,122.04,122.4,118.17,119.07,119.07,5403537,5403537,-2.97,-2.43,120.42,"December 08, 25",-0.0243,,,,,
2025-12-05,123.77,126.62,122.8,122.86,122.86,3725100,3725100,-0.91,-0.73523,124.0125,"December 05, 25",-0.0073523,,,,,
2025-12-04,122.99,124.89,121.61,122.09,122.09,3180800,3180800,-0.9,-0.73177,122.895,"December 04, 25",-0.0073177,,,,,
2025-12-03,118.36,123.18,117.84,122.89,122.89,2291908,2291908,4.53,3.83,120.5675,"December 03, 25",0.0383,,,,,
2025-12-02,121.25,121.53,117.64,117.72,117.72,3405900,3405900,-3.53,-2.91,119.535,"December 02, 25",-0.0291,,,,,
2025-12-01,122.5,122.7,120.19,121.58,121.58,4056029,4056029,-0.915,-0.75102,121.7425,"December 01, 25",-0.0075102,,,,,
2025-11-28,119.66,122.7,119.33,121.93,121.93,1378700,1378700,2.27,1.9,120.905,"November 28, 25",0.019,,,,,
2025-11-26,116.91,119.71,116.49,118.77,118.77,2268918,2268918,1.86,1.59,117.97,"November 26, 25",0.0159,,,,,
2025-11-25,115.29,116.54,114.5,116.01,116.01,2564500,2564500,0.72,0.62451,115.585,"November 25, 25",0.0062451,,,,,
2025-11-24,114.99,117.44,111.86,116.55,116.55,7933949,7933949,1.56,1.36,115.21,"November 24, 25",0.0136,,,,,
2025-11-21,114.61,116.09,112.44,114.99,114.99,3184100,3184100,0.38,0.33156,114.5325,"November 21, 25",0.0033156,,,,,
2025-11-20,117.68,121.19,114.37,114.5,114.5,3672305,3672305,-3.18,-2.7,116.935,"November 20, 25",-0.027,,,,,
2025-11-19,117.16,117.69,115.43,117.27,117.27,2554158,2554158,0.11,0.0938887,116.8875,"November 19, 25",0.000938887,,,,,
2025-11-18,115.65,117.71,114.28,117.16,117.16,2879400,2879400,1.51,1.31,116.2,"November 18, 25",0.0131,,,,,
2025-11-17,117.14,117.95,115.18,116.98,116.98,3362541,3362541,-0.16,-0.13659,116.8125,"November 17, 25",-0.0013659,,,,,
2025-11-14,116.69,117.77,112.77,117.28,117.28,3800839,3800839,0.59,0.50561,116.1275,"November 14, 25",0.0050561,,,,,
2025-11-13,119.2,120,117.6,117.96,117.96,3111130,3111130,-1.24,-1.04,118.69,"November 13, 25",-0.0104,0.575,2025-10-28,2025-11-13,0.575,2025-12-04
2025-11-12,119,120.3,117.57,119.46,118.88,4077624,4077624,0.46,0.38655,119.0825,"November 12, 25",0.0038655,,,,,
2025-11-11,115.27,118.9,114.8,118.64,118.07,3780300,3780300,3.37,2.92,116.9025,"November 11, 25",0.0292,,,,,
2025-11-10,113.26,115.24,111.87,114.83,114.28,2703585,2703585,1.57,1.39,113.8,"November 10, 25",0.0139,,,,,
2025-11-07,109.81,112.92,109,112.45,111.91,2310426,2310426,2.64,2.4,111.045,"November 07, 25",0.024,,,,,
2025-11-06,110.88,112.63,109.1,110.62,110.09,2395500,2395500,-0.26,-0.23449,110.8075,"November 06, 25",-0.0023449,,,,,
2025-11-05,109.42,112.44,108.74,110.05,109.52,2707748,2707748,0.63,0.57576,110.1625,"November 05, 25",0.0057576,,,,,
2025-11-04,109.46,111.77,108.14,110.05,109.52,3559690,3559690,0.59,0.53901,109.855,"November 04, 25",0.0053901,,,,,
2025-11-03,103.73,110.35,103.03,110.08,109.55,6272224,6272224,6.35,6.12,106.7975,"November 03, 25",0.0612,,,,,
2025-10-31,101.91,104.03,101.68,103.31,102.81,3227000,3227000,1.4,1.37,102.7325,"October 31, 25",0.0137,,,,,
2025-10-30,100.41,101.98,98.92,100.52,100.04,2808000,2808000,0.11,0.10955,100.4575,"October 30, 25",0.0010955,,,,,
