symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
EXE,2026-01-01,19,2,0,1,6
EXE,2025-12-01,19,2,0,1,6
EXE,2025-11-01,19,2,0,1,6
EXE,2025-10-01,19,3,0,1,6
EXE,2025-09-01,18,3,0,0,6
EXE,2025-08-01,19,2,0,0,7
EXE,2025-07-01,18,2,0,0,10
EXE,2025-06-01,16,2,0,0,10
EXE,2025-05-01,16,3,0,0,10
EXE,2025-04-01,15,6,0,0,9
EXE,2025-03-01,13,7,0,0,8
EXE,2025-02-01,12,7,0,0,8
EXE,2025-01-01,11,7,0,0,8
EXE,2024-12-01,10,7,0,0,5
EXE,2024-11-01,9,8,0,0,5
EXE,2024-10-01,9,8,0,0,5
EXE,2024-09-01,8,8,0,0,5
EXE,2024-08-01,8,7,0,0,4
EXE,2024-07-01,7,7,0,0,4
