date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,recordDate,dividend
2026-01-05,335.05,339.69,333.38,339.69,339.69,17367,17367,4.64,1.38487,337.59,"January 05, 26",0.0138487,,,,,
2026-01-02,338.18,339.92,333.6,334.48,334.48,411500,411500,-3.7,-1.09,336.545,"January 02, 26",-0.0109,,,,,
2025-12-31,340.74,342.67,339.29,339.35,339.35,244938,244938,-1.39,-0.40794,340.5125,"December 31, 25",-0.0040794,,,,,
2025-12-30,341.06,342.54,340.2,341.26,341.26,202300,202300,0.2,0.05864071,341.265,"December 30, 25",0.0005864071,,,,,
2025-12-29,337.11,340.72,336.59,340.03,340.03,248049,248049,2.92,0.86619,338.6125,"December 29, 25",0.0086619,,,,,
2025-12-26,333.66,338.41,333.66,337.53,337.53,184126,184126,3.87,1.16,335.815,"December 26, 25",0.0116,,,,,
2025-12-24,338.09,338.89,335.23,336.21,336.21,159000,159000,-1.88,-0.55606,337.105,"December 24, 25",-0.0055606,,,,,
2025-12-23,336.35,338.77,334.84,337.04,337.04,485718,485718,0.69,0.20514,336.75,"December 23, 25",0.0020514,,,,,
2025-12-22,330.62,336.38,330.62,335.66,335.66,288525,288525,5.04,1.52,333.32,"December 22, 25",0.0152,,,,,
2025-12-19,332.16,334.89,330.31,331.31,331.31,1016600,1016600,-0.85,-0.2559,332.1675,"December 19, 25",-0.002559,,,,,
2025-12-18,326.19,334.02,322.46,332.52,332.52,415618,415618,6.33,1.94,328.7975,"December 18, 25",0.0194,,,,,
2025-12-17,326,330.93,325.05,328.63,328.63,400400,400400,2.63,0.80675,327.6525,"December 17, 25",0.0080675,,,,,
2025-12-16,327.74,328.53,323.69,327.35,327.35,543800,543800,-0.39,-0.119,326.8275,"December 16, 25",-0.00119,,,,,
2025-12-15,328.58,330.62,324.02,328.61,328.61,462118,462118,0.03,0.0091302,327.9575,"December 15, 25",9.1302e-05,,,,,
2025-12-12,326.69,328.83,325.22,327.16,327.16,344538,344538,0.47,0.14387,326.975,"December 12, 25",0.0014387,,,,,
2025-12-11,316.84,325.84,316.01,324.38,324.38,390600,390600,7.54,2.38,320.7675,"December 11, 25",0.0238,,,,,
2025-12-10,310.8,317.55,309.66,315.47,315.47,399300,399300,4.67,1.5,313.37,"December 10, 25",0.015,,,,,
2025-12-09,309.5,312.42,307.39,310.56,310.56,354800,354800,1.06,0.34249,309.9675,"December 09, 25",0.0034249,,,,,
2025-12-08,309.37,309.99,306.83,308.4,308.4,366601,366601,-0.97,-0.31354,308.6475,"December 08, 25",-0.0031354,,,,,
2025-12-05,312.22,314.41,309.67,309.97,309.97,366849,366849,-2.25,-0.72065,311.5675,"December 05, 25",-0.0072065,,,,,
2025-12-04,315.23,317.86,312.72,313.71,313.71,329500,329500,-1.52,-0.48219,314.88,"December 04, 25",-0.0048219,,,,,
2025-12-03,311.86,315.96,311.86,314.03,314.03,337120,337120,2.17,0.69583,313.4275,"December 03, 25",0.0069583,,,,,
2025-12-02,313.73,313.92,309.03,312.21,312.21,407900,407900,-1.52,-0.48449,312.2225,"December 02, 25",-0.0048449,,,,,
2025-12-01,314.24,316.77,311.41,312.09,312.09,363404,363404,-2.15,-0.68419,313.6275,"December 01, 25",-0.0068419,,,,,
2025-11-28,311.45,316.15,311.45,314.29,314.29,204037,204037,2.84,0.91186,313.335,"November 28, 25",0.0091186,,,,,
2025-11-26,311.22,315.11,311.22,312.03,312.03,320300,320300,0.81,0.26027,312.395,"November 26, 25",0.0026027,2025-11-05,2,2025-12-12,2025-11-26,2
2025-11-25,312.45,316.9,311.75,314.04,312.04,364029,364029,1.59,0.50888,313.785,"November 25, 25",0.0050888,,,,,
2025-11-24,310.73,312.74,306.7,309.99,308.02,617812,617812,-0.74,-0.23815,310.04,"November 24, 25",-0.0023815,,,,,
2025-11-21,305,315.41,304.82,311.34,309.36,603141,603141,6.34,2.08,309.1425,"November 21, 25",0.0208,,,,,
2025-11-20,314.46,317.17,304.55,304.99,303.05,404902,404902,-9.47,-3.01,310.2925,"November 20, 25",-0.0301,,,,,
2025-11-19,318.59,320.75,312.49,312.84,310.85,362800,362800,-5.75,-1.8,316.1675,"November 19, 25",-0.018,,,,,
2025-11-18,320.71,323.54,318.45,320.02,317.98,341200,341200,-0.69,-0.21515,320.68,"November 18, 25",-0.0021515,,,,,
2025-11-17,328,328.37,319.75,320.33,318.29,378400,378400,-7.67,-2.34,324.1125,"November 17, 25",-0.0234,,,,,
2025-11-14,327.95,330.3,324.28,326.23,324.15,372445,372445,-1.72,-0.52447,327.19,"November 14, 25",-0.0052447,,,,,
2025-11-13,326.76,330.37,324.31,327.49,325.4,401709,401709,0.73,0.22341,327.2325,"November 13, 25",0.0022341,,,,,
2025-11-12,323.87,327.97,323.26,325.03,322.96,552300,552300,1.16,0.35817,325.0325,"November 12, 25",0.0035817,,,,,
2025-11-11,329.54,330.58,323.95,324.43,322.36,759500,759500,-5.11,-1.55,327.125,"November 11, 25",-0.0155,,,,,
2025-11-10,324.5,328.96,321.87,328.61,326.52,440946,440946,4.11,1.27,325.985,"November 10, 25",0.0127,,,,,
2025-11-07,320.53,328.72,320.53,326.14,324.06,598100,598100,5.61,1.75,323.98,"November 07, 25",0.0175,,,,,
