date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,unadjustedVolume,changeOverTime,open,high,close,vwap,adjClose,low,change,volume,changePercent
2026-01-06,"January 06, 26",0.19,0.19,2026-01-06,2026-01-21,2025-11-03,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,3478634,-0.0219,32.45,32.48,31.74,32.0825,31.74,31.66,-0.71,3478634,-2.19
2025-12-31,"December 31, 25",,,,,,2736862,0.0049798,32.13,32.55,32.29,32.2375,32.29,31.98,0.16,2736862,0.49798
2025-12-30,"December 30, 25",,,,,,2090207,-0.004026,32.29,32.49,32.16,32.2525,32.16,32.07,-0.13,2090207,-0.4026
2025-12-29,"December 29, 25",,,,,,4134664,-0.0046097,32.54,32.69,32.39,32.4625,32.39,32.23,-0.15,4134664,-0.46097
2025-12-26,"December 26, 25",,,,,,1692441,-0.0082292,32.81,32.83,32.54,32.6675,32.54,32.49,-0.27,1692441,-0.82292
2025-12-24,"December 24, 25",,,,,,1177300,0.0061181,32.69,32.89,32.89,32.7675,32.89,32.6,0.2,1177300,0.61181
2025-12-23,"December 23, 25",,,,,,2833212,0.0027548,32.67,32.97,32.76,32.7625,32.76,32.65,0.09,2833212,0.27548
2025-12-22,"December 22, 25",,,,,,3062496,-0.0093712,33.08,33.73,32.77,33.0325,32.77,32.55,-0.31,3062496,-0.93712
2025-12-19,"December 19, 25",,,,,,10067500,0.0148,32.54,33.05,33.02,32.7375,33.02,32.34,0.48,10067500,1.48
2025-12-18,"December 18, 25",,,,,,2638500,-0.0082117,32.88,32.89,32.61,32.7175,32.61,32.49,-0.27,2638500,-0.82117
2025-12-17,"December 17, 25",,,,,,4182800,0.0077495,32.26,32.76,32.51,32.445,32.51,32.25,0.25,4182800,0.77495
2025-12-16,"December 16, 25",,,,,,3608600,-0.0126,32.63,32.79,32.22,32.4575,32.22,32.19,-0.41,3608600,-1.26
2025-12-15,"December 15, 25",,,,,,3297178,-0.021,33.32,33.42,32.62,32.9675,32.62,32.51,-0.7,3297178,-2.1
2025-12-12,"December 12, 25",,,,,,2441215,-0.0053941,33.37,33.51,33.19,33.27,33.19,33.01,-0.18,2441215,-0.53941
2025-12-11,"December 11, 25",,,,,,3459300,-0.0192,33.83,34.35,33.18,33.6125,33.18,33.09,-0.65,3459300,-1.92
2025-12-10,"December 10, 25",,,,,,3358100,-0.00471,33.97,34.18,33.81,33.8625,33.81,33.49,-0.16,3358100,-0.471
