date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,unadjustedVolume,changeOverTime,open,high,close,vwap,adjClose,low,change,volume,changePercent
2025-12-09,"December 09, 25",,,,,,2750300,-0.0014676,34.07,34.26,34.02,33.96,34.02,33.49,-0.05,2750300,-0.14676
2025-12-08,"December 08, 25",,,,,,2993146,-0.0153,34.66,34.75,34.13,34.335,34.13,33.8,-0.53,2993146,-1.53
2025-12-05,"December 05, 25",,,,,,2547021,0.0189,33.88,34.66,34.52,34.235,34.52,33.88,0.64,2547021,1.89
2025-12-04,"December 04, 25",,,,,,2493248,0.005043,33.71,33.98,33.88,33.73,33.88,33.35,0.17,2493248,0.5043
2025-12-03,"December 03, 25",,,,,,2803213,-0.0023732,33.71,34.23,33.63,33.79,33.63,33.59,-0.08,2803213,-0.23732
2025-12-02,"December 02, 25",,,,,,3524525,-0.0053129,33.88,33.98,33.7,33.705,33.7,33.26,-0.18,3524525,-0.53129
2025-12-01,"December 01, 25",,,,,,3329000,0.0243,32.95,33.82,33.75,33.3375,33.75,32.83,0.8,3329000,2.43
2025-11-28,"November 28, 25",,,,,,1438900,0.0027092,33.22,33.6,33.31,33.3275,33.31,33.18,0.09,1438900,0.27092
2025-11-26,"November 26, 25",,,,,,3000008,-0.0047933,33.38,33.53,33.22,33.2875,33.22,33.02,-0.16,3000008,-0.47933
2025-11-25,"November 25, 25",,,,,,4419922,0.0118,33,33.49,33.39,33.1675,33.39,32.79,0.39,4419922,1.18
2025-11-24,"November 24, 25",,,,,,4630436,0.0033909,32.44,32.98,32.55,32.565,32.55,32.29,0.11,4630436,0.33909
2025-11-21,"November 21, 25",,,,,,3869551,0.0241,31.51,32.43,32.27,31.9025,32.27,31.4,0.76,3869551,2.41
2025-11-20,"November 20, 25",,,,,,3451921,-0.0195,31.87,32,31.25,31.58,31.25,31.2,-0.62,3451921,-1.95
2025-11-19,"November 19, 25",,,,,,2620201,-0.0022166,31.58,31.71,31.51,31.54,31.51,31.36,-0.07,2620201,-0.22166
2025-11-18,"November 18, 25",,,,,,3561619,-0.002218,31.56,31.78,31.49,31.5425,31.49,31.34,-0.07,3561619,-0.2218
2025-11-17,"November 17, 25",,,,,,3164800,-0.0189,32.19,32.22,31.58,31.85,31.58,31.41,-0.61,3164800,-1.89
2025-11-14,"November 14, 25",,,,,,2412416,0.0018622,32.22,32.62,32.28,32.3225,32.28,32.17,0.06,2412416,0.18622
2025-11-13,"November 13, 25",,,,,,3150133,-0.0094368,32.85,33.05,32.54,32.74,32.54,32.52,-0.31,3150133,-0.94368
2025-11-12,"November 12, 25",,,,,,2906266,-0.0009085403,33.02,33.3,32.99,33.025,32.99,32.79,-0.03,2906266,-0.09085403
2025-11-11,"November 11, 25",,,,,,2767803,-0.0105,33.29,33.42,32.94,33.1325,32.94,32.88,-0.35,2767803,-1.05
2025-11-10,"November 10, 25",,,,,,3494400,0.0027092,33.22,33.41,33.31,33.1275,33.31,32.57,0.09,3494400,0.27092
2025-11-07,"November 07, 25",,,,,,3872800,0.009831,32.55,33.15,32.87,32.755,32.87,32.45,0.32,3872800,0.9831
2025-11-06,"November 06, 25",,,,,,4335581,-0.0115,33.03,33.56,32.65,32.895,32.65,32.34,-0.38,4335581,-1.15
2025-11-05,"November 05, 25",,,,,,7876944,0.0634,31.21,33.72,33.19,32.25,33.19,30.88,1.98,7876944,6.34
2025-11-04,"November 04, 25",,,,,,9010723,-0.0223,32.27,32.52,31.55,31.9075,31.55,31.29,-0.72,9010723,-2.23
2025-11-03,"November 03, 25",,,,,,6973699,0.0055693,32.32,32.9,32.5,32.455,32.5,32.1,0.18,6973699,0.55693
2025-10-31,"October 31, 25",,,,,,4784922,-0.0027752,32.43,32.64,32.34,32.415,32.34,32.25,-0.09,4784922,-0.27752
2025-10-30,"October 30, 25",,,,,,2979644,0.0129,31.89,32.46,32.3,32.0875,32.3,31.7,0.41,2979644,1.29
2025-10-29,"October 29, 25",,,,,,3127000,-0.0145,32.5,32.53,32.03,32.185,32.03,31.68,-0.47,3127000,-1.45
2025-10-28,"October 28, 25",,,,,,2392547,-0.0033547,32.79,32.89,32.68,32.68,32.68,32.36,-0.11,2392547,-0.33547
2025-10-27,"October 27, 25",,,,,,2253301,-0.0003045995,32.83,32.93,32.82,32.7925,32.82,32.59,-0.01,2253301,-0.03045995
2025-10-24,"October 24, 25",,,,,,2511359,-0.0121,33.02,33.06,32.62,32.8125,32.62,32.55,-0.4,2511359,-1.21
2025-10-23,"October 23, 25",,,,,,2949912,-0.0127,33.17,33.25,32.75,32.9475,32.75,32.62,-0.42,2949912,-1.27
2025-10-22,"October 22, 25",,,,,,3894903,0.0069824,32.94,33.33,33.17,33.025,33.17,32.66,0.23,3894903,0.69824
2025-10-21,"October 21, 25",,,,,,2985761,0.003034,32.96,33.26,33.06,33.0125,33.06,32.77,0.1,2985761,0.3034
2025-10-20,"October 20, 25",,,,,,3142320,0.0157,32.47,33.17,32.98,32.7475,32.98,32.37,0.51,3142320,1.57
2025-10-17,"October 17, 25",,,,,,2530244,0.0027829,32.34,32.52,32.43,32.345,32.43,32.09,0.09,2530244,0.27829
2025-10-16,"October 16, 25",,,,,,2484911,-0.0182,32.95,33,32.35,32.57,32.35,31.98,-0.6,2484911,-1.82
2025-10-15,"October 15, 25",,,,,,3330900,0.000608828,32.85,33.09,32.87,32.82,32.87,32.47,0.02,3330900,0.0608828
2025-10-14,"October 14, 25",,,,,,2674435,0.0263,31.61,32.51,32.44,32.0425,32.44,31.61,0.83,2674435,2.63
2025-10-13,"October 13, 25",,,,,,6507003,0.0097454,31.81,32.16,32.12,31.82,32.12,31.19,0.31,6507003,0.97454
2025-10-10,"October 10, 25",,,,,,4764748,-0.0341,32.56,32.66,31.45,32.0175,31.45,31.4,-1.11,4764748,-3.41
2025-10-09,"October 09, 25",,,,,,3488570,-0.0235,33.26,33.3,32.48,32.8725,32.48,32.45,-0.78,3488570,-2.35
2025-10-08,"October 08, 25",,,,,,3674611,0.0003012048,33.2,33.69,33.21,33.2825,33.21,33.03,0.01,3674611,0.03012048
2025-10-07,"October 07, 25",,,,,,3650806,-0.025,33.95,34.09,33.1,33.545,33.1,33.04,-0.85,3650806,-2.5
2025-10-06,"October 06, 25",,,,,,3649500,-0.0145,34.5,34.58,34,34.265,34,33.98,-0.5,3649500,-1.45
2025-10-03,"October 03, 25",0.19,0.19,2025-10-03,2025-10-17,2025-08-04,4345858,-0.0078057,34.59,34.91,34.32,34.505,34.32,34.2,-0.27,4345858,-0.78057
2025-10-02,"October 02, 25",,,,,,4345000,0.003754,34.63,35.01,34.76,34.675,34.57,34.3,0.13,4345000,0.3754
2025-10-01,"October 01, 25",,,,,,3915164,-0.0156,35.18,35.58,34.63,34.985,34.44,34.55,-0.55,3915164,-1.56
2025-09-30,"September 30, 25",,,,,,10501166,-0.0366,36.66,36.94,35.32,36.035,35.13,35.22,-1.34,10501166,-3.66
2025-09-29,"September 29, 25",,,,,,3440200,0.0032985,36.38,36.73,36.5,36.415,36.3,36.05,0.12,3440200,0.32985
2025-09-26,"September 26, 25",,,,,,2508313,0.0094708,35.9,36.27,36.24,36.04,36.04,35.75,0.34,2508313,0.94708
2025-09-25,"September 25, 25",,,,,,2944904,0.0008365867,35.86,36.11,35.89,35.8775,35.69,35.65,0.03,2944904,0.08365867
2025-09-24,"September 24, 25",,,,,,3942543,-0.0193,36.81,36.99,36.1,36.4925,35.9,36.07,-0.71,3942543,-1.93
2025-09-23,"September 23, 25",,,,,,3797158,0.0151,36.39,37.55,36.94,36.81,36.74,36.36,0.55,3797158,1.51
2025-09-22,"September 22, 25",,,,,,8801907,-0.0508,38.38,38.66,36.43,37.465,36.23,36.39,-1.95,8801907,-5.08
2025-09-19,"September 19, 25",,,,,,8493824,0.0002597403,38.5,38.82,38.51,38.48,38.3,38.09,0.01,8493824,0.02597403
2025-09-18,"September 18, 25",,,,,,3852604,0.0236,37.68,38.6,38.57,38.08,38.36,37.47,0.89,3852604,2.36
2025-09-17,"September 17, 25",,,,,,2671900,-0.0007974482,37.62,38.36,37.59,37.7275,37.38,37.34,-0.03,2671900,-0.07974482
2025-09-16,"September 16, 25",,,,,,3157594,-0.0026638,37.54,37.67,37.44,37.4275,37.24,37.06,-0.1,3157594,-0.26638
2025-09-15,"September 15, 25",,,,,,4665719,-0.0084678,37.79,37.79,37.47,37.5625,37.27,37.2,-0.32,4665719,-0.84678
2025-09-12,"September 12, 25",,,,,,3824642,-0.0099659,38.13,38.35,37.75,37.945,37.54,37.55,-0.38,3824642,-0.99659
2025-09-11,"September 11, 25",,,,,,3596166,0.0007896815,37.99,38.19,38.02,37.8575,37.81,37.23,0.03,3596166,0.07896815
2025-09-10,"September 10, 25",,,,,,3004363,-0.0031562,38.02,38.04,37.9,37.835,37.69,37.38,-0.12,3004363,-0.31562
2025-09-09,"September 09, 25",,,,,,3680343,-0.0144,38.77,38.84,38.21,38.4575,38,38.01,-0.56,3680343,-1.44
2025-09-08,"September 08, 25",,,,,,4218830,0.0139,38.24,38.83,38.77,38.4325,38.56,37.89,0.53,4218830,1.39
2025-09-05,"September 05, 25",,,,,,2517100,0.0176,37.51,38.18,38.17,37.815,37.96,37.4,0.66,2517100,1.76
2025-09-04,"September 04, 25",,,,,,3109900,-0.0055851,37.6,37.78,37.39,37.4775,37.19,37.14,-0.21,3109900,-0.55851
2025-09-03,"September 03, 25",,,,,,3369837,0.0206,36.83,37.64,37.59,37.2,37.38,36.74,0.76,3369837,2.06
2025-09-02,"September 02, 25",,,,,,3120031,0.0070806,36.72,37.06,36.98,36.825,36.78,36.54,0.26,3120031,0.70806
2025-08-29,"August 29, 25",,,,,,4124861,-0.0050626,37.53,38,37.34,37.44,37.14,36.89,-0.19,4124861,-0.50626
2025-08-28,"August 28, 25",,,,,,2873165,-0.0144,37.58,37.67,37.04,37.2625,36.84,36.76,-0.54,2873165,-1.44
2025-08-27,"August 27, 25",,,,,,2246132,0.0026781,37.34,37.68,37.44,37.4375,37.24,37.29,0.1,2246132,0.26781
2025-08-26,"August 26, 25",,,,,,2830577,0.0032275,37.18,37.73,37.3,37.3025,37.1,37,0.12,2830577,0.32275
2025-08-25,"August 25, 25",,,,,,3018800,-0.0024148,37.27,37.55,37.18,37.2525,36.98,37.01,-0.09,3018800,-0.24148
2025-08-22,"August 22, 25",,,,,,3896640,0.0075635,37.02,37.83,37.3,37.21,37.1,36.69,0.28,3896640,0.75635
2025-08-21,"August 21, 25",,,,,,3375398,0.0013609,36.74,36.9,36.79,36.6775,36.59,36.28,0.05,3375398,0.13609
2025-08-20,"August 20, 25",,,,,,4712514,-0.0219,37.84,37.88,37.01,37.4125,36.81,36.92,-0.83,4712514,-2.19
2025-08-19,"August 19, 25",,,,,,2952800,0.0002642706,37.84,38.43,37.85,37.9475,37.64,37.67,0.01,2952800,0.02642706
2025-08-18,"August 18, 25",,,,,,4704631,-0.0112,38.27,38.49,37.84,38.0825,37.63,37.73,-0.43,4704631,-1.12
2025-08-15,"August 15, 25",,,,,,3219630,-0.0175,38.96,39.2,38.28,38.6775,38.07,38.27,-0.68,3219630,-1.75
2025-08-14,"August 14, 25",,,,,,3507388,0.0107,38.25,38.94,38.66,38.4225,38.45,37.84,0.41,3507388,1.07
2025-08-13,"August 13, 25",,,,,,4540126,0.0585,36.6,38.85,38.74,37.68,38.53,36.53,2.14,4540126,5.85
2025-08-12,"August 12, 25",,,,,,3886183,0.0202,35.7,36.6,36.42,36,36.22,35.28,0.72,3886183,2.02
2025-08-11,"August 11, 25",,,,,,3353740,-0.0108,36.09,36.3,35.7,35.78,35.5,35.03,-0.39,3353740,-1.08
2025-08-08,"August 08, 25",,,,,,3568000,-0.0112,36.5,36.5,36.09,36.15,35.89,35.51,-0.41,3568000,-1.12
2025-08-07,"August 07, 25",,,,,,5907948,-0.0294,37.45,37.65,36.35,36.72,36.15,35.43,-1.1,5907948,-2.94
2025-08-06,"August 06, 25",,,,,,16375339,0.0361,35.97,38.56,37.27,36.895,37.07,35.78,1.3,16375339,3.61
2025-08-05,"August 05, 25",,,,,,8981204,-0.0076493,33.99,34.03,33.73,33.7825,33.55,33.38,-0.26,8981204,-0.76493
2025-08-04,"August 04, 25",,,,,,6790747,0.0020704,33.81,34.1,33.88,33.8125,33.69,33.46,0.07,6790747,0.20704
2025-08-01,"August 01, 25",,,,,,6401800,-0.0088496,33.9,34.07,33.6,33.7,33.42,33.23,-0.3,6401800,-0.88496
2025-07-31,"July 31, 25",,,,,,4507700,0.0011686,34.23,34.53,34.27,34.2375,34.08,33.92,0.04,4507700,0.11686
2025-07-30,"July 30, 25",,,,,,4071137,0.0043924,34.15,34.49,34.3,34.1,34.11,33.46,0.15,4071137,0.43924
2025-07-29,"July 29, 25",,,,,,4018841,-0.002051,34.13,34.31,34.06,34.0775,33.87,33.81,-0.075,4018841,-0.2051
2025-07-28,"July 28, 25",,,,,,4448239,-0.0098551,34.5,34.69,34.16,34.3625,33.97,34.1,-0.34,4448239,-0.98551
2025-07-25,"July 25, 25",,,,,,3745618,0.0093458,34.24,34.78,34.56,34.41,34.37,34.06,0.32,3745618,0.93458
2025-07-24,"July 24, 25",,,,,,3038300,0.0041237,33.95,34.37,34.09,34.0775,33.9,33.9,0.135,3038300,0.41237
2025-07-23,"July 23, 25",,,,,,3396115,-0.0032372,33.98,34.17,33.87,33.9225,33.68,33.67,-0.11,3396115,-0.32372
2025-07-22,"July 22, 25",,,,,,5416817,0.0311,32.8,33.98,33.82,33.3425,33.64,32.77,1.02,5416817,3.11
2025-07-21,"July 21, 25",,,,,,3369302,0.0049216,32.51,32.85,32.67,32.6125,32.49,32.42,0.16,3369302,0.49216
2025-07-18,"July 18, 25",,,,,,2695457,-0.0052115,32.62,32.77,32.45,32.515,32.27,32.22,-0.17,2695457,-0.52115
2025-07-17,"July 17, 25",,,,,,4126421,0.0040348,32.22,32.66,32.35,32.3375,32.17,32.12,0.13,4126421,0.40348
2025-07-16,"July 16, 25",,,,,,3200200,0.0034257,32.11,32.41,32.22,32.1525,32.04,31.87,0.11,3200200,0.34257
2025-07-15,"July 15, 25",,,,,,3788610,-0.0124,32.27,32.45,31.87,32.0425,31.7,31.58,-0.4,3788610,-1.24
2025-07-14,"July 14, 25",,,,,,3676822,-0.0095209,32.56,32.79,32.25,32.4525,32.07,32.21,-0.31,3676822,-0.95209
2025-07-11,"July 11, 25",,,,,,3247709,-0.0223,33.23,33.31,32.49,32.875,32.31,32.47,-0.74,3247709,-2.23
2025-07-10,"July 10, 25",,,,,,3796588,0.0206,32.93,34.07,33.61,33.3575,33.43,32.82,0.68,3796588,2.06
2025-07-09,"July 09, 25",,,,,,2458403,0.0111,32.51,32.91,32.87,32.64,32.69,32.27,0.36,2458403,1.11
2025-07-08,"July 08, 25",,,,,,3579768,0.0169,31.9,32.47,32.44,32.1575,32.26,31.82,0.545,3579768,1.69
2025-07-07,"July 07, 25",,,,,,3678432,-0.0158,32.34,32.51,31.83,32.12,31.66,31.8,-0.51,3678432,-1.58
2025-07-03,"July 03, 25",0.19,0.19,2025-07-03,2025-07-18,2025-05-07,2361800,0.0033919,32.43,32.91,32.54,32.55,32.36,32.32,0.11,2361800,0.33919
2025-07-02,"July 02, 25",,,,,,4519800,-0.0018462,32.5,32.77,32.44,32.515,32.26,32.35,-0.06,4519800,-0.18462
2025-07-01,"July 01, 25",,,,,,5430000,0.0542,30.84,32.63,32.51,31.705,32.33,30.84,1.67,5430000,5.42
2025-06-30,"June 30, 25",,,,,,3362615,-0.0038697,31.01,31.15,30.89,30.915,30.72,30.61,-0.12,3362615,-0.38697
2025-06-27,"June 27, 25",,,,,,5431309,0.003905,30.73,30.89,30.85,30.685,30.68,30.27,0.125,5431309,0.3905
2025-06-26,"June 26, 25",,,,,,4933309,-0.0159,30.91,31,30.42,30.66,30.25,30.31,-0.49,4933309,-1.59
2025-06-25,"June 25, 25",,,,,,3578200,-0.0234,31.6,31.81,30.86,31.2375,30.69,30.68,-0.74,3578200,-2.34
2025-06-24,"June 24, 25",,,,,,4007918,0.0089485,31.29,31.61,31.57,31.3925,31.4,31.1,0.28,4007918,0.89485
2025-06-23,"June 23, 25",,,,,,2880600,0.0134,30.54,30.99,30.95,30.675,30.78,30.22,0.41,2880600,1.34
2025-06-20,"June 20, 25",,,,,,10863205,0.0026221,30.51,30.87,30.59,30.5625,30.42,30.28,0.08,10863205,0.26221
2025-06-18,"June 18, 25",,,,,,4253917,0.0023156,30.23,30.89,30.3,30.3875,30.13,30.13,0.07,4253917,0.23156
2025-06-17,"June 17, 25",,,,,,4263200,-0.0046037,30.41,30.66,30.27,30.3325,30.1,29.99,-0.14,4263200,-0.46037
2025-06-16,"June 16, 25",,,,,,4048602,0.0175,30.26,30.91,30.79,30.445,30.62,29.82,0.535,4048602,1.75
2025-06-13,"June 13, 25",,,,,,3244545,0.0006626905,30.18,30.76,30.2,30.3025,30.03,30.07,0.02,3244545,0.06626905
2025-06-12,"June 12, 25",,,,,,3484038,-0.0135,31.08,31.47,30.66,30.9375,30.49,30.54,-0.42,3484038,-1.35
2025-06-11,"June 11, 25",,,,,,3954838,-0.01,31.86,32.19,31.54,31.735,31.37,31.35,-0.32,3954838,-1
2025-06-10,"June 10, 25",,,,,,4589400,-0.0081352,31.96,32.37,31.7,31.9,31.53,31.57,-0.26,4589400,-0.81352
2025-06-09,"June 09, 25",,,,,,4130914,0.0028266,31.84,32.23,31.93,31.945,31.76,31.78,0.09,4130914,0.28266
2025-06-06,"June 06, 25",,,,,,3199767,0.0069576,31.62,31.91,31.84,31.6825,31.67,31.36,0.22,3199767,0.69576
2025-06-05,"June 05, 25",,,,,,3824532,-0.0081864,31.76,32.32,31.5,31.73,31.33,31.34,-0.26,3824532,-0.81864
2025-06-04,"June 04, 25",,,,,,3108800,0.019,30.46,31.07,31.04,30.7425,30.87,30.4,0.58,3108800,1.9
2025-06-03,"June 03, 25",,,,,,2666614,0.0096154,30.16,30.52,30.45,30.185,30.28,29.61,0.285,2666614,0.96154
2025-06-02,"June 02, 25",,,,,,3138100,0.0178,29.79,30.45,30.32,30.055,30.15,29.66,0.53,3138100,1.78
2025-05-30,"May 30, 25",,,,,,3022738,-0.0016672,29.99,30,29.94,29.85,29.78,29.47,-0.05,3022738,-0.16672
2025-05-29,"May 29, 25",,,,,,3773600,-0.023,30.89,30.89,30.18,30.47,30.01,29.92,-0.71,3773600,-2.3
2025-05-28,"May 28, 25",,,,,,4517697,0.0062603,30.35,30.95,30.54,30.54,30.37,30.32,0.19,4517697,0.62603
2025-05-27,"May 27, 25",,,,,,3565710,0.024,29.61,30.34,30.32,29.8525,30.15,29.14,0.71,3565710,2.4
2025-05-23,"May 23, 25",,,,,,3248511,0.0044704,29.08,29.37,29.21,29.1625,29.05,28.99,0.13,3248511,0.44704
2025-05-22,"May 22, 25",,,,,,3899572,0.0010197,29.42,29.85,29.45,29.475,29.29,29.18,0.03,3899572,0.10197
2025-05-21,"May 21, 25",,,,,,5097644,0.0006821282,29.32,29.89,29.34,29.4375,29.18,29.2,0.02,5097644,0.06821282
2025-05-20,"May 20, 25",,,,,,5831343,-0.0203,30.03,30.45,29.42,29.8225,29.26,29.39,-0.61,5831343,-2.03
2025-05-19,"May 19, 25",,,,,,6298300,0.0392,28.8,29.97,29.93,29.375,29.77,28.8,1.13,6298300,3.92
2025-05-16,"May 16, 25",,,,,,3875800,0.0079256,29.02,29.35,29.25,29.13,29.09,28.9,0.23,3875800,0.79256
2025-05-15,"May 15, 25",,,,,,4267035,-0.0113,29.31,29.68,28.98,29.2075,28.82,28.86,-0.335,4267035,-1.13
2025-05-14,"May 14, 25",,,,,,6522900,0.0176,28.9,29.5,29.41,29.1325,29.25,28.72,0.51,6522900,1.76
2025-05-13,"May 13, 25",,,,,,7373700,0.0127,28.44,28.88,28.8,28.55,28.64,28.08,0.36,7373700,1.27
2025-05-12,"May 12, 25",,,,,,7381400,0.0143,28,28.5,28.4,28.145,28.24,27.68,0.4,7381400,1.43
2025-05-09,"May 09, 25",,,,,,9458936,-0.022,27.79,28.76,27.18,27.6325,27.03,26.8,-0.605,9458936,-2.2
2025-05-08,"May 08, 25",,,,,,13935432,-0.1005,30.54,30.76,27.47,29.03,27.32,27.35,-3.07,13935432,-10.05
2025-05-07,"May 07, 25",,,,,,5396783,0.0082974,30.13,30.58,30.38,30.2725,30.21,30,0.25,5396783,0.82974
2025-05-06,"May 06, 25",,,,,,3458914,-0.0013333,30,30.25,29.96,29.9925,29.8,29.76,-0.04,3458914,-0.13333
2025-05-05,"May 05, 25",,,,,,4293087,-0.0098039,30.6,31.08,30.3,30.5575,30.13,30.25,-0.3,4293087,-0.98039
2025-05-02,"May 02, 25",,,,,,3805947,-0.0035714,30.8,31.03,30.69,30.765,30.52,30.54,-0.11,3805947,-0.35714
2025-05-01,"May 01, 25",,,,,,7663500,-0.0029508,30.5,30.96,30.41,30.49,30.24,30.09,-0.09,7663500,-0.29508
2025-04-30,"April 30, 25",,,,,,3319744,0.0178,29.14,29.73,29.66,29.355,29.5,28.89,0.52,3319744,1.78
2025-04-29,"April 29, 25",,,,,,2799400,-0.0083389,29.98,30.19,29.73,29.8775,29.57,29.61,-0.25,2799400,-0.83389
2025-04-28,"April 28, 25",,,,,,2955000,0.0033256,30.07,30.34,30.17,30.025,30,29.52,0.1,2955000,0.33256
2025-04-25,"April 25, 25",,,,,,2734940,-0.0085724,30.33,30.47,30.07,30.1825,29.91,29.86,-0.26,2734940,-0.85724
2025-04-24,"April 24, 25",,,,,,3151465,0.0131,29.8,30.25,30.19,29.9825,30.02,29.69,0.39,3151465,1.31
2025-04-23,"April 23, 25",,,,,,2915800,-0.0179,30.18,30.43,29.64,29.8375,29.48,29.1,-0.54,2915800,-1.79
2025-04-22,"April 22, 25",,,,,,3803819,0.0091712,29.44,29.75,29.71,29.48,29.55,29.02,0.27,3803819,0.91712
2025-04-21,"April 21, 25",,,,,,3876640,0.007623,28.86,29.12,29.08,28.9225,28.92,28.63,0.22,3876640,0.7623
2025-04-17,"April 17, 25",,,,,,3561208,0.0111,28.7,29.18,29.02,28.8575,28.86,28.53,0.32,3561208,1.11
2025-04-16,"April 16, 25",,,,,,3354178,-0.0072765,28.86,29.13,28.65,28.7625,28.49,28.41,-0.21,3354178,-0.72765
2025-04-15,"April 15, 25",,,,,,3178535,0.0139,28.68,29.32,29.08,28.935,28.92,28.66,0.4,3178535,1.39
2025-04-14,"April 14, 25",,,,,,2946744,-0.0089934,28.91,29.08,28.65,28.71,28.49,28.2,-0.26,2946744,-0.89934
2025-04-11,"April 11, 25",,,,,,3745903,0.0161,28.03,28.73,28.48,28.2725,28.32,27.85,0.45,3745903,1.61
2025-04-10,"April 10, 25",,,,,,4820800,-0.023,28.74,29.16,28.08,28.3325,27.93,27.35,-0.66,4820800,-2.3
2025-04-09,"April 09, 25",,,,,,6415501,0.088,26.83,29.44,29.19,27.9625,29.03,26.39,2.36,6415501,8.8
2025-04-08,"April 08, 25",,,,,,5752032,-0.0657,28.93,28.93,27.03,27.8775,26.88,26.62,-1.9,5752032,-6.57
2025-04-07,"April 07, 25",,,,,,7206362,0.0050523,27.71,29.36,27.85,27.9125,27.7,26.73,0.14,7206362,0.50523
2025-04-04,"April 04, 25",,,,,,10590739,-0.0204,29.34,30.23,28.74,29.255,28.58,28.71,-0.6,10590739,-2.04
2025-04-03,"April 03, 25",0.19,0.19,2025-04-03,2025-04-17,2025-02-04,7911700,-0.0049456,30.33,31.27,30.18,30.43,30.01,29.94,-0.15,7911700,-0.49456
2025-04-02,"April 02, 25",,,,,,3824200,0.0191,30.88,31.73,31.47,31.24,31.3,30.88,0.59,3824200,1.91
2025-04-01,"April 01, 25",,,,,,4490484,0.0152,30.94,31.69,31.41,31.15,31.24,30.56,0.47,4490484,1.52
2025-03-31,"March 31, 25",,,,,,10750124,0.0233,30.49,31.3,31.2,30.78,31.03,30.13,0.71,10750124,2.33
2025-03-28,"March 28, 25",,,,,,3651051,-0.0356,31.76,31.76,30.63,31.1375,30.46,30.4,-1.13,3651051,-3.56
2025-03-27,"March 27, 25",,,,,,2769935,0.0034668,31.73,32.28,31.84,31.8575,31.67,31.58,0.11,2769935,0.34668
2025-03-26,"March 26, 25",,,,,,4605300,0.0166,31.31,31.91,31.83,31.5475,31.66,31.14,0.52,4605300,1.66
2025-03-25,"March 25, 25",,,,,,2509334,-0.0142,31.72,31.97,31.27,31.5425,31.1,31.21,-0.45,2509334,-1.42
2025-03-24,"March 24, 25",,,,,,3982161,0.0213,31,31.83,31.66,31.355,31.49,30.93,0.66,3982161,2.13
2025-03-21,"March 21, 25",,,,,,18725520,-0.0158,30.98,30.99,30.49,30.69,30.32,30.3,-0.49,18725520,-1.58
2025-03-20,"March 20, 25",,,,,,2959100,0.003537,31.1,31.72,31.21,31.26,31.04,31.01,0.11,2959100,0.3537
2025-03-19,"March 19, 25",,,,,,3163221,0.0142,31,31.7,31.44,31.285,31.27,31,0.44,3163221,1.42
2025-03-18,"March 18, 25",,,,,,2764773,-0.0102,31.31,31.46,30.99,31.1275,30.82,30.75,-0.32,2764773,-1.02
2025-03-17,"March 17, 25",,,,,,2934043,0.0159,30.87,31.72,31.36,31.205,31.19,30.87,0.49,2934043,1.59
