holder,shares,dateReported,change
VANGUARD GROUP INC,10616433,2025-09-30,-105580
"BlackRock, Inc.",7382432,2025-09-30,-1154700
Boston Partners,4746454,2025-09-30,48199
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,4380779,2025-09-30,-104056
STATE STREET CORP,4232208,2025-09-30,260973
"GEODE CAPITAL MANAGEMENT, LLC",2679951,2025-09-30,106758
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,2356869,2025-09-30,113821
BROWN ADVISORY INC,1942114,2025-09-30,33793
VAN ECK ASSOCIATES CORP,1582710,2025-09-30,-1337703
NORDEA INVESTMENT MANAGEMENT AB,1466758,2025-09-30,-42809
"LORD, ABBETT & CO. LLC",1425535,2025-09-30,29847
MORGAN STANLEY,1335211,2025-09-30,202988
Invesco Ltd.,1244958,2025-09-30,-182826
DEUTSCHE BANK AG\,1232600,2025-09-30,-125286
NORTHERN TRUST CORP,1210063,2025-09-30,52612
JPMORGAN CHASE & CO,942212,2025-09-30,67074
AQR CAPITAL MANAGEMENT LLC,885136,2025-09-30,-117166
BANK OF AMERICA CORP /DE/,863837,2025-09-30,181869
DIMENSIONAL FUND ADVISORS LP,851759,2025-09-30,-1684
FIDUCIARY MANAGEMENT INC /WI/,788748,2025-09-30,-28898
BERKSHIRE HATHAWAY INC,780133,2025-09-30,0
WELLS FARGO & COMPANY/MN,749496,2025-09-30,-21781
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,746354,2025-09-30,421
Bank of New York Mellon Corp,619760,2025-09-30,-107289
UBS ASSET MANAGEMENT AMERICAS INC,605604,2025-09-30,-123691
Robeco Institutional Asset Management B.V.,586335,2025-09-30,-6963
RAYMOND JAMES FINANCIAL INC,575135,2025-09-30,-34353
"Alyeska Investment Group, L.P.",570610,2025-09-30,9704
Amundi,565171,2025-09-30,-23042
Boston Trust Walden Corp,535932,2025-09-30,-132500
ENVESTNET ASSET MANAGEMENT INC,533666,2025-09-30,6328
GOLDMAN SACHS GROUP INC,531237,2025-09-30,45597
HAWK RIDGE CAPITAL MANAGEMENT LP,523807,2025-09-30,-315240
Legal & General Group Plc,496716,2025-09-30,1986
COOKE & BIELER LP,484287,2025-09-30,-60372
FIL Ltd,468197,2025-09-30,50712
AXA Investment Managers S.A.,444287,2025-09-30,444287
BARCLAYS PLC,431741,2025-09-30,173483
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",428104,2025-09-30,367468
UBS Group AG,424535,2025-09-30,-27854
Pictet Asset Management Holding SA,417366,2025-09-30,11663
