holder,shares,dateReported,change
VANGUARD GROUP INC,9390095,2025-09-30,-324135
"BlackRock, Inc.",6191145,2025-09-30,-340245
STATE STREET CORP,4016216,2025-09-30,-106453
JANUS HENDERSON GROUP PLC,3856684,2025-09-30,396604
AQR CAPITAL MANAGEMENT LLC,3189566,2025-09-30,1389723
MORGAN STANLEY,2827994,2025-09-30,131159
JPMORGAN CHASE & CO,2672060,2025-09-30,416167
"GEODE CAPITAL MANAGEMENT, LLC",2043976,2025-09-30,-28524
Invesco Ltd.,1612262,2025-09-30,82939
BARROW HANLEY MEWHINNEY & STRAUSS LLC,1526618,2025-09-30,-15359
FIL Ltd,1344451,2025-09-30,-27769
MILLENNIUM MANAGEMENT LLC,1267839,2025-09-30,269054
"JACOBS LEVY EQUITY MANAGEMENT, INC",1098117,2025-09-30,-119249
"T. Rowe Price Investment Management, Inc.",1049754,2025-09-30,-1180508
DIMENSIONAL FUND ADVISORS LP,1032408,2025-09-30,-86270
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1007829,2025-09-30,-105381
STIFEL FINANCIAL CORP,826546,2025-09-30,138463
UBS Group AG,824688,2025-09-30,263965
Qube Research & Technologies Ltd,823089,2025-09-30,635172
NORTHERN TRUST CORP,753957,2025-09-30,-11271
PARK PRESIDIO CAPITAL LLC,749753,2025-09-30,78880
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,742114,2025-09-30,123632
PRIMECAP MANAGEMENT CO/CA/,640810,2025-09-30,0
"Anomaly Capital Management, LP",625478,2025-09-30,174409
UBS ASSET MANAGEMENT AMERICAS INC,609438,2025-09-30,-137789
"TWO SIGMA INVESTMENTS, LP",604268,2025-09-30,24323
GOLDMAN SACHS GROUP INC,601099,2025-09-30,162225
Amundi,556791,2025-09-30,225627
BANK OF AMERICA CORP /DE/,541548,2025-09-30,25907
Legal & General Group Plc,487708,2025-09-30,-8602
Bank of New York Mellon Corp,444541,2025-09-30,-20466
BARCLAYS PLC,440868,2025-09-30,17102
THRIVENT FINANCIAL FOR LUTHERANS,440120,2025-09-30,1023
"TWO SIGMA ADVISERS, LP",438800,2025-09-30,-45100
"CI Private Wealth, LLC",421654,2025-09-30,-10113
Hexagon Capital Partners LLC,395734,2025-09-30,2362
DEUTSCHE BANK AG\,377636,2025-09-30,-58713
ROYAL BANK OF CANADA,363713,2025-09-30,298652
Quantinno Capital Management LP,361860,2025-09-30,106679
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",335311,2025-09-30,13016
"D. E. Shaw & Co., Inc.",311176,2025-09-30,199027
WESTFIELD CAPITAL MANAGEMENT CO LP,296843,2025-09-30,-16106
"Russell Investments Group, Ltd.",257271,2025-09-30,23
"BNP PARIBAS ARBITRAGE, SNC",252713,2025-09-30,76795
"Interval Partners, LP",251319,2025-09-30,-37875
"IEQ CAPITAL, LLC",241143,2025-09-30,123874
ALLIANCEBERNSTEIN L.P.,237111,2025-09-30,-107770
AMERICAN CENTURY COMPANIES INC,234471,2025-09-30,25816
Swiss National Bank,223200,2025-09-30,-19600
HSBC HOLDINGS PLC,212022,2025-09-30,73462
"Nuveen, LLC",205146,2025-09-30,-7105
"Sumitomo Mitsui Trust Holdings, Inc.",203024,2025-09-30,-2683
WORLDQUANT MILLENNIUM ADVISORS LLC,200796,2025-09-30,-41556
WELLINGTON MANAGEMENT GROUP LLP,200497,2025-09-30,-758364
Stephens Investment Management Group LLC,197818,2025-09-30,-10125
GREENWOOD GEARHART INC,193569,2025-09-30,5150
Assenagon Asset Management S.A.,192178,2025-09-30,170264
RENAISSANCE TECHNOLOGIES LLC,189544,2025-09-30,-84000
FIRST TRUST ADVISORS LP,180935,2025-09-30,-247769
STRS OHIO,178862,2025-09-30,101954
AMERIPRISE FINANCIAL INC,178499,2025-09-30,-25197
RHUMBLINE ADVISERS,170212,2025-09-30,-2272
"Gotham Asset Management, LLC",154248,2025-09-30,124542
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,153027,2025-09-30,126301
"Lido Advisors, LLC",152833,2025-09-30,11608
"FULLER & THALER ASSET MANAGEMENT, INC.",150398,2025-09-30,81269
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",149200,2025-09-30,930
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,149041,2025-09-30,9634
Retirement Systems of Alabama,144179,2025-09-30,-503
"TRILLIUM ASSET MANAGEMENT, LLC",139655,2025-09-30,-1242
FMR LLC,137549,2025-09-30,15849
Korea Investment CORP,133605,2025-09-30,62845
AE Wealth Management LLC,125829,2025-09-30,3890
"JANE STREET GROUP, LLC",121187,2025-09-30,113213
"Legacy Capital Wealth Partners, LLC",119383,2025-09-30,50
VICTORY CAPITAL MANAGEMENT INC,116490,2025-09-30,-1745885
PRICE T ROWE ASSOCIATES INC /MD/,114705,2025-09-30,-16439
STEPHENS INC /AR/,113181,2025-09-30,-754
Distillate Capital Partners LLC,110978,2025-09-30,110978
WELLS FARGO & COMPANY/MN,110295,2025-09-30,-28266
HEARTLAND ADVISORS INC,109806,2025-09-30,-16479
"Connor, Clark & Lunn Investment Management Ltd.",109012,2025-09-30,5171
SCOPIA CAPITAL MANAGEMENT LP,105752,2025-09-30,-129573
"SRS Capital Advisors, Inc.",103721,2025-09-30,103334
TD ASSET MANAGEMENT INC,101325,2025-09-30,-106222
CAPITAL FUND MANAGEMENT S.A.,100860,2025-09-30,11413
BANK OF MONTREAL /CAN/,97281,2025-09-30,-40775
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,92631,2025-09-30,-4176
Universal- Beteiligungs- und Servicegesellschaft mbH,92593,2025-09-30,1551
Cerity Partners LLC,90589,2025-09-30,55981
"Eldred Rock Partners, LLC",88061,2025-09-30,9345
"CWM, LLC",82987,2025-09-30,49368
PRINCIPAL FINANCIAL GROUP INC,82402,2025-09-30,-3113
ENVESTNET ASSET MANAGEMENT INC,76333,2025-09-30,-9628
CITIGROUP INC,76069,2025-09-30,-916
"Edgestream Partners, L.P.",75504,2025-09-30,36973
Engineers Gate Manager LP,74197,2025-09-30,53341
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,72469,2025-09-30,-1034
BNP Paribas Asset Management Holding S.A.,71980,2025-09-30,-349
MACQUARIE GROUP LTD,71074,2025-09-30,-6876
LOOMIS SAYLES & CO L P,68990,2025-09-30,-9423
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,67467,2025-09-30,-191
Handelsbanken Fonder AB,64825,2025-09-30,-1653
TUDOR INVESTMENT CORP ET AL,63847,2025-09-30,63847
Pictet Asset Management Holding SA,62632,2025-09-30,13828
AVIVA PLC,62192,2025-09-30,2305
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",61615,2025-09-30,15989
BANK OF NOVA SCOTIA,60263,2025-09-30,31473
NIXON PEABODY TRUST CO,59752,2025-09-30,59752
"Advocacy Wealth Management Services, LLC",58787,2025-09-30,58787
STATE OF WISCONSIN INVESTMENT BOARD,58174,2025-09-30,-5995
"Horrell Capital Management, Inc.",57760,2025-09-30,-2245
abrdn plc,56981,2025-09-30,-6844
LPL Financial LLC,56189,2025-09-30,-1271
Schonfeld Strategic Advisors LLC,54376,2025-09-30,-50264
GREAT WEST LIFE ASSURANCE CO /CAN/,49971,2025-09-30,-96
FRANKLIN RESOURCES INC,49743,2025-09-30,27662
CANADA PENSION PLAN INVESTMENT BOARD,48868,2025-09-30,-53520
Hudson Bay Capital Management LP,47959,2025-09-30,47959
CITADEL ADVISORS LLC,45916,2025-09-30,10177
"CULLEN/FROST BANKERS, INC.",45745,2025-09-30,45745
CAPTRUST FINANCIAL ADVISORS,45700,2025-09-30,7001
PRUDENTIAL FINANCIAL INC,45508,2025-09-30,-578
APG Asset Management N.V.,45100,2025-09-30,-800
"ADAGE CAPITAL PARTNERS GP, L.L.C.",44600,2025-09-30,-27200
GUGGENHEIM CAPITAL LLC,44302,2025-09-30,-2318
ROYAL LONDON ASSET MANAGEMENT LTD,43837,2025-09-30,0
NATIONAL BANK OF CANADA /FI/,41361,2025-09-30,-16248
COMERICA BANK,40759,2025-09-30,549
Trexquant Investment LP,40407,2025-09-30,28940
COMGEST GLOBAL INVESTORS S.A.S.,40043,2025-09-30,-85591
Y-Intercept (Hong Kong) Ltd,39135,2025-09-30,39135
MERCER GLOBAL ADVISORS INC /ADV,39112,2025-09-30,23298
"Chevy Chase Trust Holdings, LLC",39028,2025-09-30,-2364
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",38970,2025-09-30,13823
DANSKE BANK A/S,38912,2025-09-30,-100
NEW YORK STATE COMMON RETIREMENT FUND,38700,2025-09-30,-1800
"Disciplined Investments, LLC",38378,2025-09-30,101
