date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,dividend,paymentDate,declarationDate,adjDividend
2026-01-02,53.35,53.65,52.53,53.46,53.46,4214366,4214366,0.11,0.20619,53.2475,"January 02, 26",0.0020619,,,,,
2025-12-31,54.04,54.34,53.15,53.6,53.6,5411402,5411402,-0.44,-0.81421,53.7825,"December 31, 25",-0.0081421,,,,,
2025-12-30,55,55.2,54.48,54.63,54.63,4387681,4387681,-0.37,-0.67273,54.8275,"December 30, 25",-0.0067273,,,,,
2025-12-29,54,54.73,53.83,54.54,54.54,7115204,7115204,0.54,1,54.275,"December 29, 25",0.01,,,,,
2025-12-26,54.28,54.41,53.57,53.93,53.93,4706064,4706064,-0.35,-0.6448,54.0475,"December 26, 25",-0.006448,,,,,
2025-12-24,54.03,54.54,53.64,53.89,53.89,3448235,3448235,-0.14,-0.25912,54.025,"December 24, 25",-0.0025912,,,,,
2025-12-23,54.28,54.74,53.68,54.52,54.52,6385146,6385146,0.24,0.44215,54.305,"December 23, 25",0.0044215,,,,,
2025-12-22,53.84,54.37,53.13,53.5,53.5,7705400,7705400,-0.34,-0.6315,53.71,"December 22, 25",-0.006315,,,,,
2025-12-19,53.81,54.59,53.76,53.87,53.87,11653014,11653014,0.06,0.1115,54.0075,"December 19, 25",0.001115,,,,,
2025-12-18,54.22,55.41,53.44,53.76,53.76,8107493,8107493,-0.46,-0.8484,54.2075,"December 18, 25",-0.008484,,,,,
2025-12-17,53.69,54.5,53.27,54.36,54.36,8145800,8145800,0.67,1.25,53.955,"December 17, 25",0.0125,,,,,
2025-12-16,54.66,54.66,52.74,53.32,53.32,9445494,9445494,-1.34,-2.45,53.845,"December 16, 25",-0.0245,,,,,
2025-12-15,55.57,55.58,53.96,55.17,55.17,10307437,10307437,-0.4,-0.71981,55.07,"December 15, 25",-0.0071981,,,,,
2025-12-12,56.29,56.38,55.02,55.57,55.57,8652014,8652014,-0.72,-1.28,55.815,"December 12, 25",-0.0128,,,,,
2025-12-11,56.87,56.87,55.27,56.07,56.07,10417521,10417521,-0.8,-1.41,56.27,"December 11, 25",-0.0141,,,,,
2025-12-10,58.74,58.79,56.99,57.25,57.25,7558600,7558600,-1.49,-2.54,57.9425,"December 10, 25",-0.0254,,,,,
2025-12-09,58.73,59.18,58.3,58.52,58.52,6050836,6050836,-0.21,-0.35757,58.6825,"December 09, 25",-0.0035757,,,,,
2025-12-08,60.42,60.49,58.41,58.66,58.66,9770215,9770215,-1.76,-2.91,59.495,"December 08, 25",-0.0291,,,,,
2025-12-05,60.75,62.23,60.28,60.68,60.68,9006800,9006800,-0.07,-0.11523,60.985,"December 05, 25",-0.0011523,,,,,
2025-12-04,61.08,62,59.22,60.07,60.07,11361800,11361800,-1.01,-1.65,60.5925,"December 04, 25",-0.0165,,,,,
2025-12-03,59.09,61.52,58.7,61.17,61.17,9413909,9413909,2.08,3.52,60.12,"December 03, 25",0.0352,,,,,
2025-12-02,60.47,60.47,58.49,58.6,58.6,7324638,7324638,-1.87,-3.09,59.5075,"December 02, 25",-0.0309,,,,,
2025-12-01,60.66,61.21,59.89,60.52,60.52,8318700,8318700,-0.14,-0.23079,60.57,"December 01, 25",-0.0023079,,,,,
2025-11-28,59.43,61.17,58.95,60.86,60.86,4653300,4653300,1.43,2.41,60.1025,"November 28, 25",0.0241,,,,,
2025-11-26,57.37,59.34,57.25,59,59,5671300,5671300,1.63,2.84,58.24,"November 26, 25",0.0284,,,,,
2025-11-25,56.9,57.88,56.11,56.76,56.76,8376947,8376947,-0.14,-0.24605,56.9125,"November 25, 25",-0.0024605,,,,,
2025-11-24,56.76,57.71,55.26,57.54,57.54,11711130,11711130,0.78,1.37,56.8175,"November 24, 25",0.0137,,,,,
2025-11-21,56.11,57.37,55.13,57.03,57.03,10655855,10655855,0.92,1.64,56.41,"November 21, 25",0.0164,,,,,
2025-11-20,59.29,60.51,56.28,56.35,56.35,8745700,8745700,-2.94,-4.96,58.1075,"November 20, 25",-0.0496,,,,,
2025-11-19,58.78,59.19,57.56,58.89,58.89,7889900,7889900,0.11,0.18714,58.605,"November 19, 25",0.0018714,,,,,
2025-11-18,58.48,59.01,57.68,58.75,58.75,6400932,6400932,0.275,0.4617,58.48,"November 18, 25",0.004617,,,,,
2025-11-17,59.59,60.66,58.69,59.04,59.04,7681900,7681900,-0.55,-0.92297,59.495,"November 17, 25",-0.0092297,,,,,
2025-11-14,59.05,60.5,57.9,59.9,59.9,10974905,10974905,0.85,1.44,59.3375,"November 14, 25",0.0144,,,,,
2025-11-13,60.85,61.26,60.15,60.25,60.25,8005210,8005210,-0.6,-0.98603,60.6275,"November 13, 25",-0.0098603,,,,,
2025-11-12,60.03,61.17,60.03,60.84,60.84,9286734,9286734,0.81,1.35,60.5175,"November 12, 25",0.0135,,,,,
2025-11-11,59.4,61.06,59.24,60.69,60.69,9165500,9165500,1.29,2.17,60.0975,"November 11, 25",0.0217,,,,,
2025-11-10,58.49,59.29,57.97,58.94,58.94,7437500,7437500,0.45,0.76936,58.6725,"November 10, 25",0.0076936,,,,,
2025-11-07,56.17,57.99,55.76,57.97,57.97,5783726,5783726,1.8,3.2,56.9725,"November 07, 25",0.032,,,,,
2025-11-06,56.79,57.94,55.55,56.28,56.28,7328200,7328200,-0.51,-0.89805,56.64,"November 06, 25",-0.0089805,,,,,
2025-11-05,55.66,57.1,55.11,55.99,55.99,5957319,5957319,0.33,0.59289,55.965,"November 05, 25",0.0059289,2025-11-05,0.165,2025-12-01,2025-10-16,0.165
2025-11-04,55.03,56.72,54.28,55.85,55.69,6999500,6999500,0.82,1.49,55.47,"November 04, 25",0.0149,,,,,
2025-11-03,53.74,55.91,53.43,55.86,55.69,6800749,6800749,2.12,3.94,54.735,"November 03, 25",0.0394,,,,,
2025-10-31,53.01,53.89,52.94,53.58,53.42,5219893,5219893,0.57,1.08,53.355,"October 31, 25",0.0108,,,,,
2025-10-30,52.01,53.28,51.51,52.45,52.3,7456624,7456624,0.44,0.84599,52.3125,"October 30, 25",0.0084599,,,,,
2025-10-29,52.47,53.4,50.91,51.8,51.65,6876624,6876624,-0.67,-1.28,52.145,"October 29, 25",-0.0128,,,,,
2025-10-28,53.51,53.51,52.05,52.18,52.03,4096017,4096017,-1.33,-2.49,52.8125,"October 28, 25",-0.0249,,,,,
2025-10-27,53.84,54.35,53,53.75,53.59,6532542,6532542,-0.09,-0.16716,53.735,"October 27, 25",-0.0016716,,,,,
2025-10-24,53.75,54.01,52.91,53.7,53.54,6192900,6192900,-0.05,-0.09302326,53.5925,"October 24, 25",-0.0009302326,,,,,
2025-10-23,54.35,54.74,52.08,53.56,53.4,8870600,8870600,-0.79,-1.45,53.6825,"October 23, 25",-0.0145,,,,,
2025-10-22,55.3,56.98,53,53.49,53.33,11441229,11441229,-1.81,-3.27,54.6925,"October 22, 25",-0.0327,,,,,
2025-10-21,55.86,56.88,55.58,55.71,55.55,6655900,6655900,-0.15,-0.26853,56.0075,"October 21, 25",-0.0026853,,,,,
2025-10-20,55.35,57.05,55.12,56.45,56.28,5639901,5639901,1.1,1.99,55.9925,"October 20, 25",0.0199,,,,,
2025-10-17,53.49,54.53,52.55,54.08,53.92,5227900,5227900,0.59,1.1,53.6625,"October 17, 25",0.011,,,,,
2025-10-16,55.63,56.23,52.79,53.24,53.08,7800800,7800800,-2.39,-4.3,54.4725,"October 16, 25",-0.043,,,,,
2025-10-15,53.94,55.53,53.75,55.44,55.28,5544546,5544546,1.5,2.78,54.665,"October 15, 25",0.0278,,,,,
2025-10-14,52.74,53.83,51.66,53.29,53.13,5442546,5442546,0.55,1.04,52.88,"October 14, 25",0.0104,,,,,
2025-10-13,53.22,53.84,52.76,53.66,53.5,3574900,3574900,0.44,0.82676,53.37,"October 13, 25",0.0082676,,,,,
2025-10-10,54.7,55.36,53.11,53.12,52.96,5368800,5368800,-1.58,-2.89,54.0725,"October 10, 25",-0.0289,,,,,
2025-10-09,57.1,57.1,54.55,54.92,54.76,6125900,6125900,-2.18,-3.82,55.9175,"October 09, 25",-0.0382,,,,,
2025-10-08,57.16,57.16,55.55,56.41,56.24,8202400,8202400,-0.75,-1.31,56.57,"October 08, 25",-0.0131,,,,,
2025-10-07,57.09,57.55,56.31,57.16,56.99,8432846,8432846,0.07,0.12261,57.0275,"October 07, 25",0.0012261,,,,,
2025-10-06,56.59,57.3,55.52,57.19,57.03,7929417,7929417,0.6,1.06,56.65,"October 06, 25",0.0106,,,,,
2025-10-03,55.6,56.48,55.04,56.03,55.87,7589273,7589273,0.43,0.77338,55.7875,"October 03, 25",0.0077338,,,,,
2025-10-02,55.96,57.35,55.04,55.76,55.6,11823309,11823309,-0.2,-0.3574,56.0275,"October 02, 25",-0.003574,,,,,
2025-10-01,54.25,57.08,54.01,56.16,56,12094100,12094100,1.91,3.52,55.375,"October 01, 25",0.0352,,,,,
2025-09-30,53.99,55.31,53.96,54.43,54.27,12118300,12118300,0.44,0.81497,54.4225,"September 30, 25",0.0081497,,,,,
2025-09-29,53.96,54.97,53.61,54.46,54.3,10445749,10445749,0.5,0.92661,54.25,"September 29, 25",0.0092661,,,,,
2025-09-26,53.74,54.95,53.46,54.06,53.91,11639800,11639800,0.32,0.59546,54.0525,"September 26, 25",0.0059546,,,,,
2025-09-25,52.91,54.96,52.75,53.93,53.78,11605300,11605300,1.02,1.93,53.6375,"September 25, 25",0.0193,,,,,
2025-09-24,51.2,53.56,51.19,53.08,52.93,11991346,11991346,1.88,3.67,52.2575,"September 24, 25",0.0367,,,,,
2025-09-23,50.12,51.37,49.83,50.95,50.8,8825315,8825315,0.83,1.66,50.5675,"September 23, 25",0.0166,,,,,
2025-09-22,49.02,50.28,48.6,49.97,49.83,8402300,8402300,0.95,1.94,49.4675,"September 22, 25",0.0194,,,,,
2025-09-19,49.3,49.52,48.51,49.19,49.05,26614745,26614745,-0.11,-0.22312,49.13,"September 19, 25",-0.0022312,,,,,
2025-09-18,50.14,50.21,48.97,49.39,49.25,8327444,8327444,-0.75,-1.5,49.6775,"September 18, 25",-0.015,,,,,
2025-09-17,50.01,50.99,49.76,49.99,49.85,8570438,8570438,-0.02,-0.039992,50.1875,"September 17, 25",-0.00039992,,,,,
2025-09-16,50.2,50.5,48.47,49.95,49.81,12419373,12419373,-0.25,-0.49801,49.78,"September 16, 25",-0.0049801,,,,,
2025-09-15,50.81,51.06,49.92,49.98,49.84,5337719,5337719,-0.83,-1.63,50.4425,"September 15, 25",-0.0163,,,,,
2025-09-12,51.41,52.01,50.75,50.94,50.79,4746818,4746818,-0.47,-0.91422,51.2775,"September 12, 25",-0.0091422,,,,,
2025-09-11,50.75,51.22,50.46,50.96,50.81,4500103,4500103,0.21,0.41379,50.8475,"September 11, 25",0.0041379,,,,,
2025-09-10,50.42,52,50.12,51.17,51.02,5281700,5281700,0.75,1.49,50.9275,"September 10, 25",0.0149,,,,,
2025-09-09,50.8,51.4,50.04,50.25,50.11,5589600,5589600,-0.55,-1.08,50.6225,"September 09, 25",-0.0108,,,,,
2025-09-08,52.39,52.56,50.65,50.76,50.61,6974320,6974320,-1.63,-3.11,51.59,"September 08, 25",-0.0311,,,,,
2025-09-05,51.57,51.98,50.51,51.6,51.45,4959682,4959682,0.03,0.05817336,51.415,"September 05, 25",0.0005817336,,,,,
2025-09-04,51.75,52.03,50.66,51.8,51.65,4997900,4997900,0.05,0.09661836,51.56,"September 04, 25",0.0009661836,,,,,
2025-09-03,52.42,53,51.11,51.55,51.4,5245726,5245726,-0.87,-1.66,52.02,"September 03, 25",-0.0166,,,,,
2025-09-02,51.2,52.81,51.01,52.38,52.23,8339806,8339806,1.18,2.3,51.85,"September 02, 25",0.023,,,,,
2025-08-29,52.21,52.47,51.67,51.84,51.69,6319100,6319100,-0.37,-0.70868,52.0475,"August 29, 25",-0.0070868,,,,,
2025-08-28,51.35,52.54,50.85,52.36,52.21,7432500,7432500,1.01,1.97,51.775,"August 28, 25",0.0197,,,,,
2025-08-27,52.75,53.17,51.14,51.35,51.2,7541300,7541300,-1.4,-2.65,52.1025,"August 27, 25",-0.0265,,,,,
2025-08-26,51.86,52.89,50.8,52.71,52.56,9503811,9503811,0.85,1.64,52.065,"August 26, 25",0.0164,,,,,
