date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,dividend,paymentDate,declarationDate,adjDividend
2025-08-25,51.76,52.54,51.52,51.81,51.66,5110117,5110117,0.05,0.09659969,51.9075,"August 25, 25",0.0009659969,,,,,
2025-08-22,52.05,52.84,51.66,51.97,51.82,4768318,4768318,-0.08,-0.1537,52.13,"August 22, 25",-0.001537,,,,,
2025-08-21,51.4,52.19,51.06,52.05,51.9,4557700,4557700,0.65,1.26,51.675,"August 21, 25",0.0126,,,,,
2025-08-20,50.72,51.38,50.42,51.34,51.19,5348459,5348459,0.62,1.22,50.965,"August 20, 25",0.0122,,,,,
2025-08-19,49.9,50.73,49.57,50.54,50.4,6083866,6083866,0.64,1.28,50.185,"August 19, 25",0.0128,,,,,
2025-08-18,51.07,51.1,49.4,50.5,50.36,10794134,10794134,-0.57,-1.12,50.5175,"August 18, 25",-0.0112,,,,,
2025-08-15,52.24,53.38,52.18,52.85,52.7,10069016,10069016,0.61,1.17,52.6625,"August 15, 25",0.0117,,,,,
2025-08-14,51.53,52.79,51.19,52.05,51.9,5292014,5292014,0.52,1.01,51.89,"August 14, 25",0.0101,,,,,
2025-08-13,51.83,52.11,51.03,51.48,51.33,7803843,7803843,-0.35,-0.67528,51.6125,"August 13, 25",-0.0067528,,,,,
2025-08-12,51.44,51.55,50.42,51.27,51.12,7430755,7430755,-0.17,-0.33048,51.17,"August 12, 25",-0.0033048,,,,,
2025-08-11,51.51,51.91,51.13,51.82,51.67,5264417,5264417,0.31,0.60182,51.5925,"August 11, 25",0.0060182,,,,,
2025-08-08,51.45,51.93,50.63,51.29,51.14,4540308,4540308,-0.16,-0.31098,51.325,"August 08, 25",-0.0031098,,,,,
2025-08-07,51.47,52.42,51.17,51.24,51.09,4552100,4552100,-0.23,-0.44686,51.575,"August 07, 25",-0.0044686,,,,,
2025-08-06,52,52.11,51.12,51.46,51.31,5117300,5117300,-0.54,-1.04,51.6725,"August 06, 25",-0.0104,2025-08-06,0.1575,2025-09-02,2025-07-16,0.1575
2025-08-05,52,52.13,51.12,51.69,51.39,6134900,6134900,-0.31,-0.59615,51.735,"August 05, 25",-0.0059615,,,,,
2025-08-04,52.47,52.8,51.47,51.87,51.57,6784231,6784231,-0.6,-1.14,52.1525,"August 04, 25",-0.0114,,,,,
2025-08-01,53.08,53.31,52.1,52.34,52.04,7274935,7274935,-0.74,-1.39,52.7075,"August 01, 25",-0.0139,,,,,
2025-07-31,53.28,54.48,53.11,53.75,53.44,7027695,7027695,0.47,0.88213,53.655,"July 31, 25",0.0088213,,,,,
2025-07-30,52.72,53.72,52.22,53.36,53.05,10705040,10705040,0.64,1.21,53.005,"July 30, 25",0.0121,,,,,
2025-07-29,52.47,53.7,52.21,53.1,52.79,9167324,9167324,0.63,1.2,52.87,"July 29, 25",0.012,,,,,
2025-07-28,52.55,52.75,51.07,51.91,51.61,15091205,15091205,-0.64,-1.22,52.07,"July 28, 25",-0.0122,,,,,
2025-07-25,53.91,54,51.71,52.19,51.89,8472457,8472457,-1.72,-3.19,52.9525,"July 25, 25",-0.0319,,,,,
2025-07-24,52.38,54.53,52.37,54.03,53.72,12622200,12622200,1.65,3.15,53.3275,"July 24, 25",0.0315,,,,,
2025-07-23,53.3,53.97,51.26,51.96,51.66,24393134,24393134,-1.34,-2.51,52.6225,"July 23, 25",-0.0251,,,,,
2025-07-22,53.29,54.66,53.06,54.34,54.02,13814500,13814500,1.05,1.97,53.8375,"July 22, 25",0.0197,,,,,
2025-07-21,57.8,57.99,53.47,53.54,53.23,14668918,14668918,-4.26,-7.37,55.7,"July 21, 25",-0.0737,,,,,
2025-07-18,59.36,59.62,58.15,59.19,58.85,6067207,6067207,-0.17,-0.28639,59.08,"July 18, 25",-0.0028639,,,,,
2025-07-17,59.07,59.35,58.43,58.75,58.41,6118647,6118647,-0.32,-0.54173,58.9,"July 17, 25",-0.0054173,,,,,
2025-07-16,59.2,60.31,58.86,59.18,58.84,10269300,10269300,-0.02,-0.03378378,59.3875,"July 16, 25",-0.0003378378,,,,,
2025-07-15,58.3,58.6,56.71,58.24,57.9,9774700,9774700,-0.06,-0.10292,57.9625,"July 15, 25",-0.0010292,,,,,
2025-07-14,55.45,58.36,55.39,58.28,57.94,9983226,9983226,2.83,5.1,56.87,"July 14, 25",0.051,,,,,
2025-07-11,54.43,55.42,54.14,55.33,55.01,5152765,5152765,0.9,1.65,54.83,"July 11, 25",0.0165,,,,,
2025-07-10,54.84,55.05,53.42,54.52,54.2,8487009,8487009,-0.32,-0.58352,54.4575,"July 10, 25",-0.0058352,,,,,
2025-07-09,54.85,55.26,53.75,54.88,54.56,8462947,8462947,0.03,0.05469462,54.685,"July 09, 25",0.0005469462,,,,,
2025-07-08,56.81,56.9,54.38,54.86,54.54,9849900,9849900,-1.95,-3.43,55.7375,"July 08, 25",-0.0343,,,,,
2025-07-07,55.16,56.26,54.76,56.16,55.83,6809378,6809378,1,1.81,55.585,"July 07, 25",0.0181,,,,,
2025-07-03,56.07,56.39,54.71,55.31,54.99,4295628,4295628,-0.76,-1.36,55.62,"July 03, 25",-0.0136,,,,,
2025-07-02,55.85,56.38,54.97,56.14,55.81,9724314,9724314,0.29,0.51925,55.835,"July 02, 25",0.0051925,,,,,
2025-07-01,58.03,58.09,55.2,55.72,55.4,11291000,11291000,-2.31,-3.98,56.76,"July 01, 25",-0.0398,,,,,
2025-06-30,57.98,58.88,57.72,58.32,57.98,11140928,11140928,0.34,0.58641,58.225,"June 30, 25",0.0058641,,,,,
2025-06-27,58.21,58.55,57.61,58.31,57.97,10530903,10530903,0.1,0.17179,58.17,"June 27, 25",0.0017179,,,,,
2025-06-26,58.18,58.55,57.57,58.15,57.81,7422386,7422386,-0.03,-0.05156411,58.1125,"June 26, 25",-0.0005156411,,,,,
2025-06-25,60.16,60.32,58.16,58.23,57.89,7702743,7702743,-1.93,-3.21,59.2175,"June 25, 25",-0.0321,,,,,
2025-06-24,59.18,60.78,58.9,60.34,59.99,6717091,6717091,1.16,1.96,59.8,"June 24, 25",0.0196,,,,,
2025-06-23,60.8,61.02,59.13,59.37,59.03,8520722,8520722,-1.43,-2.35,60.08,"June 23, 25",-0.0235,,,,,
2025-06-20,59.44,60.8,58.78,60.44,60.09,11714648,11714648,1,1.68,59.865,"June 20, 25",0.0168,,,,,
2025-06-18,59.43,60.2,58.2,59.37,59.03,7527236,7527236,-0.06,-0.10096,59.3,"June 18, 25",-0.0010096,,,,,
2025-06-17,58.5,59.11,57.89,58.87,58.53,6883005,6883005,0.37,0.63248,58.5925,"June 17, 25",0.0063248,,,,,
2025-06-16,56.93,58.75,56.89,58.17,57.83,9217100,9217100,1.24,2.18,57.685,"June 16, 25",0.0218,,,,,
2025-06-13,55.88,56.96,54.32,56.84,56.51,7732932,7732932,0.96,1.72,56,"June 13, 25",0.0172,,,,,
2025-06-12,54.22,55.56,53.94,55.52,55.2,4919746,4919746,1.3,2.4,54.81,"June 12, 25",0.024,,,,,
2025-06-11,54.02,54.68,53.74,53.97,53.66,5060619,5060619,-0.05,-0.09255831,54.1025,"June 11, 25",-0.0009255831,,,,,
2025-06-10,55.24,55.55,53.4,53.73,53.42,8012320,8012320,-1.51,-2.73,54.48,"June 10, 25",-0.0273,,,,,
2025-06-09,56.08,56.08,54.61,54.9,54.58,7188200,7188200,-1.18,-2.1,55.4175,"June 09, 25",-0.021,,,,,
2025-06-06,55.61,56.72,55.33,56.39,56.06,3826206,3826206,0.78,1.4,56.0125,"June 06, 25",0.014,,,,,
2025-06-05,55.79,55.8,54.94,55.33,55.01,4424374,4424374,-0.46,-0.82452,55.465,"June 05, 25",-0.0082452,,,,,
2025-06-04,56.54,56.74,55.3,55.49,55.17,4438804,4438804,-1.05,-1.86,56.0175,"June 04, 25",-0.0186,,,,,
2025-06-03,56.77,56.89,55.97,56.65,56.32,8247100,8247100,-0.12,-0.21138,56.57,"June 03, 25",-0.0021138,,,,,
2025-06-02,56.45,57.19,55.75,56.66,56.33,7686100,7686100,0.21,0.37201,56.5125,"June 02, 25",0.0037201,,,,,
2025-05-30,55,55.61,54.48,55.13,54.81,7853812,7853812,0.13,0.23636,55.055,"May 30, 25",0.0023636,,,,,
2025-05-29,55.61,56.02,55.12,55.37,55.05,3493443,3493443,-0.24,-0.43158,55.53,"May 29, 25",-0.0043158,,,,,
2025-05-28,56.73,57.03,55.12,55.5,55.18,5046508,5046508,-1.23,-2.17,56.095,"May 28, 25",-0.0217,,,,,
2025-05-27,56.08,56.61,55.3,56.56,56.23,5229234,5229234,0.48,0.85592,56.1375,"May 27, 25",0.0085592,,,,,
2025-05-23,55.25,56.02,55.15,55.61,55.29,6813700,6813700,0.36,0.65158,55.5075,"May 23, 25",0.0065158,,,,,
2025-05-22,55.99,56.32,55.23,55.69,55.37,7733200,7733200,-0.3,-0.53581,55.8075,"May 22, 25",-0.0053581,,,,,
2025-05-21,55.84,56.28,55.04,55.71,55.39,5669335,5669335,-0.13,-0.23281,55.7175,"May 21, 25",-0.0023281,,,,,
2025-05-20,55.88,57.37,55.53,56.14,55.81,5806342,5806342,0.26,0.46528,56.23,"May 20, 25",0.0046528,,,,,
2025-05-19,55.55,56.09,54.92,55.56,55.24,6377598,6377598,0.01,0.0180018,55.53,"May 19, 25",0.000180018,,,,,
2025-05-16,55.84,56.04,55.43,55.86,55.54,4375030,4375030,0.02,0.03581662,55.7925,"May 16, 25",0.0003581662,,,,,
2025-05-15,55.55,57.04,55.55,56,55.68,9102916,9102916,0.45,0.81008,56.035,"May 15, 25",0.0081008,,,,,
2025-05-14,55.66,56.66,55.35,56.36,56.03,6017700,6017700,0.7,1.26,56.0075,"May 14, 25",0.0126,,,,,
2025-05-13,55.07,56.67,54.8,56.2,55.87,8429900,8429900,1.13,2.05,55.685,"May 13, 25",0.0205,,,,,
2025-05-12,56.05,56.11,54.01,54.49,54.17,12305926,12305926,-1.56,-2.78,55.165,"May 12, 25",-0.0278,,,,,
2025-05-09,53.9,55.65,53.56,55.62,55.3,7707900,7707900,1.72,3.19,54.6825,"May 09, 25",0.0319,,,,,
2025-05-08,54.41,54.59,53.22,53.4,53.09,9416743,9416743,-1.01,-1.86,53.905,"May 08, 25",-0.0186,,,,,
2025-05-07,53.69,54.57,53.07,53.96,53.65,7086852,7086852,0.275,0.50289,53.8225,"May 07, 25",0.0050289,2025-05-07,0.1575,2025-06-02,2025-04-16,0.1575
2025-05-06,53.53,53.89,52.67,53.45,52.98,6405842,6405842,-0.08,-0.14945,53.385,"May 06, 25",-0.0014945,,,,,
2025-05-05,51.95,53.89,51.86,53.52,53.05,9242505,9242505,1.57,3.02,52.805,"May 05, 25",0.0302,,,,,
2025-05-02,51.62,51.91,50.82,51.85,51.39,6651956,6651956,0.23,0.44556,51.55,"May 02, 25",0.0044556,,,,,
2025-05-01,49.31,51.6,48.93,50.36,49.92,7661700,7661700,1.05,2.13,50.05,"May 01, 25",0.0213,,,,,
2025-04-30,50.15,50.25,48.94,49.44,49.01,11852328,11852328,-0.71,-1.42,49.695,"April 30, 25",-0.0142,,,,,
2025-04-29,50.48,51.63,49.7,51.22,50.77,6302293,6302293,0.74,1.47,50.7575,"April 29, 25",0.0147,,,,,
2025-04-28,49.98,51.38,49.76,51.12,50.67,9331206,9331206,1.14,2.28,50.56,"April 28, 25",0.0228,,,,,
2025-04-25,48.66,50.35,48.31,50.24,49.8,9360339,9360339,1.58,3.25,49.39,"April 25, 25",0.0325,,,,,
2025-04-24,49.6,49.76,48.3,48.82,48.39,10317800,10317800,-0.78,-1.57,49.12,"April 24, 25",-0.0157,,,,,
2025-04-23,50.03,50.41,47.14,48.75,48.32,16265018,16265018,-1.28,-2.56,49.0825,"April 23, 25",-0.0256,,,,,
2025-04-22,48.14,49.14,47.95,48.57,48.14,6595534,6595534,0.43,0.89323,48.45,"April 22, 25",0.0089323,,,,,
2025-04-21,50.25,50.4,47.29,47.68,47.26,8263800,8263800,-2.57,-5.11,48.905,"April 21, 25",-0.0511,,,,,
2025-04-17,51.23,51.77,50.82,50.98,50.53,5000505,5000505,-0.25,-0.488,51.2,"April 17, 25",-0.00488,,,,,
2025-04-16,50.52,51.94,50.49,50.85,50.4,6418900,6418900,0.33,0.65321,50.95,"April 16, 25",0.0065321,,,,,
2025-04-15,49.62,51,49.57,50.74,50.29,5226361,5226361,1.12,2.26,50.2325,"April 15, 25",0.0226,,,,,
2025-04-14,50.49,50.77,49.64,49.97,49.53,4377336,4377336,-0.52,-1.03,50.2175,"April 14, 25",-0.0103,,,,,
2025-04-11,48.19,50.49,47.76,49.65,49.21,8898900,8898900,1.46,3.03,49.0225,"April 11, 25",0.0303,,,,,
2025-04-10,48.81,49.23,46.84,48.49,48.06,9685226,9685226,-0.32,-0.6556,48.3425,"April 10, 25",-0.006556,,,,,
2025-04-09,46.4,50.86,44.85,50.17,49.73,17700400,17700400,3.77,8.13,48.07,"April 09, 25",0.0813,,,,,
2025-04-08,49.82,50.44,46.84,47.49,47.07,17665731,17665731,-2.33,-4.68,48.6475,"April 08, 25",-0.0468,,,,,
2025-04-07,44.63,49.94,44.55,47.31,46.89,13411818,13411818,2.68,6,46.6075,"April 07, 25",0.06,,,,,
2025-04-04,49.18,49.7,43.57,46.11,45.7,21964304,21964304,-3.07,-6.24,47.14,"April 04, 25",-0.0624,,,,,
2025-04-03,51.53,53.65,51.42,52.09,51.63,10916400,10916400,0.56,1.09,52.1725,"April 03, 25",0.0109,,,,,
2025-04-02,53.11,55.25,52.92,54.62,54.14,7610000,7610000,1.51,2.84,53.975,"April 02, 25",0.0284,,,,,
2025-04-01,53.67,54.55,53.16,53.88,53.41,5996700,5996700,0.21,0.39128,53.815,"April 01, 25",0.0039128,,,,,
2025-03-31,52.69,53.94,52.15,53.43,52.96,5614100,5614100,0.74,1.4,53.0525,"March 31, 25",0.014,,,,,
2025-03-28,52.16,53.15,52.15,53.01,52.54,4971425,4971425,0.85,1.63,52.6175,"March 28, 25",0.0163,,,,,
2025-03-27,53.15,53.25,51.42,52.32,51.86,8091032,8091032,-0.83,-1.56,52.535,"March 27, 25",-0.0156,,,,,
2025-03-26,54.83,55.34,52.8,52.92,52.45,7311824,7311824,-1.91,-3.48,53.9725,"March 26, 25",-0.0348,,,,,
2025-03-25,54.15,54.65,54.02,54.25,53.77,4418145,4418145,0.1,0.18467,54.2675,"March 25, 25",0.0018467,,,,,
2025-03-24,53.43,54.56,53.15,54,53.53,5900000,5900000,0.57,1.07,53.785,"March 24, 25",0.0107,,,,,
2025-03-21,53.18,53.5,52.66,52.88,52.42,12816127,12816127,-0.3,-0.56412,53.055,"March 21, 25",-0.0056412,,,,,
2025-03-20,53.3,54.5,53.04,53.73,53.26,9073662,9073662,0.43,0.80675,53.6425,"March 20, 25",0.0080675,,,,,
2025-03-19,52.84,53.88,52.34,53.6,53.13,4574722,4574722,0.76,1.44,53.165,"March 19, 25",0.0144,,,,,
2025-03-18,52.78,53.32,52.2,52.56,52.1,5469600,5469600,-0.22,-0.41682,52.715,"March 18, 25",-0.0041682,,,,,
2025-03-17,50.49,51.85,50.49,51.66,51.21,6562576,6562576,1.17,2.32,51.1225,"March 17, 25",0.0232,,,,,
2025-03-14,49.47,50.88,48.64,50.72,50.27,5463200,5463200,1.25,2.53,49.9275,"March 14, 25",0.0253,,,,,
