date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,adjDividend,declarationDate,dividend
2026-01-05,255.845,256.14,252.4,253.35,253.35,181346,181346,-2.5,-0.97519983,253.96,"January 05, 26",-0.0097519983,,,,,
2026-01-02,259.02,260.46,254.93,256.89,256.89,540625,540625,-2.13,-0.82233,257.825,"January 02, 26",-0.0082233,2026-01-02,2026-01-15,2.57,2025-12-05,2.57
2025-12-31,264.08,264.39,261.48,261.68,259.11,414700,414700,-2.4,-0.90882,262.9075,"December 31, 25",-0.0090882,,,,,
2025-12-30,262.99,264.48,262.64,263.91,261.32,268302,268302,0.92,0.34982,263.505,"December 30, 25",0.0034982,,,,,
2025-12-29,263.3,263.46,261.65,262.99,260.41,242202,242202,-0.31,-0.11774,262.85,"December 29, 25",-0.0011774,,,,,
2025-12-26,260.87,262.22,259.91,262.16,259.59,265321,265321,1.29,0.4945,261.29,"December 26, 25",0.004945,,,,,
2025-12-24,260.6,262.2,259.49,261.12,258.56,167300,167300,0.52,0.19954,260.8525,"December 24, 25",0.0019954,,,,,
2025-12-23,261.13,261.13,257.77,259.69,257.14,291538,291538,-1.44,-0.55145,259.93,"December 23, 25",-0.0055145,,,,,
2025-12-22,257,261.86,256.09,260.84,258.28,810812,810812,3.84,1.49,258.9475,"December 22, 25",0.0149,,,,,
2025-12-19,260.03,260.92,257.37,257.39,254.86,1207600,1207600,-2.64,-1.02,258.9275,"December 19, 25",-0.0102,,,,,
2025-12-18,263.57,263.57,260.44,261.07,258.51,489834,489834,-2.5,-0.94851,262.1625,"December 18, 25",-0.0094851,,,,,
2025-12-17,255.58,264.12,255.42,262.45,259.87,542419,542419,6.87,2.69,259.3925,"December 17, 25",0.0269,,,,,
2025-12-16,258.25,259.07,252.56,255.44,252.93,626501,626501,-2.81,-1.09,256.33,"December 16, 25",-0.0109,,,,,
2025-12-15,259.2,260.15,257.38,259.26,256.71,614200,614200,0.06,0.02314815,258.9975,"December 15, 25",0.0002314815,,,,,
2025-12-12,259.66,261.25,257.6,257.62,255.09,763445,763445,-2.04,-0.78564,259.0325,"December 12, 25",-0.0078564,,,,,
2025-12-11,256.64,259.01,255.25,258.13,255.6,480836,480836,1.49,0.58058,257.2575,"December 11, 25",0.0058058,,,,,
