holder,shares,dateReported,change
VANGUARD GROUP INC,26213728,2025-09-30,-587955
"T. Rowe Price Investment Management, Inc.",21549648,2025-09-30,-2533649
"BlackRock, Inc.",19413701,2025-09-30,-527670
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",10450448,2025-09-30,-572007
STATE STREET CORP,9976767,2025-09-30,-122097
Invesco Ltd.,7101442,2025-09-30,-1239343
"GEODE CAPITAL MANAGEMENT, LLC",5896994,2025-09-30,68669
VICTORY CAPITAL MANAGEMENT INC,5470045,2025-09-30,-28864
MORGAN STANLEY,3912261,2025-09-30,1552180
Black Creek Investment Management Inc.,3743345,2025-09-30,-284484
CITADEL ADVISORS LLC,2996619,2025-09-30,-712328
BANK OF AMERICA CORP /DE/,2921852,2025-09-30,-168454
MILLENNIUM MANAGEMENT LLC,2918503,2025-09-30,1949741
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",2917418,2025-09-30,149605
NORDEA INVESTMENT MANAGEMENT AB,2832600,2025-09-30,245186
NORTHERN TRUST CORP,2796030,2025-09-30,-37808
UBS Group AG,2455024,2025-09-30,1111720
DIMENSIONAL FUND ADVISORS LP,2307833,2025-09-30,-211923
"Allspring Global Investments Holdings, LLC",2141736,2025-09-30,439916
UBS ASSET MANAGEMENT AMERICAS INC,2111344,2025-09-30,-483339
ALLIANCEBERNSTEIN L.P.,2096224,2025-09-30,-144403
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2067291,2025-09-30,624299
DEUTSCHE BANK AG\,2021697,2025-09-30,410437
EARNEST PARTNERS LLC,1911191,2025-09-30,26877
Legal & General Group Plc,1893856,2025-09-30,28516
AMERICAN CENTURY COMPANIES INC,1848892,2025-09-30,196898
BNP Paribas Asset Management Holding S.A.,1691297,2025-09-30,-41372
TD ASSET MANAGEMENT INC,1484641,2025-09-30,-45676
DekaBank Deutsche Girozentrale,1475379,2025-09-30,0
SEI INVESTMENTS CO,1456904,2025-09-30,77428
Bank of New York Mellon Corp,1390586,2025-09-30,5810
"Point72 Asset Management, L.P.",1386104,2025-09-30,1386104
SOUND SHORE MANAGEMENT INC /CT/,1337653,2025-09-30,-45037
GOLDMAN SACHS GROUP INC,1324663,2025-09-30,593472
BALYASNY ASSET MANAGEMENT L.P.,1218352,2025-09-30,1113330
Qube Research & Technologies Ltd,1191765,2025-09-30,124978
CITIGROUP INC,1136662,2025-09-30,-170451
JPMORGAN CHASE & CO,1108008,2025-09-30,-158315
Amundi,1070155,2025-09-30,-41749
MACKENZIE FINANCIAL CORP,1025401,2025-09-30,-141733
RENAISSANCE TECHNOLOGIES LLC,923690,2025-09-30,-289623
"JANE STREET GROUP, LLC",921793,2025-09-30,842866
Woodline Partners LP,920391,2025-09-30,-157842
HSBC HOLDINGS PLC,860517,2025-09-30,-604031
AMERIPRISE FINANCIAL INC,815923,2025-09-30,-1125831
SHAPIRO CAPITAL MANAGEMENT LLC,749556,2025-09-30,-234360
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,730087,2025-09-30,-143582
