symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
AXON,2024-12-31,594.32,75748000,45018551360,454844000,1401961000,45965668360
AXON,2023-12-31,258.33,74195000,19166794350,598545000,710663000,19278912350
AXON,2022-12-31,165.93,71093000,11796461490,353684000,711110000,12153887490
AXON,2021-12-31,157,66191000,10391987000,356332000,20440000,10056095000
AXON,2020-12-31,122.53,61782000,7570148460,155440000,0,7414708460
AXON,2019-12-31,73.28,59190000,4337443200,172250000,0,4165193200
AXON,2018-12-31,43.75,56392000,2467150000,349462000,0,2117688000
AXON,2017-12-31,26.5,52726000,1397239000,75105000,41000,1322175000
AXON,2016-12-31,24.24,52667000,1276648080,40651000,118000,1236115080
AXON,2015-12-31,17.29,53548000,925844920,59526000,255000,866573920
AXON,2014-12-31,26.48,52948000,1402063040,48367000,96000,1353792040
AXON,2013-12-31,15.88,51880000,823854400,42271000,170000,781753400
AXON,2012-12-31,8.94,53827204,481215203,36126791,137000,445225412
AXON,2011-12-31,5.12,59435624,304310394,21300733,0,283009661
AXON,2010-12-31,4.7,62524446,293864896,42684241,0,251180655
AXON,2009-12-31,4.38,61920094,271210011,45505049,0,225704962
AXON,2008-12-31,5.28,62371004,329318901,46880435,0,282438466
AXON,2007-12-31,14.39,62621174,901118693,48800287,30952,852349358
AXON,2006-12-31,7.61,61984240,471700066,18773685,76188,453002569
AXON,2005-12-31,6.96,61303939,426675415,16351909,119299,410442805
AXON,2004-12-31,31.65,57232329,1811403212,14757159,4642,1796650695
AXON,2003-12-31,6.86,37889640,259922930,15878326,268878,244313482
AXON,2002-12-31,0.33666,33561204,11298714,3576937,437904,8159681
AXON,2001-12-31,1.15,27640632,31786726,5636100,1319342,27469968
AXON,2000-12-31,0.57083,29825536,17025310,206408,3068889,19887791
