date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,paymentDate,declarationDate
2022-04-01,425.93,430.03,422.01,425.03,404.4,418400,418400,-0.9,-0.2113,425.75,"April 01, 22",-0.002113,,,,,
2022-03-31,452.31,458.23,420.6,422.85,402.32,673020,673020,-29.46,-6.51,438.4975,"March 31, 22",-0.0651,,,,,
2022-03-30,453.77,454.29,443.65,449.44,427.62,273620,273620,-4.33,-0.95423,450.2875,"March 30, 22",-0.0095423,,,,,
2022-03-29,449.49,466.42,445.81,454.49,432.43,341644,341644,5,1.11,454.0525,"March 29, 22",0.0111,,,,,
2022-03-28,433.4,440.65,426.23,440.25,418.88,375400,375400,6.85,1.58,435.1325,"March 28, 22",0.0158,,,,,
2022-03-25,451.26,453.11,428.06,431.24,410.31,425213,425213,-20.02,-4.44,440.9175,"March 25, 22",-0.0444,,,,,
2022-03-24,461,461.88,445.67,450.52,428.65,326744,326744,-10.48,-2.27,454.7675,"March 24, 22",-0.0227,,,,,
2022-03-23,472.43,475,456.71,460.13,437.8,307315,307315,-12.3,-2.6,466.0675,"March 23, 22",-0.026,,,,,
2022-03-22,476.6,482.19,471.35,476.88,453.73,285300,285300,0.28,0.05874948,476.755,"March 22, 22",0.0005874948,,,,,
2022-03-21,485.33,488.47,470.84,475.82,452.72,234400,234400,-9.51,-1.96,480.115,"March 21, 22",-0.0196,,,,,
2022-03-18,471.73,488.75,467.85,487.41,463.75,471023,471023,15.68,3.32,478.935,"March 18, 22",0.0332,,,,,
2022-03-17,468,475.42,464.04,475.15,452.09,216208,216208,7.15,1.53,470.6525,"March 17, 22",0.0153,,,,,
2022-03-16,456.32,469.28,455.21,467.71,445.01,348400,348400,11.39,2.5,462.13,"March 16, 22",0.025,,,,,
2022-03-15,445.66,454.64,440.27,452.81,430.83,185034,185034,7.15,1.6,448.345,"March 15, 22",0.016,,,,,
2022-03-14,444.04,447.85,436.59,441.08,419.67,230969,230969,-2.96,-0.66661,442.39,"March 14, 22",-0.0066661,,,,,
2022-03-11,457.87,457.87,441.6,442.1,420.64,220512,220512,-15.77,-3.44,449.86,"March 11, 22",-0.0344,,,,,
2022-03-10,449.9,455.98,442.58,452.08,430.14,212836,212836,2.18,0.48455,450.135,"March 10, 22",0.0048455,,,,,
2022-03-09,445.74,462.92,441.49,456.74,434.57,360702,360702,11,2.47,451.7225,"March 09, 22",0.0247,2022-03-10,0.8,0.8,2022-03-24,2022-02-25
2022-03-08,451.49,462.29,436.16,437,415.03,377151,377151,-14.49,-3.21,446.735,"March 08, 22",-0.0321,,,,,
2022-03-07,465.96,465.96,450.01,451.55,428.85,393773,393773,-14.41,-3.09,458.37,"March 07, 22",-0.0309,,,,,
2022-03-04,469,469.45,451.55,465.81,442.39,387205,387205,-3.19,-0.68017,463.9525,"March 04, 22",-0.0068017,,,,,
2022-03-03,477.61,483.43,465.14,469.45,445.85,387600,387600,-8.16,-1.71,473.9075,"March 03, 22",-0.0171,,,,,
2022-03-02,463.25,480.93,462.92,475.48,451.58,447600,447600,12.23,2.64,470.645,"March 02, 22",0.0264,,,,,
2022-03-01,456.64,465.54,456.64,462.51,439.26,447200,447200,5.87,1.29,460.3325,"March 01, 22",0.0129,,,,,
2022-02-28,441.2,460.35,441.2,458.58,435.53,611054,611054,17.38,3.94,450.3325,"February 28, 22",0.0394,,,,,
2022-02-25,436.07,452.31,433.11,449.39,426.8,443392,443392,13.32,3.05,442.72,"February 25, 22",0.0305,,,,,
2022-02-24,401.99,436.66,401.51,436.07,414.15,498701,498701,34.08,8.48,419.0575,"February 24, 22",0.0848,,,,,
2022-02-23,430.92,433.44,413.57,415.42,394.54,442659,442659,-15.5,-3.6,423.3375,"February 23, 22",-0.036,,,,,
2022-02-22,452.5,456.94,427.39,430.12,408.5,579372,579372,-22.38,-4.95,441.7375,"February 22, 22",-0.0495,,,,,
2022-02-18,447.82,469.79,446.98,454.83,431.97,678410,678410,7.01,1.57,454.855,"February 18, 22",0.0157,,,,,
2022-02-17,465,467.52,444.77,445.92,423.5,820835,820835,-19.08,-4.1,455.8025,"February 17, 22",-0.041,,,,,
2022-02-16,459.5,460.77,454.69,460.18,437.05,464900,464900,0.68,0.14799,458.785,"February 16, 22",0.0014799,,,,,
2022-02-15,456.04,467.05,451.64,459.57,436.47,299748,299748,3.53,0.77405,458.575,"February 15, 22",0.0077405,,,,,
2022-02-14,445.74,453.37,444.71,450.94,428.27,366405,366405,5.2,1.17,448.69,"February 14, 22",0.0117,,,,,
2022-02-11,454.6,458.84,440.55,446.55,424.1,246848,246848,-8.05,-1.77,450.135,"February 11, 22",-0.0177,,,,,
2022-02-10,455.02,465.03,450.7,453.68,430.87,207546,207546,-1.34,-0.29449,456.1075,"February 10, 22",-0.0029449,,,,,
2022-02-09,461.13,470.55,459.15,465.04,441.66,246097,246097,3.91,0.84792,463.9675,"February 09, 22",0.0084792,,,,,
2022-02-08,448.42,456.02,441.75,452.17,429.44,313213,313213,3.75,0.83627,449.59,"February 08, 22",0.0083627,,,,,
2022-02-07,451.77,455.6,445.24,449.1,426.52,356843,356843,-2.67,-0.59101,450.4275,"February 07, 22",-0.0059101,,,,,
2022-02-04,455.93,457.71,447.47,448.62,426.07,370248,370248,-7.31,-1.6,452.4325,"February 04, 22",-0.016,,,,,
2022-02-03,463.62,469.29,457.1,458.05,435.02,314500,314500,-5.57,-1.2,462.015,"February 03, 22",-0.012,,,,,
2022-02-02,474.8,479.56,469.26,471.27,447.58,253711,253711,-3.53,-0.74347,473.7225,"February 02, 22",-0.0074347,,,,,
2022-02-01,475.78,482.75,465.47,473.73,449.92,348951,348951,-2.05,-0.43087,474.4325,"February 01, 22",-0.0043087,,,,,
2022-01-31,458.97,477.1,458.05,476.25,452.31,303000,303000,17.28,3.76,467.5925,"January 31, 22",0.0376,,,,,
