date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,dividend,paymentDate,adjDividend
2025-12-11,1764.31,1836.93,1764.31,1825.83,1825.83,280552,280552,61.52,3.49,1797.845,"December 11, 25",0.0349,,,,,
2025-12-10,1755.32,1780,1724.43,1752.24,1752.24,161822,161822,-3.08,-0.17547,1752.9975,"December 10, 25",-0.0017547,,,,,
2025-12-09,1752.99,1771.89,1736.57,1751.69,1751.69,183050,183050,-1.3,-0.07415901,1753.285,"December 09, 25",-0.0007415901,,,,,
2025-12-08,1788.22,1806.96,1732.01,1760.45,1760.45,226500,226500,-27.77,-1.55,1771.91,"December 08, 25",-0.0155,,,,,
2025-12-05,1775.4,1813.55,1774.62,1798.53,1798.53,137700,137700,23.13,1.3,1790.525,"December 05, 25",0.013,,,,,
2025-12-04,1777.02,1787.9,1760.38,1771.87,1771.87,97106,97106,-5.15,-0.28981,1774.2925,"December 04, 25",-0.0028981,,,,,
2025-12-03,1777.04,1791.37,1756,1762.35,1762.35,146500,146500,-14.69,-0.82666,1771.69,"December 03, 25",-0.0082666,,,,,
2025-12-02,1781.04,1800.69,1759,1778.71,1778.71,150100,150100,-2.33,-0.13082,1779.86,"December 02, 25",-0.0013082,,,,,
2025-12-01,1781.97,1798.22,1765.99,1768.68,1768.68,154608,154608,-13.29,-0.7458,1778.715,"December 01, 25",-0.007458,,,,,
2025-11-28,1800,1807.22,1782,1805.83,1805.83,48643,48643,5.83,0.32389,1798.7625,"November 28, 25",0.0032389,,,,,
2025-11-26,1817.93,1835,1793.79,1797.27,1797.27,112539,112539,-20.65,-1.14,1810.9975,"November 26, 25",-0.0114,,,,,
2025-11-25,1745,1820.75,1737.78,1810,1810,195535,195535,65,3.72,1778.3825,"November 25, 25",0.0372,,,,,
2025-11-24,1787,1794.18,1724.48,1748.25,1748.25,278900,278900,-38.75,-2.17,1763.4775,"November 24, 25",-0.0217,,,,,
2025-11-21,1724.85,1820.9,1721.6,1788.2,1788.2,301112,301112,63.35,3.67,1763.8875,"November 21, 25",0.0367,,,,,
2025-11-20,1750,1780.97,1709.33,1720.55,1720.55,140564,140564,-29.45,-1.68,1740.2125,"November 20, 25",-0.0168,,,,,
2025-11-19,1722.46,1748.11,1702.75,1736.16,1736.16,124600,124600,13.7,0.79537,1727.37,"November 19, 25",0.0079537,,,,,
2025-11-18,1760.25,1761.69,1719.99,1724.97,1724.97,173476,173476,-35.28,-2,1741.725,"November 18, 25",-0.02,,,,,
2025-11-17,1750.23,1768.25,1732.98,1760.25,1760.25,187800,187800,10.02,0.5725,1752.9275,"November 17, 25",0.005725,,,,,
2025-11-14,1719.64,1760.79,1691.37,1741.37,1741.37,118015,118015,21.73,1.26,1728.2925,"November 14, 25",0.0126,,,,,
2025-11-13,1776,1791.35,1736.25,1737.27,1737.27,139122,139122,-38.73,-2.18,1760.2175,"November 13, 25",-0.0218,,,,,
2025-11-12,1805.77,1834.33,1773.46,1777.91,1777.91,219889,219889,-27.86,-1.54,1797.8675,"November 12, 25",-0.0154,,,,,
2025-11-11,1755.72,1835,1755.72,1797.69,1797.69,276426,276426,41.97,2.39,1786.0325,"November 11, 25",0.0239,,,,,
2025-11-10,1745.5,1807,1725,1756.34,1756.34,278000,278000,10.84,0.62103,1758.46,"November 10, 25",0.0062103,,,,,
2025-11-07,1646.5,1740.63,1646.5,1740,1740,252200,252200,93.5,5.68,1693.4075,"November 07, 25",0.0568,,,,,
2025-11-06,1685,1768.2,1668.92,1674.8,1674.8,408354,408354,-10.2,-0.60534,1699.23,"November 06, 25",-0.0060534,,,,,
2025-11-05,1598.4,1638.44,1591.22,1629.2,1629.2,248226,248226,30.8,1.93,1614.315,"November 05, 25",0.0193,,,,,
2025-11-04,1636,1656.95,1591.66,1606.1,1606.1,266125,266125,-29.9,-1.83,1622.6775,"November 04, 25",-0.0183,,,,,
2025-11-03,1653,1664.66,1619.22,1650.51,1650.51,248274,248274,-2.49,-0.15064,1646.8475,"November 03, 25",-0.0015064,,,,,
2025-10-31,1566.64,1671,1566.64,1659.53,1659.53,311407,311407,92.89,5.93,1615.9525,"October 31, 25",0.0593,,,,,
2025-10-30,1569.33,1626.56,1561.61,1585.36,1585.36,250240,250240,16.03,1.02,1585.715,"October 30, 25",0.0102,,,,,
2025-10-29,1647.87,1649.92,1565,1566.9,1566.9,261501,261501,-80.97,-4.91,1607.4225,"October 29, 25",-0.0491,,,,,
2025-10-28,1680,1682.76,1660.04,1666.64,1666.64,184262,184262,-13.36,-0.79524,1672.36,"October 28, 25",-0.0079524,,,,,
2025-10-27,1676.97,1696.34,1673.75,1685.09,1685.09,216100,216100,8.12,0.48421,1683.0375,"October 27, 25",0.0048421,,,,,
2025-10-24,1627.17,1669.18,1624.5,1667,1667,189400,189400,39.83,2.45,1646.9625,"October 24, 25",0.0245,,,,,
2025-10-23,1575,1628.74,1572.76,1615.36,1615.36,331100,331100,40.36,2.56,1597.965,"October 23, 25",0.0256,,,,,
2025-10-22,1560.5,1594.93,1548.78,1573.94,1573.94,395500,395500,13.44,0.86126,1569.5375,"October 22, 25",0.0086126,,,,,
2025-10-21,1623.41,1623.41,1564.6,1565.83,1565.83,397147,397147,-57.58,-3.55,1594.3125,"October 21, 25",-0.0355,,,,,
2025-10-20,1630.09,1653.15,1617.34,1620.39,1620.39,160848,160848,-9.7,-0.59506,1630.2425,"October 20, 25",-0.0059506,,,,,
2025-10-17,1624.63,1638.75,1604.34,1616,1616,256520,256520,-8.63,-0.5312,1620.93,"October 17, 25",-0.005312,,,,,
2025-10-16,1622.29,1642.01,1607.5,1620.14,1620.14,287658,287658,-2.15,-0.13253,1622.985,"October 16, 25",-0.0013253,,,,,
2025-10-15,1641.28,1652.89,1611.94,1636.65,1636.65,273383,273383,-4.63,-0.2821,1635.69,"October 15, 25",-0.002821,,,,,
2025-10-14,1641.71,1655.81,1581.48,1649.51,1649.51,403742,403742,7.8,0.47511,1632.1275,"October 14, 25",0.0047511,,,,,
2025-10-13,1658.15,1716.12,1648.31,1649.99,1649.99,288559,288559,-8.16,-0.49211,1668.1425,"October 13, 25",-0.0049211,,,,,
2025-10-10,1716.89,1723.57,1652.14,1665.21,1665.21,297716,297716,-51.68,-3.01,1689.4525,"October 10, 25",-0.0301,,,,,
2025-10-09,1693.4,1730.23,1672.66,1708.77,1708.77,322138,322138,15.38,0.90764,1701.265,"October 09, 25",0.0090764,,,,,
2025-10-08,1821.39,1835.93,1688.69,1695.01,1695.01,771197,771197,-126.37,-6.94,1760.255,"October 08, 25",-0.0694,,,,,
2025-10-07,1841.79,1881.21,1825,1879.55,1879.55,363062,363062,37.76,2.05,1856.8875,"October 07, 25",0.0205,,,,,
2025-10-06,1862.12,1886.28,1829.12,1850.18,1850.18,482292,482292,-11.94,-0.6412,1856.925,"October 06, 25",-0.006412,,,,,
2025-10-03,1786.87,1880.16,1786.83,1850.65,1850.65,598558,598558,63.78,3.57,1826.1275,"October 03, 25",0.0357,,,,,
2025-10-02,1785.5,1998.01,1692.33,1784.68,1784.68,1710152,1710152,-0.82,-0.04592551,1815.13,"October 02, 25",-0.0004592551,,,,,
2025-10-01,1506.31,1535,1484.23,1512.71,1512.71,238700,238700,6.4,0.42488,1509.5625,"October 01, 25",0.0042488,,,,,
2025-09-30,1523.5,1523.94,1488.4,1496.53,1496.53,262300,262300,-26.97,-1.77,1508.0925,"September 30, 25",-0.0177,,,,,
2025-09-29,1521.05,1542.25,1520.21,1525.44,1525.44,144367,144367,4.39,0.28862,1527.2375,"September 29, 25",0.0028862,,,,,
2025-09-26,1542.99,1562.2,1511.55,1518.78,1518.78,199014,199014,-24.21,-1.57,1533.88,"September 26, 25",-0.0157,,,,,
2025-09-25,1533.61,1553.19,1516.32,1548.36,1548.36,173743,173743,14.75,0.96178,1537.87,"September 25, 25",0.0096178,,,,,
2025-09-24,1527.62,1556.59,1526.82,1543.18,1543.18,136602,136602,15.56,1.02,1538.5525,"September 24, 25",0.0102,,,,,
2025-09-23,1548.68,1550.65,1515.56,1534.77,1534.77,163057,163057,-13.91,-0.89818,1537.415,"September 23, 25",-0.0089818,,,,,
2025-09-22,1475,1546.6,1460.91,1538.95,1538.95,298432,298432,63.95,4.34,1505.365,"September 22, 25",0.0434,,,,,
2025-09-19,1533.33,1543.99,1464.8,1477.21,1477.21,520352,520352,-56.12,-3.66,1504.8325,"September 19, 25",-0.0366,,,,,
2025-09-18,1565.63,1589.88,1505.97,1522.1,1522.1,272222,272222,-43.53,-2.78,1545.895,"September 18, 25",-0.0278,,,,,
2025-09-17,1559.56,1602.92,1551.52,1551.83,1551.83,360952,360952,-7.73,-0.49565,1566.4575,"September 17, 25",-0.0049565,,,,,
2025-09-16,1560,1563.05,1549.16,1553.54,1553.54,165200,165200,-6.46,-0.4141,1556.4375,"September 16, 25",-0.004141,,,,,
2025-09-15,1553.03,1562,1548.23,1555.21,1555.21,169800,169800,2.18,0.14037,1554.6175,"September 15, 25",0.0014037,,,,,
2025-09-12,1590.48,1593.29,1511.04,1544.05,1544.05,224449,224449,-46.43,-2.92,1559.715,"September 12, 25",-0.0292,,,,,
2025-09-11,1544.79,1598,1529.64,1596.56,1596.56,300516,300516,51.77,3.35,1567.2475,"September 11, 25",0.0335,,,,,
2025-09-10,1537.27,1554.41,1522.25,1530.36,1530.36,436000,436000,-6.91,-0.4495,1536.0725,"September 10, 25",-0.004495,,,,,
2025-09-09,1545.35,1553.8,1531.07,1546.56,1546.56,218325,218325,1.21,0.07829941,1544.195,"September 09, 25",0.0007829941,,,,,
2025-09-08,1534.74,1542.51,1523.8,1538.2,1538.2,299969,299969,3.46,0.22545,1534.8125,"September 08, 25",0.0022545,,,,,
2025-09-05,1537.96,1559.37,1520,1531.99,1531.99,194847,194847,-5.97,-0.38818,1537.33,"September 05, 25",-0.0038818,,,,,
2025-09-04,1530,1536.18,1500,1518.92,1518.92,353100,353100,-11.08,-0.72418,1521.275,"September 04, 25",-0.0072418,,,,,
2025-09-03,1481.28,1523.2,1481.28,1520.75,1520.75,334711,334711,39.47,2.66,1501.6275,"September 03, 25",0.0266,,,,,
2025-09-02,1505,1525.42,1481.22,1504.88,1504.88,334500,334500,-0.12,-0.00797342,1504.13,"September 02, 25",-7.97342e-05,,,,,
2025-08-29,1508.11,1530.03,1490.63,1521.64,1521.64,650900,650900,13.53,0.89715,1512.6025,"August 29, 25",0.0089715,,,,,
2025-08-28,1418,1506.93,1416,1506.37,1506.37,367346,367346,88.37,6.23,1461.825,"August 28, 25",0.0623,,,,,
2025-08-27,1415.65,1425,1395.6,1419.37,1419.37,306303,306303,3.72,0.26278,1413.905,"August 27, 25",0.0026278,,,,,
2025-08-26,1421.47,1431.17,1411.47,1420.13,1420.13,468754,468754,-1.34,-0.09426861,1421.06,"August 26, 25",-0.0009426861,,,,,
2025-08-25,1416.32,1433.53,1407,1423.87,1423.87,213211,213211,7.55,0.53307,1420.18,"August 25, 25",0.0053307,,,,,
2025-08-22,1367,1436.12,1367,1415.9,1415.9,275789,275789,48.9,3.58,1396.505,"August 22, 25",0.0358,,,,,
2025-08-21,1340,1366.52,1331.51,1361.72,1361.72,224419,224419,21.72,1.62,1349.9375,"August 21, 25",0.0162,,,,,
2025-08-20,1382.18,1401.79,1335,1344.11,1344.11,481513,481513,-38.07,-2.75,1365.77,"August 20, 25",-0.0275,,,,,
2025-08-19,1352.29,1400.5,1350.09,1384.93,1384.93,365993,365993,32.64,2.41,1371.9525,"August 19, 25",0.0241,,,,,
2025-08-18,1351.74,1378.26,1348.41,1350.14,1350.14,204554,204554,-1.6,-0.11837,1357.1375,"August 18, 25",-0.0011837,,,,,
2025-08-15,1332.33,1351.89,1325.08,1343.16,1343.16,217889,217889,10.83,0.81286,1338.115,"August 15, 25",0.0081286,,,,,
2025-08-14,1327.52,1334.94,1300,1318.18,1318.18,461165,461165,-9.34,-0.70357,1320.16,"August 14, 25",-0.0070357,,,,,
2025-08-13,1326.82,1335.3,1310,1335.29,1335.29,481790,481790,8.47,0.63837,1326.8525,"August 13, 25",0.0063837,,,,,
2025-08-12,1315.16,1327.23,1301.01,1318.7,1318.7,191630,191630,3.54,0.26917,1315.525,"August 12, 25",0.0026917,,,,,
2025-08-11,1314.12,1329.72,1305.15,1311.26,1311.26,262516,262516,-2.86,-0.21764,1315.0625,"August 11, 25",-0.0021764,,,,,
2025-08-08,1330.65,1349.22,1313.69,1320.88,1320.88,308708,308708,-9.77,-0.73423,1328.61,"August 08, 25",-0.0073423,,,,,
2025-08-07,1393.5,1393.61,1333.62,1333.62,1333.62,376229,376229,-59.88,-4.3,1363.5875,"August 07, 25",-0.043,,,,,
2025-08-06,1342.14,1393.63,1336.03,1393.61,1393.61,368804,368804,51.47,3.83,1366.3525,"August 06, 25",0.0383,,,,,
2025-08-05,1368.88,1376.24,1336.5,1343.12,1343.12,418500,418500,-25.76,-1.88,1356.185,"August 05, 25",-0.0188,,,,,
2025-08-04,1400,1401.87,1348.1,1360.99,1360.99,330100,330100,-39.01,-2.79,1377.74,"August 04, 25",-0.0279,,,,,
2025-08-01,1425,1430.21,1350,1381.07,1381.07,798791,798791,-43.93,-3.08,1396.57,"August 01, 25",-0.0308,,,,,
2025-07-31,1512,1527.5,1354.47,1436.72,1436.72,892879,892879,-75.28,-4.98,1457.6725,"July 31, 25",-0.0498,,,,,
2025-07-30,1507.83,1540.24,1501.94,1527.8,1527.8,273000,273000,19.97,1.32,1519.4525,"July 30, 25",0.0132,,,,,
2025-07-29,1528.47,1535,1494.01,1505.06,1505.06,276477,276477,-23.41,-1.53,1515.635,"July 29, 25",-0.0153,,,,,
2025-07-28,1529.51,1536.96,1510.93,1513.73,1513.73,187567,187567,-15.78,-1.03,1522.7825,"July 28, 25",-0.0103,,,,,
2025-07-25,1540,1561.24,1529.44,1532.52,1532.52,134062,134062,-7.48,-0.48571,1540.8,"July 25, 25",-0.0048571,,,,,
2025-07-24,1536.07,1553.6,1527.53,1535.8,1535.8,220123,220123,-0.27,-0.01757732,1538.25,"July 24, 25",-0.0001757732,,,,,
2025-07-23,1525,1543.95,1512.25,1531.26,1531.26,248600,248600,6.26,0.41049,1528.115,"July 23, 25",0.0041049,,,,,
2025-07-22,1530,1547.19,1512.63,1531.63,1531.63,313617,313617,1.63,0.10654,1530.3625,"July 22, 25",0.0010654,,,,,
2025-07-21,1545.73,1568,1531.09,1531.09,1531.09,252706,252706,-14.64,-0.94713,1543.9775,"July 21, 25",-0.0094713,,,,,
2025-07-18,1533.39,1544.42,1520.75,1541.62,1541.62,190046,190046,8.23,0.53672,1535.045,"July 18, 25",0.0053672,,,,,
2025-07-17,1538.53,1563.76,1521.53,1525.29,1525.29,291847,291847,-13.24,-0.86056,1537.2775,"July 17, 25",-0.0086056,,,,,
2025-07-16,1512.9,1546.04,1484.8,1536.75,1536.75,450207,450207,23.85,1.58,1520.1225,"July 16, 25",0.0158,,,,,
2025-07-15,1544.2,1550.25,1477.12,1507.15,1507.15,623744,623744,-37.05,-2.4,1519.68,"July 15, 25",-0.024,,,,,
2025-07-14,1540.67,1567.2,1500.05,1547.02,1547.02,393795,393795,6.35,0.41216,1538.735,"July 14, 25",0.0041216,,,,,
2025-07-11,1581.08,1597.96,1535,1544.23,1544.23,379837,379837,-36.85,-2.33,1564.5675,"July 11, 25",-0.0233,,,,,
2025-07-10,1591.89,1635.3,1574.81,1584.38,1584.38,566383,566383,-7.51,-0.47177,1596.595,"July 10, 25",-0.0047177,,,,,
2025-07-09,1665.01,1694,1587.07,1591.73,1591.73,665500,665500,-73.28,-4.4,1634.4525,"July 09, 25",-0.044,,,,,
2025-07-08,1878.86,1894.91,1520,1703.17,1703.17,1366100,1366100,-175.69,-9.35,1749.235,"July 08, 25",-0.0935,,,,,
2025-07-07,1863.69,1905.33,1850.63,1869.83,1869.83,191631,191631,6.14,0.32945,1872.37,"July 07, 25",0.0032945,,,,,
2025-07-03,1825.01,1866.6,1825.01,1855.38,1855.38,88800,88800,30.37,1.66,1843,"July 03, 25",0.0166,,,,,
2025-07-02,1825.34,1847.41,1811.97,1842.78,1842.78,177330,177330,17.44,0.95544,1831.875,"July 02, 25",0.0095544,,,,,
2025-07-01,1806.42,1846.3,1801.72,1843.18,1843.18,185467,185467,36.76,2.03,1824.405,"July 01, 25",0.0203,,,,,
2025-06-30,1822.81,1834.21,1795.93,1827.96,1827.96,296129,296129,5.15,0.28253,1820.2275,"June 30, 25",0.0028253,,,,,
2025-06-27,1820,1880.93,1731.8,1816.26,1816.26,446035,446035,-3.74,-0.20549,1812.2475,"June 27, 25",-0.0020549,,,,,
2025-06-26,1896.03,1896.03,1780.51,1815.84,1815.84,320001,320001,-80.19,-4.23,1847.1025,"June 26, 25",-0.0423,,,,,
2025-06-25,1925.44,1940.6,1893.45,1893.45,1893.45,185011,185011,-31.99,-1.66,1913.235,"June 25, 25",-0.0166,,,,,
2025-06-24,1891.38,1930.86,1873.53,1926.52,1926.52,211656,211656,35.14,1.86,1905.5725,"June 24, 25",0.0186,,,,,
2025-06-23,1806.96,1893.03,1794.24,1881.25,1881.25,260036,260036,74.29,4.11,1843.87,"June 23, 25",0.0411,,,,,
2025-06-20,1802.75,1827.76,1782.42,1804.82,1804.82,261308,261308,2.07,0.11482,1804.4375,"June 20, 25",0.0011482,,,,,
2025-06-18,1777.56,1811.81,1760.87,1763.64,1763.64,219907,219907,-13.92,-0.7831,1778.47,"June 18, 25",-0.007831,,,,,
2025-06-17,1799.95,1819.8,1776.33,1776.94,1776.94,208436,208436,-23.01,-1.28,1793.255,"June 17, 25",-0.0128,,,,,
2025-06-16,1783.93,1833.78,1783.93,1814.39,1814.39,185906,185906,30.46,1.71,1804.0075,"June 16, 25",0.0171,,,,,
2025-06-13,1755.45,1799.95,1746.6,1784.57,1784.57,268948,268948,29.12,1.66,1771.6425,"June 13, 25",0.0166,,,,,
2025-06-12,1819.54,1840.62,1772.13,1784.37,1784.37,217971,217971,-35.17,-1.93,1804.165,"June 12, 25",-0.0193,,,,,
2025-06-11,1780.66,1816.78,1779.83,1805,1805,220300,220300,24.34,1.37,1795.5675,"June 11, 25",0.0137,,,,,
2025-06-10,1752.91,1788.71,1733.93,1785,1785,198394,198394,32.09,1.83,1765.1375,"June 10, 25",0.0183,,,,,
2025-06-09,1780.5,1784.11,1720.73,1749.41,1749.41,234892,234892,-31.09,-1.75,1758.6875,"June 09, 25",-0.0175,,,,,
2025-06-06,1781.03,1783,1760.23,1775.1,1775.1,176346,176346,-5.93,-0.33295,1774.84,"June 06, 25",-0.0033295,,,,,
2025-06-05,1757.8,1785.82,1742.94,1771.9,1771.9,162031,162031,14.1,0.80214,1764.615,"June 05, 25",0.0080214,,,,,
2025-06-04,1735.03,1764.6,1728.27,1755.03,1755.03,193563,193563,20,1.15,1745.7325,"June 04, 25",0.0115,,,,,
2025-06-03,1743.36,1768.74,1721.42,1741.55,1741.55,270908,270908,-1.81,-0.10382,1743.7675,"June 03, 25",-0.0010382,,,,,
2025-06-02,1708.71,1751.29,1700.33,1748.26,1748.26,318930,318930,39.55,2.31,1727.1475,"June 02, 25",0.0231,,,,,
2025-05-30,1683.08,1750,1675.64,1726.28,1726.28,446519,446519,43.2,2.57,1708.75,"May 30, 25",0.0257,,,,,
2025-05-29,1645,1688.79,1624.69,1685,1685,558608,558608,40,2.43,1660.87,"May 29, 25",0.0243,,,,,
2025-05-28,1543.58,1648.95,1525,1619.94,1619.94,736051,736051,76.36,4.95,1584.3675,"May 28, 25",0.0495,,,,,
2025-05-27,1721.89,1739.21,1484.29,1503.62,1503.62,1000423,1000423,-218.27,-12.68,1612.2525,"May 27, 25",-0.1268,,,,,
2025-05-23,1690.71,1724.07,1672.5,1694.36,1694.36,290334,290334,3.65,0.21589,1695.41,"May 23, 25",0.0021589,,,,,
2025-05-22,1720.21,1800,1694.11,1700.32,1700.32,609323,609323,-19.88,-1.16,1728.66,"May 22, 25",-0.0116,,,,,
2025-05-21,1964.6,1964.6,1658.04,1707.94,1707.94,941747,941747,-256.66,-13.06,1823.795,"May 21, 25",-0.1306,,,,,
2025-05-20,2191.76,2199.92,1900,2027,2027,579535,579535,-164.76,-7.52,2079.67,"May 20, 25",-0.0752,,,,,
2025-05-19,2190,2217.6,2178.79,2206.01,2206.01,201900,201900,16.01,0.73105,2198.1,"May 19, 25",0.0073105,,,,,
2025-05-16,2193.44,2210.93,2180.34,2201.89,2201.89,163800,163800,8.45,0.38524,2196.65,"May 16, 25",0.0038524,,,,,
2025-05-15,2139.59,2188.51,2139.59,2180.44,2180.44,161856,161856,40.85,1.91,2162.0325,"May 15, 25",0.0191,,,,,
2025-05-14,2141.34,2170,2113.06,2125.9,2125.9,108221,108221,-15.44,-0.72104,2137.575,"May 14, 25",-0.0072104,,,,,
2025-05-13,2135,2173.31,2131.63,2136.03,2136.03,150910,150910,1.03,0.04824356,2143.9925,"May 13, 25",0.0004824356,,,,,
2025-05-12,2150.86,2150.86,2116.99,2130,2130,182028,182028,-20.86,-0.96984,2137.1775,"May 12, 25",-0.0096984,,,,,
2025-05-09,2105.85,2131.17,2083.64,2088.22,2088.22,139200,139200,-17.63,-0.83719,2102.22,"May 09, 25",-0.0083719,,,,,
2025-05-08,2105,2129.65,2089.53,2105.76,2105.76,184961,184961,0.76,0.03610451,2107.485,"May 08, 25",0.0003610451,,,,,
2025-05-07,2057.9,2101.22,2056.81,2095.03,2095.03,160000,160000,37.13,1.8,2077.74,"May 07, 25",0.018,,,,,
2025-05-06,2053.56,2090,2035.94,2060.86,2060.86,116500,116500,7.3,0.35548,2060.09,"May 06, 25",0.0035548,,,,,
2025-05-05,2037.92,2112.05,2037.92,2080.41,2080.41,170000,170000,42.49,2.08,2067.075,"May 05, 25",0.0208,,,,,
2025-05-02,2025.5,2072.52,2023.5,2048.17,2048.17,204432,204432,22.67,1.12,2042.4225,"May 02, 25",0.0112,,,,,
2025-05-01,1999.63,2046.45,1946.16,2001.68,2001.68,197900,197900,2.05,0.10252,1998.48,"May 01, 25",0.0010252,,,,,
2025-04-30,1910,2016.78,1910,1989.68,1989.68,270198,270198,79.69,4.17,1956.615,"April 30, 25",0.0417,,,,,
2025-04-29,1948,1978.81,1946.58,1961.5,1961.5,198576,198576,13.5,0.69302,1958.7225,"April 29, 25",0.0069302,,,,,
2025-04-28,1952,1955.74,1920.09,1943.27,1943.27,201315,201315,-8.73,-0.44723,1942.775,"April 28, 25",-0.0044723,,,,,
2025-04-25,1933.14,1956.75,1885.62,1952.31,1952.31,182431,182431,19.17,0.99165,1931.955,"April 25, 25",0.0099165,,,,,
2025-04-24,1940.03,1951.93,1922.01,1936.81,1936.81,181783,181783,-3.22,-0.16598,1937.695,"April 24, 25",-0.0016598,,,,,
2025-04-23,1943.12,1971.12,1919,1926.06,1926.06,168400,168400,-17.06,-0.87797,1939.825,"April 23, 25",-0.0087797,,,,,
2025-04-22,1848.92,1886.48,1838.33,1872.9,1872.9,116485,116485,23.98,1.3,1861.6575,"April 22, 25",0.013,,,,,
2025-04-21,1891.67,1896.82,1791.23,1816.08,1816.08,127154,127154,-75.59,-4,1848.95,"April 21, 25",-0.04,,,,,
2025-04-17,1913.93,1931.07,1888.27,1908.69,1908.69,151100,151100,-5.24,-0.27378,1910.49,"April 17, 25",-0.0027378,,,,,
2025-04-16,1900.8,1936.83,1882.29,1899.78,1899.78,177238,177238,-1.02,-0.05366162,1904.925,"April 16, 25",-0.0005366162,,,,,
2025-04-15,1935,1957.17,1911.78,1923.93,1923.93,221400,221400,-11.07,-0.57209,1931.97,"April 15, 25",-0.0057209,,,,,
2025-04-14,1904,1943.43,1892.02,1932.74,1932.74,209548,209548,28.74,1.51,1918.0475,"April 14, 25",0.0151,,,,,
2025-04-11,1831.88,1902.86,1824.34,1888.45,1888.45,230912,230912,56.57,3.09,1861.8825,"April 11, 25",0.0309,,,,,
2025-04-10,1810.88,1880,1799.09,1850.06,1850.06,194429,194429,39.18,2.16,1835.0075,"April 10, 25",0.0216,,,,,
2025-04-09,1665.43,1870.85,1662.12,1848,1848,306600,306600,182.57,10.96,1761.6,"April 09, 25",0.1096,,,,,
2025-04-08,1770,1792.28,1642.64,1677.11,1677.11,210300,210300,-92.89,-5.25,1720.5075,"April 08, 25",-0.0525,,,,,
2025-04-07,1612.9,1769.41,1585.18,1713.2,1713.2,334800,334800,100.3,6.22,1670.1725,"April 07, 25",0.0622,,,,,
2025-04-04,1757.2,1765,1673.59,1673.98,1673.98,300865,300865,-83.22,-4.74,1717.4425,"April 04, 25",-0.0474,,,,,
2025-04-03,1820,1853.53,1797.88,1801.05,1801.05,152529,152529,-18.95,-1.04,1818.115,"April 03, 25",-0.0104,,,,,
2025-04-02,1843.83,1892.63,1824.51,1889.89,1889.89,105416,105416,46.06,2.5,1862.715,"April 02, 25",0.025,,,,,
2025-04-01,1835.1,1872.63,1825.35,1868.47,1868.47,129494,129494,33.37,1.82,1850.3875,"April 01, 25",0.0182,,,,,
2025-03-31,1814.71,1850.93,1784.61,1844.16,1844.16,198400,198400,29.45,1.62,1823.6025,"March 31, 25",0.0162,,,,,
2025-03-28,1874.09,1874.09,1811.96,1835.24,1835.24,140100,140100,-38.85,-2.07,1848.845,"March 28, 25",-0.0207,,,,,
2025-03-27,1886.72,1890.46,1849.99,1872.28,1872.28,88846,88846,-14.44,-0.76535,1874.8625,"March 27, 25",-0.0076535,,,,,
2025-03-26,1919.64,1919.64,1865.55,1887,1887,129000,129000,-32.64,-1.7,1897.9575,"March 26, 25",-0.017,,,,,
