date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,dividend,paymentDate,adjDividend
2026-01-02,1691.03,1691.03,1603.37,1643.27,1643.27,241359,241359,-47.76,-2.82,1657.175,"January 02, 26",-0.0282,,,,,
2025-12-31,1744,1745,1672.91,1690.62,1690.62,238100,238100,-53.38,-3.06,1713.1325,"December 31, 25",-0.0306,,,,,
2025-12-30,1749.75,1771.68,1743.1,1745.75,1745.75,99704,99704,-4,-0.2286,1752.57,"December 30, 25",-0.002286,,,,,
2025-12-29,1748.19,1779.01,1737.77,1771.69,1771.69,140238,140238,23.5,1.34,1759.165,"December 29, 25",0.0134,,,,,
2025-12-26,1729.36,1754.2,1726.01,1753.19,1753.19,102600,102600,23.83,1.38,1740.69,"December 26, 25",0.0138,,,,,
2025-12-24,1716.35,1741.69,1701.49,1731.01,1731.01,68605,68605,14.66,0.85414,1722.635,"December 24, 25",0.0085414,,,,,
2025-12-23,1742.63,1749.2,1712.87,1725.78,1725.78,140708,140708,-16.85,-0.96693,1732.62,"December 23, 25",-0.0096693,,,,,
2025-12-22,1734.04,1767.9,1733,1742.63,1742.63,207600,207600,8.59,0.49537,1744.3925,"December 22, 25",0.0049537,,,,,
2025-12-19,1756.29,1766.33,1726.39,1748.43,1748.43,528309,528309,-7.86,-0.44753,1749.36,"December 19, 25",-0.0044753,,,,,
2025-12-18,1773.76,1785.75,1752.33,1761.41,1761.41,272200,272200,-12.35,-0.69626,1768.3125,"December 18, 25",-0.0069626,,,,,
2025-12-17,1790.46,1815.16,1747.44,1755.02,1755.02,226037,226037,-35.44,-1.98,1777.02,"December 17, 25",-0.0198,,,,,
2025-12-16,1817.23,1830.05,1785.06,1792.13,1792.13,209200,209200,-25.1,-1.38,1806.1175,"December 16, 25",-0.0138,,,,,
2025-12-15,1845,1851.67,1804.27,1807.73,1807.73,214759,214759,-37.27,-2.02,1827.1675,"December 15, 25",-0.0202,,,,,
2025-12-12,1825.83,1858.91,1815.61,1844.98,1844.98,242121,242121,19.15,1.05,1836.3325,"December 12, 25",0.0105,,,,,
