date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,declarationDate,recordDate,dividend
2025-10-27,80.99,81.3,79.96,80.24,80.22,3377300,3377300,-0.75,-0.92604,80.6225,"October 27, 25",-0.0092604,,,,,
2025-10-24,81.19,81.19,79.7,79.78,79.76,1724418,1724418,-1.41,-1.74,80.465,"October 24, 25",-0.0174,,,,,
2025-10-23,78.92,80.63,78.5,80.36,80.34,1800100,1800100,1.44,1.82,79.6025,"October 23, 25",0.0182,,,,,
2025-10-22,79.63,80.57,78.1,78.13,78.11,3114000,3114000,-1.5,-1.88,79.1075,"October 22, 25",-0.0188,,,,,
2025-10-21,77.78,80.61,77.76,79.56,79.54,1848800,1848800,1.78,2.29,78.9275,"October 21, 25",0.0229,,,,,
2025-10-20,77.97,78.85,77.8,78.47,78.45,1826300,1826300,0.5,0.64127,78.2725,"October 20, 25",0.0064127,,,,,
2025-10-17,74.61,77.33,74.61,77.22,77.2,2923000,2923000,2.61,3.5,75.9425,"October 17, 25",0.035,,,,,
2025-10-16,76.97,77.61,74.98,75.81,75.79,2549600,2549600,-1.16,-1.51,76.3425,"October 16, 25",-0.0151,,,,,
2025-10-15,77.7,78.26,75.98,76.67,76.65,2629815,2629815,-1.03,-1.33,77.1525,"October 15, 25",-0.0133,,,,,
2025-10-14,74.78,77.59,74.42,77.24,77.22,4094642,4094642,2.46,3.29,76.0075,"October 14, 25",0.0329,,,,,
2025-10-13,76.89,77.79,76.08,76.1,76.08,2754600,2754600,-0.79,-1.03,76.715,"October 13, 25",-0.0103,,,,,
2025-10-10,78.94,79.47,75.92,76.1,76.08,2238600,2238600,-2.84,-3.6,77.6075,"October 10, 25",-0.036,,,,,
2025-10-09,81.27,81.41,78.26,78.48,78.46,2556618,2556618,-2.79,-3.43,79.855,"October 09, 25",-0.0343,,,,,
2025-10-08,81.52,81.88,80.25,80.99,80.97,3190100,3190100,-0.53,-0.65015,81.16,"October 08, 25",-0.0065015,,,,,
2025-10-07,83.8,84.3,80.96,81.35,81.33,3699447,3699447,-2.45,-2.92,82.6025,"October 07, 25",-0.0292,,,,,
2025-10-06,84,84.62,83.36,83.41,83.39,3621909,3621909,-0.59,-0.70238,83.8475,"October 06, 25",-0.0070238,,,,,
2025-10-03,83.83,84.6,83.38,83.95,83.93,2801626,2801626,0.12,0.14315,83.94,"October 03, 25",0.0014315,,,,,
2025-10-02,83.47,84.58,82.55,84.18,84.16,2870506,2870506,0.71,0.85061,83.695,"October 02, 25",0.0085061,,,,,
2025-10-01,81.86,83.8,81.63,83.5,83.48,3552800,3552800,1.64,2,82.6975,"October 01, 25",0.02,,,,,
2025-09-30,82.36,83,81.37,82.62,82.6,3569800,3569800,0.26,0.31569,82.3375,"September 30, 25",0.0031569,,,,,
2025-09-29,82.92,83.03,81.65,82.55,82.53,3073100,3073100,-0.37,-0.44621,82.5375,"September 29, 25",-0.0044621,,,,,
2025-09-26,81.17,82.58,80.38,82.3,82.28,3010428,3010428,1.13,1.39,81.6075,"September 26, 25",0.0139,,,,,
2025-09-25,80.14,80.74,79.37,80.5,80.48,3363400,3363400,0.36,0.44921,80.1875,"September 25, 25",0.0044921,,,,,
2025-09-24,81.07,81.83,80.63,80.91,80.89,3747579,3747579,-0.16,-0.19736,81.11,"September 24, 25",-0.0019736,,,,,
2025-09-23,82.19,82.39,80.76,81.32,81.3,4315100,4315100,-0.87,-1.06,81.665,"September 23, 25",-0.0106,,,,,
2025-09-22,80.63,81.93,79.82,81.8,81.78,3649811,3649811,1.17,1.45,81.045,"September 22, 25",0.0145,,,,,
2025-09-19,81.77,82.23,80.37,81.61,81.59,13598000,13598000,-0.16,-0.19567,81.495,"September 19, 25",-0.0019567,,,,,
2025-09-18,79.76,81.59,79.35,81.53,81.51,4119702,4119702,1.77,2.22,80.5575,"September 18, 25",0.0222,,,,,
2025-09-17,78.23,80.2,77.85,79,78.98,5521243,5521243,0.77,0.98428,78.82,"September 17, 25",0.0098428,,,,,
2025-09-16,78.94,79.4,77.5,77.7,77.68,3499733,3499733,-1.24,-1.57,78.385,"September 16, 25",-0.0157,,,,,
2025-09-15,79.25,80.09,78.45,79.05,79.03,3002800,3002800,-0.2,-0.25237,79.21,"September 15, 25",-0.0025237,,,,,
2025-09-12,80.81,81.3,78.76,78.79,78.77,3643400,3643400,-2.02,-2.5,79.915,"September 12, 25",-0.025,,,,,
2025-09-11,80.05,82.36,79.95,81.02,81,4317851,4317851,0.97,1.21,80.845,"September 11, 25",0.0121,,,,,
2025-09-10,79.68,81.12,79.37,80.24,80.22,2742800,2742800,0.56,0.70281,80.1025,"September 10, 25",0.0070281,,,,,
2025-09-09,80.05,80.53,79.02,79.66,79.64,3291700,3291700,-0.39,-0.4872,79.815,"September 09, 25",-0.004872,,,,,
2025-09-08,80.95,81.28,79.21,80.38,80.36,4536500,4536500,-0.57,-0.70414,80.455,"September 08, 25",-0.0070414,,,,,
2025-09-05,79.93,81.5,79.52,80.95,80.93,3149700,3149700,1.02,1.28,80.475,"September 05, 25",0.0128,,,,,
2025-09-04,77.39,79.7,77.15,79.2,79.18,2898000,2898000,1.81,2.34,78.36,"September 04, 25",0.0234,,,,,
2025-09-03,77.58,78.11,76.87,77.38,77.36,1567308,1567308,-0.2,-0.2578,77.485,"September 03, 25",-0.002578,,,,,
2025-09-02,78.6,78.93,77.23,77.94,77.92,2228734,2228734,-0.66,-0.83969,78.175,"September 02, 25",-0.0083969,,,,,
2025-08-29,79.95,80.51,79.06,79.43,79.41,1923006,1923006,-0.52,-0.65041,79.7375,"August 29, 25",-0.0065041,,,,,
2025-08-28,80.87,80.87,79.69,80.26,80.24,1431322,1431322,-0.61,-0.7543,80.4225,"August 28, 25",-0.007543,,,,,
2025-08-27,80.84,81.49,80.44,80.64,80.62,1693200,1693200,-0.2,-0.2474,80.8525,"August 27, 25",-0.002474,,,,,
2025-08-26,79.7,81.27,79.42,81.13,81.11,4712829,4712829,1.43,1.79,80.38,"August 26, 25",0.0179,,,,,
2025-08-25,80.76,81,79.68,79.68,79.66,1437600,1437600,-1.08,-1.34,80.28,"August 25, 25",-0.0134,,,,,
2025-08-22,78.45,81.42,77.99,80.63,80.61,2184448,2184448,2.18,2.78,79.6225,"August 22, 25",0.0278,,,,,
2025-08-21,78.91,79.12,77.27,77.45,77.43,1849000,1849000,-1.46,-1.85,78.1875,"August 21, 25",-0.0185,,,,,
2025-08-20,79.54,79.61,78.64,79.04,79.02,2989500,2989500,-0.5,-0.62861,79.2075,"August 20, 25",-0.0062861,,,,,
2025-08-19,78.86,80.57,78.72,79.84,79.82,1754600,1754600,0.98,1.24,79.4975,"August 19, 25",0.0124,,,,,
2025-08-18,78.22,79.13,77.81,78.89,78.87,2316000,2316000,0.67,0.85656,78.5125,"August 18, 25",0.0085656,,,,,
2025-08-15,80.4,80.44,77.72,78.32,78.3,2918000,2918000,-2.08,-2.59,79.22,"August 15, 25",-0.0259,,,,,
2025-08-14,79.88,80.34,79.22,80.2,80.18,3142200,3142200,0.32,0.4006,79.91,"August 14, 25",0.004006,0.02,2025-09-04,2025-07-24,2025-08-14,0.02
2025-08-13,78.72,80.81,77.89,80.77,80.73,3312114,3312114,2.05,2.6,79.5475,"August 13, 25",0.026,,,,,
2025-08-12,77.1,79.24,76.8,78.43,78.39,2759902,2759902,1.33,1.73,77.8925,"August 12, 25",0.0173,,,,,
2025-08-11,76.21,76.74,75.63,76.45,76.41,2539045,2539045,0.24,0.31492,76.2575,"August 11, 25",0.0031492,,,,,
2025-08-08,76.52,76.86,75.69,75.89,75.85,1773624,1773624,-0.63,-0.82331,76.24,"August 08, 25",-0.0082331,,,,,
2025-08-07,77.42,77.43,76.11,76.28,76.24,2403500,2403500,-1.14,-1.47,76.81,"August 07, 25",-0.0147,,,,,
2025-08-06,77.61,77.85,76.39,76.48,76.44,4007100,4007100,-1.13,-1.46,77.0825,"August 06, 25",-0.0146,,,,,
2025-08-05,78.44,78.51,76.75,77.65,77.61,4172648,4172648,-0.79,-1.01,77.8375,"August 05, 25",-0.0101,,,,,
2025-08-04,75.68,79.03,75.38,78.6,78.56,6799300,6799300,2.92,3.86,77.1725,"August 04, 25",0.0386,,,,,
2025-08-01,79.2,79.35,73.87,74.98,74.94,12246118,12246118,-4.22,-5.33,76.85,"August 01, 25",-0.0533,,,,,
2025-07-31,85.37,86.7,84.41,84.63,84.59,4827900,4827900,-0.74,-0.86682,85.2775,"July 31, 25",-0.0086682,,,,,
2025-07-30,87.3,87.5,85.33,85.76,85.72,2826176,2826176,-1.54,-1.76,86.4725,"July 30, 25",-0.0176,,,,,
2025-07-29,88.33,88.47,86.7,87.07,87.03,2309248,2309248,-1.26,-1.43,87.6425,"July 29, 25",-0.0143,,,,,
2025-07-28,88.27,88.67,87.65,87.83,87.79,1947600,1947600,-0.44,-0.49847,88.105,"July 28, 25",-0.0049847,,,,,
2025-07-25,87.26,88.36,86.84,88.27,88.23,2081241,2081241,1.01,1.16,87.6825,"July 25, 25",0.0116,,,,,
2025-07-24,86.32,87.47,86.02,86.89,86.85,2749520,2749520,0.57,0.66033,86.675,"July 24, 25",0.0066033,,,,,
2025-07-23,86.4,87.26,85.76,86.83,86.79,2834801,2834801,0.43,0.49769,86.5625,"July 23, 25",0.0049769,,,,,
2025-07-22,83.84,85.52,83.57,85.44,85.4,2593417,2593417,1.6,1.91,84.5925,"July 22, 25",0.0191,,,,,
2025-07-21,86.38,86.38,83.89,83.89,83.85,2569528,2569528,-2.49,-2.88,85.135,"July 21, 25",-0.0288,,,,,
2025-07-18,86.33,87.38,84.69,85.55,85.51,4273700,4273700,-0.78,-0.90351,85.9875,"July 18, 25",-0.0090351,,,,,
2025-07-17,86.33,87.83,86.09,87.75,87.71,2493942,2493942,1.42,1.64,87,"July 17, 25",0.0164,,,,,
2025-07-16,86.27,86.52,84.43,86.13,86.09,2654313,2654313,-0.14,-0.16228,85.8375,"July 16, 25",-0.0016228,,,,,
2025-07-15,88.12,88.24,86.28,86.3,86.26,2182812,2182812,-1.82,-2.07,87.235,"July 15, 25",-0.0207,,,,,
2025-07-14,88.07,88.5,86.74,87.64,87.6,2635500,2635500,-0.43,-0.48825,87.7375,"July 14, 25",-0.0048825,,,,,
2025-07-11,87.74,89.16,87.71,89.02,88.98,2286806,2286806,1.28,1.46,88.4075,"July 11, 25",0.0146,,,,,
2025-07-10,87.85,90.44,87.5,88.69,88.65,3712519,3712519,0.84,0.95618,88.62,"July 10, 25",0.0095618,,,,,
2025-07-09,87.82,88.11,87.05,87.7,87.66,1783733,1783733,-0.12,-0.13664,87.67,"July 09, 25",-0.0013664,,,,,
2025-07-08,87.07,87.77,86.73,87.01,86.97,2050071,2050071,-0.06,-0.06891007,87.145,"July 08, 25",-0.0006891007,,,,,
2025-07-07,86.64,87.52,85.87,86.84,86.8,5127205,5127205,0.2,0.23084,86.7175,"July 07, 25",0.0023084,,,,,
2025-07-03,87.03,87.43,86.9,86.98,86.94,1240600,1240600,-0.05,-0.05745145,87.085,"July 03, 25",-0.0005745145,,,,,
2025-07-02,85.46,86.59,85.07,86.55,86.51,2594509,2594509,1.09,1.28,85.9175,"July 02, 25",0.0128,,,,,
2025-07-01,82.86,86.17,82.58,85.3,85.26,2776141,2776141,2.44,2.94,84.2275,"July 01, 25",0.0294,,,,,
2025-06-30,83.97,83.97,83.08,83.18,83.14,2641708,2641708,-0.79,-0.94081,83.55,"June 30, 25",-0.0094081,,,,,
2025-06-27,84.89,85.45,83.76,84.27,84.23,2878106,2878106,-0.62,-0.73036,84.5925,"June 27, 25",-0.0073036,,,,,
2025-06-26,83.65,85.16,83.33,84.94,84.9,1679022,1679022,1.29,1.54,84.27,"June 26, 25",0.0154,,,,,
2025-06-25,83.96,84.16,83.25,83.28,83.24,1650300,1650300,-0.68,-0.80991,83.6625,"June 25, 25",-0.0080991,,,,,
2025-06-24,82.65,84.1,82.15,83.69,83.65,2657819,2657819,1.04,1.26,83.1475,"June 24, 25",0.0126,,,,,
2025-06-23,80.4,82.07,79.74,81.93,81.89,1707141,1707141,1.53,1.9,81.035,"June 23, 25",0.019,,,,,
2025-06-20,81.7,81.73,80.06,80.39,80.35,2896000,2896000,-1.31,-1.6,80.97,"June 20, 25",-0.016,,,,,
2025-06-18,80.98,81.66,80.64,80.79,80.75,1778023,1778023,-0.19,-0.23463,81.0175,"June 18, 25",-0.0023463,,,,,
2025-06-17,80.83,81.78,80.42,80.64,80.6,1655900,1655900,-0.19,-0.23506,80.9175,"June 17, 25",-0.0023506,,,,,
2025-06-16,81.49,82.29,80.98,81.61,81.57,1564100,1564100,0.12,0.14726,81.5925,"June 16, 25",0.0014726,,,,,
2025-06-13,81.38,81.93,80.22,80.5,80.46,2209700,2209700,-0.88,-1.08,81.0075,"June 13, 25",-0.0108,,,,,
2025-06-12,82.3,82.77,81.61,82.52,82.48,1820349,1820349,0.22,0.26731,82.3,"June 12, 25",0.0026731,,,,,
2025-06-11,84.9,84.9,82.89,83.2,83.16,2777139,2777139,-1.7,-2,83.9725,"June 11, 25",-0.02,,,,,
2025-06-10,83.78,84.9,83.25,84.7,84.66,2804100,2804100,0.92,1.1,84.1575,"June 10, 25",0.011,,,,,
2025-06-09,83.7,84,83.22,83.46,83.42,1689832,1689832,-0.24,-0.28674,83.595,"June 09, 25",-0.0028674,,,,,
2025-06-06,83.2,83.54,82.85,83.12,83.08,2139416,2139416,-0.08,-0.09615385,83.1775,"June 06, 25",-0.0009615385,,,,,
2025-06-05,82.24,82.27,81.24,81.87,81.83,1961214,1961214,-0.37,-0.4499,81.905,"June 05, 25",-0.004499,,,,,
2025-06-04,82.43,82.57,81.61,81.88,81.84,1762900,1762900,-0.55,-0.66723,82.1225,"June 04, 25",-0.0066723,,,,,
2025-06-03,81.25,82.22,80.81,81.95,81.91,1970600,1970600,0.7,0.86154,81.5575,"June 03, 25",0.0086154,,,,,
2025-06-02,81.41,81.59,79.63,81.06,81.02,2418441,2418441,-0.35,-0.42992,80.9225,"June 02, 25",-0.0042992,,,,,
2025-05-30,81.73,81.9,80.96,81.64,81.6,5060200,5060200,-0.09,-0.11012,81.5575,"May 30, 25",-0.0011012,,,,,
2025-05-29,82.57,82.57,81.44,82.15,82.11,2455700,2455700,-0.42,-0.50866,82.1825,"May 29, 25",-0.0050866,,,,,
2025-05-28,82.71,82.97,81.59,81.84,81.8,2367344,2367344,-0.87,-1.05,82.2775,"May 28, 25",-0.0105,,,,,
2025-05-27,81.61,82.72,80.81,82.59,82.55,3025740,3025740,0.98,1.2,81.9325,"May 27, 25",0.012,,,,,
2025-05-23,79.72,80.96,79.46,80.38,80.34,3790821,3790821,0.66,0.8279,80.13,"May 23, 25",0.008279,,,,,
2025-05-22,80.78,81.78,80.58,81.2,81.16,3892705,3892705,0.42,0.51993,81.085,"May 22, 25",0.0051993,,,,,
2025-05-21,82.02,82.63,81.07,81.19,81.15,3765800,3765800,-0.83,-1.01,81.7275,"May 21, 25",-0.0101,,,,,
2025-05-20,83.03,83.49,82.58,82.92,82.88,2362200,2362200,-0.11,-0.13248,83.005,"May 20, 25",-0.0013248,,,,,
2025-05-19,82.84,83.95,82.71,83.55,83.51,2818377,2818377,0.71,0.85707,83.2625,"May 19, 25",0.0085707,,,,,
2025-05-16,82.91,84.08,82.65,84.01,83.97,2206511,2206511,1.1,1.33,83.4125,"May 16, 25",0.0133,,,,,
2025-05-15,83,83.54,82.67,83,82.96,2732410,2732410,0,0,83.0525,"May 15, 25",0,0.02,2025-06-05,2025-04-24,2025-05-15,0.02
2025-05-14,84.11,84.55,83.17,83.24,83.18,2857600,2857600,-0.87,-1.03,83.7675,"May 14, 25",-0.0103,,,,,
2025-05-13,84.5,85.37,84.04,84.5,84.44,2783700,2783700,0,0,84.6025,"May 13, 25",0,,,,,
2025-05-12,83.06,84.67,82.68,84.22,84.16,7019553,7019553,1.16,1.4,83.6575,"May 12, 25",0.014,,,,,
2025-05-09,79.62,80.32,79.07,79.32,79.26,3023781,3023781,-0.3,-0.37679,79.5825,"May 09, 25",-0.0037679,,,,,
2025-05-08,78.86,79.88,77.88,79.23,79.17,3707500,3707500,0.37,0.46919,78.9625,"May 08, 25",0.0046919,,,,,
2025-05-07,76.43,78.15,76.26,77.86,77.8,5279833,5279833,1.43,1.87,77.175,"May 07, 25",0.0187,,,,,
2025-05-06,76.1,76.91,75.63,75.92,75.87,3216730,3216730,-0.18,-0.23653,76.14,"May 06, 25",-0.0023653,,,,,
2025-05-05,76.31,77.98,75.99,76.95,76.89,3667267,3667267,0.64,0.83868,76.8075,"May 05, 25",0.0083868,,,,,
2025-05-02,75.99,78.39,75.2,76.73,76.67,4538948,4538948,0.74,0.97381,76.5775,"May 02, 25",0.0097381,,,,,
2025-05-01,76.05,77.39,75.35,76.21,76.16,4644730,4644730,0.16,0.21039,76.25,"May 01, 25",0.0021039,,,,,
2025-04-30,73.97,75.63,72.73,75.43,75.38,4848428,4848428,1.46,1.97,74.44,"April 30, 25",0.0197,,,,,
2025-04-29,74.1,75.36,73.89,74.86,74.81,7168700,7168700,0.76,1.03,74.5525,"April 29, 25",0.0103,,,,,
2025-04-28,75.22,76.12,74.15,74.8,74.75,7044300,7044300,-0.42,-0.55836,75.0725,"April 28, 25",-0.0055836,,,,,
2025-04-25,75.28,76.05,74.61,74.98,74.93,3403644,3403644,-0.3,-0.39851,75.23,"April 25, 25",-0.0039851,,,,,
2025-04-24,73.35,76.14,73.06,75.74,75.69,1802024,1802024,2.39,3.26,74.5725,"April 24, 25",0.0326,,,,,
2025-04-23,75.2,76.58,73.21,73.37,73.32,2032841,2032841,-1.83,-2.43,74.59,"April 23, 25",-0.0243,,,,,
2025-04-22,70.77,72.62,70.32,72.25,72.2,2011003,2011003,1.48,2.09,71.49,"April 22, 25",0.0209,,,,,
2025-04-21,70.89,71.26,68.97,69.72,69.67,2308033,2308033,-1.17,-1.65,70.21,"April 21, 25",-0.0165,,,,,
2025-04-17,71.87,72.98,71.7,72.04,71.99,1891025,1891025,0.17,0.23654,72.1475,"April 17, 25",0.0023654,,,,,
2025-04-16,71.89,72.69,70.76,71.36,71.31,1353725,1353725,-0.53,-0.73724,71.675,"April 16, 25",-0.0073724,,,,,
2025-04-15,73.33,74.36,72.68,72.83,72.78,1727500,1727500,-0.5,-0.68185,73.3,"April 15, 25",-0.0068185,,,,,
2025-04-14,74.02,74.13,72.68,73.37,73.32,1751823,1751823,-0.65,-0.87814,73.55,"April 14, 25",-0.0087814,,,,,
2025-04-11,70.95,73.44,69.12,73,72.95,4559418,4559418,2.05,2.89,71.6275,"April 11, 25",0.0289,,,,,
2025-04-10,71.38,73.16,69.41,70.94,70.89,7486430,7486430,-0.44,-0.61642,71.2225,"April 10, 25",-0.0061642,,,,,
2025-04-09,65.89,74.14,65.7,73.32,73.27,7395500,7395500,7.43,11.28,69.7625,"April 09, 25",0.1128,,,,,
2025-04-08,70.64,71.66,65.61,66.75,66.7,4638500,4638500,-3.89,-5.51,68.665,"April 08, 25",-0.0551,,,,,
2025-04-07,68.26,72.01,65.64,67.94,67.89,6227437,6227437,-0.32,-0.4688,68.4625,"April 07, 25",-0.004688,,,,,
2025-04-04,70.74,70.76,67.19,69.7,69.65,6552957,6552957,-1.04,-1.47,69.5975,"April 04, 25",-0.0147,,,,,
2025-04-03,77.94,78.36,73.01,73.52,73.47,4805433,4805433,-4.42,-5.67,75.7075,"April 03, 25",-0.0567,,,,,
2025-04-02,79.42,82.07,79.42,81.7,81.64,1683818,1683818,2.28,2.87,80.6525,"April 02, 25",0.0287,,,,,
2025-04-01,79.71,80.88,78.96,80.61,80.55,2016711,2016711,0.9,1.13,80.04,"April 01, 25",0.0113,,,,,
2025-03-31,78.2,80.56,77.18,80.03,79.97,2928093,2928093,1.83,2.34,78.9925,"March 31, 25",0.0234,,,,,
2025-03-28,81,81.77,79.03,79.44,79.38,1769100,1769100,-1.56,-1.93,80.31,"March 28, 25",-0.0193,,,,,
2025-03-27,81.08,81.6,79.85,81.3,81.24,1963541,1963541,0.22,0.27134,80.9575,"March 27, 25",0.0027134,,,,,
2025-03-26,82.32,83.16,81.15,81.38,81.32,1782051,1782051,-0.94,-1.14,82.0025,"March 26, 25",-0.0114,,,,,
2025-03-25,82.7,83.05,81.39,82.37,82.31,1984000,1984000,-0.33,-0.39903,82.3775,"March 25, 25",-0.0039903,,,,,
2025-03-24,81.98,82.89,81.33,82.23,82.17,3134504,3134504,0.25,0.30495,82.1075,"March 24, 25",0.0030495,,,,,
2025-03-21,80.64,81.12,79.85,80.96,80.9,2946300,2946300,0.32,0.39683,80.6425,"March 21, 25",0.0039683,,,,,
2025-03-20,81.08,82.32,80.88,81.67,81.61,1473127,1473127,0.59,0.72768,81.4875,"March 20, 25",0.0072768,,,,,
2025-03-19,81.95,82.54,80.93,82.13,82.07,2361004,2361004,0.18,0.21965,81.8875,"March 19, 25",0.0021965,,,,,
2025-03-18,82.61,82.8,81.09,81.61,81.55,1849600,1849600,-1,-1.21,82.0275,"March 18, 25",-0.0121,,,,,
2025-03-17,81.84,83.56,81.61,82.97,82.91,1968503,1968503,1.13,1.38,82.495,"March 17, 25",0.0138,,,,,
2025-03-14,81.34,82.26,80.46,81.87,81.81,1923935,1923935,0.53,0.65159,81.4825,"March 14, 25",0.0065159,,,,,
