date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,declarationDate,recordDate,dividend
2026-01-02,79.83,80.13,78.65,79.76,79.76,1647635,1647635,-0.07,-0.08768633,79.5925,"January 02, 26",-0.0008768633,,,,,
2025-12-31,80.67,80.78,79.14,79.22,79.22,1306700,1306700,-1.45,-1.8,79.9525,"December 31, 25",-0.018,,,,,
2025-12-30,80.78,81.16,80.49,80.65,80.65,1182148,1182148,-0.13,-0.16093,80.77,"December 30, 25",-0.0016093,,,,,
2025-12-29,81.36,81.82,80.81,80.9,80.9,1452400,1452400,-0.46,-0.56539,81.2225,"December 29, 25",-0.0056539,,,,,
2025-12-26,81.22,81.72,80.88,81.28,81.28,900413,900413,0.06,0.07387343,81.275,"December 26, 25",0.0007387343,,,,,
2025-12-24,81.44,81.71,81.28,81.57,81.57,633000,633000,0.13,0.15963,81.5,"December 24, 25",0.0015963,,,,,
2025-12-23,80.77,81.47,80.3,81.45,81.45,1514800,1514800,0.68,0.8419,80.9975,"December 23, 25",0.008419,,,,,
2025-12-22,79.99,81.4,79.15,81.12,81.12,1901135,1901135,1.13,1.41,80.415,"December 22, 25",0.0141,,,,,
2025-12-19,78.81,79.55,78.31,79.28,79.28,6617936,6617936,0.47,0.59637,78.9875,"December 19, 25",0.0059637,,,,,
2025-12-18,79.06,79.97,78.6,78.85,78.85,3291700,3291700,-0.21,-0.26562,79.12,"December 18, 25",-0.0026562,,,,,
2025-12-17,79.39,80.37,77.68,78.12,78.12,3235308,3235308,-1.27,-1.6,78.89,"December 17, 25",-0.016,,,,,
2025-12-16,81.88,81.91,79.49,79.61,79.61,2411322,2411322,-2.27,-2.77,80.7225,"December 16, 25",-0.0277,,,,,
2025-12-15,82.13,82.37,80.98,81.63,81.63,3539016,3539016,-0.5,-0.60879,81.7775,"December 15, 25",-0.0060879,,,,,
2025-12-12,83.77,84.47,81.42,81.76,81.76,3541900,3541900,-2.01,-2.4,82.855,"December 12, 25",-0.024,,,,,
2025-12-11,81.47,83.54,80.61,83.44,83.44,2535833,2535833,1.97,2.42,82.265,"December 11, 25",0.0242,,,,,
2025-12-10,78.54,81.08,78.48,80.98,80.98,2243000,2243000,2.44,3.11,79.77,"December 10, 25",0.0311,,,,,
2025-12-09,79.26,79.71,78.32,78.38,78.38,2324927,2324927,-0.88,-1.11,78.9175,"December 09, 25",-0.0111,,,,,
2025-12-08,79.77,80.22,78.89,79.31,79.31,2839100,2839100,-0.46,-0.57666,79.5475,"December 08, 25",-0.0057666,,,,,
2025-12-05,79.85,80.11,79.36,79.86,79.86,1621000,1621000,0.01,0.01252348,79.795,"December 05, 25",0.0001252348,,,,,
2025-12-04,79.81,80.25,79.44,79.99,79.99,2120300,2120300,0.18,0.22554,79.8725,"December 04, 25",0.0022554,,,,,
2025-12-03,79.48,80.16,79.01,79.75,79.75,1525007,1525007,0.27,0.33971,79.6,"December 03, 25",0.0033971,,,,,
2025-12-02,79.29,79.74,78.17,79.18,79.18,2103100,2103100,-0.11,-0.13873,79.095,"December 02, 25",-0.0013873,,,,,
2025-12-01,79.68,80.87,79.13,79.19,79.19,2145600,2145600,-0.49,-0.61496,79.7175,"December 01, 25",-0.0061496,,,,,
2025-11-28,79.8,80.72,79.75,80.34,80.34,1043924,1043924,0.54,0.67669,80.1525,"November 28, 25",0.0067669,,,,,
2025-11-26,79.25,80.43,79.08,79.87,79.87,2230100,2230100,0.62,0.78233,79.6575,"November 26, 25",0.0078233,,,,,
2025-11-25,78.45,79.87,77.8,79.46,79.46,2269715,2269715,1.01,1.29,78.895,"November 25, 25",0.0129,,,,,
2025-11-24,78.59,78.77,76.79,77.74,77.74,5826212,5826212,-0.85,-1.08,77.9725,"November 24, 25",-0.0108,,,,,
2025-11-21,74.38,79.4,74.38,78.54,78.54,3894496,3894496,4.16,5.59,76.675,"November 21, 25",0.0559,,,,,
2025-11-20,73.31,75.55,73.31,74.54,74.54,4222900,4222900,1.23,1.68,74.1775,"November 20, 25",0.0168,,,,,
2025-11-19,73.73,73.93,72.89,73.71,73.71,4479420,4479420,-0.02,-0.027126,73.565,"November 19, 25",-0.00027126,,,,,
2025-11-18,73.19,74.23,72.45,73.56,73.56,1928149,1928149,0.37,0.50553,73.3575,"November 18, 25",0.0050553,,,,,
2025-11-17,75,75.15,73.36,73.67,73.67,2939012,2939012,-1.33,-1.77,74.295,"November 17, 25",-0.0177,,,,,
2025-11-14,74.98,75.9,74.64,75.47,75.47,2165930,2165930,0.49,0.65351,75.2475,"November 14, 25",0.0065351,,,,,
2025-11-13,77.23,78.22,75.75,76.2,76.2,2396900,2396900,-1.03,-1.33,76.85,"November 13, 25",-0.0133,0.02,2025-12-04,2025-10-23,2025-11-13,0.02
2025-11-12,77.56,78.92,77.42,77.71,77.69,2857000,2857000,0.15,0.1934,77.9025,"November 12, 25",0.001934,,,,,
2025-11-11,77.15,77.51,76.6,77.33,77.31,2784000,2784000,0.18,0.23331,77.1475,"November 11, 25",0.0023331,,,,,
2025-11-10,77.94,78.11,76.01,77.25,77.23,2764840,2764840,-0.69,-0.8853,77.3275,"November 10, 25",-0.008853,,,,,
2025-11-07,76.87,77.89,76.04,77.5,77.48,2576900,2576900,0.63,0.81957,77.075,"November 07, 25",0.0081957,,,,,
2025-11-06,78.44,79.55,77.32,77.68,77.66,3060500,3060500,-0.76,-0.96889,78.2475,"November 06, 25",-0.0096889,,,,,
2025-11-05,76.93,79.83,76.93,78.4,78.38,4141042,4141042,1.47,1.91,78.0225,"November 05, 25",0.0191,,,,,
2025-11-04,75.42,77.62,75.29,77.24,77.22,4103248,4103248,1.82,2.41,76.3925,"November 04, 25",0.0241,,,,,
2025-11-03,76,76.76,74.7,76,75.98,5061000,5061000,0,0,75.865,"November 03, 25",0,,,,,
2025-10-31,76.43,79.21,75,76.33,76.31,6946200,6946200,-0.1,-0.13084,76.7425,"October 31, 25",-0.0013084,,,,,
2025-10-30,79.35,81.08,78.53,78.73,78.71,5546600,5546600,-0.62,-0.78135,79.4225,"October 30, 25",-0.0078135,,,,,
2025-10-29,79.32,81.41,78.83,79.7,79.68,4414600,4414600,0.38,0.47907,79.815,"October 29, 25",0.0047907,,,,,
2025-10-28,80.75,80.75,78.44,78.85,78.83,3927000,3927000,-1.9,-2.35,79.6975,"October 28, 25",-0.0235,,,,,
