date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,volume,vwap,change,low,close,open,adjClose,unadjustedVolume,changeOverTime,high,changePercent
2025-11-05,"November 05, 25",,,,,,6333247,57.0925,-0.31,56.62,56.85,57.16,56.85,6333247,-0.0054234,57.74,-0.54234
2025-11-04,"November 04, 25",,,,,,5135533,57.415,0.19,56.84,57.55,57.36,57.55,5135533,0.0033124,57.91,0.33124
2025-11-03,"November 03, 25",,,,,,4744581,58.4475,-1.08,57.56,57.86,58.94,57.86,4744581,-0.0183,59.43,-1.83
2025-10-31,"October 31, 25",,,,,,5294812,58.9725,0.84,57.93,59.49,58.65,59.49,5294812,0.0143,59.82,1.43
2025-10-30,"October 30, 25",,,,,,10231821,59.5675,-1.22,58.35,58.85,60.07,58.85,10231821,-0.0203,61,-2.03
2025-10-29,"October 29, 25",0.225,0.225,2025-10-29,2025-11-18,2025-10-08,13232949,59.595,2.95,57.5,60.75,57.8,60.75,13232949,0.051,62.33,5.1
2025-10-28,"October 28, 25",,,,,,9614642,59.4375,-1.26,58.45,58.74,60,58.51,9614642,-0.021,60.56,-2.1
2025-10-27,"October 27, 25",,,,,,6363731,58.3775,-0.15,57.85,58.29,58.44,58.07,6363731,-0.0025667,58.93,-0.25667
2025-10-24,"October 24, 25",,,,,,4292778,57.9475,-0.07,57.65,57.84,57.91,57.62,4292778,-0.0012088,58.39,-0.12088
2025-10-23,"October 23, 25",,,,,,3932400,57.055,0.13,56.6,57.12,56.99,56.9,3932400,0.0022811,57.51,0.22811
2025-10-22,"October 22, 25",,,,,,10575721,58.525,-3.43,56.61,56.74,60.17,56.52,10575721,-0.057,60.58,-5.7
2025-10-21,"October 21, 25",,,,,,5984861,58.57,2.48,57.15,59.82,57.34,59.59,5984861,0.0433,59.97,4.33
2025-10-20,"October 20, 25",,,,,,7441166,57.235,0.88,56.79,57.67,56.79,57.45,7441166,0.0155,57.69,1.55
2025-10-17,"October 17, 25",,,,,,6011998,56.54,-0.62,56.14,56.2,56.82,55.98,6011998,-0.0109,57,-1.09
2025-10-16,"October 16, 25",,,,,,7265614,56.9375,-0.57,56.3,56.75,57.32,56.53,7265614,-0.0099442,57.38,-0.99442
2025-10-15,"October 15, 25",,,,,,7907932,57.43,-0.23,56.77,57.21,57.44,56.99,7907932,-0.0040042,58.3,-0.40042
2025-10-14,"October 14, 25",,,,,,6553515,56.56,1.97,55.33,57.5,55.53,57.28,6553515,0.0355,57.88,3.55
2025-10-13,"October 13, 25",,,,,,3241108,57.18,-0.56,56.71,56.87,57.43,56.65,3241108,-0.009751,57.71,-0.9751
2025-10-10,"October 10, 25",,,,,,5625918,57.76,-1.89,56.57,56.66,58.55,56.44,5625918,-0.0323,59.26,-3.23
2025-10-09,"October 09, 25",,,,,,6201100,59.0825,-1.97,57.67,58.1,60.07,57.88,6201100,-0.0328,60.49,-3.28
2025-10-08,"October 08, 25",,,,,,8457300,59.495,0.75,58.61,59.8,59.05,59.57,8457300,0.0127,60.52,1.27
2025-10-07,"October 07, 25",,,,,,5700528,59.535,-0.65,59.03,59.18,59.83,58.95,5700528,-0.0109,60.1,-1.09
2025-10-06,"October 06, 25",,,,,,5103504,60.12,-0.54,59.55,59.81,60.35,59.58,5103504,-0.0089478,60.77,-0.89478
2025-10-03,"October 03, 25",,,,,,5611423,59.3075,0.72,58.7,59.65,58.93,59.42,5611423,0.0122,59.95,1.22
2025-10-02,"October 02, 25",,,,,,3830120,59.255,-0.43,58.73,58.9,59.33,58.67,3830120,-0.0072476,60.06,-0.72476
2025-10-01,"October 01, 25",,,,,,3593047,59.4675,0.06,59.2,59.46,59.4,59.23,3593047,0.0010101,59.81,0.10101
2025-09-30,"September 30, 25",,,,,,6126808,59.3625,0.7,58.94,59.7,59,59.48,6126808,0.0119,59.81,1.19
2025-09-29,"September 29, 25",,,,,,4745100,59.29,-0.51,58.75,59.13,59.64,58.91,4745100,-0.0085513,59.64,-0.85513
2025-09-26,"September 26, 25",,,,,,6079420,58.9025,-0.06,58.59,58.84,58.9,58.62,6079420,-0.0010187,59.28,-0.10187
2025-09-25,"September 25, 25",,,,,,4821200,58.7275,0.19,58.32,58.75,58.56,58.53,4821200,0.0032445,59.28,0.32445
2025-09-24,"September 24, 25",,,,,,4148000,59.375,-0.51,58.96,58.99,59.5,58.77,4148000,-0.0085714,60.05,-0.85714
2025-09-23,"September 23, 25",,,,,,5200200,60.1275,-0.78,59.44,59.74,60.52,59.52,5200200,-0.0129,60.81,-1.29
2025-09-22,"September 22, 25",,,,,,4220013,60.11,0.31,59.66,60.31,60,60.08,4220013,0.0051667,60.47,0.51667
2025-09-19,"September 19, 25",,,,,,5733500,60.8075,-0.81,60.36,60.39,61.2,60.16,5733500,-0.0132,61.28,-1.32
2025-09-18,"September 18, 25",,,,,,4700840,61.16,-0.04,60.71,61.1,61.14,60.87,4700840,-0.0006542362,61.69,-0.06542362
2025-09-17,"September 17, 25",,,,,,7077838,61.135,-0.49,60.23,60.72,61.21,60.49,7077838,-0.0080052,62.38,-0.80052
2025-09-16,"September 16, 25",,,,,,5181000,61.345,-0.75,60.87,60.93,61.68,60.7,5181000,-0.0122,61.9,-1.22
2025-09-15,"September 15, 25",,,,,,6925632,61.455,-0.66,60.68,61.24,61.9,61.01,6925632,-0.0107,62,-1.07
2025-09-12,"September 12, 25",,,,,,5224933,61.8375,-0.1,61.38,61.67,61.77,61.44,5224933,-0.0016189,62.53,-0.16189
2025-09-11,"September 11, 25",,,,,,7588598,62.3025,0.3,61.65,62.3,62,62.07,7588598,0.0048387,63.26,0.48387
2025-09-10,"September 10, 25",,,,,,13960322,62.81,-1.34,60.1,62.5,63.84,62.27,13960322,-0.021,64.8,-2.1
2025-09-09,"September 09, 25",,,,,,5695248,63.795,-0.93,62.45,63.47,64.4,63.23,5695248,-0.0144,64.86,-1.44
2025-09-08,"September 08, 25",,,,,,5761762,65.6075,-0.01,65.06,65.61,65.62,65.36,5761762,-0.0001523926,66.14,-0.01523926
2025-09-05,"September 05, 25",,,,,,5021948,64.92,1.16,64.19,65.51,64.35,65.26,5021948,0.018,65.63,1.8
2025-09-04,"September 04, 25",,,,,,4471421,63.1375,0.66,62.45,63.54,62.88,63.3,4471421,0.0105,63.68,1.05
2025-09-03,"September 03, 25",,,,,,6925600,62.8525,-0.99,61.77,62.47,63.46,62.24,6925600,-0.0156,63.71,-1.56
2025-09-02,"September 02, 25",,,,,,6415114,63.7225,-0.66,62.73,63.5,64.16,63.26,6415114,-0.0103,64.5,-1.03
2025-08-29,"August 29, 25",,,,,,6863764,65.74,-1.17,64.89,65.2,66.37,64.96,6863764,-0.0176,66.5,-1.76
2025-08-28,"August 28, 25",,,,,,3615290,66.96,-1.63,65.94,66.17,67.8,65.92,3615290,-0.024,67.93,-2.4
2025-08-27,"August 27, 25",,,,,,7197661,67.115,1.13,66.35,67.59,66.46,67.34,7197661,0.017,68.06,1.7
2025-08-26,"August 26, 25",,,,,,5909300,66.1025,0.36,65.25,66.48,66.12,66.23,5909300,0.0054446,66.56,0.54446
2025-08-25,"August 25, 25",,,,,,4921300,66.7825,-1.42,65.96,66,67.42,65.75,4921300,-0.0211,67.75,-2.11
2025-08-22,"August 22, 25",,,,,,5535013,66.53,2.41,65.05,67.75,65.34,67.5,5535013,0.0369,67.98,3.69
2025-08-21,"August 21, 25",,,,,,10279800,65.805,-1.59,64.91,65.01,66.6,64.77,10279800,-0.0239,66.7,-2.39
2025-08-20,"August 20, 25",,,,,,5520311,66.815,0.02,66.41,66.84,66.82,66.59,5520311,0.0002993116,67.19,0.02993116
2025-08-19,"August 19, 25",,,,,,6606638,66.8375,0.49,66.07,66.98,66.49,66.73,6606638,0.0073695,67.81,0.73695
2025-08-18,"August 18, 25",,,,,,3660710,65.925,1.15,65.3,66.49,65.34,66.24,3660710,0.0176,66.57,1.76
2025-08-15,"August 15, 25",,,,,,2968322,65.7425,-0.63,65.33,65.4,66.03,65.15,2968322,-0.0095411,66.21,-0.95411
2025-08-14,"August 14, 25",,,,,,3743290,66.0675,-0.63,65.49,65.76,66.39,65.51,3743290,-0.0094894,66.63,-0.94894
2025-08-13,"August 13, 25",,,,,,3761239,66.45,1.03,65.51,67.05,66.02,66.8,3761239,0.0156,67.22,1.56
2025-08-12,"August 12, 25",,,,,,2989346,65.555,0.38,65.01,65.73,65.35,65.48,2989346,0.0058148,66.13,0.58148
2025-08-11,"August 11, 25",,,,,,5173167,65.3075,-0.99,64.54,64.88,65.87,64.64,5173167,-0.015,65.94,-1.5
2025-08-08,"August 08, 25",,,,,,3321296,66.3475,-0.48,65.96,66.03,66.51,65.78,3321296,-0.007217,66.89,-0.7217
2025-08-07,"August 07, 25",,,,,,4024898,66.5925,-0.55,66.1,66.36,66.91,66.11,4024898,-0.00822,67,-0.822
2025-08-06,"August 06, 25",,,,,,3579057,66.2175,-0.45,65.64,66.11,66.56,65.86,3579057,-0.0067608,66.56,-0.67608
2025-08-05,"August 05, 25",,,,,,3658929,66.47,-0.48,65.75,66.38,66.86,66.13,3658929,-0.0071792,66.89,-0.71792
2025-08-04,"August 04, 25",,,,,,4834006,66.69,-0.17,66.16,66.54,66.71,66.29,4834006,-0.0025483,67.35,-0.25483
2025-08-01,"August 01, 25",,,,,,5451600,67.34,-1.08,66.44,66.92,68,66.67,5451600,-0.0159,68,-1.59
2025-07-31,"July 31, 25",,,,,,7641320,68.5575,0.62,68,68.62,68,68.36,7641320,0.0091176,69.61,0.91176
2025-07-30,"July 30, 25",,,,,,10081700,69.7125,-3.25,67.74,68.2,71.45,67.94,10081700,-0.0455,71.46,-4.55
2025-07-29,"July 29, 25",,,,,,13098846,72.82,-2.21,70.99,71.67,73.88,71.4,13098846,-0.0299,74.74,-2.99
2025-07-28,"July 28, 25",,,,,,7126333,80.5525,-0.74,80.02,80.18,80.92,79.88,7126333,-0.0091448,81.09,-0.91448
2025-07-25,"July 25, 25",,,,,,3401307,80.21,0.94,79.51,80.73,79.79,80.43,3401307,0.0118,80.81,1.18
2025-07-24,"July 24, 25",,,,,,3574517,79.835,-0.37,79.44,79.44,79.81,79.14,3574517,-0.004636,80.65,-0.4636
2025-07-23,"July 23, 25",,,,,,6914698,79.015,1.71,77.81,79.61,77.9,79.31,6914698,0.022,80.74,2.2
2025-07-22,"July 22, 25",,,,,,3395319,76.05,0.6,75.44,76.42,75.82,76.13,3395319,0.0079135,76.52,0.79135
2025-07-21,"July 21, 25",0.225,0.225,2025-07-21,2025-08-08,2025-06-12,4393435,76.4225,-0.83,75.96,75.97,76.8,75.69,4393435,-0.0108,76.96,-1.08
2025-07-18,"July 18, 25",,,,,,5031718,76.8725,-0.56,76.41,76.63,77.19,76.12,5031718,-0.0072548,77.26,-0.72548
2025-07-17,"July 17, 25",,,,,,2778093,76.12,1.53,75.15,76.93,75.4,76.42,2778093,0.0203,77,2.03
2025-07-16,"July 16, 25",,,,,,4424914,75.14,0.02,74.08,75.43,75.41,74.93,4424914,0.0002652168,75.64,0.02652168
2025-07-15,"July 15, 25",,,,,,3195159,75.8375,-0.57,75.36,75.38,75.95,74.88,3195159,-0.0075049,76.66,-0.75049
2025-07-14,"July 14, 25",,,,,,2566488,76.4175,0.32,75.99,76.61,76.29,76.1,2566488,0.0041945,76.78,0.41945
2025-07-11,"July 11, 25",,,,,,3805311,76.285,0.77,75.76,76.62,75.85,76.11,3805311,0.0102,76.91,1.02
2025-07-10,"July 10, 25",,,,,,3461635,76.3875,0.77,75.5,76.77,76,76.26,3461635,0.0101,77.28,1.01
2025-07-09,"July 09, 25",,,,,,4119392,75.5175,0.48,74.75,75.89,75.41,75.38,4119392,0.0063652,76.02,0.63652
2025-07-08,"July 08, 25",,,,,,4506600,74.845,0.19,74.36,74.9,74.71,74.4,4506600,0.0025432,75.41,0.25432
2025-07-07,"July 07, 25",,,,,,2857533,75.0475,-0.91,74.28,74.64,75.55,74.14,2857533,-0.012,75.72,-1.2
2025-07-03,"July 03, 25",,,,,,1423418,75.56,0.14,75.25,75.65,75.51,75.15,1423418,0.0018541,75.83,0.18541
2025-07-02,"July 02, 25",,,,,,3606641,74.7325,0.95,74.04,75.26,74.31,74.76,3606641,0.0128,75.32,1.28
2025-07-01,"July 01, 25",,,,,,5148146,73.5225,1.7,72.31,74.3,72.6,73.81,5148146,0.0234,74.88,2.34
2025-06-30,"June 30, 25",,,,,,4623651,73.3825,-0.43,72.99,73.19,73.62,72.7,4623651,-0.0058408,73.73,-0.58408
2025-06-27,"June 27, 25",,,,,,6162936,73.575,0.33,73.02,73.67,73.34,73.18,6162936,0.0044996,74.27,0.44996
2025-06-26,"June 26, 25",,,,,,3939943,72.65,0.08,72.19,72.59,72.51,72.11,3939943,0.0011033,73.31,0.11033
2025-06-25,"June 25, 25",,,,,,3344309,72.3925,-0.02,72,72.43,72.45,71.95,3344309,-0.0002760524,72.69,-0.02760524
2025-06-24,"June 24, 25",,,,,,3664500,72.2575,0.22,71.79,72.46,72.24,71.98,3664500,0.0030454,72.54,0.30454
2025-06-23,"June 23, 25",,,,,,3283000,71.02,1.38,70.05,71.78,70.4,71.3,3283000,0.0196,71.85,1.96
2025-06-20,"June 20, 25",,,,,,10629857,70.4225,-0.01,69.88,70.47,70.48,70,10629857,-0.0001418842,70.86,-0.01418842
2025-06-18,"June 18, 25",,,,,,4073157,69.9575,0.03,69.54,69.86,69.83,69.39,4073157,0.0004296148,70.6,0.04296148
2025-06-17,"June 17, 25",,,,,,5685106,70.115,-0.59,69.49,69.78,70.37,69.32,5685106,-0.0083843,70.82,-0.83843
2025-06-16,"June 16, 25",,,,,,4711631,71.21,-0.51,70.49,71.04,71.55,70.57,4711631,-0.0071279,71.76,-0.71279
2025-06-13,"June 13, 25",,,,,,3559162,71.4075,-0.17,71.01,71.24,71.41,70.77,3559162,-0.0023806,71.97,-0.23806
2025-06-12,"June 12, 25",,,,,,4131291,72.3825,0.19,71.95,72.48,72.29,72,4131291,0.0026283,72.81,0.26283
2025-06-11,"June 11, 25",,,,,,6236287,72.2175,0.34,71.57,72.48,72.14,72,6236287,0.0047131,72.68,0.47131
2025-06-10,"June 10, 25",,,,,,4815554,71.8675,-0.25,71.45,71.75,72,71.27,4815554,-0.0034722,72.27,-0.34722
2025-06-09,"June 09, 25",,,,,,3608500,71.475,0.36,71.05,71.65,71.29,71.17,3608500,0.0050498,71.91,0.50498
2025-06-06,"June 06, 25",,,,,,4754934,71.4,-0.9,70.68,71.04,71.94,70.57,4754934,-0.0125,71.94,-1.25
2025-06-05,"June 05, 25",,,,,,4001523,71.4225,-0.28,70.69,71.4,71.68,70.92,4001523,-0.0039063,71.92,-0.39063
2025-06-04,"June 04, 25",,,,,,3281065,71.39,0.12,70.99,71.39,71.27,70.91,3281065,0.0016837,71.91,0.16837
2025-06-03,"June 03, 25",,,,,,3328940,70.52,0.35,69.94,70.8,70.45,70.33,3328940,0.0049681,70.89,0.49681
2025-06-02,"June 02, 25",,,,,,3564613,70.3025,-0.37,69.31,70.34,70.71,69.87,3564613,-0.0052326,70.85,-0.52326
2025-05-30,"May 30, 25",,,,,,6337900,71.1525,-0.1,70.58,71.2,71.3,70.73,6337900,-0.0014025,71.53,-0.14025
2025-05-29,"May 29, 25",,,,,,2998184,71.3625,-0.22,70.76,71.41,71.63,70.93,2998184,-0.0030713,71.65,-0.30713
2025-05-28,"May 28, 25",,,,,,3829975,71.74,-1.39,70.97,71.04,72.43,70.57,3829975,-0.0192,72.52,-1.92
2025-05-27,"May 27, 25",,,,,,3453402,71.935,0.16,70.89,72.33,72.17,71.85,3453402,0.002217,72.35,0.2217
2025-05-23,"May 23, 25",,,,,,4450733,70.8125,0.34,70.25,70.98,70.64,70.51,4450733,0.0048131,71.38,0.48131
2025-05-22,"May 22, 25",,,,,,4882934,71.845,-0.21,71.32,71.77,71.98,71.29,4882934,-0.0029175,72.31,-0.29175
2025-05-21,"May 21, 25",,,,,,5182146,72.98,-1.72,71.92,72.09,73.81,71.61,5182146,-0.0233,74.1,-2.33
2025-05-20,"May 20, 25",,,,,,5093208,75.47,-0.9,74.45,74.95,75.85,74.45,5093208,-0.0119,76.63,-1.19
2025-05-19,"May 19, 25",,,,,,6554500,75.0575,1.49,73.76,75.83,74.34,75.32,6554500,0.02,76.3,2
2025-05-16,"May 16, 25",,,,,,7296609,74.785,1.51,73.76,75.62,74.11,75.12,7296609,0.0204,75.65,2.04
2025-05-15,"May 15, 25",,,,,,3782561,73.325,0.35,73.09,73.48,73.13,72.99,3782561,0.004786,73.6,0.4786
2025-05-14,"May 14, 25",,,,,,5086870,73.9225,-0.88,73.24,73.36,74.24,72.87,5086870,-0.0119,74.85,-1.19
2025-05-13,"May 13, 25",,,,,,10638484,74.375,0.54,73.66,74.65,74.11,74.15,10638484,0.0072865,75.08,0.72865
2025-05-12,"May 12, 25",,,,,,5802043,73.6825,-0.61,72.84,73.44,74.05,72.95,5802043,-0.0082377,74.4,-0.82377
2025-05-09,"May 09, 25",,,,,,5540344,71.175,0.41,70.69,71.44,71.03,70.96,5540344,0.0057722,71.54,0.57722
2025-05-08,"May 08, 25",,,,,,5140000,70.8325,-0.21,70.34,70.5,70.71,70.03,5140000,-0.0029699,71.78,-0.29699
2025-05-07,"May 07, 25",,,,,,5762177,70.155,-0.43,69.26,69.99,70.42,69.52,5762177,-0.0061062,70.95,-0.61062
2025-05-06,"May 06, 25",,,,,,5031529,70.0975,0.34,69.61,70.19,69.85,69.72,5031529,0.0048676,70.74,0.48676
2025-05-05,"May 05, 25",,,,,,5563284,71.1525,-0.44,70.65,70.81,71.25,70.34,5563284,-0.0061754,71.9,-0.61754
2025-05-02,"May 02, 25",0.225,0.225,2025-05-02,2025-05-22,2025-04-09,6134530,70.655,1.53,69.34,71.53,70,71.05,6134530,0.0219,71.75,2.19
2025-05-01,"May 01, 25",,,,,,10603900,68.475,2.08,66.07,69.8,67.72,69.11,10603900,0.0307,70.31,3.07
2025-04-30,"April 30, 25",,,,,,8626218,61.4725,1.94,60.08,62.54,60.6,61.92,8626218,0.032,62.67,3.2
2025-04-29,"April 29, 25",,,,,,4881709,60.6975,0.56,60.24,60.82,60.26,60.22,4881709,0.0092931,61.47,0.92931
2025-04-28,"April 28, 25",,,,,,4197302,60.42,0.28,59.77,60.49,60.21,59.89,4197302,0.0046504,61.21,0.46504
2025-04-25,"April 25, 25",,,,,,3869356,60.1225,-0.09,59.68,60.06,60.15,59.47,3869356,-0.0014963,60.6,-0.14963
2025-04-24,"April 24, 25",,,,,,4665900,59.77,1.11,59,60.31,59.2,59.71,4665900,0.0187,60.57,1.87
2025-04-23,"April 23, 25",,,,,,7743587,59.58,-1.69,58.57,58.59,60.28,58.01,7743587,-0.028,60.88,-2.8
2025-04-22,"April 22, 25",,,,,,3411697,58.8925,1.3,58.17,59.47,58.17,58.88,3411697,0.0223,59.76,2.23
2025-04-21,"April 21, 25",,,,,,4607601,58.59,-1.1,57.42,58.18,59.28,57.6,4607601,-0.0186,59.48,-1.86
2025-04-17,"April 17, 25",,,,,,3714434,59.82,0.16,59.24,59.9,59.74,59.31,3714434,0.0026783,60.4,0.26783
2025-04-16,"April 16, 25",,,,,,3909534,59.4625,-0.29,58.6,59.19,59.48,58.6,3909534,-0.0048756,60.58,-0.48756
2025-04-15,"April 15, 25",,,,,,4390700,60.6,-0.12,60.07,60.47,60.59,59.87,4390700,-0.0019805,61.27,-0.19805
2025-04-14,"April 14, 25",,,,,,5391547,60.3725,0.33,59.31,60.59,60.26,59.99,5391547,0.0054763,61.33,0.54763
2025-04-11,"April 11, 25",,,,,,7161610,58.8675,0.64,57.79,59.26,58.62,58.67,7161610,0.0109,59.8,1.09
2025-04-10,"April 10, 25",,,,,,7081417,58.73,-0.08,57.08,59.05,59.13,58.47,7081417,-0.001353,59.66,-0.1353
2025-04-09,"April 09, 25",,,,,,8776000,58.0425,5.48,54.8,60.77,55.29,60.17,8776000,0.0991,61.31,9.91
2025-04-08,"April 08, 25",,,,,,6109912,56.815,-2.66,54.54,55.55,58.21,55,6109912,-0.0457,58.96,-4.57
2025-04-07,"April 07, 25",,,,,,6336537,56.7225,0.47,54.22,56.83,56.36,56.27,6336537,0.0083392,59.48,0.83392
2025-04-04,"April 04, 25",,,,,,6934400,57.7625,-1.72,55.87,57.18,58.9,56.61,6934400,-0.0292,59.1,-2.92
2025-04-03,"April 03, 25",,,,,,5760509,62.03,-2.28,60.59,60.72,63,60.12,5760509,-0.0362,63.81,-3.62
2025-04-02,"April 02, 25",,,,,,3159844,63.88,2.29,62.51,65.04,62.75,64.4,3159844,0.0365,65.22,3.65
2025-04-01,"April 01, 25",,,,,,4176409,63.285,0.3,62.28,63.54,63.24,62.91,4176409,0.0047438,64.08,0.47438
2025-03-31,"March 31, 25",,,,,,4839698,62.9375,0.68,61.77,63.4,62.72,62.77,4839698,0.0108,63.86,1.08
2025-03-28,"March 28, 25",,,,,,4139482,64.52,-2.3,63.26,63.33,65.63,62.7,4139482,-0.035,65.86,-3.5
2025-03-27,"March 27, 25",,,,,,3837900,66.235,-1.19,65.55,65.67,66.86,65.02,3837900,-0.0178,66.86,-1.78
2025-03-26,"March 26, 25",,,,,,3790588,67.5775,-1.23,66.66,66.97,68.2,66.31,3790588,-0.018,68.48,-1.8
2025-03-25,"March 25, 25",,,,,,4016092,68.0725,0.1,67.57,68.11,68.01,67.44,4016092,0.0014704,68.6,0.14704
2025-03-24,"March 24, 25",,,,,,4104200,67.5075,0.79,66.85,67.96,67.17,67.29,4104200,0.0118,68.05,1.18
2025-03-21,"March 21, 25",,,,,,11049700,65.81,0.41,65.09,66.17,65.76,65.52,11049700,0.0062348,66.22,0.62348
2025-03-20,"March 20, 25",,,,,,4354625,66.66,-0.5,65.75,66.43,66.93,65.77,4354625,-0.0074705,67.53,-0.74705
2025-03-19,"March 19, 25",,,,,,4408200,67.5475,0.41,66.98,67.68,67.27,67.01,4408200,0.0060948,68.26,0.60948
2025-03-18,"March 18, 25",,,,,,3097225,67.1925,-0.07,66.68,67.3,67.37,66.63,3097225,-0.001039,67.42,-0.1039
2025-03-17,"March 17, 25",,,,,,3886725,67.1025,1.14,66.48,67.63,66.49,66.96,3886725,0.0171,67.81,1.71
