date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,volume,vwap,change,low,close,open,adjClose,unadjustedVolume,changeOverTime,high,changePercent
2026-01-20,"January 20, 26",0.24,0.24,2026-01-20,2026-02-09,2025-12-03,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,3555000,53.28,0.41,52.53,53.52,53.11,53.52,3555000,0.0077198,53.96,0.77198
2025-12-31,"December 31, 25",,,,,,3218880,53.12,-0.48,52.78,52.84,53.32,52.84,3218880,-0.0090023,53.54,-0.90023
2025-12-30,"December 30, 25",,,,,,3498000,53.49,-0.03,53.18,53.43,53.46,53.43,3498000,-0.0005611672,53.89,-0.05611672
2025-12-29,"December 29, 25",,,,,,3640533,53.5975,0.05,53.4,53.61,53.56,53.61,3640533,0.0009335325,53.82,0.09335325
2025-12-26,"December 26, 25",,,,,,2101540,53.465,0.19,53.22,53.59,53.4,53.59,2101540,0.0035581,53.65,0.35581
2025-12-24,"December 24, 25",,,,,,1663213,53.4725,-0.07,53.16,53.5,53.57,53.5,1663213,-0.0013067,53.66,-0.13067
2025-12-23,"December 23, 25",,,,,,4527907,53.2725,0.11,52.88,53.34,53.23,53.34,4527907,0.0020665,53.64,0.20665
2025-12-22,"December 22, 25",,,,,,5929912,53.57,-0.78,52.97,53.2,53.98,53.2,5929912,-0.0144,54.13,-1.44
2025-12-19,"December 19, 25",,,,,,12875343,53.34,0.72,52.73,53.77,53.05,53.77,12875343,0.0136,53.81,1.36
2025-12-18,"December 18, 25",,,,,,8212617,53.45,-0.23,53.11,53.2,53.43,53.2,8212617,-0.0043047,54.06,-0.43047
2025-12-17,"December 17, 25",,,,,,9700300,52.8825,-1.06,51.93,52.4,53.46,52.4,9700300,-0.0198,53.74,-1.98
2025-12-16,"December 16, 25",,,,,,8125720,53.0575,0.68,52.37,53.44,52.76,53.44,8125720,0.0129,53.66,1.29
2025-12-15,"December 15, 25",,,,,,7322412,52.87,-0.76,52.22,52.58,53.34,52.58,7322412,-0.0142,53.34,-1.42
2025-12-12,"December 12, 25",,,,,,6481000,53.865,-1.92,52.79,52.94,54.86,52.94,6481000,-0.035,54.87,-3.5
2025-12-11,"December 11, 25",,,,,,6584009,53.9125,0.41,53.17,54.15,53.74,54.15,6584009,0.0076293,54.59,0.76293
2025-12-10,"December 10, 25",,,,,,16529100,53.19,0.45,52.34,53.4,52.95,53.4,16529100,0.0084986,54.07,0.84986
2025-12-09,"December 09, 25",,,,,,12466946,52.775,0.03,52.02,52.84,52.81,52.84,12466946,0.0005680742,53.43,0.05680742
2025-12-08,"December 08, 25",,,,,,13159200,53.655,-1.21,52.99,53.03,54.24,53.03,13159200,-0.0223,54.36,-2.23
2025-12-05,"December 05, 25",,,,,,9063920,54.4025,-0.23,54,54.29,54.52,54.29,9063920,-0.0042186,54.8,-0.42186
2025-12-04,"December 04, 25",,,,,,12206379,54.31,0.52,53.62,54.5,53.98,54.5,12206379,0.0096332,55.14,0.96332
2025-12-03,"December 03, 25",,,,,,9752653,54.015,1.03,53.2,54.62,53.59,54.62,9752653,0.0192,54.65,1.92
2025-12-02,"December 02, 25",,,,,,3768903,54.1625,-0.84,53.44,53.82,54.66,53.82,3768903,-0.0154,54.73,-1.54
2025-12-01,"December 01, 25",,,,,,6689200,54.27,0.19,53.91,54.25,54.06,54.25,6689200,0.0035146,54.86,0.35146
2025-11-28,"November 28, 25",,,,,,2897200,54.625,0.28,54.11,54.88,54.6,54.88,2897200,0.0051282,54.91,0.51282
2025-11-26,"November 26, 25",,,,,,6536848,54.24,0.33,53.71,54.36,54.03,54.36,6536848,0.0061077,54.86,0.61077
2025-11-25,"November 25, 25",,,,,,11511751,53.135,1.69,52.14,53.95,52.26,53.95,11511751,0.0323,54.19,3.23
2025-11-24,"November 24, 25",,,,,,9383900,52.2175,-0.65,51.64,51.75,52.4,51.75,9383900,-0.0124,53.08,-1.24
2025-11-21,"November 21, 25",,,,,,12733125,51.645,1.53,50.57,52.41,50.88,52.41,12733125,0.0301,52.72,3.01
2025-11-20,"November 20, 25",,,,,,6401252,51.0375,-1.14,50.3,50.36,51.5,50.36,6401252,-0.0221,51.99,-2.21
2025-11-19,"November 19, 25",,,,,,6655634,51.78,-1.17,51.03,51.25,52.42,51.25,6655634,-0.0223,52.42,-2.23
2025-11-18,"November 18, 25",,,,,,6507167,52.48,-0.7,51.95,52.01,52.71,52.01,6507167,-0.0133,53.25,-1.33
2025-11-17,"November 17, 25",,,,,,5766695,53.605,-1.01,52.95,53.13,54.14,53.13,5766695,-0.0187,54.2,-1.87
2025-11-14,"November 14, 25",,,,,,6035104,54.38,-0.47,53.96,54.1,54.57,54.1,6035104,-0.0086128,54.89,-0.86128
2025-11-13,"November 13, 25",,,,,,5357157,55.815,-0.79,55.04,55.16,55.95,55.16,5357157,-0.0141,57.11,-1.41
2025-11-12,"November 12, 25",,,,,,7253842,56.4725,-1.17,54.99,55.99,57.16,55.99,7253842,-0.0205,57.75,-2.05
2025-11-11,"November 11, 25",,,,,,3955469,57.195,-0.6,56.64,56.97,57.57,56.97,3955469,-0.0104,57.6,-1.04
2025-11-10,"November 10, 25",,,,,,4054700,57.245,-0.38,56.14,57.33,57.71,57.33,4054700,-0.0065846,57.8,-0.65846
2025-11-07,"November 07, 25",,,,,,5669450,56.6475,1.54,55.59,57.51,55.97,57.51,5669450,0.0275,57.52,2.75
2025-11-06,"November 06, 25",,,,,,5344615,56.8575,-0.14,56.43,56.57,56.71,56.57,5344615,-0.0024687,57.72,-0.24687
