date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,dividend,recordDate,adjDividend
2026-01-02,159.43,159.85,151.84,152.4,152.4,965378,965378,-7.03,-4.41,155.88,"January 02, 26",-0.0441,,,,,
2025-12-31,159.81,160.63,159,159.36,159.36,654926,654926,-0.45,-0.28158,159.7,"December 31, 25",-0.0028158,,,,,
2025-12-30,160.25,161.95,159.3,160.52,160.52,594804,594804,0.27,0.16849,160.505,"December 30, 25",0.0016849,,,,,
2025-12-29,160.36,161.11,158.55,160.76,160.76,690724,690724,0.4,0.24944,160.195,"December 29, 25",0.0024944,,,,,
2025-12-26,160.14,160.89,159.28,160.41,160.41,600015,600015,0.27,0.1686,160.18,"December 26, 25",0.001686,,,,,
2025-12-24,159.4,160.53,159.04,160.4,160.4,255010,255010,1,0.62735,159.8425,"December 24, 25",0.0062735,,,,,
2025-12-23,165.58,165.58,158.86,159.63,159.63,708200,708200,-5.95,-3.59,162.4125,"December 23, 25",-0.0359,,,,,
2025-12-22,162.82,166.36,162.75,165.42,165.42,624300,624300,2.6,1.6,164.3375,"December 22, 25",0.016,,,,,
2025-12-19,164.1,164.64,161.89,162.72,162.72,2246200,2246200,-1.38,-0.84095,163.3375,"December 19, 25",-0.0084095,,,,,
2025-12-18,166.33,167.25,162.59,164.31,164.31,1107500,1107500,-2.02,-1.21,165.12,"December 18, 25",-0.0121,,,,,
2025-12-17,164.93,170.22,164.93,166.97,166.97,984729,984729,2.04,1.24,166.7625,"December 17, 25",0.0124,,,,,
2025-12-16,161.22,163.57,160.3,162.77,162.77,578100,578100,1.55,0.96142,161.965,"December 16, 25",0.0096142,,,,,
2025-12-15,167.15,167.49,162.5,162.81,162.81,835048,835048,-4.34,-2.6,164.9875,"December 15, 25",-0.026,,,,,
2025-12-12,166.59,169.27,165.6,166.61,166.61,643737,643737,0.02,0.01200552,167.0175,"December 12, 25",0.0001200552,,,,,
2025-12-11,163.54,168.85,162.91,166.08,166.08,796646,796646,2.54,1.55,165.345,"December 11, 25",0.0155,,,,,
2025-12-10,162.46,163.89,161.06,163.8,163.8,825503,825503,1.34,0.82482,162.8025,"December 10, 25",0.0082482,,,,,
2025-12-09,164.2,165.28,162.14,162.7,162.7,690336,690336,-1.5,-0.91352,163.58,"December 09, 25",-0.0091352,,,,,
2025-12-08,163.81,165.41,162.44,163.97,163.97,816681,816681,0.16,0.09767413,163.9075,"December 08, 25",0.0009767413,,,,,
2025-12-05,165.5,169.25,164.53,165.72,165.72,807844,807844,0.22,0.13293,166.25,"December 05, 25",0.0013293,,,,,
2025-12-04,165.31,167.44,164.43,166.14,166.14,645178,645178,0.83,0.50209,165.83,"December 04, 25",0.0050209,,,,,
