date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,dividend,recordDate,adjDividend
2025-12-03,161.89,165.17,161.89,164.56,164.56,447911,447911,2.67,1.65,163.3775,"December 03, 25",0.0165,,,,,
2025-12-02,162.86,163.87,160.38,161.95,161.95,595019,595019,-0.91,-0.55876,162.265,"December 02, 25",-0.0055876,,,,,
2025-12-01,160,163.78,159.49,161.81,161.81,769516,769516,1.81,1.13,161.27,"December 01, 25",0.0113,,,,,
2025-11-28,161.33,162.17,160.74,161.17,161.17,214500,214500,-0.16,-0.0991756,161.3525,"November 28, 25",-0.000991756,,,,,
2025-11-26,163.75,164.2,160.4,160.82,160.82,671601,671601,-2.93,-1.79,162.2925,"November 26, 25",-0.0179,,,,,
2025-11-25,160.55,164.54,159.81,164.34,164.34,796618,796618,3.79,2.36,162.31,"November 25, 25",0.0236,,,,,
2025-11-24,161.84,161.84,158,159.21,159.21,1054200,1054200,-2.63,-1.63,160.2225,"November 24, 25",-0.0163,2025-11-03,2025-12-08,0.375,2025-11-24,0.375
2025-11-21,159.95,163.51,159.14,162.14,161.76,1049200,1049200,2.19,1.37,161.185,"November 21, 25",0.0137,,,,,
2025-11-20,162.34,162.5,159,159.91,159.54,694220,694220,-2.43,-1.5,160.9375,"November 20, 25",-0.015,,,,,
2025-11-19,161.52,161.59,159,160.97,160.6,607356,607356,-0.55,-0.34052,160.77,"November 19, 25",-0.0034052,,,,,
2025-11-18,163.6,165.11,159.34,161.33,160.96,610445,610445,-2.27,-1.39,162.345,"November 18, 25",-0.0139,,,,,
2025-11-17,166.61,168.82,163.2,164.09,163.71,847771,847771,-2.52,-1.51,165.68,"November 17, 25",-0.0151,,,,,
2025-11-14,163.69,166.39,162.28,166.12,165.74,890300,890300,2.43,1.48,164.62,"November 14, 25",0.0148,,,,,
2025-11-13,166.01,167.07,164,164.66,164.28,976528,976528,-1.35,-0.8132,165.435,"November 13, 25",-0.008132,,,,,
2025-11-12,171.04,171.35,166,167.66,167.27,988004,988004,-3.38,-1.98,169.0125,"November 12, 25",-0.0198,,,,,
2025-11-11,166.77,170.37,165.37,170.34,169.95,932400,932400,3.57,2.14,168.2125,"November 11, 25",0.0214,,,,,
2025-11-10,162.83,166.95,162.5,166.8,166.41,987900,987900,3.97,2.44,164.77,"November 10, 25",0.0244,,,,,
2025-11-07,163.85,164.48,159.36,162.15,161.77,944914,944914,-1.7,-1.04,162.46,"November 07, 25",-0.0104,,,,,
2025-11-06,176.3,176.3,156.5,164.01,163.63,2050332,2050332,-12.29,-6.97,168.2775,"November 06, 25",-0.0697,,,,,
2025-11-05,181.28,186.28,180.52,183.71,183.29,1306212,1306212,2.43,1.34,182.9475,"November 05, 25",0.0134,,,,,
2025-11-04,185.17,186.21,180.57,181.91,181.49,593231,593231,-3.26,-1.76,183.465,"November 04, 25",-0.0176,,,,,
2025-11-03,186.86,186.86,182.88,184.85,184.42,890719,890719,-2.01,-1.08,185.3625,"November 03, 25",-0.0108,,,,,
2025-10-31,184.64,188.08,183.76,187.09,186.66,610135,610135,2.45,1.33,185.8925,"October 31, 25",0.0133,,,,,
2025-10-30,186.56,188.41,184.72,185.29,184.86,679501,679501,-1.27,-0.68075,186.245,"October 30, 25",-0.0068075,,,,,
2025-10-29,195.35,196.6,185.62,186.46,186.03,795703,795703,-8.89,-4.55,191.0075,"October 29, 25",-0.0455,,,,,
2025-10-28,199.22,201.42,198.41,198.5,198.04,488533,488533,-0.72,-0.36141,199.3875,"October 28, 25",-0.0036141,,,,,
2025-10-27,197.19,202.87,197.19,200.24,199.78,399386,399386,3.05,1.55,199.3725,"October 27, 25",0.0155,,,,,
2025-10-24,202.1,202.22,199.41,199.51,199.04,436500,436500,-2.59,-1.28,200.81,"October 24, 25",-0.0128,,,,,
2025-10-23,201.96,203.47,200,200.25,199.78,482100,482100,-1.71,-0.8467,201.42,"October 23, 25",-0.008467,,,,,
2025-10-22,206.08,206.49,202.18,202.35,201.88,377400,377400,-3.73,-1.81,204.275,"October 22, 25",-0.0181,,,,,
2025-10-21,201.09,207.33,200.42,206.86,206.38,510879,510879,5.77,2.87,203.925,"October 21, 25",0.0287,,,,,
2025-10-20,200.69,203.24,200,201.09,200.62,438000,438000,0.4,0.19931,201.255,"October 20, 25",0.0019931,,,,,
2025-10-17,200.28,202.43,198.13,200.69,200.22,449725,449725,0.41,0.20471,200.3825,"October 17, 25",0.0020471,,,,,
2025-10-16,200.48,201.57,198.51,200.49,200.02,646516,646516,0.01,0.00498803,200.2625,"October 16, 25",4.98803e-05,,,,,
2025-10-15,202.05,202.57,199.5,199.5,199.03,531812,531812,-2.55,-1.26,200.905,"October 15, 25",-0.0126,,,,,
2025-10-14,199.48,203.06,199.48,200.53,200.06,532200,532200,1.05,0.52637,200.6375,"October 14, 25",0.0052637,,,,,
2025-10-13,198.82,202.24,197.73,201.3,200.83,410445,410445,2.48,1.25,200.0225,"October 13, 25",0.0125,,,,,
2025-10-10,203.04,203.62,199.63,199.82,199.35,494226,494226,-3.22,-1.59,201.5275,"October 10, 25",-0.0159,,,,,
2025-10-09,206.27,206.39,202.36,202.59,202.12,654913,654913,-3.68,-1.78,204.4025,"October 09, 25",-0.0178,,,,,
2025-10-08,203.76,206.49,201.99,205.08,204.6,527700,527700,1.32,0.64782,204.33,"October 08, 25",0.0064782,,,,,
2025-10-07,201.1,203.99,199.5,203.71,203.23,780357,780357,2.61,1.3,202.075,"October 07, 25",0.013,,,,,
2025-10-06,202,204.02,199.59,200.22,199.75,1038926,1038926,-1.78,-0.88119,201.4575,"October 06, 25",-0.0088119,,,,,
2025-10-03,201.95,203.3,200,201.86,201.39,679780,679780,-0.09,-0.04456549,201.7775,"October 03, 25",-0.0004456549,,,,,
2025-10-02,200.5,203.26,198.2,201.38,200.91,1254358,1254358,0.88,0.4389,200.835,"October 02, 25",0.004389,,,,,
2025-10-01,208.5,208.5,198.97,199.23,198.76,1588526,1588526,-9.27,-4.45,203.8,"October 01, 25",-0.0445,,,,,
2025-09-30,216.37,217.1,207.18,208.14,207.65,905167,905167,-8.23,-3.8,212.1975,"September 30, 25",-0.038,,,,,
2025-09-29,217.89,218.75,216.9,218.17,217.66,700600,700600,0.28,0.12851,217.9275,"September 29, 25",0.0012851,,,,,
2025-09-26,217.49,219.19,216.09,217.51,217,767734,767734,0.02,0.00919583,217.57,"September 26, 25",9.19583e-05,,,,,
2025-09-25,216.81,216.81,213.81,214.85,214.35,657100,657100,-1.96,-0.90402,215.57,"September 25, 25",-0.0090402,,,,,
2025-09-24,219.98,220.53,216.93,217.42,216.91,467000,467000,-2.56,-1.16,218.715,"September 24, 25",-0.0116,,,,,
2025-09-23,220.34,220.69,216.78,219.66,219.15,556000,556000,-0.68,-0.30861,219.3675,"September 23, 25",-0.0030861,,,,,
2025-09-22,215.7,222.36,215.7,220.1,219.58,753700,753700,4.4,2.04,218.465,"September 22, 25",0.0204,,,,,
2025-09-19,216.46,218.71,215.84,216.6,216.09,1660400,1660400,0.14,0.06467708,216.9025,"September 19, 25",0.0006467708,,,,,
2025-09-18,215.55,218.59,214.11,216.55,216.04,626731,626731,1,0.46393,216.2,"September 18, 25",0.0046393,,,,,
2025-09-17,214.6,218.79,213.38,214.73,214.23,688200,688200,0.13,0.06057782,215.375,"September 17, 25",0.0006057782,,,,,
2025-09-16,218.25,218.25,210.51,213.32,212.82,766167,766167,-4.93,-2.26,215.0825,"September 16, 25",-0.0226,,,,,
2025-09-15,222.84,223.65,218.05,218.2,217.69,485417,485417,-4.64,-2.08,220.685,"September 15, 25",-0.0208,,,,,
2025-09-12,226.37,226.68,221.98,222.63,222.11,379400,379400,-3.74,-1.65,224.415,"September 12, 25",-0.0165,,,,,
2025-09-11,221.12,227.49,220.63,226.37,225.84,471800,471800,5.25,2.37,223.9025,"September 11, 25",0.0237,,,,,
2025-09-10,220.58,223.45,220.15,220.88,220.36,596513,596513,0.3,0.13601,221.265,"September 10, 25",0.0013601,,,,,
2025-09-09,224.12,224.12,219.22,222.49,221.97,589476,589476,-1.63,-0.72729,222.4875,"September 09, 25",-0.0072729,,,,,
2025-09-08,223.39,224.43,221.74,224.3,223.78,436534,436534,0.91,0.40736,223.465,"September 08, 25",0.0040736,,,,,
2025-09-05,225.02,227.3,222.4,224.12,223.6,445844,445844,-0.9,-0.39996,224.71,"September 05, 25",-0.0039996,,,,,
2025-09-04,221.54,225.84,219.52,224.5,223.97,631344,631344,2.96,1.34,222.85,"September 04, 25",0.0134,,,,,
2025-09-03,218.73,221.4,216.62,221.35,220.83,830520,830520,2.62,1.2,219.525,"September 03, 25",0.012,,,,,
2025-09-02,224.02,225,216.22,220,219.49,928001,928001,-4.02,-1.79,221.31,"September 02, 25",-0.0179,,,,,
2025-08-29,225.79,227.57,225.34,227.15,226.62,341923,341923,1.36,0.60233,226.4625,"August 29, 25",0.0060233,,,,,
2025-08-28,227.81,228.15,225.63,225.71,225.18,524333,524333,-2.1,-0.92182,226.825,"August 28, 25",-0.0092182,,,,,
2025-08-27,226.47,228.48,225.86,227.89,227.36,679135,679135,1.42,0.62701,227.175,"August 27, 25",0.0062701,,,,,
2025-08-26,230.28,232.34,225.86,225.97,225.44,679248,679248,-4.31,-1.87,228.6125,"August 26, 25",-0.0187,,,,,
2025-08-25,232.98,234.6,229.92,230.78,230.24,372438,372438,-2.2,-0.94429,232.07,"August 25, 25",-0.0094429,2025-08-04,2025-09-08,0.375,2025-08-25,0.375
2025-08-22,225.72,234.28,224.51,233.89,232.97,699300,699300,8.17,3.62,229.6,"August 22, 25",0.0362,,,,,
2025-08-21,225.49,226.45,222.91,225.32,224.43,514826,514826,-0.17,-0.07539137,225.0425,"August 21, 25",-0.0007539137,,,,,
2025-08-20,226.81,229.31,224.05,226.95,226.06,817234,817234,0.14,0.06172567,226.78,"August 20, 25",0.0006172567,,,,,
2025-08-19,224.92,228.44,223.75,227.93,227.03,656611,656611,3.01,1.34,226.26,"August 19, 25",0.0134,,,,,
2025-08-18,221.55,225.85,221.55,225.28,224.39,622700,622700,3.73,1.68,223.5575,"August 18, 25",0.0168,,,,,
2025-08-15,216.57,218.53,215.46,217.18,216.33,593622,593622,0.61,0.28166,216.935,"August 15, 25",0.0028166,,,,,
2025-08-14,219.01,220.43,215.95,216,215.15,578608,578608,-3.01,-1.37,217.8475,"August 14, 25",-0.0137,,,,,
2025-08-13,215.16,222.3,213.76,221.49,220.62,752330,752330,6.33,2.94,218.1775,"August 13, 25",0.0294,,,,,
2025-08-12,222.1,222.3,213.55,215.21,214.36,769809,769809,-6.89,-3.1,218.29,"August 12, 25",-0.031,,,,,
2025-08-11,229.63,230.6,220.1,221.04,220.17,711061,711061,-8.59,-3.74,225.3425,"August 11, 25",-0.0374,,,,,
2025-08-08,233.75,234.22,227.54,229.85,228.95,672100,672100,-3.9,-1.67,231.34,"August 08, 25",-0.0167,,,,,
2025-08-07,238.79,248.95,231.36,233.38,232.46,1484200,1484200,-5.41,-2.27,238.12,"August 07, 25",-0.0227,,,,,
2025-08-06,226.35,226.94,219.73,223.26,222.38,1636319,1636319,-3.09,-1.37,224.07,"August 06, 25",-0.0137,,,,,
2025-08-05,229.77,229.77,223.09,223.27,222.39,568350,568350,-6.5,-2.83,226.475,"August 05, 25",-0.0283,,,,,
2025-08-04,227.44,232.85,226.44,229.32,228.42,566700,566700,1.88,0.82659,229.0125,"August 04, 25",0.0082659,,,,,
2025-08-01,231.12,231.12,225.21,226.44,225.55,580500,580500,-4.68,-2.02,228.4725,"August 01, 25",-0.0202,,,,,
2025-07-31,235.87,237.66,231.19,231.54,230.63,523556,523556,-4.33,-1.84,234.065,"July 31, 25",-0.0184,,,,,
2025-07-30,236.78,238.44,233.49,235.57,234.64,518410,518410,-1.21,-0.51102,236.07,"July 30, 25",-0.0051102,,,,,
2025-07-29,235.57,237.69,233.15,237.45,236.52,474923,474923,1.88,0.79806,235.965,"July 29, 25",0.0079806,,,,,
2025-07-28,239,239.62,235.6,236.44,235.51,474900,474900,-2.56,-1.07,237.665,"July 28, 25",-0.0107,,,,,
2025-07-25,238.1,240.14,236.84,238.8,237.86,325705,325705,0.7,0.29399,238.47,"July 25, 25",0.0029399,,,,,
2025-07-24,236.44,238.51,234.59,237.95,237.01,382554,382554,1.51,0.63864,236.8725,"July 24, 25",0.0063864,,,,,
2025-07-23,233.51,237.23,232.78,236.44,235.51,551250,551250,2.93,1.25,234.99,"July 23, 25",0.0125,,,,,
2025-07-22,228.61,234.45,228.61,233.25,232.33,622194,622194,4.64,2.03,231.23,"July 22, 25",0.0203,,,,,
2025-07-21,230.63,230.69,227.57,227.94,227.04,412246,412246,-2.69,-1.17,229.2075,"July 21, 25",-0.0117,,,,,
2025-07-18,226.74,230.15,224.34,229.71,228.81,481419,481419,2.97,1.31,227.735,"July 18, 25",0.0131,,,,,
2025-07-17,224.02,226.45,222.98,224.72,223.84,429235,429235,0.7,0.31247,224.5425,"July 17, 25",0.0031247,,,,,
2025-07-16,223.06,223.57,219.4,223.24,222.36,421437,421437,0.18,0.08069578,222.3175,"July 16, 25",0.0008069578,,,,,
2025-07-15,221.76,224.16,220.87,221.73,220.86,468708,468708,-0.03,-0.01352814,222.13,"July 15, 25",-0.0001352814,,,,,
2025-07-14,220.23,223.6,218,222,221.13,630712,630712,1.77,0.80371,220.9575,"July 14, 25",0.0080371,,,,,
2025-07-11,228.87,229.32,219.86,220.2,219.33,624587,624587,-8.67,-3.79,224.5625,"July 11, 25",-0.0379,,,,,
2025-07-10,233.51,234.37,228.71,229.36,228.46,418438,418438,-4.15,-1.78,231.4875,"July 10, 25",-0.0178,,,,,
2025-07-09,233.98,235,230.77,234.08,233.16,476500,476500,0.1,0.0427387,233.4575,"July 09, 25",0.000427387,,,,,
2025-07-08,233.7,236.24,232.54,233.97,233.05,519360,519360,0.27,0.11553,234.1125,"July 08, 25",0.0011553,,,,,
2025-07-07,232.35,235,229.69,232.39,231.48,511839,511839,0.04,0.01721541,232.3575,"July 07, 25",0.0001721541,,,,,
2025-07-03,229.15,233.4,227.99,233.07,232.15,374200,374200,3.92,1.71,230.9025,"July 03, 25",0.0171,,,,,
2025-07-02,233.78,235.31,222.2,228.13,227.23,655500,655500,-5.65,-2.42,229.855,"July 02, 25",-0.0242,,,,,
2025-07-01,230.1,235.79,228.41,233.8,232.88,913139,913139,3.7,1.61,232.025,"July 01, 25",0.0161,,,,,
2025-06-30,228.35,231.62,227.14,231.4,230.49,605442,605442,3.05,1.34,229.6275,"June 30, 25",0.0134,,,,,
2025-06-27,225.8,228.59,224.03,227.23,226.34,590049,590049,1.43,0.6333,226.4125,"June 27, 25",0.006333,,,,,
2025-06-26,223.95,227.28,221.15,225.46,224.57,853742,853742,1.51,0.67426,224.46,"June 26, 25",0.0067426,,,,,
2025-06-25,234.72,235.36,222.21,222.79,221.91,901587,901587,-11.93,-5.08,228.77,"June 25, 25",-0.0508,,,,,
2025-06-24,235,235.46,230.65,235.05,234.13,547789,547789,0.05,0.0212766,234.04,"June 24, 25",0.000212766,,,,,
2025-06-23,231.72,233.6,229.15,232.97,232.05,515347,515347,1.25,0.53944,231.86,"June 23, 25",0.0053944,,,,,
2025-06-20,233.8,234.89,229.6,232.15,231.24,1415300,1415300,-1.65,-0.70573,232.61,"June 20, 25",-0.0070573,,,,,
2025-06-18,241.9,242.53,231.62,232.82,231.91,1013838,1013838,-9.08,-3.75,237.2175,"June 18, 25",-0.0375,,,,,
2025-06-17,245.15,246.68,241.72,241.73,240.78,561214,561214,-3.42,-1.4,243.82,"June 17, 25",-0.014,,,,,
2025-06-16,246.55,248.05,243.67,246.41,245.44,478869,478869,-0.14,-0.05678361,246.17,"June 16, 25",-0.0005678361,,,,,
2025-06-13,248.13,248.83,243.65,245,244.04,552423,552423,-3.13,-1.26,246.4025,"June 13, 25",-0.0126,,,,,
2025-06-12,253.61,253.61,246.24,250.85,249.86,685856,685856,-2.76,-1.09,251.0775,"June 12, 25",-0.0109,,,,,
2025-06-11,254.63,255.46,250.75,251.8,250.81,484328,484328,-2.83,-1.11,253.16,"June 11, 25",-0.0111,,,,,
2025-06-10,257.89,258.59,252.56,254.12,253.12,501615,501615,-3.77,-1.46,255.79,"June 10, 25",-0.0146,,,,,
2025-06-09,265.59,265.91,255.21,258.45,257.43,762067,762067,-7.14,-2.69,261.29,"June 09, 25",-0.0269,,,,,
2025-06-06,266.74,267.04,263.63,265.71,264.67,348700,348700,-1.03,-0.38614,265.78,"June 06, 25",-0.0038614,,,,,
2025-06-05,265.49,267.76,262.22,263.93,262.89,523967,523967,-1.56,-0.58759,264.85,"June 05, 25",-0.0058759,,,,,
2025-06-04,263.79,265.61,259.64,264.8,263.76,663228,663228,1.01,0.38288,263.46,"June 04, 25",0.0038288,,,,,
2025-06-03,260,264.07,256.77,263.8,262.76,590794,590794,3.8,1.46,261.16,"June 03, 25",0.0146,,,,,
2025-06-02,259.09,260,252.95,259.54,258.52,590700,590700,0.45,0.17368,257.895,"June 02, 25",0.0017368,,,,,
2025-05-30,256.45,259.35,253.51,259.09,258.07,913126,913126,2.64,1.03,257.1,"May 30, 25",0.0103,,,,,
2025-05-29,260.32,261.31,254.55,255.68,254.68,515304,515304,-4.64,-1.78,257.965,"May 29, 25",-0.0178,,,,,
2025-05-28,261.68,262.66,258.98,259.46,258.44,322685,322685,-2.22,-0.84836,260.695,"May 28, 25",-0.0084836,,,,,
2025-05-27,258.94,261.55,253.44,261.26,260.23,446736,446736,2.32,0.89596,258.7975,"May 27, 25",0.0089596,2025-05-05,2025-06-09,0.375,2025-05-27,0.375
2025-05-23,258.01,259.99,255.74,257.9,256.51,412519,412519,-0.11,-0.04263401,257.91,"May 23, 25",-0.0004263401,,,,,
2025-05-22,256.36,262.8,255.17,261.5,260.09,529900,529900,5.14,2,258.9575,"May 22, 25",0.02,,,,,
2025-05-21,259.76,261.69,256.15,257.25,255.86,358804,358804,-2.51,-0.96628,258.7125,"May 21, 25",-0.0096628,,,,,
2025-05-20,258.3,261.23,257.28,260.69,259.28,277200,277200,2.39,0.92528,259.375,"May 20, 25",0.0092528,,,,,
2025-05-19,256.27,260.4,256.27,259.93,258.53,370800,370800,3.66,1.43,258.2175,"May 19, 25",0.0143,,,,,
2025-05-16,256.3,261.31,255.35,260.36,258.96,488505,488505,4.06,1.58,258.33,"May 16, 25",0.0158,,,,,
2025-05-15,256.21,257.73,251.68,256.46,255.08,715700,715700,0.25,0.09757621,255.52,"May 15, 25",0.0009757621,,,,,
2025-05-14,259.35,260.07,255.34,257.22,255.83,696638,696638,-2.13,-0.82128,257.995,"May 14, 25",-0.0082128,,,,,
2025-05-13,258,261.64,257.55,260.21,258.81,535353,535353,2.21,0.85659,259.35,"May 13, 25",0.0085659,,,,,
2025-05-12,259.73,260,252.18,258.38,256.99,952327,952327,-1.35,-0.51977,257.5725,"May 12, 25",-0.0051977,,,,,
2025-05-09,249.04,255.12,247.76,252.7,251.34,730429,730429,3.66,1.47,251.155,"May 09, 25",0.0147,,,,,
2025-05-08,243,254.48,233,249.35,248.01,1502012,1502012,6.35,2.61,244.9575,"May 08, 25",0.0261,,,,,
2025-05-07,228.19,228.9,223.36,228.67,227.44,758016,758016,0.48,0.21035,227.28,"May 07, 25",0.0021035,,,,,
2025-05-06,224.74,228.77,224.23,227.79,226.56,576100,576100,3.05,1.36,226.3825,"May 06, 25",0.0136,,,,,
2025-05-05,225.31,230.42,225.31,227.28,226.05,459961,459961,1.97,0.87435,227.08,"May 05, 25",0.0087435,,,,,
2025-05-02,228.41,231.4,227.16,227.37,226.14,456065,456065,-1.04,-0.45532,228.585,"May 02, 25",-0.0045532,,,,,
2025-05-01,227.72,231.19,226.05,227.1,225.88,499349,499349,-0.62,-0.27226,228.015,"May 01, 25",-0.0027226,,,,,
2025-04-30,224.14,226.97,220.77,226.39,225.17,588793,588793,2.25,1,224.5675,"April 30, 25",0.01,,,,,
2025-04-29,225.75,229.75,225.21,228.56,227.33,410345,410345,2.81,1.24,227.3175,"April 29, 25",0.0124,,,,,
2025-04-28,227.78,229.46,224.5,226.49,225.27,507832,507832,-1.29,-0.56634,227.0575,"April 28, 25",-0.0056634,,,,,
2025-04-25,225.43,228.86,223.8,227.6,226.37,348959,348959,2.17,0.9626,226.4225,"April 25, 25",0.009626,,,,,
2025-04-24,218.67,226.52,217.06,225.86,224.64,331900,331900,7.19,3.29,222.0275,"April 24, 25",0.0329,,,,,
2025-04-23,215.88,224.28,215.88,219.23,218.05,394000,394000,3.35,1.55,218.8175,"April 23, 25",0.0155,,,,,
2025-04-22,207.91,213.58,207.76,211.52,210.38,368304,368304,3.61,1.74,210.1925,"April 22, 25",0.0174,,,,,
2025-04-21,214.2,215.79,201.71,206.2,205.09,616854,616854,-8,-3.73,209.475,"April 21, 25",-0.0373,,,,,
2025-04-17,215.95,218.62,213.89,216.91,215.74,403703,403703,0.96,0.44455,216.3425,"April 17, 25",0.0044455,,,,,
2025-04-16,218.93,219.31,213.11,215.53,214.37,371637,371637,-3.4,-1.55,216.72,"April 16, 25",-0.0155,,,,,
2025-04-15,220.23,221.74,218.14,219.29,218.11,453003,453003,-0.94,-0.42683,219.85,"April 15, 25",-0.0042683,,,,,
2025-04-14,218.32,221.4,215.85,218.27,217.09,544725,544725,-0.05,-0.02290216,218.46,"April 14, 25",-0.0002290216,,,,,
2025-04-11,210.22,216.49,207.52,215.72,214.56,406700,406700,5.5,2.62,212.4875,"April 11, 25",0.0262,,,,,
2025-04-10,213.71,214.7,203.57,210.22,209.09,593300,593300,-3.49,-1.63,210.55,"April 10, 25",-0.0163,,,,,
2025-04-09,191.73,218.81,191.18,218.5,217.32,1162657,1162657,26.77,13.96,205.055,"April 09, 25",0.1396,,,,,
2025-04-08,202.51,206.56,191.55,193.07,192.03,974218,974218,-9.44,-4.66,198.4225,"April 08, 25",-0.0466,,,,,
2025-04-07,191.01,202.48,185.49,196.53,195.47,1213928,1213928,5.52,2.89,193.8775,"April 07, 25",0.0289,,,,,
2025-04-04,208.35,209.1,195,198.11,197.04,799500,799500,-10.24,-4.91,202.64,"April 04, 25",-0.0491,,,,,
2025-04-03,211.61,217.13,206.46,213.43,212.28,817821,817821,1.82,0.86007,212.1575,"April 03, 25",0.0086007,,,,,
2025-04-02,217.91,221.87,215.56,218.48,217.3,527824,527824,0.57,0.26158,218.455,"April 02, 25",0.0026158,,,,,
2025-04-01,218.25,221.28,214.32,220.9,219.71,670910,670910,2.65,1.21,218.6875,"April 01, 25",0.0121,,,,,
2025-03-31,217.03,220.77,213.68,218.48,217.3,674100,674100,1.45,0.66811,217.49,"March 31, 25",0.0066811,,,,,
2025-03-28,225.66,228.45,217.83,218.75,217.57,548000,548000,-6.91,-3.06,222.6725,"March 28, 25",-0.0306,,,,,
2025-03-27,222.04,225.84,219.92,225.82,224.6,452024,452024,3.78,1.7,223.405,"March 27, 25",0.017,,,,,
2025-03-26,224.71,226.47,221.25,222.72,221.52,476744,476744,-1.99,-0.88559,223.7875,"March 26, 25",-0.0088559,,,,,
2025-03-25,225,227.27,222.39,223.44,222.24,440643,440643,-1.56,-0.69333,224.525,"March 25, 25",-0.0069333,,,,,
2025-03-24,220.05,224.31,219.06,223.67,222.46,580342,580342,3.62,1.65,221.7725,"March 24, 25",0.0165,,,,,
2025-03-21,212.96,219.33,210.8,218.3,217.12,2944716,2944716,5.34,2.51,215.3475,"March 21, 25",0.0251,,,,,
2025-03-20,216.47,218.84,215.31,215.43,214.27,496900,496900,-1.04,-0.48044,216.5125,"March 20, 25",-0.0048044,,,,,
2025-03-19,217.67,220.57,214.05,217.44,216.27,579000,579000,-0.23,-0.10566,217.4325,"March 19, 25",-0.0010566,,,,,
2025-03-18,213.7,217.41,210.62,217.03,215.86,697024,697024,3.33,1.56,214.69,"March 18, 25",0.0156,,,,,
2025-03-17,210.77,220.83,209.96,216.01,214.85,898023,898023,5.24,2.49,214.3925,"March 17, 25",0.0249,,,,,
2025-03-14,203.72,208.18,203.72,207.99,206.87,410843,410843,4.27,2.1,205.9025,"March 14, 25",0.021,,,,,
2025-03-13,205.62,205.62,199.14,202.82,201.73,575924,575924,-2.8,-1.36,203.3,"March 13, 25",-0.0136,,,,,
2025-03-12,209.1,210.24,202.8,206.56,205.45,600166,600166,-2.54,-1.21,207.175,"March 12, 25",-0.0121,,,,,
2025-03-11,215.64,216.29,206.16,206.66,205.55,794416,794416,-8.98,-4.16,211.1875,"March 11, 25",-0.0416,,,,,
2025-03-10,215.38,226.12,214.5,217.02,215.85,996061,996061,1.64,0.76144,218.255,"March 10, 25",0.0076144,2025-02-10,2025-03-24,0.375,2025-03-10,0.375
2025-03-07,204.1,213.65,202.89,213.02,211.5,707600,707600,8.92,4.37,208.415,"March 07, 25",0.0437,,,,,
2025-03-06,212.75,216.32,203.53,203.62,202.17,851221,851221,-9.13,-4.29,209.055,"March 06, 25",-0.0429,,,,,
