holder,shares,dateReported,change
VANGUARD GROUP INC,15605872,2025-09-30,6703
"BlackRock, Inc.",11725777,2025-09-30,-370046
"Aristotle Capital Management, LLC",9136069,2025-09-30,-9375
BLACKHILL CAPITAL INC,7701571,2025-09-30,-24000
STATE STREET CORP,6139477,2025-09-30,147780
FMR LLC,3937433,2025-09-30,2037674
"GEODE CAPITAL MANAGEMENT, LLC",3554366,2025-09-30,23715
FIRST TRUST ADVISORS LP,2269461,2025-09-30,532995
"D. E. Shaw & Co., Inc.",1869686,2025-09-30,-117827
UBS ASSET MANAGEMENT AMERICAS INC,1788526,2025-09-30,-159669
NORTHERN TRUST CORP,1746440,2025-09-30,-30083
Invesco Ltd.,1574558,2025-09-30,-167081
DIMENSIONAL FUND ADVISORS LP,1463811,2025-09-30,-1119
Boston Partners,1304657,2025-09-30,1304657
JPMORGAN CHASE & CO,1221134,2025-09-30,-35600
MORGAN STANLEY,1129831,2025-09-30,-353323
UBS Group AG,1094336,2025-09-30,263027
"Nuveen, LLC",1016906,2025-09-30,465353
"Leonard Green & Partners, L.P.",1000000,2025-09-30,-2224030
PRINCIPAL FINANCIAL GROUP INC,997414,2025-09-30,231489
GOLDMAN SACHS GROUP INC,941392,2025-09-30,333052
NORDEA INVESTMENT MANAGEMENT AB,883031,2025-09-30,66855
Bank of New York Mellon Corp,864174,2025-09-30,-28114
VOYA INVESTMENT MANAGEMENT LLC,861236,2025-09-30,558311
CAPTRUST FINANCIAL ADVISORS,847122,2025-09-30,28346
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,768390,2025-09-30,-322421
Legal & General Group Plc,750644,2025-09-30,10096
RENAISSANCE TECHNOLOGIES LLC,685100,2025-09-30,-192900
DEUTSCHE BANK AG\,622268,2025-09-30,25809
VICTORY CAPITAL MANAGEMENT INC,600526,2025-09-30,453214
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,594015,2025-09-30,-211376
"JACOBS LEVY EQUITY MANAGEMENT, INC",544437,2025-09-30,-80629
Amundi,522463,2025-09-30,-469720
WELLINGTON MANAGEMENT GROUP LLP,478072,2025-09-30,466804
Qube Research & Technologies Ltd,474446,2025-09-30,-267688
Robeco Institutional Asset Management B.V.,449320,2025-09-30,-142370
"ASSETMARK, INC",446971,2025-09-30,7430
ROYAL BANK OF CANADA,442844,2025-09-30,124759
AMERICAN CENTURY COMPANIES INC,424288,2025-09-30,-19877
TRUIST FINANCIAL CORP,410573,2025-09-30,31681
"Alyeska Investment Group, L.P.",392187,2025-09-30,35493
ENVESTNET ASSET MANAGEMENT INC,387163,2025-09-30,18752
BANK OF AMERICA CORP /DE/,362276,2025-09-30,-37342
National Pension Service,358003,2025-09-30,33563
Swiss National Bank,354500,2025-09-30,-19400
"Clark Capital Management Group, Inc.",339864,2025-09-30,-55802
BNP Paribas Asset Management Holding S.A.,331293,2025-09-30,-26698
Boston Trust Walden Corp,327950,2025-09-30,-22181
BARCLAYS PLC,311127,2025-09-30,-60517
"Sumitomo Mitsui Trust Holdings, Inc.",293450,2025-09-30,-345
RAYMOND JAMES FINANCIAL INC,289593,2025-09-30,52515
WELLS FARGO & COMPANY/MN,287936,2025-09-30,1654
HSBC HOLDINGS PLC,283587,2025-09-30,-87228
"CBOE Vest Financial, LLC",282503,2025-09-30,80044
SCHRODER INVESTMENT MANAGEMENT GROUP,270053,2025-09-30,7346
CITADEL ADVISORS LLC,254029,2025-09-30,95023
"Select Equity Group, L.P.",253021,2025-09-30,-13719
"Advisors Capital Management, LLC",244254,2025-09-30,4370
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",244042,2025-09-30,11487
RHUMBLINE ADVISERS,243832,2025-09-30,2585
PRICE T ROWE ASSOCIATES INC /MD/,240693,2025-09-30,-53966
"BNP PARIBAS ARBITRAGE, SNC",238020,2025-09-30,-9122
FRANKLIN RESOURCES INC,236484,2025-09-30,-39968
"Glenmede Investment Management, LP",233807,2025-09-30,-23576
Man Group plc,221948,2025-09-30,-172362
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,220439,2025-09-30,6695
Quantinno Capital Management LP,215677,2025-09-30,87900
"Moran Wealth Management, LLC",212664,2025-09-30,-10370
"REIK & CO., LLC",211941,2025-09-30,0
BALYASNY ASSET MANAGEMENT L.P.,209013,2025-09-30,-203063
"Russell Investments Group, Ltd.",198625,2025-09-30,1031
"Modera Wealth Management, LLC",193743,2025-09-30,-9545
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,185404,2025-09-30,728
"Gotham Asset Management, LLC",184595,2025-09-30,12871
"Edgemoor Investment Advisors, Inc.",177267,2025-09-30,-2172
Mitsubishi UFJ Trust & Banking Corp,177055,2025-09-30,-63832
SYSTEMATIC FINANCIAL MANAGEMENT LP,170489,2025-09-30,-1803
JUPITER ASSET MANAGEMENT LTD,162531,2025-09-30,-192076
LOGAN CAPITAL MANAGEMENT INC,160395,2025-09-30,5111
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,153869,2025-09-30,148965
AQR CAPITAL MANAGEMENT LLC,147016,2025-09-30,-35473
Achmea Investment Management B.V.,146321,2025-09-30,-16931
Rodgers Brothers Inc.,139770,2025-09-30,-4495
"Brandywine Global Investment Management, LLC",137650,2025-09-30,57351
ACADIAN ASSET MANAGEMENT LLC,137159,2025-09-30,-2230
AXA Investment Managers S.A.,136141,2025-09-30,136141
MCRAE CAPITAL MANAGEMENT INC,134346,2025-09-30,-7000
INVESTMENT HOUSE LLC,133612,2025-09-30,424
"HS Management Partners, LLC",132417,2025-09-30,-125890
Treasurer of the State of North Carolina,131669,2025-09-30,-8949
"First Long Island Investors, LLC",131604,2025-09-30,-659
PACIFIC HEIGHTS ASSET MANAGEMENT LLC,130000,2025-09-30,20000
GREAT WEST LIFE ASSURANCE CO /CAN/,127835,2025-09-30,-3758
ALLIANCEBERNSTEIN L.P.,127269,2025-09-30,-790
VIRGINIA RETIREMENT SYSTEMS ET AL,126200,2025-09-30,700
TEACHER RETIREMENT SYSTEM OF TEXAS,124180,2025-09-30,3122
abrdn plc,121896,2025-09-30,73052
Zurcher Kantonalbank (Zurich Cantonalbank),121447,2025-09-30,4708
"NISA INVESTMENT ADVISORS, LLC",120695,2025-09-30,25883
AMERIPRISE FINANCIAL INC,119586,2025-09-30,5211
Aware Super Pty Ltd as trustee of Aware Super,117064,2025-09-30,0
"CI Private Wealth, LLC",117019,2025-09-30,2741
"PNC FINANCIAL SERVICES GROUP, INC.",113062,2025-09-30,-422
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,112164,2025-09-30,-16234
WINMILL & CO. INC,111994,2025-09-30,0
BANK OF MONTREAL /CAN/,110549,2025-09-30,12600
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,109223,2025-09-30,-6453
"Hook Mill Capital Partners, LP",109074,2025-09-30,-111548
"Linscomb & Williams, Inc.",108453,2025-09-30,-2094
Pictet Asset Management Holding SA,104936,2025-09-30,7355
AVIVA PLC,103822,2025-09-30,9006
Handelsbanken Fonder AB,103820,2025-09-30,73100
BI Asset Management Fondsmaeglerselskab A/S,99322,2025-09-30,-29860
CITIGROUP INC,98001,2025-09-30,-19978
STATE OF WISCONSIN INVESTMENT BOARD,94804,2025-09-30,11727
Illinois Municipal Retirement Fund,89865,2025-09-30,-11791
"HighTower Advisors, LLC",88331,2025-09-30,1467
FORSTA AP-FONDEN,83500,2025-09-30,25100
"ADVISOR GROUP HOLDINGS, INC.",82813,2025-09-30,31750
"SG Americas Securities, LLC",82419,2025-09-30,-35952
Korea Investment CORP,82413,2025-09-30,1088
Universal- Beteiligungs- und Servicegesellschaft mbH,78980,2025-09-30,-9627
THOMAS STORY & SON LLC,78792,2025-09-30,-10162
LPL Financial LLC,76321,2025-09-30,4232
Distillate Capital Partners LLC,75312,2025-09-30,-1033
NEW YORK STATE COMMON RETIREMENT FUND,75295,2025-09-30,-4289
MERITAGE PORTFOLIO MANAGEMENT,74983,2025-09-30,-20136
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",74084,2025-09-30,-683
INGALLS & SNYDER LLC,71633,2025-09-30,273
PRUDENTIAL FINANCIAL INC,71130,2025-09-30,-9064
Hudson Bay Capital Management LP,70294,2025-09-30,8096
"Ensign Peak Advisors, Inc",68633,2025-09-30,3200
KLP KAPITALFORVALTNING AS,67400,2025-09-30,-21300
"Chevy Chase Trust Holdings, LLC",62772,2025-09-30,-2214
"ExodusPoint Capital Management, LP",61255,2025-09-30,20585
SEI INVESTMENTS CO,61082,2025-09-30,-4967
US BANCORP \DE\,60393,2025-09-30,-268
CARY STREET PARTNERS FINANCIAL LLC,56087,2025-09-30,-431
"Sequoia Financial Advisors, LLC",56083,2025-09-30,4025
GRACE & WHITE INC /NY,55430,2025-09-30,-150
ROYAL LONDON ASSET MANAGEMENT LTD,54749,2025-09-30,12721
"Fisher Asset Management, LLC",54447,2025-09-30,-1820
"Asset Management One Co., Ltd.",53636,2025-09-30,-37
Hood River Capital Management LLC,53451,2025-09-30,2843
"Coston, McIsaac & Partners",52652,2025-09-30,-1266
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",52455,2025-09-30,-5685
AustralianSuper Pty Ltd,52375,2025-09-30,52375
"ADAGE CAPITAL PARTNERS GP, L.L.C.",52000,2025-09-30,-208600
Cerity Partners LLC,51104,2025-09-30,-17431
"DIVIDEND ASSETS CAPITAL, LLC",50069,2025-09-30,3996
"NICHOLAS COMPANY, INC.",50024,2025-09-30,-10
Sienna Gestion,47651,2025-09-30,47651
PRUDENTIAL PLC,47537,2025-09-30,-8200
NOMURA ASSET MANAGEMENT CO LTD,47431,2025-09-30,-12549
MILLENNIUM MANAGEMENT LLC,46924,2025-09-30,-12473
Mn Services Vermogensbeheer B.V.,46200,2025-09-30,0
"COMMONWEALTH EQUITY SERVICES, LLC",45572,2025-09-30,-10792
"Glassy Mountain Advisors, Inc.",45387,2025-09-30,-430
DANSKE BANK A/S,45302,2025-09-30,-6600
TORONTO DOMINION BANK,45276,2025-09-30,-4709
"Kensington Investment Counsel, LLC",44952,2025-09-30,-1231
"Radnor Capital Management, LLC",44885,2025-09-30,-1280
MACQUARIE GROUP LTD,44682,2025-09-30,20820
La Banque Postale Asset Management SA,44367,2025-09-30,306
"Resona Asset Management Co.,Ltd.",43753,2025-09-30,-2617
EVEXIA WEALTH LLC,43289,2025-09-30,-5201
"State of Tennessee, Treasury Department",42879,2025-09-30,5343
TD ASSET MANAGEMENT INC,42841,2025-09-30,-2150
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,42537,2025-09-30,281
State of New Jersey Common Pension Fund D,42503,2025-09-30,823
NATIONAL BANK OF CANADA /FI/,42465,2025-09-30,-46067
Cetera Investment Advisers,41727,2025-09-30,2836
STATE OF MICHIGAN RETIREMENT SYSTEM,41000,2025-09-30,-100
Lansforsakringar Fondforvaltning AB (publ),40809,2025-09-30,4604
"Telos Capital Management, Inc.",40630,2025-09-30,0
"Goelzer Investment Management, Inc.",40129,2025-09-30,-432
"MARSHALL WACE, LLP",39883,2025-09-30,39883
"Rakuten Investment Management, Inc.",38372,2025-09-30,38372
"Pathstone Holdings, LLC",38308,2025-09-30,-304
"JGP Wealth Management, LLC",38281,2025-09-30,27337
"Hamilton Point Investment Advisors, LLC",38103,2025-09-30,-86
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,37799,2025-09-30,1599
Creative Planning,37124,2025-09-30,4094
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,37023,2025-09-30,-28619
"Dana Investment Advisors, Inc.",36431,2025-09-30,-2799
Arizona State Retirement System,36196,2025-09-30,96
Skandinaviska Enskilda Banken AB (publ),36114,2025-09-30,-34939
HRT FINANCIAL LP,35646,2025-09-30,31659
"Promethos Capital, LLC",35630,2025-09-30,10805
B & T Capital Management DBA Alpha Capital Management,35227,2025-09-30,-671
VAN ECK ASSOCIATES CORP,35040,2025-09-30,1156
Railway Pension Investments Ltd,34900,2025-09-30,-10200
Impax Asset Management Group plc,34039,2025-09-30,21165
FIL Ltd,33661,2025-09-30,26310
Capital World Investors,33636,2025-09-30,16427
Seascape Capital Management,33626,2025-09-30,250
Vinva Investment Management Ltd,33213,2025-09-30,-3601
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",32858,2025-09-30,-1826
SFE Investment Counsel,31740,2025-09-30,-90
"Colony Group, LLC",31726,2025-09-30,-1501
"Beacon Pointe Advisors, LLC",31532,2025-09-30,4574
"MetLife Investment Management, LLC",31277,2025-09-30,-775
Czech National Bank,31239,2025-09-30,1189
"LEVEL FOUR ADVISORY SERVICES, LLC",31224,2025-09-30,-3749
"Bell & Brown Wealth Advisors, LLC",30836,2025-09-30,-172
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",29882,2025-09-30,3203
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,29536,2025-09-30,-616
"CapWealth Advisors, LLC",29509,2025-09-30,-768
"Vanguard Personalized Indexing Management, LLC",29315,2025-09-30,-58
"State of Alaska, Department of Revenue",29211,2025-09-30,-578
"Tabor Asset Management, LP",28577,2025-09-30,-10007
"BOOTHBAY FUND MANAGEMENT, LLC",28445,2025-09-30,-28659
Lakewood Asset Management LLC,28243,2025-09-30,-105
ODDO BHF ASSET MANAGEMENT SAS,28219,2025-09-30,10090
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",28082,2025-09-30,-20881
Cumberland Partners Ltd,28060,2025-09-30,28060
"NATIXIS ADVISORS, L.P.",27844,2025-09-30,984
Elo Mutual Pension Insurance Co,27521,2025-09-30,9233
"Roberts Wealth Advisors, LLC",27109,2025-09-30,-6
"Bank Julius Baer & Co. Ltd, Zurich",26754,2025-09-30,1891
CIBC WORLD MARKET INC.,26532,2025-09-30,-5931
Retirement Systems of Alabama,26238,2025-09-30,-143
LAZARD ASSET MANAGEMENT LLC,26047,2025-09-30,5799
"Pacer Advisors, Inc.",25933,2025-09-30,-457268
CREDIT AGRICOLE S A,25677,2025-09-30,25677
"BOKF, NA",25278,2025-09-30,-300
IFM Investors Pty Ltd,24880,2025-09-30,487
MAVERICK CAPITAL LTD,24836,2025-09-30,5442
"Brinker Capital Investments, LLC",24822,2025-09-30,356
Alberta Investment Management Corp,24600,2025-09-30,-2700
AMALGAMATED BANK,24325,2025-09-30,-328
"Martin Capital Advisors, LLP",24060,2025-09-30,3
"Cunning Capital Partners, LP",23863,2025-09-30,0
Centric Wealth Management,23842,2025-09-30,-56
Palumbo Wealth Management LLC,23603,2025-09-30,23603
ROMANO BROTHERS AND COMPANY,23590,2025-09-30,-400
"Empowered Funds, LLC",23557,2025-09-30,-25028
BLAIR WILLIAM & CO/IL,23469,2025-09-30,-164
Allianz Asset Management GmbH,23396,2025-09-30,-12871
COLDSTREAM CAPITAL MANAGEMENT INC,23225,2025-09-30,200
Daiwa Securities Group Inc.,23027,2025-09-30,-384
DnB Asset Management AS,22763,2025-09-30,1940
"Great Diamond Partners, LLC",21743,2025-09-30,307
ProShare Advisors LLC,21615,2025-09-30,-3524
LeClair Wealth Partners LLC,21594,2025-09-30,0
M&T BANK CORP,21575,2025-09-30,-1397
"REGATTA CAPITAL GROUP, LLC",21371,2025-09-30,360
WETHERBY ASSET MANAGEMENT INC,21282,2025-09-30,-131
Kerusso Capital Management LLC,20843,2025-09-30,9820
"Mariner, LLC",20841,2025-09-30,-13202
"FEDERATED HERMES, INC.",20800,2025-09-30,-4079
MANNING & NAPIER ADVISORS LLC,20506,2025-09-30,-14716
Insight Inv LLC,20390,2025-09-30,-522
DekaBank Deutsche Girozentrale,20344,2025-09-30,0
"BEACON INVESTMENT ADVISORY SERVICES, INC.",20185,2025-09-30,0
"XPONANCE, INC.",20048,2025-09-30,-760
Ilmarinen Mutual Pension Insurance Co,20000,2025-09-30,0
