date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,high,adjClose,unadjustedVolume,vwap,changePercent,changeOverTime,open,close,volume,low
2026-01-28,"January 28, 26",0.22,0.22,2026-01-28,2026-02-04,2025-12-09,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,1.15,277.08,276.4,629200,274.6225,0.4178,0.004178,275.25,276.4,629200,269.76
2025-12-31,"December 31, 25",,,,,,-1.16,277.07,275.14,397740,275.8475,-0.41983,-0.0041983,276.3,275.14,397740,274.88
2025-12-30,"December 30, 25",,,,,,2.33,277.75,276.87,356633,275.765,0.84869,0.0084869,274.54,276.87,356633,273.9
2025-12-29,"December 29, 25",,,,,,0.9,276.37,275.6,305121,274.8,0.32763,0.0032763,274.7,275.6,305121,272.53
2025-12-26,"December 26, 25",,,,,,-1.89,277.5,274.3,344500,275.205,-0.68431,-0.0068431,276.19,274.3,344500,272.83
2025-12-24,"December 24, 25",,,,,,-2.35,279.01,276.66,203730,277.59,-0.84226,-0.0084226,279.01,276.66,203730,275.68
2025-12-23,"December 23, 25",,,,,,2.15,277.83,277.49,688600,275.885,0.78085,0.0078085,275.34,277.49,688600,272.88
2025-12-22,"December 22, 25",,,,,,3.36,278.43,274.89,560739,273.7175,1.24,0.0124,271.53,274.89,560739,270.02
2025-12-19,"December 19, 25",,,,,,2.87,272.74,272.54,2116931,270.85,1.06,0.0106,269.67,272.54,2116931,268.45
2025-12-18,"December 18, 25",,,,,,-0.64,271.41,268.66,748830,269.0075,-0.23765,-0.0023765,269.3,268.66,748830,266.66
2025-12-17,"December 17, 25",,,,,,3.9,275.56,269.13,710900,268.71,1.47,0.0147,265.23,269.13,710900,264.92
2025-12-16,"December 16, 25",,,,,,-4.8,273.13,266.44,734735,269.04,-1.77,-0.0177,271.24,266.44,734735,265.35
2025-12-15,"December 15, 25",,,,,,3.89,272.8,271.86,692705,269.65,1.45,0.0145,267.97,271.86,692705,265.97
2025-12-12,"December 12, 25",,,,,,-4.7,272.97,267.56,839200,269.545,-1.73,-0.0173,272.26,267.56,839200,265.39
2025-12-11,"December 11, 25",,,,,,3.58,274.56,272.54,688206,270.99,1.33,0.0133,268.96,272.54,688206,267.9
2025-12-10,"December 10, 25",,,,,,-0.51,268.68,266.96,683912,266.6225,-0.19068,-0.0019068,267.47,266.96,683912,263.38
2025-12-09,"December 09, 25",,,,,,-2.57,271.97,266.07,513011,268.1275,-0.95667,-0.0095667,268.64,266.07,513011,265.83
2025-12-08,"December 08, 25",,,,,,-10.26,281.12,269.08,660526,274.4375,-3.67,-0.0367,279.34,269.08,660526,268.21
2025-12-05,"December 05, 25",,,,,,-1.78,283.52,280.23,645703,280.9975,-0.63118,-0.0063118,282.01,280.23,645703,278.23
2025-12-04,"December 04, 25",,,,,,-2.73,285.54,281.77,788447,281.9625,-0.95958,-0.0095958,284.5,281.77,788447,276.04
2025-12-03,"December 03, 25",,,,,,8.55,285.4,284.31,856418,279.875,3.1,0.031,275.76,284.31,856418,274.03
2025-12-02,"December 02, 25",,,,,,2.43,275.06,273.03,546500,271.9425,0.898,0.00898,270.6,273.03,546500,269.08
2025-12-01,"December 01, 25",,,,,,-1.32,279.48,274.14,546654,275.76,-0.4792,-0.004792,275.46,274.14,546654,273.96
2025-11-28,"November 28, 25",,,,,,-1.24,278.55,277.25,293100,277.0575,-0.44526,-0.0044526,278.49,277.25,293100,273.94
2025-11-26,"November 26, 25",,,,,,-1.25,281.8,277.14,441187,278.0525,-0.44901,-0.0044901,278.39,277.14,441187,274.88
2025-11-25,"November 25, 25",,,,,,2.66,281.33,280.84,579427,279.0075,0.95622,0.0095622,278.18,280.84,579427,275.68
2025-11-24,"November 24, 25",,,,,,3.56,276.24,273.99,901700,271.9775,1.32,0.0132,270.43,273.99,901700,267.25
2025-11-21,"November 21, 25",,,,,,11.27,272.06,271.07,894012,265.445,4.34,0.0434,259.8,271.07,894012,258.85
2025-11-20,"November 20, 25",,,,,,-1.73,260.45,257.77,1315133,257.76,-0.66667,-0.0066667,259.5,257.77,1315133,253.32
2025-11-19,"November 19, 25",,,,,,-1.97,260.69,257.9,333106,258.6525,-0.75807,-0.0075807,259.87,257.9,333106,256.15
2025-11-18,"November 18, 25",,,,,,-0.12,262.51,260.14,480100,260.06,-0.04610774,-0.0004610774,260.26,260.14,480100,257.33
2025-11-17,"November 17, 25",,,,,,1.2,266.26,262.41,626900,262.4925,0.4594,0.004594,261.21,262.41,626900,260.09
2025-11-14,"November 14, 25",,,,,,-3.45,265.5,261.36,738400,262.65,-1.3,-0.013,264.81,261.36,738400,258.93
2025-11-13,"November 13, 25",,,,,,-2.9,274.64,266.66,581032,269.2675,-1.08,-0.0108,269.56,266.66,581032,266.21
2025-11-12,"November 12, 25",0.22,0.22,2025-11-12,2025-11-19,2025-07-23,-3,279.75,273.85,595700,275.4075,-1.08,-0.0108,276.85,273.85,595700,271.18
2025-11-11,"November 11, 25",,,,,,0.1,280.11,277.19,718448,277.8075,0.03606073,0.0003606073,277.31,277.41,718448,276.4
2025-11-10,"November 10, 25",,,,,,4.19,276.64,275.25,574746,273.41,1.54,0.0154,271.28,275.47,574746,270.25
2025-11-07,"November 07, 25",,,,,,-5.93,280.8,270.83,856213,274.24,-2.14,-0.0214,276.97,271.04,856213,268.15
2025-11-06,"November 06, 25",,,,,,-6.7,285.55,275.12,1038400,276.3525,-2.38,-0.0238,282.04,275.34,1038400,262.48
2025-11-05,"November 05, 25",,,,,,-1.6,287.86,283.32,529400,284.2175,-0.56113,-0.0056113,285.14,283.54,529400,280.33
2025-11-04,"November 04, 25",,,,,,8.56,287.98,286.71,895022,282.4725,3.07,0.0307,278.38,286.94,895022,276.59
2025-11-03,"November 03, 25",,,,,,-0.06,280.58,279.56,593000,278.5475,-0.02144082,-0.0002144082,279.84,279.78,593000,273.99
2025-10-31,"October 31, 25",,,,,,6.24,284.31,281.85,586247,278.8,2.26,0.0226,275.83,282.07,586247,272.99
2025-10-30,"October 30, 25",,,,,,-6.39,287.27,278.32,693148,282.165,-2.24,-0.0224,284.93,278.54,693148,277.92
2025-10-29,"October 29, 25",,,,,,0.51,288.36,284.63,479940,284.9825,0.17936,0.0017936,284.35,284.86,479940,282.36
2025-10-28,"October 28, 25",,,,,,-1.54,287.29,283.27,749100,284.2025,-0.54029,-0.0054029,285.03,283.49,749100,281
2025-10-27,"October 27, 25",,,,,,-12.77,301,286.99,1067900,292.625,-4.26,-0.0426,299.99,287.22,1067900,282.29
2025-10-24,"October 24, 25",,,,,,-10.47,310.69,297.23,819500,303.325,-3.4,-0.034,307.94,297.47,819500,297.2
2025-10-23,"October 23, 25",,,,,,6.19,322.34,307.01,1898854,307.6625,2.06,0.0206,301.06,307.25,1898854,300
2025-10-22,"October 22, 25",,,,,,-0.38,283.54,276.78,1213746,278.485,-0.137,-0.00137,277.38,277,1213746,276.02
2025-10-21,"October 21, 25",,,,,,1.81,282.02,279.17,795100,278.355,0.65206,0.0065206,277.58,279.39,795100,274.43
2025-10-20,"October 20, 25",,,,,,3.6,275.11,274.68,485300,273.055,1.33,0.0133,271.3,274.9,485300,270.91
2025-10-17,"October 17, 25",,,,,,5.92,270.61,270.39,685134,267.6425,2.24,0.0224,264.68,270.6,685134,264.68
2025-10-16,"October 16, 25",,,,,,2.34,269.42,266.98,771400,265.395,0.88352,0.0088352,264.85,267.19,771400,260.12
2025-10-15,"October 15, 25",,,,,,1.61,266.35,262.74,605200,262.795,0.61606,0.0061606,261.34,262.95,605200,260.54
2025-10-14,"October 14, 25",,,,,,-0.44,263.22,260.96,520742,261.645,-0.16819,-0.0016819,261.61,261.17,520742,260.58
2025-10-13,"October 13, 25",,,,,,0.05,265.66,262.26,454600,263.1725,0.01905343,0.0001905343,262.42,262.47,454600,262.14
2025-10-10,"October 10, 25",,,,,,-3.15,264.92,261.56,595229,262.2775,-1.19,-0.0119,264.92,261.77,595229,257.5
2025-10-09,"October 09, 25",,,,,,-4.17,269.5,263.37,487411,266.0625,-1.56,-0.0156,267.75,263.58,487411,263.42
2025-10-08,"October 08, 25",,,,,,1.11,268.14,267.72,584966,266.705,0.41601,0.0041601,266.82,267.93,584966,263.93
2025-10-07,"October 07, 25",,,,,,-3.17,269.83,265.76,497610,267.35,-1.18,-0.0118,269.14,265.97,497610,264.46
2025-10-06,"October 06, 25",,,,,,-3.37,271.49,267.86,586436,269.3325,-1.24,-0.0124,271.44,268.07,586436,266.33
2025-10-03,"October 03, 25",,,,,,-1.09,277.08,272.34,532434,273.52,-0.39832,-0.0039832,273.65,272.56,532434,270.79
2025-10-02,"October 02, 25",,,,,,3.64,274.48,272.94,562447,271.325,1.35,0.0135,269.52,273.16,562447,268.14
