date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,declarationDate,adjDividend,dividend,recordDate
2026-01-02,23.55,24.42,23.31,24.27,24.27,10052726,10052726,0.72,3.06,23.8875,"January 02, 26",0.0306,,,,,
2025-12-31,23.46,23.72,23.3,23.38,23.38,8939827,8939827,-0.08,-0.34101,23.465,"December 31, 25",-0.0034101,,,,,
2025-12-30,23.3,23.62,23.24,23.51,23.51,7490500,7490500,0.21,0.90129,23.4175,"December 30, 25",0.0090129,,,,,
2025-12-29,23.19,23.36,22.98,23.35,23.35,10431040,10431040,0.16,0.68995,23.22,"December 29, 25",0.0068995,,,,,
2025-12-26,23.05,23.31,22.87,23.29,23.29,8930534,8930534,0.24,1.04,23.13,"December 26, 25",0.0104,,,,,
2025-12-24,22.95,23.08,22.87,23.06,23.06,3448734,3448734,0.11,0.4793,22.99,"December 24, 25",0.004793,,,,,
2025-12-23,23.26,23.4,22.77,22.9,22.9,7884500,7884500,-0.36,-1.55,23.0825,"December 23, 25",-0.0155,,,,,
2025-12-22,23.33,23.74,23.27,23.42,23.42,10433100,10433100,0.085,0.38577,23.44,"December 22, 25",0.0038577,,,,,
2025-12-19,23.03,23.56,22.91,23.26,23.26,15644300,15644300,0.23,0.9987,23.19,"December 19, 25",0.009987,,,,,
2025-12-18,22.81,23.25,22.75,23.04,23.04,11153213,11153213,0.23,1.01,22.9625,"December 18, 25",0.0101,,,,,
2025-12-17,22.98,23.38,22.91,23.07,23.07,14084900,14084900,0.09,0.39164,23.085,"December 17, 25",0.0039164,,,,,
2025-12-16,23.21,23.25,22.52,22.84,22.84,17492001,17492001,-0.37,-1.59,22.955,"December 16, 25",-0.0159,,,,,
2025-12-15,24.02,24.24,23.11,23.45,23.45,17458900,17458900,-0.57,-2.37,23.705,"December 15, 25",-0.0237,,,,,
2025-12-12,24.7,24.89,23.93,23.97,23.97,9613329,9613329,-0.73,-2.96,24.3725,"December 12, 25",-0.0296,,,,,
2025-12-11,24.54,25.05,24.43,24.58,24.58,11607200,11607200,0.04,0.163,24.65,"December 11, 25",0.00163,,,,,
2025-12-10,23.19,24.7,23.18,24.59,24.59,11997200,11997200,1.4,6.04,23.915,"December 10, 25",0.0604,,,,,
2025-12-09,22.89,23.85,22.85,23.11,23.11,11305711,11305711,0.225,0.96112,23.175,"December 09, 25",0.0096112,,,,,
2025-12-08,22.9,23.25,22.76,22.86,22.86,11723748,11723748,-0.04,-0.17467,22.9425,"December 08, 25",-0.0017467,,,,,
