date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,declarationDate,adjDividend,dividend,recordDate
2025-12-05,23.17,23.69,22.94,22.96,22.96,9023708,9023708,-0.21,-0.90634,23.19,"December 05, 25",-0.0090634,,,,,
2025-12-04,23.85,23.93,22.75,22.87,22.87,10415800,10415800,-0.98,-4.11,23.35,"December 04, 25",-0.0411,,,,,
2025-12-03,23.98,24.47,23.74,23.76,23.76,10524743,10524743,-0.22,-0.91743,23.9875,"December 03, 25",-0.0091743,,,,,
2025-12-02,23.87,24.09,23.41,23.86,23.86,10733800,10733800,-0.01,-0.04189359,23.8075,"December 02, 25",-0.0004189359,,,,,
2025-12-01,23.6,24.29,23.57,23.84,23.84,11456100,11456100,0.24,1.02,23.825,"December 01, 25",0.0102,,,,,
2025-11-28,23.73,24.02,23.59,23.85,23.85,7253900,7253900,0.12,0.50569,23.7975,"November 28, 25",0.0050569,2025-12-12,2025-10-09,0.35,0.35,2025-11-28
2025-11-26,23.22,24.1,23.2,23.91,23.56,10506223,10506223,0.69,2.97,23.6075,"November 26, 25",0.0297,,,,,
2025-11-25,22.76,23.35,22.63,23.2,22.86,14209700,14209700,0.44,1.93,22.985,"November 25, 25",0.0193,,,,,
2025-11-24,22.2,22.57,21.95,22.53,22.2,15713700,15713700,0.33,1.49,22.3125,"November 24, 25",0.0149,,,,,
2025-11-21,21.28,22.45,21.24,22.2,21.88,19595100,19595100,0.92,4.32,21.7925,"November 21, 25",0.0432,,,,,
2025-11-20,21.45,21.76,20.93,20.95,20.64,12657221,12657221,-0.495,-2.33,21.2725,"November 20, 25",-0.0233,,,,,
2025-11-19,21.88,21.99,21.16,21.31,21,13044145,13044145,-0.57,-2.61,21.585,"November 19, 25",-0.0261,,,,,
2025-11-18,21.57,22.01,21.25,21.85,21.53,12329318,12329318,0.28,1.3,21.67,"November 18, 25",0.013,,,,,
2025-11-17,22.82,22.82,21.62,21.67,21.35,13080811,13080811,-1.15,-5.04,22.2325,"November 17, 25",-0.0504,,,,,
2025-11-14,22.85,23.18,22.54,22.93,22.59,12069100,12069100,0.08,0.35011,22.875,"November 14, 25",0.0035011,,,,,
2025-11-13,22.15,23.16,22.07,23.11,22.77,18599300,18599300,0.96,4.33,22.6225,"November 13, 25",0.0433,,,,,
2025-11-12,22.42,22.69,22.09,22.18,21.86,8406142,8406142,-0.24,-1.07,22.345,"November 12, 25",-0.0107,,,,,
2025-11-11,22.23,22.49,22.07,22.31,21.98,9556900,9556900,0.08,0.35987,22.275,"November 11, 25",0.0035987,,,,,
2025-11-10,22.7,22.75,21.7,22.1,21.78,14784800,14784800,-0.6,-2.64,22.3125,"November 10, 25",-0.0264,,,,,
2025-11-07,22.2,22.48,21.88,22.29,21.96,13745941,13745941,0.09,0.40541,22.2125,"November 07, 25",0.0040541,,,,,
2025-11-06,22.83,22.94,22.22,22.22,21.89,15504302,15504302,-0.61,-2.67,22.5525,"November 06, 25",-0.0267,,,,,
2025-11-05,22.71,23.22,22.62,22.77,22.44,12998600,12998600,0.06,0.2642,22.83,"November 05, 25",0.002642,,,,,
2025-11-04,22.84,22.97,22.56,22.59,22.26,12009900,12009900,-0.25,-1.09,22.74,"November 04, 25",-0.0109,,,,,
2025-11-03,23.59,23.69,22.92,23.23,22.89,13200131,13200131,-0.36,-1.53,23.3575,"November 03, 25",-0.0153,,,,,
2025-10-31,23.92,24.09,23.6,23.85,23.5,13052718,13052718,-0.07,-0.29264,23.865,"October 31, 25",-0.0029264,,,,,
2025-10-30,24.37,24.5,23.78,23.8,23.45,11446629,11446629,-0.57,-2.34,24.1125,"October 30, 25",-0.0234,,,,,
2025-10-29,25.31,25.65,24.74,24.86,24.5,12570713,12570713,-0.45,-1.78,25.14,"October 29, 25",-0.0178,,,,,
2025-10-28,25.52,25.54,24.79,25.38,25.01,11767542,11767542,-0.14,-0.54859,25.3075,"October 28, 25",-0.0054859,,,,,
2025-10-27,25,26.05,24.95,25.73,25.35,17744703,17744703,0.73,2.92,25.4325,"October 27, 25",0.0292,,,,,
2025-10-24,24.74,24.9,24.2,24.81,24.45,14496700,14496700,0.07,0.28294,24.6625,"October 24, 25",0.0028294,,,,,
2025-10-23,23.46,24.72,23.35,24.51,24.15,33606400,33606400,1.05,4.48,24.01,"October 23, 25",0.0448,,,,,
2025-10-22,21.75,22.01,21.57,21.7,21.38,12026100,12026100,-0.05,-0.22989,21.7575,"October 22, 25",-0.0022989,,,,,
2025-10-21,21.69,22.07,21.57,21.75,21.43,10565142,10565142,0.06,0.27663,21.77,"October 21, 25",0.0027663,,,,,
2025-10-20,21.99,22.09,21.44,21.63,21.31,10342700,10342700,-0.36,-1.64,21.7875,"October 20, 25",-0.0164,,,,,
2025-10-17,21.9,22.05,21.68,21.89,21.57,9111249,9111249,-0.01,-0.0456621,21.88,"October 17, 25",-0.000456621,,,,,
2025-10-16,22.31,22.47,21.57,21.9,21.58,10929900,10929900,-0.41,-1.84,22.0625,"October 16, 25",-0.0184,,,,,
2025-10-15,22.19,22.57,21.9,22.2,21.87,10597900,10597900,0.01,0.04506534,22.215,"October 15, 25",0.0004506534,,,,,
2025-10-14,21.02,22.09,20.89,21.92,21.6,9683337,9683337,0.905,4.28,21.48,"October 14, 25",0.0428,,,,,
2025-10-13,21,21.72,21,21.42,21.11,12276700,12276700,0.42,2,21.285,"October 13, 25",0.02,,,,,
2025-10-10,22.22,22.35,20.65,20.65,20.35,18840800,18840800,-1.57,-7.07,21.4675,"October 10, 25",-0.0707,,,,,
2025-10-09,22.51,22.61,21.81,22.08,21.76,15428416,15428416,-0.43,-1.91,22.2525,"October 09, 25",-0.0191,,,,,
2025-10-08,22.51,22.95,22.44,22.6,22.27,10240630,10240630,0.09,0.39982,22.625,"October 08, 25",0.0039982,,,,,
2025-10-07,23.54,23.67,22.25,22.5,22.17,19270037,19270037,-1.04,-4.42,22.99,"October 07, 25",-0.0442,,,,,
2025-10-06,23.83,23.89,23.3,23.42,23.08,9417114,9417114,-0.41,-1.72,23.61,"October 06, 25",-0.0172,,,,,
2025-10-03,23.71,24.04,23.4,23.82,23.47,8354634,8354634,0.11,0.46394,23.7425,"October 03, 25",0.0046394,,,,,
2025-10-02,23.13,23.97,22.95,23.69,23.34,17945224,17945224,0.56,2.42,23.435,"October 02, 25",0.0242,,,,,
2025-10-01,22.9,23.22,22.82,23.05,22.71,12531501,12531501,0.15,0.65502,22.9975,"October 01, 25",0.0065502,,,,,
2025-09-30,22.78,22.96,22.31,22.93,22.59,14368700,14368700,0.15,0.65847,22.745,"September 30, 25",0.0065847,,,,,
2025-09-29,23.24,23.25,22.72,22.89,22.55,11803814,11803814,-0.35,-1.51,23.025,"September 29, 25",-0.0151,,,,,
2025-09-26,22.43,23.2,22.35,22.96,22.62,12623800,12623800,0.53,2.36,22.735,"September 26, 25",0.0236,,,,,
2025-09-25,23.02,23.03,22.16,22.2,21.87,16437600,16437600,-0.82,-3.56,22.6025,"September 25, 25",-0.0356,,,,,
2025-09-24,22.97,23.38,22.91,23.13,22.79,11913600,11913600,0.16,0.69656,23.0975,"September 24, 25",0.0069656,,,,,
2025-09-23,23.54,23.7,22.84,22.86,22.53,11016900,11016900,-0.68,-2.89,23.235,"September 23, 25",-0.0289,,,,,
2025-09-22,23.35,23.39,22.94,23.17,22.83,12901848,12901848,-0.18,-0.77088,23.2125,"September 22, 25",-0.0077088,,,,,
2025-09-19,24.15,24.15,23.35,23.49,23.15,19106700,19106700,-0.66,-2.73,23.785,"September 19, 25",-0.0273,,,,,
2025-09-18,24.81,24.99,23.89,24.11,23.76,15350441,15350441,-0.7,-2.82,24.45,"September 18, 25",-0.0282,,,,,
2025-09-17,24.6,25.77,24.19,24.54,24.18,14775207,14775207,-0.06,-0.2439,24.775,"September 17, 25",-0.002439,,,,,
2025-09-16,24.4,24.88,24.19,24.48,24.12,11070800,11070800,0.08,0.32787,24.4875,"September 16, 25",0.0032787,,,,,
2025-09-15,25.22,25.38,24.05,24.17,23.82,13192332,13192332,-1.04,-4.16,24.705,"September 15, 25",-0.0416,,,,,
2025-09-12,25,25.49,24.87,25.04,24.67,14732800,14732800,0.04,0.16,25.1,"September 12, 25",0.0016,,,,,
2025-09-11,23.66,25.14,23.66,25.02,24.65,25711723,25711723,1.36,5.75,24.37,"September 11, 25",0.0575,,,,,
2025-09-10,23.94,24.46,23.72,23.83,23.48,11492733,11492733,-0.11,-0.45948,23.9875,"September 10, 25",-0.0045948,,,,,
2025-09-09,23.85,24.36,23.7,24.14,23.79,10959400,10959400,0.295,1.22,24.0125,"September 09, 25",0.0122,,,,,
2025-09-08,24.34,24.35,23.12,23.98,23.63,15488100,15488100,-0.36,-1.48,23.9475,"September 08, 25",-0.0148,,,,,
2025-09-05,23.9,24.92,23.78,24.5,24.14,18476700,18476700,0.6,2.51,24.275,"September 05, 25",0.0251,,,,,
2025-09-04,23.76,23.99,23.2,23.91,23.56,11630400,11630400,0.15,0.63131,23.715,"September 04, 25",0.0063131,,,,,
2025-09-03,24.25,24.52,23.79,23.93,23.58,11528227,11528227,-0.32,-1.32,24.1225,"September 03, 25",-0.0132,,,,,
2025-09-02,24.23,24.75,24.07,24.41,24.05,12152500,12152500,0.18,0.74288,24.365,"September 02, 25",0.0074288,,,,,
2025-08-29,24.29,24.89,24.24,24.63,24.27,8791813,8791813,0.34,1.4,24.5125,"August 29, 25",0.014,2025-09-12,2025-07-24,0.35,0.35,2025-08-29
2025-08-28,25.06,25.06,24.29,24.57,23.87,11714200,11714200,-0.49,-1.96,24.745,"August 28, 25",-0.0196,,,,,
2025-08-27,24.5,25.08,24.41,24.74,24.04,10348234,10348234,0.24,0.97959,24.6825,"August 27, 25",0.0097959,,,,,
2025-08-26,24.81,25,24.62,24.74,24.04,8049315,8049315,-0.07,-0.28214,24.7925,"August 26, 25",-0.0028214,,,,,
2025-08-25,25,25,24.51,24.92,24.21,10012322,10012322,-0.08,-0.32,24.8575,"August 25, 25",-0.0032,,,,,
2025-08-22,23.98,25.24,23.91,25.11,24.39,20539200,20539200,1.13,4.71,24.56,"August 22, 25",0.0471,,,,,
2025-08-21,23.84,23.95,23.42,23.69,23.02,9431142,9431142,-0.15,-0.62919,23.725,"August 21, 25",-0.0062919,,,,,
2025-08-20,23.57,24.47,23.53,24.08,23.39,12660700,12660700,0.51,2.16,23.9125,"August 20, 25",0.0216,,,,,
2025-08-19,23.53,24.24,23.3,23.53,22.86,8879800,8879800,0,0,23.65,"August 19, 25",0,,,,,
2025-08-18,23.3,23.64,23.22,23.24,22.58,12231516,12231516,-0.06,-0.25751,23.35,"August 18, 25",-0.0025751,,,,,
2025-08-15,23.58,23.86,23.35,23.36,22.69,10779700,10779700,-0.22,-0.93299,23.5375,"August 15, 25",-0.0093299,,,,,
2025-08-14,22.83,23.46,22.47,23.37,22.7,11822600,11822600,0.545,2.37,23.0325,"August 14, 25",0.0237,,,,,
2025-08-13,21.81,22.99,21.71,22.92,22.27,16243315,16243315,1.11,5.09,22.3575,"August 13, 25",0.0509,,,,,
2025-08-12,20.89,22,20.82,21.71,21.09,15790031,15790031,0.82,3.93,21.355,"August 12, 25",0.0393,,,,,
2025-08-11,21.28,21.6,20.4,20.87,20.28,20712400,20712400,-0.41,-1.93,21.0375,"August 11, 25",-0.0193,,,,,
2025-08-08,21.63,21.78,21.16,21.22,20.62,11325718,11325718,-0.41,-1.9,21.4475,"August 08, 25",-0.019,,,,,
2025-08-07,21.75,22.15,21.31,21.61,20.99,12719600,12719600,-0.14,-0.64368,21.705,"August 07, 25",-0.0064368,,,,,
2025-08-06,22.62,22.78,21.25,21.3,20.69,19480800,19480800,-1.32,-5.84,21.9875,"August 06, 25",-0.0584,,,,,
2025-08-05,21.95,22.66,21.78,22.38,21.74,22028711,22028711,0.43,1.96,22.1925,"August 05, 25",0.0196,,,,,
2025-08-04,21.87,21.89,21.31,21.59,20.97,18562112,18562112,-0.28,-1.28,21.665,"August 04, 25",-0.0128,,,,,
2025-08-01,23,23.08,21.79,21.79,21.17,25059003,25059003,-1.21,-5.26,22.415,"August 01, 25",-0.0526,,,,,
2025-07-31,23.64,23.66,22.94,23.29,22.63,21303600,21303600,-0.345,-1.48,23.3825,"July 31, 25",-0.0148,,,,,
2025-07-30,25.03,25.05,23.78,23.92,23.24,16559832,16559832,-1.11,-4.43,24.445,"July 30, 25",-0.0443,,,,,
2025-07-29,25.6,25.6,24.98,25.18,24.46,13123800,13123800,-0.42,-1.64,25.34,"July 29, 25",-0.0164,,,,,
2025-07-28,25.33,26.13,24.92,25.71,24.98,17843724,17843724,0.38,1.5,25.5225,"July 28, 25",0.015,,,,,
2025-07-25,24.64,25.65,24.42,25.51,24.78,36918200,36918200,0.87,3.53,25.055,"July 25, 25",0.0353,,,,,
2025-07-24,27.19,27.6,24.37,25.07,24.36,66003500,66003500,-2.12,-7.8,26.0575,"July 24, 25",-0.078,,,,,
2025-07-23,30.21,30.88,30.02,30.37,29.5,20963336,20963336,0.16,0.52963,30.37,"July 23, 25",0.0052963,,,,,
2025-07-22,28.48,29.75,28.48,29.66,28.81,9296444,9296444,1.18,4.14,29.0925,"July 22, 25",0.0414,,,,,
2025-07-21,28.59,28.92,28.33,28.39,27.58,7026100,7026100,-0.2,-0.69955,28.5575,"July 21, 25",-0.0069955,,,,,
2025-07-18,28.65,28.74,28.1,28.34,27.53,9013200,9013200,-0.305,-1.08,28.4575,"July 18, 25",-0.0108,,,,,
2025-07-17,28.01,28.5,27.98,28.46,27.65,7623211,7623211,0.45,1.61,28.2375,"July 17, 25",0.0161,,,,,
2025-07-16,27.96,28.29,27.61,28.14,27.34,8761338,8761338,0.18,0.64378,28,"July 16, 25",0.0064378,,,,,
2025-07-15,28.67,28.85,27.94,27.99,27.19,9162900,9162900,-0.68,-2.37,28.3625,"July 15, 25",-0.0237,,,,,
2025-07-14,29.25,29.4,28.07,28.25,27.45,13284441,13284441,-1,-3.42,28.7425,"July 14, 25",-0.0342,,,,,
2025-07-11,29.62,29.82,29.12,29.55,28.71,12318808,12318808,-0.07,-0.23633,29.5275,"July 11, 25",-0.0023633,,,,,
2025-07-10,29.7,30.93,29.59,30.23,29.37,12073606,12073606,0.53,1.78,30.1125,"July 10, 25",0.0178,,,,,
2025-07-09,29.37,30.33,29.2,29.84,28.99,15427600,15427600,0.475,1.6,29.685,"July 09, 25",0.016,,,,,
2025-07-08,27.71,29.61,27.67,29.06,28.23,18326600,18326600,1.35,4.87,28.5125,"July 08, 25",0.0487,,,,,
2025-07-07,28.01,28.48,27.09,27.48,26.7,13061930,13061930,-0.53,-1.89,27.765,"July 07, 25",-0.0189,,,,,
2025-07-03,28.67,28.78,28.37,28.46,27.65,5950000,5950000,-0.21,-0.73247,28.57,"July 03, 25",-0.0073247,,,,,
2025-07-02,28.15,28.73,27.6,28.73,27.91,14120500,14120500,0.58,2.06,28.3025,"July 02, 25",0.0206,,,,,
2025-07-01,26.43,28.45,26.37,27.83,27.04,21426600,21426600,1.4,5.3,27.27,"July 01, 25",0.053,,,,,
2025-06-30,26.9,26.92,26.38,26.48,25.73,11746900,11746900,-0.42,-1.56,26.67,"June 30, 25",-0.0156,,,,,
2025-06-27,27.4,27.76,26.74,27,26.23,18629444,18629444,-0.4,-1.46,27.225,"June 27, 25",-0.0146,,,,,
2025-06-26,27.1,27.55,27,27.15,26.38,13857800,13857800,0.05,0.1845,27.2,"June 26, 25",0.001845,,,,,
2025-06-25,27.53,27.55,26.82,26.82,26.06,15726100,15726100,-0.71,-2.58,27.18,"June 25, 25",-0.0258,,,,,
2025-06-24,27.25,27.87,27.04,27.53,26.75,19116211,19116211,0.28,1.03,27.4225,"June 24, 25",0.0103,,,,,
2025-06-23,27.2,27.63,26.61,26.87,26.1,17264149,17264149,-0.33,-1.21,27.0775,"June 23, 25",-0.0121,,,,,
2025-06-20,28.52,28.61,27.52,27.76,26.97,22583000,22583000,-0.755,-2.66,28.1025,"June 20, 25",-0.0266,,,,,
2025-06-18,29.34,29.42,28.48,28.5,27.69,12211633,12211633,-0.84,-2.86,28.935,"June 18, 25",-0.0286,,,,,
2025-06-17,30.45,30.61,29.43,29.44,28.6,8850713,8850713,-1.01,-3.32,29.9825,"June 17, 25",-0.0332,,,,,
2025-06-16,30.34,30.57,29.88,30.57,29.7,10658500,10658500,0.23,0.75808,30.34,"June 16, 25",0.0075808,,,,,
2025-06-13,29.92,31.02,29.79,29.9,29.05,10271600,10271600,-0.02,-0.06684492,30.1575,"June 13, 25",-0.0006684492,,,,,
2025-06-12,30.21,30.45,29.95,30.14,29.28,6817248,6817248,-0.07,-0.23171,30.1875,"June 12, 25",-0.0023171,,,,,
2025-06-11,31.06,31.18,30.28,30.68,29.81,7842300,7842300,-0.38,-1.22,30.8,"June 11, 25",-0.0122,,,,,
2025-06-10,29.68,30.89,29.55,30.7,29.83,10985100,10985100,1.02,3.44,30.205,"June 10, 25",0.0344,,,,,
2025-06-09,28.8,29.8,28.78,29.39,28.55,11394406,11394406,0.59,2.05,29.1925,"June 09, 25",0.0205,,,,,
2025-06-06,28.35,28.85,28.31,28.55,27.74,6728400,6728400,0.2,0.70547,28.515,"June 06, 25",0.0070547,,,,,
2025-06-05,28.51,28.61,27.95,28.18,27.38,8640670,8640670,-0.33,-1.16,28.3125,"June 05, 25",-0.0116,,,,,
2025-06-04,27.85,28.33,27.69,28.28,27.47,8844742,8844742,0.43,1.54,28.0375,"June 04, 25",0.0154,,,,,
2025-06-03,27.2,28.06,26.49,27.79,27,10557600,10557600,0.59,2.17,27.385,"June 03, 25",0.0217,,,,,
2025-06-02,27.66,27.73,26.85,27.2,26.43,12390500,12390500,-0.46,-1.66,27.36,"June 02, 25",-0.0166,,,,,
2025-05-30,27.96,28.04,27.43,27.74,26.95,13965343,13965343,-0.215,-0.78684,27.7925,"May 30, 25",-0.0078684,2025-06-13,2025-04-10,0.7,0.7,2025-05-30
2025-05-29,28.84,29.09,28.2,28.79,27.29,10239300,10239300,-0.05,-0.17337,28.73,"May 29, 25",-0.0017337,,,,,
2025-05-28,29,29.09,28.26,28.34,26.86,7731613,7731613,-0.66,-2.28,28.6725,"May 28, 25",-0.0228,,,,,
2025-05-27,28.85,29.04,28.69,28.92,27.41,8763100,8763100,0.07,0.24263,28.875,"May 27, 25",0.0024263,,,,,
2025-05-23,28.15,28.47,27.91,28.32,26.84,7095222,7095222,0.17,0.60391,28.2125,"May 23, 25",0.0060391,,,,,
2025-05-22,28.54,28.85,28.32,28.67,27.18,6885103,6885103,0.13,0.4555,28.595,"May 22, 25",0.004555,,,,,
2025-05-21,29.51,29.67,28.69,28.75,27.25,8938600,8938600,-0.76,-2.58,29.155,"May 21, 25",-0.0258,,,,,
2025-05-20,30.14,30.29,29.71,29.79,28.24,5576400,5576400,-0.35,-1.16,29.9825,"May 20, 25",-0.0116,,,,,
2025-05-19,29.65,30.22,29.41,30.11,28.54,5937139,5937139,0.46,1.55,29.8475,"May 19, 25",0.0155,,,,,
2025-05-16,29.89,30.3,29.53,30.19,28.62,5872600,5872600,0.3,1,29.9775,"May 16, 25",0.01,,,,,
2025-05-15,29.8,29.96,29.4,29.9,28.34,6481018,6481018,0.1,0.33557,29.765,"May 15, 25",0.0033557,,,,,
2025-05-14,30.68,30.77,30.05,30.17,28.6,6434900,6434900,-0.51,-1.66,30.4175,"May 14, 25",-0.0166,,,,,
2025-05-13,30.93,31.22,30.6,30.77,29.17,8502817,8502817,-0.16,-0.5173,30.88,"May 13, 25",-0.005173,,,,,
2025-05-12,31.65,32.39,30.94,30.98,29.37,11832538,11832538,-0.67,-2.12,31.49,"May 12, 25",-0.0212,,,,,
2025-05-09,29.45,29.76,29.21,29.48,27.94,8162800,8162800,0.03,0.10187,29.475,"May 09, 25",0.0010187,,,,,
2025-05-08,28.74,29.74,28.66,29.24,27.72,7787000,7787000,0.5,1.74,29.095,"May 08, 25",0.0174,,,,,
2025-05-07,29,29.11,28.28,28.45,26.97,8817769,8817769,-0.55,-1.9,28.71,"May 07, 25",-0.019,,,,,
2025-05-06,28.89,29.28,28.63,28.8,27.3,7691300,7691300,-0.09,-0.31153,28.9,"May 06, 25",-0.0031153,,,,,
2025-05-05,29.91,30,28.92,28.95,27.44,9061748,9061748,-0.955,-3.21,29.445,"May 05, 25",-0.0321,,,,,
2025-05-02,30.86,31.06,30.21,30.42,28.84,8619400,8619400,-0.44,-1.43,30.6375,"May 02, 25",-0.0143,,,,,
2025-05-01,30.68,30.85,30.27,30.53,28.94,7009600,7009600,-0.15,-0.48892,30.5825,"May 01, 25",-0.0048892,,,,,
2025-04-30,30.22,30.64,29.76,30.59,29,11306100,11306100,0.375,1.22,30.3025,"April 30, 25",0.0122,,,,,
2025-04-29,29.8,30.72,29.77,30.65,29.05,9498800,9498800,0.85,2.85,30.235,"April 29, 25",0.0285,,,,,
2025-04-28,30.25,30.94,29.71,29.95,28.39,9347200,9347200,-0.3,-0.99174,30.2125,"April 28, 25",-0.0099174,,,,,
2025-04-25,29.34,30.08,29.12,30.02,28.46,12991602,12991602,0.68,2.32,29.64,"April 25, 25",0.0232,,,,,
2025-04-24,28.52,30.18,28.05,29.76,28.21,13069318,13069318,1.24,4.35,29.1275,"April 24, 25",0.0435,,,,,
2025-04-23,30.06,30.75,28.74,29,27.49,10727023,10727023,-1.06,-3.53,29.6375,"April 23, 25",-0.0353,,,,,
2025-04-22,28.54,29.35,28.5,29,27.49,8488300,8488300,0.46,1.61,28.8475,"April 22, 25",0.0161,,,,,
2025-04-21,28.17,28.34,27.71,28.12,26.65,7745100,7745100,-0.05,-0.17749,28.085,"April 21, 25",-0.0017749,,,,,
2025-04-17,27.73,28.41,27.73,28.15,26.68,8474932,8474932,0.42,1.51,28.005,"April 17, 25",0.0151,,,,,
2025-04-16,27.7,28.18,27.23,27.47,26.04,8672400,8672400,-0.23,-0.83032,27.645,"April 16, 25",-0.0083032,,,,,
2025-04-15,28.07,28.76,27.69,27.7,26.26,12375836,12375836,-0.37,-1.32,28.055,"April 15, 25",-0.0132,,,,,
2025-04-14,29.15,29.45,28.26,28.88,27.38,10448530,10448530,-0.27,-0.92624,28.935,"April 14, 25",-0.0092624,,,,,
2025-04-11,27.01,28.51,26.47,28.43,26.95,11189100,11189100,1.42,5.26,27.605,"April 11, 25",0.0526,,,,,
2025-04-10,28.8,28.82,26.62,27.29,25.87,15213232,15213232,-1.51,-5.24,27.8825,"April 10, 25",-0.0524,,,,,
2025-04-09,25.35,30.14,25.06,29.86,28.3,19876900,19876900,4.51,17.79,27.6025,"April 09, 25",0.1779,,,,,
2025-04-08,29,29,25.32,25.81,24.47,17050539,17050539,-3.19,-11,27.2825,"April 08, 25",-0.11,,,,,
2025-04-07,27.22,29.29,26.33,27.52,26.09,19652900,19652900,0.3,1.1,27.59,"April 07, 25",0.011,,,,,
2025-04-04,30.21,30.44,28.05,28.2,26.73,18677500,18677500,-2.01,-6.65,29.225,"April 04, 25",-0.0665,,,,,
2025-04-03,33.48,33.64,31.38,31.46,29.82,18080900,18080900,-2.02,-6.03,32.49,"April 03, 25",-0.0603,,,,,
2025-04-02,34.32,35.17,34.3,34.89,33.07,5146700,5146700,0.57,1.66,34.67,"April 02, 25",0.0166,,,,,
2025-04-01,34.48,34.77,34.09,34.61,32.81,6446040,6446040,0.13,0.37703,34.4875,"April 01, 25",0.0037703,,,,,
2025-03-31,34.12,35.21,33.93,34.92,33.1,8477200,8477200,0.8,2.34,34.545,"March 31, 25",0.0234,,,,,
2025-03-28,35.06,35.22,34.13,34.36,32.57,6913700,6913700,-0.7,-2,34.6925,"March 28, 25",-0.02,,,,,
2025-03-27,35,35.4,34.61,35.24,33.4,6911900,6911900,0.24,0.68571,35.0625,"March 27, 25",0.0068571,,,,,
2025-03-26,35.27,35.78,35.13,35.58,33.73,5813549,5813549,0.31,0.87893,35.44,"March 26, 25",0.0087893,,,,,
2025-03-25,36.29,36.32,35.23,35.32,33.48,7218000,7218000,-0.97,-2.67,35.79,"March 25, 25",-0.0267,,,,,
2025-03-24,36.53,36.86,35.97,36.29,34.4,6797417,6797417,-0.24,-0.65699,36.4125,"March 24, 25",-0.0065699,,,,,
2025-03-21,36.25,36.36,35.81,36.17,34.29,13257724,13257724,-0.08,-0.22069,36.1475,"March 21, 25",-0.0022069,,,,,
2025-03-20,36.76,37,36.5,36.61,34.7,5406614,5406614,-0.15,-0.40805,36.7175,"March 20, 25",-0.0040805,,,,,
2025-03-19,37.5,37.72,37.04,37.19,35.25,5525100,5525100,-0.31,-0.82667,37.3625,"March 19, 25",-0.0082667,,,,,
2025-03-18,37.77,37.8,37.32,37.61,35.65,4866000,4866000,-0.16,-0.42362,37.625,"March 18, 25",-0.0042362,,,,,
2025-03-17,37.01,37.78,37.01,37.51,35.56,5097100,5097100,0.5,1.35,37.3275,"March 17, 25",0.0135,,,,,
2025-03-14,36.78,37.18,36.66,36.97,35.04,5991563,5991563,0.19,0.51659,36.8975,"March 14, 25",0.0051659,,,,,
2025-03-13,35.68,37.2,35.62,36.23,34.34,7958431,7958431,0.55,1.54,36.1825,"March 13, 25",0.0154,,,,,
