symbol,date,calendarYear,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
ALLE,2024-12-31,2024,FY,0.03325298564698148,0.055011065444198544,0.12741095311840067,0.1020609824957651,0.10566247224278312,0.113821138211382,0.11437908496732029,-0.007963594994311717,-0.007927519818799546,0.06074729886751872,0.12387612387612387,0.12877614252517428,0.962520252738586,0.4187311547289175,0.35628087139645737,1.9069689277993485,0.4841075059477053,0.4242739037204221,2.758466732646307,0.5962001269516534,0.2753635059927442,345.55578650611625,1.126806336501261,1.038159173284636,5.134824159021407,0.781877542086928,0.33465791906692255,0.06402655916528338,-0.03534777651083238,0.04089064130812942,0.14749822018487824,0.06734491315136476,0,0.02564695009242144
ALLE,2023-12-31,2023,FY,0.11580427274672209,0.19593163944343617,0.20308265582655827,0.20804911323328787,0.1799126637554585,0.1826923076923077,0.17919075144508664,-0.0011363636363636363,0,0.1041038643160898,0.3070729053318825,0.3056890012642225,0.926566410419121,0.44440761508906323,0.4094443427347781,1.9296355180503237,0.41789564872509427,0.2862822023710495,17.272382421623217,0.3429525336464046,0.8054430145614954,22.78186943972572,1.1886080572637876,0.6690257880678029,0,1.1601860369150885,0.42066519440540723,0.04407031443426591,-0.08455114822546973,0.08025155341751854,0.39735285597534614,-0.03795655287658152,0,0.17608695652173914
ALLE,2022-12-31,2022,FY,0.14106856385575783,0.0975184662627604,0.02821316614420063,0.1059977367031309,-0.051759834368530024,-0.031657355679702036,-0.02808988764044934,-0.021134593993325918,-0.02430939226519337,0.13958861874559544,-0.05955792058943921,-0.10762635379061372,0.7646456937990592,0.46826793493442853,0.21938045486398672,0.8626370641969472,0.430222625157101,0.0011079661837547872,1.2707180694725537,0.8110218541063765,0.21240780125797543,-0.2348690259488873,1.5343280287939152,0.32259404181770174,0,1.5535322436184504,0.5214440628953553,0.42569714084009885,0.25920084121976866,0.3081612586037365,0.2655989161022608,0.4523958116635462,0,0.09085519490143767
ALLE,2021-12-31,2021,FY,0.05422993492407809,0.02214116050220563,0.3786314525810324,0.314002478314746,0.5367483296213809,0.5747800586510263,0.575221238938053,-0.02600216684723727,-0.02478448275862069,0.12910337999880522,-0.0034672649398327553,0,0.5153737230914045,0.3653186292782866,0.10922383161516157,0.9657563991293945,0.3792478765957759,0.1278246641698387,1.3655505120315556,1.246610885852606,0.17360415023872355,0,6.139616736061544,0.23220201999490794,0,1.988392900324032,0.7168530385006572,-0.18498273878020713,0.34369480748851994,-0.005994656936209031,-0.05986874678860891,0.00874370453273643,0,0.06134969325153374
ALLE,2020-12-31,2020,FY,-0.04698668535388928,-0.05869200670765791,-0.2159262048192771,-0.28596708547159794,-0.21777003484320556,-0.2051282051282051,-0.20422535211267598,-0.013888888888888888,-0.015906680805938492,0.18242656735642487,0.0043015157722244984,0.048745858968291526,0.4000463028152933,0.3664643587890822,0.1636950872888883,0.9213041437546037,0.9821918039214034,0.4549932972524977,0.4992962923862791,1.121889028980702,0.1849050904260318,0,32.662081866197184,1.127889849054486,0,2.182117004093248,0.9845385309202696,0.053972104305639784,0.04890700259355317,0.034443246157994066,0.11037185765831183,0.001330811795195069,0,-0.06693086745926904
ALLE,2019-12-31,2019,FY,0.04477065563568474,0.06733145828006477,0.003779289493575208,0.07474324838341574,-0.07610945044837894,-0.06331877729257643,-0.06167400881057274,-0.014736842105263158,-0.014629049111807733,0.2859534112682727,0.06640454346876365,0.034010276486420354,0.44866938799156286,0.3832925612418601,0.30521948015245604,0.8865045349686932,0.9587320434330987,0.3236418180789042,0.8900742730732001,1.3546337762947351,0.7950415412222482,0,163.0061876780627,5.842031215817624,0,2.4428988603988606,1.2383593459680418,-0.030855127828386716,-0.03710310381733856,0.055867909757312643,0.1800818108157557,-0.011835548172757475,0,0.052200772200772204
ALLE,2018-12-31,2018,FY,0.13433269661988206,0.09357815267033275,0.05544475468687674,0.06761421319796955,0.5912916209293816,0.5958188153310104,0.5929824561403508,-0.0010515247108307045,-0.003125,0.30514907959554055,0.3185483870967742,0.37193689157435383,0.3661568385930192,0.33381075417573697,0.33338777774667305,0.7429627685756764,1.0661855621635596,0.7981986483719024,1.0156289593474745,12.606126772038452,1.852632262918505,0,10.952384744008281,24.67060032894737,0,0,1.0927470111309605,0.10200777202072539,0.1688907422852377,0.10550747442958301,0.6145213836069829,-0.02199959385365193,0,0.11560992419021364
ALLE,2017-12-31,2017,FY,0.07605004468275246,0.08406587854905527,0.3954912329529641,0.13400874971218052,0.19292885202968135,0.20083682008368198,0.2076271186440679,-0.007306889352818371,-0.009287925696594427,0.33365793443972025,-0.08026490066225166,-0.11074626865671641,0.20310407606604478,0.20185536427850048,0.1488093367729901,0.32049003069818466,0.30234065063286786,0.37104686907387346,0.26533028214707743,0.25383250584406003,0.5763345721158694,0,-0.6980931570980423,85.54644234139505,0,0,1.0513459516298636,0.13571165869805074,0.08703535811423391,0.13108480911275253,2.509319182918324,0.00922257138953409,0,0.045012603528988115
ALLE,2016-12-31,2016,FY,0.08215270054639524,0.13876423886779427,0.3703279938977879,0.21109871723368656,0.48862897985705,0.49375,0.48427672955974826,-0.0010427528675703858,0,0.20229808620003592,0.4688715953307393,0.5103697024346258,0.1099048167916948,0.1099048167916948,0.08362593439334134,0.425237937636869,0.425237937636869,0.6895404207626987,0.05294180088235941,0.05294180088235941,6.1076869380869585,0,0,2.717648024913224,0,0,0,-0.133800573431029,0.08084272415482606,-0.01658425589638122,2.9232829337213473,-0.03893375352898693,0,0.08795298726738492
ALLE,2015-12-31,2015,FY,-0.02369824859557192,0.018039123813986178,-0.18495492695057508,0.09898866074164879,-0.12157534246575342,-0.12087912087912087,-0.12637362637362637,-0.002081165452653486,-0.0030864197530864196,0.27932916232186317,0.0042985541227041815,0.08512720156555773,0.02457579212382119,0.02457579212382119,0.02351237633601922,-0.03071734029287411,-0.03071734029287411,-0.044039575957496586,-0.29341437185972896,-0.29341437185972896,-0.29983495912133973,0,0,-0.9809154849980841,0,0,0,0.058684654300168636,0.1370473537604457,0.13363758122922764,0.6087534875856044,0.2044124624387158,0,-0.03204398938187334
ALLE,2014-12-31,2014,FY,0.023531117124081947,-0.009053975623911782,0.3771404109589041,0.35506644518272423,4.424148606811145,4.6875,4.6875,0.0010416666666666667,0.011446409989594173,0,0.14292094685127288,0.003436426116838488,0.047261749669939845,0.047261749669939845,0.047261749669939845,-0.036874624431941824,-0.036874624431941824,-0.036874624431941824,-0.19729586311828434,-0.19729586311828434,-0.19729586311828434,0,0,0,0,0,0,0.14038461538461539,0.1521181001283697,0.018182736501843526,1.331790829794667,-0.05900736661954015,0,0.09169944110950114
ALLE,2013-12-31,2013,FY,0.022883408293382097,0.04348352713178295,-0.36556219445953286,-0.35146781578238623,-0.8532485233984552,-0.8602620087336245,-0.8602620087336245,-0.0002974948038379579,0.0007438619724080442,0,-0.16827637444279347,-0.18389423076923078,0.024250879906326215,0.024250879906326215,0.024250879906326215,-0.1564345427181418,-0.1564345427181418,-0.1564345427181418,-0.851858725622803,-0.851858725622803,-0.851858725622803,0,0,0,0,0,0,-0.31919350615344333,-0.06370192307692307,-0.001965923984272608,-1.0407821515090518,267.78,0,0.06339423288575831
ALLE,2012-12-31,2012,FY,0.0010389867405501683,0.019510990367992097,0.012651265126512651,0.03426183844011142,0.009170105456212746,0.008810572687224677,0.008810572687224677,0,0,0,0.013935969868173258,0.04,0.0010389867405500208,0.0010389867405500208,0.0010389867405500208,0.01393596986817328,0.01393596986817328,0.01393596986817328,0.009170105456212677,0.009170105456212677,0.009170105456212677,0,0,0,0,0,0,0,0,0,0,0,0,0.007763975155279503
ALLE,2011-12-31,2011,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
