date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,paymentDate,adjDividend,dividend
2026-01-05,860,905.125,858.5,902.24,902.24,508864,508864,42.24,4.91163,888.62,"January 05, 26",0.0491163,,,,,
2026-01-02,810.59,847.15,810.59,845.06,845.06,536573,536573,34.47,4.25,828.3475,"January 02, 26",0.0425,,,,,
2025-12-31,819.9,819.9,808.77,809.32,809.32,315600,315600,-10.58,-1.29,814.4725,"December 31, 25",-0.0129,,,,,
2025-12-30,817.57,824.38,813.53,817.25,817.25,226631,226631,-0.32,-0.03914038,818.1825,"December 30, 25",-0.0003914038,,,,,
2025-12-29,825.54,829.91,815.92,819.51,819.51,300707,300707,-6.03,-0.73043,822.72,"December 29, 25",-0.0073043,,,,,
2025-12-26,823.14,828.01,819.89,827.94,827.94,195734,195734,4.8,0.58313,824.745,"December 26, 25",0.0058313,,,,,
2025-12-24,817.41,828,817.41,824.77,824.77,189900,189900,7.36,0.9004,821.8975,"December 24, 25",0.009004,,,,,
2025-12-23,816.69,821.3,810.11,817.85,817.85,313500,313500,1.16,0.14204,816.4875,"December 23, 25",0.0014204,,,,,
2025-12-22,815.06,821.58,807.29,816.73,816.73,487200,487200,1.67,0.20489,815.165,"December 22, 25",0.0020489,,,,,
2025-12-19,795.77,812.71,792.81,812.42,812.42,1223384,1223384,16.65,2.09,803.4275,"December 19, 25",0.0209,,,,,
2025-12-18,806.51,828.26,795.92,800.53,800.53,774040,774040,-5.98,-0.74147,807.805,"December 18, 25",-0.0074147,,,,,
2025-12-17,822.38,824.99,784.27,792.54,792.54,839428,839428,-29.84,-3.63,806.045,"December 17, 25",-0.0363,,,,,
2025-12-16,809.44,829.66,801.62,818.68,818.68,655524,655524,9.24,1.14,814.85,"December 16, 25",0.0114,,,,,
2025-12-15,820.2,820.2,800.29,810.44,810.44,559496,559496,-9.76,-1.19,812.7825,"December 15, 25",-0.0119,,,,,
2025-12-12,838.13,852.15,816.05,818.31,818.31,708439,708439,-19.82,-2.36,831.16,"December 12, 25",-0.0236,,,,,
2025-12-11,815.62,837.17,810.68,833.85,833.85,756265,756265,18.23,2.24,824.33,"December 11, 25",0.0224,,,,,
2025-12-10,789,816.42,786.65,813.59,813.59,839187,839187,24.59,3.12,801.415,"December 10, 25",0.0312,,,,,
2025-12-09,784.02,810.56,784.02,789.9,789.9,928631,928631,5.88,0.74998,792.125,"December 09, 25",0.0074998,,,,,
2025-12-08,794.72,805.83,782.49,785.04,785.04,1075700,1075700,-9.68,-1.22,792.02,"December 08, 25",-0.0122,,,,,
2025-12-05,810,813.91,794.52,796.91,796.91,697537,697537,-13.09,-1.62,803.835,"December 05, 25",-0.0162,,,,,
2025-12-04,817.93,824.21,802.61,807.74,807.74,861725,861725,-10.19,-1.25,813.1225,"December 04, 25",-0.0125,,,,,
2025-12-03,800.6,816.12,797,813.66,813.66,791987,791987,13.06,1.63,806.845,"December 03, 25",0.0163,,,,,
2025-12-02,810.66,812.26,798.88,800.83,800.83,512151,512151,-9.83,-1.21,805.6575,"December 02, 25",-0.0121,,,,,
2025-12-01,809.31,815.67,802.3,805.24,805.24,608300,608300,-4.07,-0.5029,808.13,"December 01, 25",-0.005029,,,,,
2025-11-28,820.05,823.01,814.19,815.18,815.18,262211,262211,-4.87,-0.59387,818.1075,"November 28, 25",-0.0059387,,,,,
2025-11-26,814.42,819.17,806.59,814.97,814.97,787030,787030,0.55,0.06753272,813.7875,"November 26, 25",0.0006753272,,,,,
2025-11-25,813.86,821.64,805.78,810,810,1100126,1100126,-3.86,-0.47428,812.82,"November 25, 25",-0.0047428,,,,,
2025-11-24,801.1,817.85,798.1,811,811,951949,951949,9.9,1.24,807.0125,"November 24, 25",0.0124,,,,,
2025-11-21,776.48,815.94,772.57,800,800,1320578,1320578,23.52,3.03,791.2475,"November 21, 25",0.0303,,,,,
2025-11-20,806.6,813.92,769.88,770,770,893400,893400,-36.6,-4.54,790.1,"November 20, 25",-0.0454,,,,,
2025-11-19,800.08,809.47,791.45,792.27,792.27,619502,619502,-7.81,-0.97615,798.3175,"November 19, 25",-0.0097615,,,,,
2025-11-18,806.04,813.11,798.9,800.5,800.5,781000,781000,-5.54,-0.68731,804.6375,"November 18, 25",-0.0068731,,,,,
2025-11-17,834.03,836.5,798.67,806.61,806.61,793803,793803,-27.42,-3.29,818.9525,"November 17, 25",-0.0329,,,,,
2025-11-14,842.5,845,829.01,834.03,834.03,396871,396871,-8.47,-1.01,837.635,"November 14, 25",-0.0101,,,,,
2025-11-13,858.97,866,841.86,843.26,843.26,483412,483412,-15.71,-1.83,852.5225,"November 13, 25",-0.0183,,,,,
2025-11-12,853.22,866.86,853.02,860.71,860.71,440612,440612,7.49,0.87785,858.4525,"November 12, 25",0.0087785,2025-11-12,2025-10-22,2025-11-26,1.79,1.79
2025-11-11,852.52,863.65,847.53,855.01,853.22,310100,310100,2.49,0.29208,854.6775,"November 11, 25",0.0029208,,,,,
2025-11-10,855.78,862.98,843.83,854.53,852.74,429907,429907,-1.25,-0.14607,854.28,"November 10, 25",-0.0014607,,,,,
2025-11-07,836.38,851.65,833.45,848.25,846.47,376832,376832,11.87,1.42,842.4325,"November 07, 25",0.0142,,,,,
2025-11-06,844.75,851.55,833.76,845.04,843.27,758436,758436,0.29,0.03432968,843.775,"November 06, 25",0.0003432968,,,,,
2025-11-05,850.37,855.78,840.64,844.51,842.74,495000,495000,-5.86,-0.68911,847.825,"November 05, 25",-0.0068911,,,,,
2025-11-04,850,859.48,845.67,852.76,850.97,468172,468172,2.76,0.32471,851.9775,"November 04, 25",0.0032471,,,,,
2025-11-03,866,868.23,855,857.41,855.61,567405,567405,-8.59,-0.99192,861.66,"November 03, 25",-0.0099192,,,,,
2025-10-31,857.82,883.48,850,871.18,869.36,697612,697612,13.36,1.56,865.62,"October 31, 25",0.0156,,,,,
2025-10-30,867.73,883.03,858.49,858.91,857.11,503791,503791,-8.82,-1.02,867.04,"October 30, 25",-0.0102,,,,,
2025-10-29,882.24,896.47,867.04,870.78,868.96,656133,656133,-11.46,-1.3,879.1325,"October 29, 25",-0.013,,,,,
2025-10-28,901.4,902.12,874.98,875.67,873.84,873105,873105,-25.73,-2.85,888.5425,"October 28, 25",-0.0285,,,,,
2025-10-27,918.59,920.43,885.88,900.34,898.46,797045,797045,-18.25,-1.99,906.31,"October 27, 25",-0.0199,,,,,
2025-10-24,924.76,933,912.54,913.33,911.42,770672,770672,-11.43,-1.24,920.9075,"October 24, 25",-0.0124,,,,,
2025-10-23,950.01,991.08,907.61,914.3,912.39,1264465,1264465,-35.71,-3.76,940.75,"October 23, 25",-0.0376,,,,,
2025-10-22,1003,1008.23,986.73,991.5,989.42,563922,563922,-11.5,-1.15,997.365,"October 22, 25",-0.0115,,,,,
2025-10-21,995.22,1015.68,991.49,1002.29,1000.19,328857,328857,7.07,0.7104,1001.17,"October 21, 25",0.007104,,,,,
2025-10-20,986.22,1004.28,981.2,1000.29,998.2,289111,289111,14.07,1.43,992.9975,"October 20, 25",0.0143,,,,,
2025-10-17,998.87,1007.38,975,980.37,978.32,512421,512421,-18.5,-1.85,990.405,"October 17, 25",-0.0185,,,,,
2025-10-16,1020,1021.47,1002.04,1005.65,1003.55,572621,572621,-14.35,-1.41,1012.29,"October 16, 25",-0.0141,,,,,
2025-10-15,1004.78,1021.36,999.13,1020,1017.87,447874,447874,15.22,1.51,1011.3175,"October 15, 25",0.0151,,,,,
2025-10-14,960.87,1007.97,955.42,1000.5,998.41,306100,306100,39.63,4.12,981.19,"October 14, 25",0.0412,,,,,
2025-10-13,960.1,979.37,960.1,974.54,972.5,286248,286248,14.44,1.5,968.5275,"October 13, 25",0.015,,,,,
2025-10-10,986.04,989,949.91,950.03,948.04,461500,461500,-36.01,-3.65,968.745,"October 10, 25",-0.0365,,,,,
2025-10-09,995.16,998.16,976.1,980.43,978.38,314400,314400,-14.73,-1.48,987.4625,"October 09, 25",-0.0148,,,,,
2025-10-08,991.48,1004.92,985.26,994.37,992.29,378942,378942,2.89,0.29148,994.0075,"October 08, 25",0.0029148,,,,,
2025-10-07,988.67,1003.57,983.78,988.59,986.52,417626,417626,-0.08,-0.00809168,991.1525,"October 07, 25",-8.09168e-05,,,,,
2025-10-06,979.78,989,969.29,987.34,985.28,308696,308696,7.56,0.7716,981.3525,"October 06, 25",0.007716,,,,,
2025-10-03,979.5,997.5,979.5,980.8,978.75,334700,334700,1.3,0.13272,984.325,"October 03, 25",0.0013272,,,,,
2025-10-02,959.25,978.46,954.56,978.22,976.18,385100,385100,18.97,1.98,967.6225,"October 02, 25",0.0198,,,,,
2025-10-01,967,970.14,959.13,962.92,960.91,395900,395900,-4.08,-0.42192,964.7975,"October 01, 25",-0.0042192,,,,,
2025-09-30,942.33,957.36,941.09,954.66,952.66,417930,417930,12.33,1.31,948.86,"September 30, 25",0.0131,,,,,
2025-09-29,956.74,956.74,935.98,943.89,941.92,381052,381052,-12.85,-1.34,948.3375,"September 29, 25",-0.0134,,,,,
2025-09-26,931.46,950.48,931.09,947.27,945.29,378312,378312,15.81,1.7,940.075,"September 26, 25",0.017,,,,,
2025-09-25,919.25,932.41,913.59,931.25,929.3,392200,392200,12,1.31,924.125,"September 25, 25",0.0131,,,,,
2025-09-24,957,960.07,934.8,935.78,933.82,386690,386690,-21.22,-2.22,946.9125,"September 24, 25",-0.0222,,,,,
2025-09-23,956.01,972.12,950.01,955.22,953.22,592100,592100,-0.79,-0.08263512,958.34,"September 23, 25",-0.0008263512,,,,,
2025-09-22,944.1,948.09,934.82,943.42,941.45,509338,509338,-0.68,-0.07202627,942.6075,"September 22, 25",-0.0007202627,,,,,
2025-09-19,947.19,947.19,935.17,941.52,939.55,1035015,1035015,-5.67,-0.59861,942.7675,"September 19, 25",-0.0059861,,,,,
2025-09-18,940.95,956.08,936,942.79,940.82,634211,634211,1.84,0.19555,943.955,"September 18, 25",0.0019555,,,,,
2025-09-17,961.21,967.4,925.65,931.01,929.06,760270,760270,-30.2,-3.14,946.3175,"September 17, 25",-0.0314,,,,,
2025-09-16,960.66,963.85,941,958.65,956.65,447425,447425,-2.01,-0.20923,956.04,"September 16, 25",-0.0020923,,,,,
2025-09-15,940.37,957.75,938.15,947.9,945.92,533000,533000,7.53,0.80075,946.0425,"September 15, 25",0.0080075,,,,,
2025-09-12,954.71,957.29,936.4,938,936.04,535000,535000,-16.71,-1.75,946.6,"September 12, 25",-0.0175,,,,,
2025-09-11,947.38,970.57,947.38,959.59,957.58,450149,450149,12.21,1.29,956.23,"September 11, 25",0.0129,,,,,
2025-09-10,948.58,958.02,940.94,944.81,942.84,540408,540408,-3.77,-0.39744,948.0875,"September 10, 25",-0.0039744,,,,,
2025-09-09,965,965.42,934.84,945.33,943.35,424663,424663,-19.67,-2.04,952.6475,"September 09, 25",-0.0204,,,,,
2025-09-08,973.41,974.45,959.06,970.23,968.2,585158,585158,-3.18,-0.32669,969.2875,"September 08, 25",-0.0032669,,,,,
2025-09-05,965.81,980.53,955.39,975.23,973.19,440236,440236,9.42,0.97535,969.24,"September 05, 25",0.0097535,,,,,
2025-09-04,948.92,966.65,947.87,964.66,962.64,405033,405033,15.74,1.66,957.025,"September 04, 25",0.0166,,,,,
2025-09-03,959,965,941.79,945.26,943.28,523614,523614,-13.74,-1.43,952.7625,"September 03, 25",-0.0143,,,,,
2025-09-02,943.37,959.05,935.02,958.77,956.77,468623,468623,15.4,1.63,949.0525,"September 02, 25",0.0163,,,,,
2025-08-29,961.16,961.16,947.73,956.34,954.34,508100,508100,-4.82,-0.50148,956.5975,"August 29, 25",-0.0050148,,,,,
2025-08-28,952.97,960,947.21,955.24,953.24,527749,527749,2.27,0.2382,953.855,"August 28, 25",0.002382,,,,,
2025-08-27,939.13,951.54,938,949.34,947.36,276900,276900,10.21,1.09,944.5025,"August 27, 25",0.0109,,,,,
2025-08-26,936.13,946.97,931.64,943.7,941.73,799530,799530,7.58,0.80865,939.61,"August 26, 25",0.0080865,,,,,
2025-08-25,929.95,946,927.48,939.49,937.53,684712,684712,9.54,1.03,935.73,"August 25, 25",0.0103,,,,,
2025-08-22,896.72,937.45,890.78,929.95,928.01,767826,767826,33.23,3.71,913.725,"August 22, 25",0.0371,,,,,
2025-08-21,901,901,888.03,890.12,888.26,365840,365840,-10.88,-1.21,895.0375,"August 21, 25",-0.0121,,,,,
2025-08-20,910,915.5,886.68,901.87,899.99,466705,466705,-8.13,-0.89341,903.5125,"August 20, 25",-0.0089341,,,,,
2025-08-19,915.15,925.81,910.66,915.64,913.73,306045,306045,0.49,0.05354314,916.815,"August 19, 25",0.0005354314,,,,,
2025-08-18,910.01,916,906.99,914.04,912.13,309509,309509,4.03,0.44285,911.76,"August 18, 25",0.0044285,,,,,
2025-08-15,926.77,928.79,908.88,908.88,906.98,372732,372732,-17.89,-1.93,918.33,"August 15, 25",-0.0193,,,,,
2025-08-14,921.62,929.71,906.99,921.45,919.52,637746,637746,-0.17,-0.01844578,919.9425,"August 14, 25",-0.0001844578,,,,,
2025-08-13,916,933.32,912.17,932.23,930.28,437393,437393,16.23,1.77,923.43,"August 13, 25",0.0177,2025-08-13,2025-07-23,2025-08-27,1.79,1.79
2025-08-12,875.25,918.72,874.03,916.95,913.25,695920,695920,41.7,4.76,896.2375,"August 12, 25",0.0476,,,,,
2025-08-11,860.14,870.38,852.8,869.7,866.19,437006,437006,9.56,1.11,863.255,"August 11, 25",0.0111,,,,,
2025-08-08,859.19,862.62,853.12,858.97,855.5,273100,273100,-0.22,-0.02560551,858.475,"August 08, 25",-0.0002560551,,,,,
2025-08-07,872.39,872.39,848.75,854.61,851.16,431812,431812,-17.78,-2.04,862.035,"August 07, 25",-0.0204,,,,,
2025-08-06,869.29,869.48,854,861.26,857.78,436014,436014,-8.03,-0.92374,863.5075,"August 06, 25",-0.0092374,,,,,
2025-08-05,871.2,879.59,853.8,867.08,863.58,371541,371541,-4.12,-0.47291,867.9175,"August 05, 25",-0.0047291,,,,,
2025-08-04,862.04,870.96,853.55,868.57,865.06,457000,457000,6.53,0.75751,863.78,"August 04, 25",0.0075751,,,,,
2025-08-01,860.88,862.72,842.18,859.62,856.15,655439,655439,-1.26,-0.14636,856.35,"August 01, 25",-0.0014636,,,,,
2025-07-31,872.66,886.62,872.35,882.94,879.37,450900,450900,10.28,1.18,878.6425,"July 31, 25",0.0118,,,,,
2025-07-30,885,889.84,873.8,880.42,876.86,533352,533352,-4.58,-0.51751,882.265,"July 30, 25",-0.0051751,,,,,
2025-07-29,903,903.44,879.2,882.24,878.68,751822,751822,-20.76,-2.3,891.97,"July 29, 25",-0.023,,,,,
2025-07-28,890,903.61,885.89,899.46,895.83,806601,806601,9.46,1.06,894.74,"July 28, 25",0.0106,,,,,
2025-07-25,873.35,890,862.96,890,886.4,872828,872828,16.65,1.91,879.0775,"July 25, 25",0.0191,,,,,
2025-07-24,829.22,875.51,816.13,875.25,871.71,1594541,1594541,46.03,5.55,849.0275,"July 24, 25",0.0555,,,,,
2025-07-23,799.52,808.25,796.31,803.25,800,726400,726400,3.73,0.46653,801.8325,"July 23, 25",0.0046653,,,,,
2025-07-22,779.94,795.55,777.45,791.04,787.84,839118,839118,11.1,1.42,785.995,"July 22, 25",0.0142,,,,,
2025-07-21,815.9,815.9,777.99,778.02,774.88,721611,721611,-37.88,-4.64,796.9525,"July 21, 25",-0.0464,,,,,
2025-07-18,820.24,821.91,804.59,808.05,804.79,390232,390232,-12.19,-1.49,813.6975,"July 18, 25",-0.0149,,,,,
2025-07-17,801,818.72,798.96,816.81,813.51,805045,805045,15.81,1.97,808.8725,"July 17, 25",0.0197,,,,,
2025-07-16,800,803.46,778.3,798.47,795.24,549100,549100,-1.53,-0.19125,795.0575,"July 16, 25",-0.0019125,,,,,
2025-07-15,812.57,815,798.17,798.17,794.95,776660,776660,-14.4,-1.77,805.9775,"July 15, 25",-0.0177,,,,,
2025-07-14,809.77,815.29,802.44,808.67,805.4,556257,556257,-1.1,-0.13584,809.0425,"July 14, 25",-0.0013584,,,,,
