date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,paymentDate,dividend,declarationDate
2026-01-02,65.2,65.61,64.15,65.21,65.21,3743867,3743867,0.01,0.01533742,65.0425,"January 02, 26",0.0001533742,,,,,
2025-12-31,65.14,65.35,64.93,65.09,65.09,3307300,3307300,-0.05,-0.07675775,65.1275,"December 31, 25",-0.0007675775,,,,,
2025-12-30,65.53,65.72,64.8,65.1,65.1,2993260,2993260,-0.43,-0.65619,65.2875,"December 30, 25",-0.0065619,,,,,
2025-12-29,65.97,66.08,65.07,65.64,65.64,4111509,4111509,-0.33,-0.50023,65.69,"December 29, 25",-0.0050023,,,,,
2025-12-26,66.38,66.67,66.07,66.2,66.2,2147071,2147071,-0.18,-0.27117,66.33,"December 26, 25",-0.0027117,,,,,
2025-12-24,66.09,66.6,65.78,66.31,66.31,1557715,1557715,0.22,0.33288,66.195,"December 24, 25",0.0033288,,,,,
2025-12-23,66.96,67.11,66.05,66.2,66.2,3423335,3423335,-0.76,-1.14,66.58,"December 23, 25",-0.0114,,,,,
2025-12-22,67.22,67.64,66.62,66.91,66.91,3970400,3970400,-0.31,-0.46117,67.0975,"December 22, 25",-0.0046117,,,,,
2025-12-19,66.81,67.44,66.53,66.95,66.95,8524311,8524311,0.14,0.20955,66.9325,"December 19, 25",0.0020955,,,,,
2025-12-18,66.84,67.38,66.44,66.96,66.96,4874536,4874536,0.12,0.17953,66.905,"December 18, 25",0.0017953,,,,,
2025-12-17,67.32,67.59,66.33,66.49,66.49,5493055,5493055,-0.83,-1.23,66.9325,"December 17, 25",-0.0123,,,,,
2025-12-16,66.72,68.03,66.71,67.32,67.32,4667400,4667400,0.6,0.89928,67.195,"December 16, 25",0.0089928,,,,,
2025-12-15,67.09,68,66.23,66.99,66.99,8054814,8054814,-0.1,-0.14905,67.0775,"December 15, 25",-0.0014905,,,,,
2025-12-12,66.39,66.84,64.42,65.24,65.24,11242300,11242300,-1.15,-1.73,65.7225,"December 12, 25",-0.0173,,,,,
2025-12-11,66.32,67.02,65.93,66.2,66.2,5107200,5107200,-0.12,-0.18094,66.3675,"December 11, 25",-0.0018094,,,,,
2025-12-10,66.72,67.18,66.37,66.47,66.47,3392144,3392144,-0.25,-0.3747,66.685,"December 10, 25",-0.003747,,,,,
2025-12-09,66.81,66.88,65.9,66.43,66.43,4029800,4029800,-0.38,-0.56878,66.505,"December 09, 25",-0.0056878,,,,,
2025-12-08,66.84,68.37,66.68,67.08,67.08,4117232,4117232,0.24,0.35907,67.2425,"December 08, 25",0.0035907,,,,,
2025-12-05,66.38,66.83,66.13,66.25,66.25,4361983,4361983,-0.13,-0.19584,66.3975,"December 05, 25",-0.0019584,,,,,
2025-12-04,66.77,66.88,65.21,66.4,66.4,6027963,6027963,-0.37,-0.55414,66.315,"December 04, 25",-0.0055414,,,,,
2025-12-03,68.66,68.99,66.86,66.88,66.88,6380800,6380800,-1.78,-2.59,67.8475,"December 03, 25",-0.0259,,,,,
2025-12-02,69.48,69.64,68.26,68.51,68.51,6094339,6094339,-0.97,-1.4,68.9725,"December 02, 25",-0.014,,,,,
2025-12-01,69.28,70.45,69.07,69.49,69.49,4790100,4790100,0.21,0.30312,69.5725,"December 01, 25",0.0030312,,,,,
2025-11-28,67.95,68.63,67.59,68.16,68.16,1390036,1390036,0.21,0.30905,68.0825,"November 28, 25",0.0030905,,,,,
2025-11-26,67.66,68.42,67.4,68.25,68.25,3493608,3493608,0.59,0.87201,67.9325,"November 26, 25",0.0087201,,,,,
2025-11-25,65.79,68.15,65.79,67.63,67.63,4986639,4986639,1.84,2.8,66.84,"November 25, 25",0.028,,,,,
2025-11-24,64.64,65.78,64.63,65.67,65.67,6652545,6652545,1.03,1.59,65.18,"November 24, 25",0.0159,,,,,
2025-11-21,63.87,64.94,63.21,64.31,64.31,5289600,5289600,0.44,0.6889,64.0825,"November 21, 25",0.006889,,,,,
2025-11-20,64.65,65.92,63.42,63.48,63.48,3933548,3933548,-1.17,-1.81,64.3675,"November 20, 25",-0.0181,,,,,
2025-11-19,65.02,65.42,63.89,64.05,64.05,5769115,5769115,-0.97,-1.49,64.595,"November 19, 25",-0.0149,,,,,
2025-11-18,63.59,65.17,63.29,64.78,64.78,5274039,5274039,1.19,1.87,64.2075,"November 18, 25",0.0187,,,,,
2025-11-17,65.53,66.26,64.35,64.88,64.88,4575800,4575800,-0.65,-0.99191,65.255,"November 17, 25",-0.0099191,,,,,
2025-11-14,65.03,66.49,64.03,65.38,65.38,7243604,7243604,0.35,0.53821,65.2325,"November 14, 25",0.0053821,,,,,
2025-11-13,66.47,66.91,65.11,65.6,65.6,10241633,10241633,-0.87,-1.31,66.0225,"November 13, 25",-0.0131,,,,,
2025-11-12,67,67.43,66.47,66.65,66.65,4201004,4201004,-0.35,-0.52239,66.8875,"November 12, 25",-0.0052239,,,,,
2025-11-11,65.97,67.83,65.84,66.99,66.99,4714034,4714034,1.02,1.55,66.6575,"November 11, 25",0.0155,,,,,
2025-11-10,65.86,67.4,65.55,66.13,66.13,5559908,5559908,0.27,0.40996,66.235,"November 10, 25",0.0040996,,,,,
2025-11-07,62.01,65.55,61.62,65.21,65.21,6105600,6105600,3.2,5.16,63.5975,"November 07, 25",0.0516,,,,,
2025-11-06,62.85,63.36,62.1,62.79,62.79,5280900,5280900,-0.06,-0.09546539,62.775,"November 06, 25",-0.0009546539,,,,,
2025-11-05,61.31,63.06,61.31,62.54,62.54,4684449,4684449,1.23,2.01,62.055,"November 05, 25",0.0201,,,,,
2025-11-04,61.03,61.83,60.32,61.28,61.28,7195501,7195501,0.25,0.40963,61.115,"November 04, 25",0.0040963,0.25,2025-11-04,2025-11-12,0.25,2025-10-22
2025-11-03,60.14,61.79,59.8,61.73,61.48,6581000,6581000,1.59,2.64,60.865,"November 03, 25",0.0264,,,,,
2025-10-31,58.76,59.5,58.52,59.35,59.11,4747637,4747637,0.59,1,59.0325,"October 31, 25",0.01,,,,,
2025-10-30,58.51,59.32,57.6,58.95,58.71,4090036,4090036,0.44,0.75201,58.595,"October 30, 25",0.0075201,,,,,
2025-10-29,58.22,59.4,58.11,58.78,58.54,4544517,4544517,0.56,0.96187,58.6275,"October 29, 25",0.0096187,,,,,
2025-10-28,59.2,59.54,57.82,58.2,57.96,4666811,4666811,-1,-1.69,58.69,"October 28, 25",-0.0169,,,,,
2025-10-27,58.59,59.66,58.21,59.44,59.2,6496300,6496300,0.85,1.45,58.975,"October 27, 25",0.0145,,,,,
2025-10-24,56.99,58.29,56.47,57.6,57.37,6124200,6124200,0.61,1.07,57.3375,"October 24, 25",0.0107,,,,,
2025-10-23,54.56,57.7,53.85,56.89,56.66,13414105,13414105,2.33,4.27,55.75,"October 23, 25",0.0427,,,,,
2025-10-22,50.3,51.06,49.85,50.62,50.41,4374414,4374414,0.32,0.63618,50.4575,"October 22, 25",0.0063618,,,,,
2025-10-21,49.58,50.77,49.2,50.62,50.41,3815626,3815626,1.04,2.1,50.0425,"October 21, 25",0.021,,,,,
2025-10-20,49.89,50.66,49.42,49.73,49.53,7701630,7701630,-0.16,-0.32071,49.925,"October 20, 25",-0.0032071,,,,,
2025-10-17,49.11,49.8,48.31,48.54,48.34,7964444,7964444,-0.57,-1.16,48.94,"October 17, 25",-0.0116,,,,,
2025-10-16,50.11,50.11,48.6,49.14,48.94,4497602,4497602,-0.97,-1.94,49.49,"October 16, 25",-0.0194,,,,,
2025-10-15,48.19,49.91,48.19,49.03,48.83,4861700,4861700,0.84,1.74,48.83,"October 15, 25",0.0174,,,,,
2025-10-14,45.91,48.41,45.91,48.04,47.85,6517573,6517573,2.13,4.64,47.0675,"October 14, 25",0.0464,,,,,
2025-10-13,48.5,48.68,46.29,46.47,46.28,11891700,11891700,-2.03,-4.19,47.485,"October 13, 25",-0.0419,,,,,
2025-10-10,52.03,52.03,49.48,49.61,49.41,6609000,6609000,-2.42,-4.65,50.7875,"October 10, 25",-0.0465,,,,,
2025-10-09,52.98,52.98,50.9,51.86,51.65,5423632,5423632,-1.12,-2.11,52.18,"October 09, 25",-0.0211,,,,,
2025-10-08,51.93,54.18,51.84,53.27,53.05,5252500,5252500,1.34,2.58,52.805,"October 08, 25",0.0258,,,,,
2025-10-07,52.25,52.5,51.61,51.8,51.59,3172600,3172600,-0.45,-0.86124,52.04,"October 07, 25",-0.0086124,,,,,
