date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,paymentDate,dividend,declarationDate
2025-10-06,51.63,53.11,51.54,52.27,52.06,5959313,5959313,0.64,1.24,52.1375,"October 06, 25",0.0124,,,,,
2025-10-03,54.47,54.55,50.64,50.97,50.76,8163334,8163334,-3.5,-6.43,52.6575,"October 03, 25",-0.0643,,,,,
2025-10-02,54.95,55.45,54.34,55.05,54.83,3202800,3202800,0.1,0.18198,54.9475,"October 02, 25",0.0018198,,,,,
2025-10-01,53.87,55.15,53.58,54.77,54.55,3888300,3888300,0.9,1.67,54.3425,"October 01, 25",0.0167,,,,,
2025-09-30,55.24,55.24,53.39,53.79,53.57,4110929,4110929,-1.45,-2.62,54.415,"September 30, 25",-0.0262,,,,,
2025-09-29,54.93,55.49,54.09,55.25,55.03,4291406,4291406,0.32,0.58256,54.94,"September 29, 25",0.0058256,,,,,
2025-09-26,53.02,54.46,52.99,54.01,53.79,3285899,3285899,0.99,1.87,53.62,"September 26, 25",0.0187,,,,,
2025-09-25,52.89,53.41,52.53,53.06,52.85,2735700,2735700,0.17,0.32142,52.9725,"September 25, 25",0.0032142,,,,,
2025-09-24,53.28,53.47,52.5,52.99,52.78,3383507,3383507,-0.29,-0.54429,53.06,"September 24, 25",-0.0054429,,,,,
2025-09-23,53,54.05,52.91,53.07,52.86,4747200,4747200,0.07,0.13208,53.2575,"September 23, 25",0.0013208,,,,,
2025-09-22,54.43,54.61,52.84,52.86,52.65,5920686,5920686,-1.57,-2.88,53.685,"September 22, 25",-0.0288,,,,,
2025-09-19,53.62,54.41,53.18,53.87,53.65,15691876,15691876,0.25,0.46624,53.77,"September 19, 25",0.0046624,,,,,
2025-09-18,52.84,53.26,52.19,53.21,52.99,4336200,4336200,0.37,0.70023,52.875,"September 18, 25",0.0070023,,,,,
2025-09-17,52.15,53.14,51.68,52.71,52.5,5051110,5051110,0.56,1.07,52.42,"September 17, 25",0.0107,,,,,
2025-09-16,52.63,52.72,51.55,51.86,51.65,6442400,6442400,-0.77,-1.46,52.19,"September 16, 25",-0.0146,,,,,
2025-09-15,53.45,53.49,52.46,53.09,52.87,5735000,5735000,-0.36,-0.67353,53.1225,"September 15, 25",-0.0067353,,,,,
2025-09-12,54.89,54.91,53.32,53.5,53.28,5880975,5880975,-1.39,-2.53,54.155,"September 12, 25",-0.0253,,,,,
2025-09-11,54.63,54.91,53.86,54.71,54.49,5815944,5815944,0.08,0.14644,54.5275,"September 11, 25",0.0014644,,,,,
2025-09-10,54.19,54.67,53.82,54.5,54.28,4945800,4945800,0.31,0.57206,54.295,"September 10, 25",0.0057206,,,,,
2025-09-09,53.72,54.27,53.54,54,53.78,4732726,4732726,0.28,0.52122,53.8825,"September 09, 25",0.0052122,,,,,
2025-09-08,53.9,53.94,53.09,53.75,53.53,6145923,6145923,-0.15,-0.27829,53.67,"September 08, 25",-0.0027829,,,,,
2025-09-05,55.1,55.3,53.61,53.7,53.48,5133778,5133778,-1.4,-2.54,54.4275,"September 05, 25",-0.0254,,,,,
2025-09-04,55.41,55.41,54.62,55.11,54.89,4841598,4841598,-0.3,-0.54142,55.1375,"September 04, 25",-0.0054142,,,,,
2025-09-03,56.91,56.91,55.2,55.37,55.15,5906137,5906137,-1.54,-2.71,56.0975,"September 03, 25",-0.0271,,,,,
2025-09-02,56.87,57.42,56.39,57.01,56.78,5159749,5159749,0.14,0.24618,56.9225,"September 02, 25",0.0024618,,,,,
2025-08-29,57.5,58.05,57.27,57.63,57.4,3245400,3245400,0.13,0.22609,57.6125,"August 29, 25",0.0022609,,,,,
2025-08-28,57.3,57.74,57.11,57.71,57.48,3126725,3126725,0.41,0.71553,57.465,"August 28, 25",0.0071553,,,,,
2025-08-27,55.81,56.92,55.81,56.7,56.47,3176700,3176700,0.89,1.59,56.31,"August 27, 25",0.0159,,,,,
2025-08-26,56.09,56.86,55.81,56.19,55.96,5484133,5484133,0.1,0.17828,56.2375,"August 26, 25",0.0017828,,,,,
2025-08-25,55.5,56.55,55.44,56.22,55.99,4559429,4559429,0.72,1.3,55.9275,"August 25, 25",0.013,,,,,
2025-08-22,53.75,55.21,53.54,55.05,54.83,4015111,4015111,1.3,2.42,54.3875,"August 22, 25",0.0242,,,,,
2025-08-21,53.41,53.79,53.18,53.51,53.29,3451934,3451934,0.1,0.18723,53.4725,"August 21, 25",0.0018723,,,,,
2025-08-20,53.17,54.08,53.17,53.62,53.4,3728947,3728947,0.45,0.84634,53.51,"August 20, 25",0.0084634,,,,,
2025-08-19,53,53.81,52.77,53.6,53.38,3902500,3902500,0.6,1.13,53.295,"August 19, 25",0.0113,,,,,
2025-08-18,53.76,53.98,52.76,52.8,52.59,4643902,4643902,-0.96,-1.79,53.325,"August 18, 25",-0.0179,,,,,
2025-08-15,54.3,54.57,53.65,53.66,53.44,3487759,3487759,-0.64,-1.18,54.045,"August 15, 25",-0.0118,,,,,
2025-08-14,53.82,54.3,53.64,54.12,53.9,3812620,3812620,0.3,0.55741,53.97,"August 14, 25",0.0055741,,,,,
2025-08-13,53.89,54.39,53.58,54.33,54.11,4584312,4584312,0.44,0.81648,54.0475,"August 13, 25",0.0081648,,,,,
2025-08-12,53.15,54.43,52.95,53.89,53.67,5304544,5304544,0.74,1.39,53.605,"August 12, 25",0.0139,,,,,
2025-08-11,52.92,53.14,52.27,53.02,52.81,3689000,3689000,0.1,0.18896,52.8375,"August 11, 25",0.0018896,,,,,
2025-08-08,52.1,53.19,51.57,52.63,52.42,2608187,2608187,0.53,1.02,52.3725,"August 08, 25",0.0102,,,,,
2025-08-07,52.97,53.27,52.63,53.01,52.8,2895406,2895406,0.04,0.07551444,52.97,"August 07, 25",0.0007551444,,,,,
2025-08-06,52.41,52.87,51.95,52.72,52.51,2770233,2770233,0.31,0.59149,52.4875,"August 06, 25",0.0059149,,,,,
2025-08-05,52.42,52.72,51.62,52.2,51.99,3240300,3240300,-0.22,-0.41969,52.24,"August 05, 25",-0.0041969,0.25,2025-08-05,2025-08-13,0.25,2025-07-23
2025-08-04,52.52,52.96,52.2,52.4,51.94,3817937,3817937,-0.12,-0.22848,52.52,"August 04, 25",-0.0022848,,,,,
2025-08-01,52.01,52.65,51.51,52.26,51.8,5586300,5586300,0.25,0.48068,52.1075,"August 01, 25",0.0048068,,,,,
2025-07-31,52.49,52.9,52.2,52.4,51.94,4007716,4007716,-0.09,-0.17146,52.4975,"July 31, 25",-0.0017146,,,,,
2025-07-30,52.42,53.58,52.29,52.97,52.5,4666643,4666643,0.55,1.05,52.815,"July 30, 25",0.0105,,,,,
2025-07-29,52.5,52.96,52.1,52.34,51.88,4119400,4119400,-0.16,-0.30476,52.475,"July 29, 25",-0.0030476,,,,,
2025-07-28,52.8,53.13,52.03,52.49,52.03,7655717,7655717,-0.31,-0.58712,52.6125,"July 28, 25",-0.0058712,,,,,
2025-07-25,51.25,52.5,50.42,52.41,51.95,6937052,6937052,1.16,2.26,51.645,"July 25, 25",0.0226,,,,,
2025-07-24,51.27,52.39,49.47,50.79,50.34,15294442,15294442,-0.48,-0.93622,50.98,"July 24, 25",-0.0093622,,,,,
2025-07-23,48.42,48.96,48.35,48.69,48.26,6858200,6858200,0.27,0.55762,48.605,"July 23, 25",0.0055762,,,,,
2025-07-22,48.45,48.8,47.97,48.52,48.09,4209117,4209117,0.07,0.14448,48.435,"July 22, 25",0.0014448,,,,,
2025-07-21,48.91,49.24,48.09,48.27,47.85,5653805,5653805,-0.64,-1.31,48.6275,"July 21, 25",-0.0131,,,,,
2025-07-18,49.12,49.25,48.34,48.67,48.24,3706715,3706715,-0.45,-0.91612,48.845,"July 18, 25",-0.0091612,,,,,
2025-07-17,49.14,49.35,48.62,48.93,48.5,8021826,8021826,-0.21,-0.42735,49.01,"July 17, 25",-0.0042735,,,,,
2025-07-16,49.57,49.95,49,49.12,48.69,4567978,4567978,-0.45,-0.90781,49.41,"July 16, 25",-0.0090781,,,,,
2025-07-15,50.25,50.35,49.62,49.86,49.42,2371100,2371100,-0.39,-0.77612,50.02,"July 15, 25",-0.0077612,,,,,
2025-07-14,49.65,50.28,49.25,50.23,49.79,2327357,2327357,0.58,1.17,49.8525,"July 14, 25",0.0117,,,,,
2025-07-11,50.5,50.5,49.58,49.81,49.37,3401000,3401000,-0.69,-1.37,50.0975,"July 11, 25",-0.0137,,,,,
2025-07-10,49.69,50.67,49.5,50.52,50.08,3145637,3145637,0.83,1.67,50.095,"July 10, 25",0.0167,,,,,
2025-07-09,49.2,49.73,48.87,49.61,49.17,3334993,3334993,0.41,0.83333,49.3525,"July 09, 25",0.0083333,,,,,
2025-07-08,48.8,49.43,48.56,49.11,48.68,4013943,4013943,0.31,0.63525,48.975,"July 08, 25",0.0063525,,,,,
2025-07-07,47.69,48.39,47.47,48.34,47.92,5285365,5285365,0.65,1.36,47.9725,"July 07, 25",0.0136,,,,,
2025-07-03,47.93,48.59,47.64,48.22,47.8,2373100,2373100,0.29,0.60505,48.095,"July 03, 25",0.0060505,,,,,
2025-07-02,47.49,47.99,47.01,47.85,47.43,5856400,5856400,0.36,0.75805,47.585,"July 02, 25",0.0075805,,,,,
2025-07-01,45.8,47.63,45.6,47.38,46.96,10764400,10764400,1.58,3.45,46.6025,"July 01, 25",0.0345,,,,,
2025-06-30,44.04,44.27,43.2,43.51,43.13,5060500,5060500,-0.53,-1.2,43.755,"June 30, 25",-0.012,,,,,
2025-06-27,43.72,44.41,43.57,44.12,43.73,5912200,5912200,0.4,0.91491,43.955,"June 27, 25",0.0091491,,,,,
2025-06-26,42.92,43.75,42.85,43.62,43.24,4379177,4379177,0.7,1.63,43.285,"June 26, 25",0.0163,,,,,
2025-06-25,42.85,43.34,42.6,42.9,42.52,3791260,3791260,0.05,0.11669,42.9225,"June 25, 25",0.0011669,,,,,
2025-06-24,42.77,42.9,42.06,42.63,42.26,4471110,4471110,-0.14,-0.32733,42.59,"June 24, 25",-0.0032733,,,,,
2025-06-23,41.51,42.4,40.94,41.95,41.58,3227373,3227373,0.44,1.06,41.7,"June 23, 25",0.0106,,,,,
2025-06-20,42.07,42.1,41.39,41.68,41.31,6701318,6701318,-0.39,-0.92703,41.81,"June 20, 25",-0.0092703,,,,,
2025-06-18,41.72,41.98,41.39,41.78,41.41,5368000,5368000,0.06,0.14382,41.7175,"June 18, 25",0.0014382,,,,,
2025-06-17,42.22,42.85,41.54,41.75,41.38,4156136,4156136,-0.47,-1.11,42.09,"June 17, 25",-0.0111,,,,,
2025-06-16,41.31,42.95,41.1,42.81,42.43,6156912,6156912,1.5,3.63,42.0425,"June 16, 25",0.0363,,,,,
2025-06-13,41.25,41.62,40.03,40.33,39.98,4893747,4893747,-0.92,-2.23,40.8075,"June 13, 25",-0.0223,,,,,
2025-06-12,41.52,41.95,40.91,41.91,41.54,2885300,2885300,0.39,0.93931,41.5725,"June 12, 25",0.0093931,,,,,
2025-06-11,42.99,42.99,41.57,41.84,41.47,2983335,2983335,-1.15,-2.68,42.3475,"June 11, 25",-0.0268,,,,,
2025-06-10,42,42.6,41.9,42.49,42.12,3218964,3218964,0.49,1.17,42.2475,"June 10, 25",0.0117,,,,,
2025-06-09,40.53,41.98,40.53,41.9,41.53,4704103,4704103,1.37,3.38,41.235,"June 09, 25",0.0338,,,,,
2025-06-06,40.76,40.76,40.04,40.22,39.87,4699925,4699925,-0.54,-1.32,40.445,"June 06, 25",-0.0132,,,,,
2025-06-05,41.24,41.31,40.04,40.26,39.91,3926194,3926194,-0.98,-2.38,40.7125,"June 05, 25",-0.0238,,,,,
2025-06-04,41.5,41.88,40.85,41.35,40.99,3916100,3916100,-0.15,-0.36145,41.395,"June 04, 25",-0.0036145,,,,,
2025-06-03,40.99,42.8,40.9,42.13,41.76,6849400,6849400,1.14,2.78,41.705,"June 03, 25",0.0278,,,,,
2025-06-02,42.09,42.12,40.36,41.11,40.75,5296282,5296282,-0.98,-2.33,41.42,"June 02, 25",-0.0233,,,,,
2025-05-30,40.87,41.32,40.61,41.16,40.8,7920600,7920600,0.29,0.70957,40.99,"May 30, 25",0.0070957,,,,,
2025-05-29,40.99,41.27,40.47,41.22,40.86,7771947,7771947,0.23,0.56111,40.9875,"May 29, 25",0.0056111,,,,,
2025-05-28,41.63,41.72,40.33,40.61,40.25,6944025,6944025,-1.02,-2.45,41.0725,"May 28, 25",-0.0245,,,,,
2025-05-27,40.38,42.17,40.12,41.64,41.27,7044184,7044184,1.26,3.12,41.0775,"May 27, 25",0.0312,,,,,
2025-05-23,39.39,40.17,39.36,39.8,39.45,4453336,4453336,0.41,1.04,39.68,"May 23, 25",0.0104,,,,,
2025-05-22,40.13,40.41,39.29,40.09,39.74,6600913,6600913,-0.04,-0.09967605,39.98,"May 22, 25",-0.0009967605,,,,,
2025-05-21,40.6,40.85,40.22,40.31,39.96,6230200,6230200,-0.29,-0.71429,40.495,"May 21, 25",-0.0071429,,,,,
2025-05-20,42.2,42.3,40.85,40.94,40.58,5784227,5784227,-1.26,-2.99,41.5725,"May 20, 25",-0.0299,,,,,
2025-05-19,41.98,42.45,41.77,42.31,41.94,3595674,3595674,0.33,0.78609,42.1275,"May 19, 25",0.0078609,,,,,
2025-05-16,42.29,42.48,41.83,42.43,42.06,3979547,3979547,0.14,0.33105,42.2575,"May 16, 25",0.0033105,,,,,
2025-05-15,42.15,42.53,41.88,42.14,41.77,4562400,4562400,-0.01,-0.02372479,42.175,"May 15, 25",-0.0002372479,,,,,
2025-05-14,42.38,42.5,41.98,42.42,42.05,4708869,4708869,0.04,0.09438414,42.32,"May 14, 25",0.0009438414,,,,,
2025-05-13,42.36,42.6,41.98,42.32,41.95,5162308,5162308,-0.04,-0.09442871,42.315,"May 13, 25",-0.0009442871,,,,,
2025-05-12,41.12,42.49,41.12,42.39,42.02,7470739,7470739,1.27,3.09,41.78,"May 12, 25",0.0309,,,,,
2025-05-09,39.78,40.12,39.62,39.79,39.44,5363744,5363744,0.01,0.02513826,39.8275,"May 09, 25",0.0002513826,,,,,
2025-05-08,39.73,40.87,39.46,39.76,39.41,8006359,8006359,0.03,0.07550969,39.955,"May 08, 25",0.0007550969,,,,,
2025-05-07,39.36,39.96,38.91,39.58,39.23,6677660,6677660,0.22,0.55894,39.4525,"May 07, 25",0.0055894,,,,,
2025-05-06,38.06,39.04,37.95,38.81,38.47,6981200,6981200,0.75,1.97,38.465,"May 06, 25",0.0197,0.25,2025-05-06,2025-05-14,0.25,2025-04-23
2025-05-05,37.77,38.64,37.54,38.31,37.73,7925736,7925736,0.54,1.43,38.065,"May 05, 25",0.0143,,,,,
2025-05-02,37.35,38.22,37.24,38.07,37.49,6356211,6356211,0.72,1.93,37.72,"May 02, 25",0.0193,,,,,
2025-05-01,36.78,37.61,36.6,36.81,36.25,5783613,5783613,0.03,0.08156607,36.95,"May 01, 25",0.0008156607,,,,,
2025-04-30,35.9,36.8,35.76,36.67,36.11,5606649,5606649,0.77,2.14,36.2825,"April 30, 25",0.0214,,,,,
2025-04-29,35.7,36.71,35.5,36.57,36.02,5370170,5370170,0.87,2.44,36.12,"April 29, 25",0.0244,,,,,
2025-04-28,35.46,36.49,35.43,36.04,35.49,5844637,5844637,0.58,1.64,35.855,"April 28, 25",0.0164,,,,,
2025-04-25,36.51,36.82,35.63,35.89,35.35,6978018,6978018,-0.62,-1.7,36.2125,"April 25, 25",-0.017,,,,,
2025-04-24,34.47,37.02,34.36,36.61,36.06,11524800,11524800,2.14,6.21,35.615,"April 24, 25",0.0621,,,,,
2025-04-23,35.12,35.94,34.33,34.65,34.13,11854842,11854842,-0.47,-1.34,35.01,"April 23, 25",-0.0134,,,,,
2025-04-22,32.88,34.04,32.83,33.94,33.43,7230340,7230340,1.06,3.22,33.4225,"April 22, 25",0.0322,,,,,
2025-04-21,32.67,32.86,32.2,32.56,32.07,5564200,5564200,-0.11,-0.3367,32.5725,"April 21, 25",-0.003367,,,,,
2025-04-17,32.3,33.07,32.14,32.77,32.27,5739716,5739716,0.47,1.46,32.57,"April 17, 25",0.0146,,,,,
2025-04-16,32.3,32.65,31.6,31.86,31.38,5044574,5044574,-0.44,-1.36,32.1025,"April 16, 25",-0.0136,,,,,
2025-04-15,31.96,32.99,31.96,32.67,32.18,6218331,6218331,0.71,2.22,32.395,"April 15, 25",0.0222,,,,,
2025-04-14,32.64,32.82,31.57,32.12,31.63,6795994,6795994,-0.52,-1.59,32.2875,"April 14, 25",-0.0159,,,,,
2025-04-11,31.74,32.27,30.71,32.09,31.6,5116400,5116400,0.35,1.1,31.7025,"April 11, 25",0.011,,,,,
2025-04-10,32.9,33,31.05,31.72,31.24,7840417,7840417,-1.18,-3.59,32.1675,"April 10, 25",-0.0359,,,,,
2025-04-09,30.81,33.81,30.52,33.73,33.22,13193300,13193300,2.92,9.48,32.2175,"April 09, 25",0.0948,,,,,
2025-04-08,32.99,33.1,30.18,30.7,30.24,11542600,11542600,-2.29,-6.94,31.7425,"April 08, 25",-0.0694,,,,,
2025-04-07,32.36,34.11,31.42,32.1,31.61,10019426,10019426,-0.26,-0.80346,32.4975,"April 07, 25",-0.0080346,,,,,
2025-04-04,35,35.17,32.74,33.37,32.86,11367002,11367002,-1.63,-4.66,34.07,"April 04, 25",-0.0466,,,,,
2025-04-03,37.51,37.87,35.56,36.41,35.86,11130100,11130100,-1.1,-2.93,36.8375,"April 03, 25",-0.0293,,,,,
2025-04-02,39,39.28,38.5,39.04,38.45,5403548,5403548,0.04,0.10256,38.955,"April 02, 25",0.0010256,,,,,
2025-04-01,38.63,39.29,38.63,39.15,38.56,6310400,6310400,0.52,1.35,38.925,"April 01, 25",0.0135,,,,,
2025-03-31,37.44,38.8,37.38,38.63,38.05,5684727,5684727,1.19,3.18,38.0625,"March 31, 25",0.0318,,,,,
2025-03-28,40,40.16,38.13,38.18,37.6,5782300,5782300,-1.82,-4.55,39.1175,"March 28, 25",-0.0455,,,,,
2025-03-27,40.13,40.75,40.01,40.32,39.71,3582500,3582500,0.19,0.47346,40.3025,"March 27, 25",0.0047346,,,,,
2025-03-26,40.35,40.65,40.07,40.31,39.7,4278157,4278157,-0.04,-0.09913259,40.345,"March 26, 25",-0.0009913259,,,,,
2025-03-25,41.56,41.71,40.17,40.27,39.66,7675328,7675328,-1.29,-3.1,40.9275,"March 25, 25",-0.031,,,,,
2025-03-24,42,42.42,41.16,41.5,40.87,5573516,5573516,-0.5,-1.19,41.77,"March 24, 25",-0.0119,,,,,
2025-03-21,42.38,42.44,40.9,41.93,41.3,7760570,7760570,-0.45,-1.06,41.9125,"March 21, 25",-0.0106,,,,,
2025-03-20,43.45,43.8,42.83,42.88,42.23,3908807,3908807,-0.57,-1.31,43.24,"March 20, 25",-0.0131,,,,,
2025-03-19,43.51,44.21,43.43,43.91,43.25,4339228,4339228,0.4,0.91933,43.765,"March 19, 25",0.0091933,,,,,
2025-03-18,43.7,43.88,43.02,43.27,42.61,4039011,4039011,-0.43,-0.98398,43.4675,"March 18, 25",-0.0098398,,,,,
2025-03-17,43.37,44.33,43.37,43.67,43.01,4643737,4643737,0.3,0.69172,43.685,"March 17, 25",0.0069172,,,,,
2025-03-14,43.23,44.29,42.66,43.19,42.54,9203897,9203897,-0.04,-0.09252834,43.3425,"March 14, 25",-0.0009252834,,,,,
