holder,shares,dateReported,change
VANGUARD GROUP INC,52859085,2025-09-30,11048679
"BlackRock, Inc.",30968967,2025-09-30,-9267761
STATE STREET CORP,18648758,2025-09-30,3517729
CANTILLON CAPITAL MANAGEMENT LLC,12664026,2025-09-30,-139605
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,12174526,2025-09-30,-315575
WELLINGTON MANAGEMENT GROUP LLP,10901171,2025-09-30,1630620
Greenwich Wealth Management LLC,10367276,2025-09-30,-497256
"GEODE CAPITAL MANAGEMENT, LLC",10344360,2025-09-30,3661731
Orbis Allan Gray Ltd,9543872,2025-09-30,-196200
JPMORGAN CHASE & CO,9050456,2025-09-30,-1097942
BANK OF AMERICA CORP /DE/,7628167,2025-09-30,33261
Egerton Capital (UK) LLP,6254134,2025-09-30,-1802710
FMR LLC,6228484,2025-09-30,-447103
AMERICAN CENTURY COMPANIES INC,5953647,2025-09-30,351136
Invesco Ltd.,5753607,2025-09-30,309455
Waverton Investment Management Ltd,4922936,2025-09-30,481693
Neuberger Berman Group LLC,4840533,2025-09-30,-35244
"JACOBS LEVY EQUITY MANAGEMENT, INC",4737541,2025-09-30,-659389
BAMCO INC /NY/,4609768,2025-09-30,411344
"TWO SIGMA ADVISERS, LP",4192800,2025-09-30,813900
MORGAN STANLEY,4058866,2025-09-30,-564202
ROYAL BANK OF CANADA,3728111,2025-09-30,-462147
"Jarislowsky, Fraser Ltd",3724608,2025-09-30,-492093
"TWO SIGMA INVESTMENTS, LP",3575453,2025-09-30,552725
NORTHERN TRUST CORP,3560023,2025-09-30,-127808
"MARSHALL WACE, LLP",3484551,2025-09-30,-1930819
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,3304010,2025-09-30,-7289
WELLS FARGO & COMPANY/MN,3259238,2025-09-30,-168739
FIRST TRUST ADVISORS LP,2856099,2025-09-30,1351285
Bank of New York Mellon Corp,2481243,2025-09-30,-752408
CITIGROUP INC,2432598,2025-09-30,928978
TD ASSET MANAGEMENT INC,2300711,2025-09-30,2196067
RAYMOND JAMES FINANCIAL INC,2144864,2025-09-30,84460
"Progeny 3, Inc.",2126460,2025-09-30,0
"Bares Capital Management, Inc.",2060589,2025-09-30,-950511
DEUTSCHE BANK AG\,1903456,2025-09-30,1233182
Legal & General Group Plc,1848697,2025-09-30,86853
Amundi,1847642,2025-09-30,1181309
"Empower Advisory Group, LLC",1845680,2025-09-30,-1166
UBS ASSET MANAGEMENT AMERICAS INC,1790743,2025-09-30,-230400
Bronte Capital Management Pty Ltd.,1761171,2025-09-30,-643478
"Ensign Peak Advisors, Inc",1734532,2025-09-30,-324934
"Ancient Art, L.P.",1643636,2025-09-30,0
GOLDMAN SACHS GROUP INC,1632486,2025-09-30,321131
SOROS FUND MANAGEMENT LLC,1584057,2025-09-30,-649670
"TimesSquare Capital Management, LLC",1545356,2025-09-30,-44919
