holder,shares,dateReported,change
VANGUARD GROUP INC,61472045,2025-09-30,-18949285
"BlackRock, Inc.",43544344,2025-09-30,2041427
Capital Research Global Investors,27531119,2025-09-30,-140754
STATE STREET CORP,23806914,2025-09-30,3027125
"Nuveen, LLC",23530785,2025-09-30,-146986
Orbis Allan Gray Ltd,18948827,2025-09-30,548409
"GEODE CAPITAL MANAGEMENT, LLC",13640209,2025-09-30,850148
FMR LLC,12179069,2025-09-30,-38805
FRANKLIN RESOURCES INC,11353140,2025-09-30,5511887
UBS Group AG,11240153,2025-09-30,8218351
Invesco Ltd.,10083045,2025-09-30,246041
Bank of New York Mellon Corp,8693951,2025-09-30,193099
FIL Ltd,8531101,2025-09-30,151040
SOROS FUND MANAGEMENT LLC,7747090,2025-09-30,266503
AMERIPRISE FINANCIAL INC,7588946,2025-09-30,94782
CAUSEWAY CAPITAL MANAGEMENT LLC,7522983,2025-09-30,507289
JPMORGAN CHASE & CO,6251085,2025-09-30,889239
BANK OF AMERICA CORP /DE/,6077875,2025-09-30,812868
NORDEA INVESTMENT MANAGEMENT AB,5774223,2025-09-30,305974
DEUTSCHE BANK AG\,5630211,2025-09-30,227573
BARCLAYS PLC,5269743,2025-09-30,3180531
ALLIANCEBERNSTEIN L.P.,5253256,2025-09-30,-88614
MORGAN STANLEY,5197012,2025-09-30,898335
Pictet Asset Management Holding SA,4992785,2025-09-30,116031
"MARSHALL WACE, LLP",4882947,2025-09-30,1795133
DIMENSIONAL FUND ADVISORS LP,4414380,2025-09-30,282279
NORTHERN TRUST CORP,4341440,2025-09-30,219416
Amundi,4138100,2025-09-30,116003
Legal & General Group Plc,4116572,2025-09-30,770812
GOLDMAN SACHS GROUP INC,3637208,2025-09-30,770669
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,3177003,2025-09-30,265904
JANUS HENDERSON GROUP PLC,2927470,2025-09-30,2207334
MILLENNIUM MANAGEMENT LLC,2903516,2025-09-30,1498061
CITIGROUP INC,2516909,2025-09-30,-141940
THOMPSON SIEGEL & WALMSLEY LLC,2449816,2025-09-30,620796
Incentive AS,2022540,2025-09-30,-300000
"Pacer Advisors, Inc.",1861635,2025-09-30,1821862
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",1832906,2025-09-30,1439204
"Polaris Capital Management, LLC",1742660,2025-09-30,-35400
Swiss National Bank,1504597,2025-09-30,-75600
LANSDOWNE PARTNERS (UK) LLP,1286111,2025-09-30,-17945
HSBC HOLDINGS PLC,1266948,2025-09-30,328629
Vontobel Holding Ltd.,1241578,2025-09-30,-19601
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1239822,2025-09-30,372177
"Sumitomo Mitsui Trust Holdings, Inc.",1209753,2025-09-30,160796
"BNP PARIBAS ARBITRAGE, SNC",1186165,2025-09-30,299746
AVIVA PLC,1176623,2025-09-30,135490
"LAKEWOOD CAPITAL MANAGEMENT, LP",1160297,2025-09-30,0
"Cullen Capital Management, LLC",1153374,2025-09-30,639283
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1047724,2025-09-30,71181
PRICE T ROWE ASSOCIATES INC /MD/,1045791,2025-09-30,9221
ROYAL BANK OF CANADA,1018510,2025-09-30,328197
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",975257,2025-09-30,676735
Man Group plc,973724,2025-09-30,366354
Universal- Beteiligungs- und Servicegesellschaft mbH,970595,2025-09-30,74360
PATTEN & PATTEN INC/TN,946185,2025-09-30,-3853
RHUMBLINE ADVISERS,942245,2025-09-30,14985
CITADEL ADVISORS LLC,933972,2025-09-30,-1092521
MACKENZIE FINANCIAL CORP,917916,2025-09-30,-104601
National Pension Service,873660,2025-09-30,24151
BANK OF MONTREAL /CAN/,868145,2025-09-30,365428
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,856806,2025-09-30,856806
Ruffer LLP,785589,2025-09-30,-3759121
Zurich Insurance Group Ltd/FI,780231,2025-09-30,-581112
Compagnie Lombard Odier SCmA,757886,2025-09-30,-141647
Evelyn Partners Investment Management LLP,744565,2025-09-30,-34113
Liontrust Investment Partners LLP,742735,2025-09-30,6482
"MOORE CAPITAL MANAGEMENT, LP",737354,2025-09-30,737354
FIRST TRUST ADVISORS LP,731607,2025-09-30,3897
SEI INVESTMENTS CO,725778,2025-09-30,60616
GROUPAMA ASSET MANAGMENT,644001,2025-09-30,35651
PRINCIPAL FINANCIAL GROUP INC,630046,2025-09-30,70305
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,627822,2025-09-30,813
NEW YORK STATE COMMON RETIREMENT FUND,587635,2025-09-30,67269
SALEM INVESTMENT COUNSELORS INC,561092,2025-09-30,-940
"Savant Capital, LLC",545891,2025-09-30,-218
WELLINGTON MANAGEMENT GROUP LLP,503419,2025-09-30,-84735
Foresight Group Ltd Liability Partnership,502569,2025-09-30,-68199
J. Goldman & Co LP,501661,2025-09-30,132775
SYCOMORE ASSET MANAGEMENT,488737,2025-09-30,0
Albar Capital Partners LLP,475457,2025-09-30,310242
"ADAGE CAPITAL PARTNERS GP, L.L.C.",475289,2025-09-30,21100
Lombard Odier Asset Management (Europe) Ltd,470863,2025-09-30,77621
"NATIXIS ADVISORS, L.P.",456528,2025-09-30,55255
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,434274,2025-09-30,-7819
Tredje AP-fonden,427457,2025-09-30,17993
BROWN ADVISORY INC,417419,2025-09-30,417419
ENVESTNET ASSET MANAGEMENT INC,405585,2025-09-30,-1904
Capital International Investors,388544,2025-09-30,388544
BANQUE PICTET & CIE SA,378052,2025-09-30,22442
Ninety One UK Ltd,376677,2025-09-30,376677
Arnhold LLC,353145,2025-09-30,0
Distillate Capital Partners LLC,352377,2025-09-30,352377
Exane Asset Management,345393,2025-09-30,90233
AE Wealth Management LLC,338848,2025-09-30,21789
Access Investment Management LLC,331275,2025-09-30,5800
abrdn plc,329621,2025-09-30,297003
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,322117,2025-09-30,-822
"Point72 Asset Management, L.P.",316897,2025-09-30,-610414
"Gotham Asset Management, LLC",314068,2025-09-30,314068
Artemis Investment Management LLP,310789,2025-09-30,77314
STATE OF WISCONSIN INVESTMENT BOARD,274159,2025-09-30,-2833
"Chevy Chase Trust Holdings, LLC",266466,2025-09-30,4528
