holder,shares,dateReported,change
VANGUARD GROUP INC,516437627,2025-09-30,-121982
"BlackRock, Inc.",428440195,2025-09-30,-1783497
FMR LLC,229968777,2025-09-30,13584328
STATE STREET CORP,226337877,2025-09-30,-3616392
"GEODE CAPITAL MANAGEMENT, LLC",143526361,2025-09-30,1911077
MORGAN STANLEY,121945648,2025-09-30,-12544279
PRICE T ROWE ASSOCIATES INC /MD/,85450886,2025-09-30,11227071
JPMORGAN CHASE & CO,69893893,2025-09-30,9704869
BANK OF AMERICA CORP /DE/,68951044,2025-09-30,-1538264
NORTHERN TRUST CORP,66505561,2025-09-30,-149482
WELLINGTON MANAGEMENT GROUP LLP,65608960,2025-09-30,-433698
Capital World Investors,53107572,2025-09-30,11605785
GOLDMAN SACHS GROUP INC,51436182,2025-09-30,4483521
Capital Research Global Investors,50732476,2025-09-30,6874381
Invesco Ltd.,45186112,2025-09-30,1034292
UBS ASSET MANAGEMENT AMERICAS INC,43302985,2025-09-30,-12085456
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,39747262,2025-09-30,107038
Legal & General Group Plc,39250829,2025-09-30,392547
AMERIPRISE FINANCIAL INC,37972683,2025-09-30,-479427
"Fisher Asset Management, LLC",37522955,2025-09-30,837893
DEUTSCHE BANK AG\,37174602,2025-09-30,-1421904
Capital International Investors,36904644,2025-09-30,3663832
FRANKLIN RESOURCES INC,35262355,2025-09-30,3444671
ROYAL BANK OF CANADA,31291342,2025-09-30,1123113
Amundi,29367090,2025-09-30,-2644201
WELLS FARGO & COMPANY/MN,28840366,2025-09-30,4391980
"Nuveen, LLC",28687958,2025-09-30,2204290
SCHRODER INVESTMENT MANAGEMENT GROUP,24948653,2025-09-30,-281243
UBS Group AG,24382097,2025-09-30,-1434059
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,23673950,2025-09-30,-2546964
BARCLAYS PLC,22629169,2025-09-30,-3862042
BANK OF MONTREAL /CAN/,20802804,2025-09-30,-302975
DIMENSIONAL FUND ADVISORS LP,20579829,2025-09-30,303546
AMERICAN CENTURY COMPANIES INC,20163328,2025-09-30,-357409
JENNISON ASSOCIATES LLC,19121915,2025-09-30,4303643
BERKSHIRE HATHAWAY INC,17846142,2025-09-30,17846142
LOOMIS SAYLES & CO L P,17179969,2025-09-30,-225605
Swiss National Bank,16776600,2025-09-30,-880500
PRIMECAP MANAGEMENT CO/CA/,15777214,2025-09-30,-971080
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",15305324,2025-09-30,-557793
HSBC HOLDINGS PLC,15060192,2025-09-30,432739
"Sumitomo Mitsui Trust Holdings, Inc.",14364600,2025-09-30,86803
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,14080453,2025-09-30,-515206
RAYMOND JAMES FINANCIAL INC,13355093,2025-09-30,157844
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",13115972,2025-09-30,-1981735
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",12890312,2025-09-30,4758191
National Pension Service,11947797,2025-09-30,363295
NORDEA INVESTMENT MANAGEMENT AB,11599981,2025-09-30,-1305723
HARRIS ASSOCIATES L P,11407227,2025-09-30,-4342649
DODGE & COX,11338777,2025-09-30,63559
DekaBank Deutsche Girozentrale,11282439,2025-09-30,0
PRINCIPAL FINANCIAL GROUP INC,11258069,2025-09-30,758195
FIL Ltd,11161630,2025-09-30,-2820436
VICTORY CAPITAL MANAGEMENT INC,10845653,2025-09-30,348570
CANADA PENSION PLAN INVESTMENT BOARD,10790906,2025-09-30,1541208
