symbol,date,calendarYear,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
PAYC,2024-12-31,2024,FY,0.11188522170396174,0.09256384930153803,0.37550073792958044,0.4054952359849324,0.47305656302451965,0.5109983079526226,0.5170068027210885,-0.0261146827941151,-0.02887501293683375,0.34294561018707576,0.10074076823005255,0.18318147436208823,10.052959196175506,1.6147233774147627,0.8376299270345374,20.17336540269508,1.4383402522930666,0.7218939635899074,77.52572799774777,1.8473162274552986,1.6385541315353052,17.829665512827912,2.0649029282306604,0.8161838788188762,0,0,0,0.46839080459770116,0,0.3960452650387135,0.2418708168666341,0.09881422924901186,0.21909547738693466,-0.1596995890605073
PAYC,2023-12-31,2023,FY,0.23160267597440373,0.21926881720430108,0.20964039785768937,0.19170847636651703,0.21109211802877867,0.21604938271604934,0.21487603305785125,-0.00381508078994614,-0.0034550923936398797,0,0.32849360317499443,0.26237270318214667,12.00725175640893,1.9908510940790478,1.009838621541829,22.59936155954397,1.6246139061758034,1.1315617495450876,35.5206885292798,1.4865099199724068,1.372025837995676,210.70612643293322,2.892713227068706,0.9843658458539821,8.905536320864169,0,0,0.2242313375079153,-0.12881144990665838,0.07558898586628668,0.10602261601497842,1.6172413793103448,0.3418745785569791,0.20488304592794945
PAYC,2022-12-31,2022,FY,0.3028600012884596,0.30086231785129997,0.5318680116579805,0.4934908722349517,0.43595121453357827,0.43362831858407086,0.4362017804154302,0.00074285220696208,-0.00027495660841023525,0,0.14322618220076277,0.18188642128694932,13.738504811048902,2.1707663051387422,0.8524348766808423,26.387713405346084,1.7912943056688049,0.6176984516767738,571.5404121004127,3.2055088490189445,0.5484132653587056,16.806917907219045,3.198420672124666,1.2313941746585781,-1,0,0,0.09740184534609891,0.4208664898320071,0.21379066885008297,0.3222676940195304,-0.005316412279197393,0.2522587945214733,0.20555580712753738
PAYC,2021-12-31,2021,FY,0.25443469125326523,0.24481534724079523,0.37647280255975907,0.36236252370744076,0.3660223208995281,0.36144578313253006,0.36991869918699194,0.004599097535577924,-0.0016127648623144892,0,0.4055992993173626,0.45126028323504,14.2003768993148,2.188357107895155,0.8581846835706213,27.959171545486946,2.208744252304002,0.7228055237590778,111.89097375928036,3.4440375013004014,0.42539684412512585,0,6.62522784923586,1.6617607454324692,-1,0,0,0.32313429023854523,-0.01737619461337967,0.2328425959158131,0.35687033823665804,-0.05628924710299735,0.3122866894197952,0.17375022951516733
PAYC,2020-12-31,2020,FY,0.14066297848227732,0.14327211573375123,-0.18091240248957172,-0.17726235943136007,-0.20558102959418748,-0.20700636942675155,-0.20388349514563103,0.0010249995656781501,-0.0018837229214830036,0,0.013127444116951971,0.013523288839479475,11.173040989480487,2.6723655107356876,0.9504449984148754,19.697475883847584,4.184109977100431,0.7463336240135108,82.02219416429803,5.715329641805793,1.1554420470633888,0,5.538680674800885,1.340066588334326,-1,0,0,0.46996546027932123,-0.006044905008635579,0.04865260883254246,0.24370837543535706,-0.05328961480709711,0.23486590038314176,0.3490515611759338
PAYC,2019-12-31,2019,FY,0.3025324189173918,0.32035250108816105,0.293770693595172,0.30227096105690354,0.31744792616641737,0.31932773109243706,0.32051282051282054,-0.002604601887862025,-0.003200376303593535,0,0.21343274698756068,0.051380582975078255,9.682838472956556,3.227200204674738,1.2407802256062634,19.45023151623111,7.683515511333253,1.2659337036946072,103.6139316572519,26.578857325562225,3.1182055567581304,0,5.143641724959329,3.5185169698335907,-1,0,0,0.80558568329718,0.45294855708908405,0.6340590804020695,0.5772920279462589,-0.05106283986158364,0.5802106082556706,0.2758331046297913
PAYC,2018-12-31,2018,FY,0.3077933803951996,0.31730739933355306,0.36406178338502676,0.3392568036388868,1.0516562635651954,1.0695652173913044,1.0707964601769913,-0.002210267421783738,-0.0035300720008272155,0,0.41513782542113326,0.7540969793992501,7.180229357022953,3.3490134905610085,1.4678132757951652,15.80930966734971,7.991555483270849,3.210238506555472,78.19967988182975,13.687529792636047,5.406141915250576,0,53.385235717030284,2.3331853263156734,-1,-1,0,-0.1446132436507016,-0.18590398365679264,0.12305669276928843,1.477766448321821,-0.02586255736218911,0.519783108774236,0.2586013795702189
PAYC,2017-12-31,2017,FY,0.31568841317247015,0.31243842588384985,0.260612652869238,0.27491645370552387,0.523882299270073,0.5131578947368419,0.5270270270270269,0.005020851012100669,-0.0030199379498396244,0,0.31981849969177284,0.2912707623123232,5.241160862968965,3.648246951269401,1.4696279499252585,10.851959785484526,8.811832937044553,4.032543350683783,37.51747917667696,136.6650128636651,9.154173979754546,0,3.2413372307943646,2.2652483938266395,-1,-1,0,3.245691777449532,0.45037037037037037,0.25639501841717094,0.15617464639570597,0.18367757510729613,0.45139750071544404,0.3219912132009548
PAYC,2016-12-31,2016,FY,0.4651084116392837,0.4540384818691194,1.9196612497138934,1.954552054595615,1.0931009787538792,1.0540540540540542,1.0555555555555556,0.018674764586069925,0.01810090521877703,0,1.3027320115423997,1.087121068765848,3.7674637391385484,3.7674637391385484,1.534618922325627,8.025079367011923,8.025079367011923,3.8276522638544113,24.40279503182557,24.40279503182557,3.7109320315796355,0,0,17.98441442339193,-1,-1,-1,-0.7767395844783995,-0.38243366880146384,0.2302078188995327,0.16352481975049063,0.15857353740968066,1.4302770372087632,0.029598233366576434
PAYC,2015-12-31,2015,FY,0.488468087643859,0.5304463195023097,1.6727842777395427,1.193312101910828,2.6985696627229383,2.3636363636363638,2.272727272727273,0.13480225053136385,0.11690523702261527,0,0.923803554640283,2.2754431635056402,2.31476835677009,2.31476835677009,1.4687493635905446,2.992483951010635,2.992483951010635,2.3052411786888665,11.363085446684469,11.363085446684469,44.54485760778027,0,0,0.5178920698620234,-1,-1,-1,1.4395280235988202,4.605128205128205,0.0974175847558396,0.16856886718033853,-0.04581510860701312,0.9946820809248554,0.4172926257975931
PAYC,2014-12-31,2014,FY,0.40267283761303335,0.42556798523815015,0.22547090244588136,0.6575168918918919,-0.2655946051095837,7.73015873015873,7.870967741935485,0.043992233748517344,0.07206352485862075,-1,0.3151789919924635,43.015625,1.5271664353968175,1.5271664353968175,1.5271664353968175,1.3550636248119297,1.3550636248119297,1.3550636248119297,2.7932656317956868,2.7932656317956868,2.7932656317956868,0,0,0,-1,-1,-1,1.010242587601078,-0.6626297577854672,0.39677616741551425,39.53306976597248,-0.6708595132068566,1.0153774464119292,0.3870326284834057
PAYC,2013-12-31,2013,FY,0.4008722822549147,0.43360227498181336,0.6449822722367813,0.5444317625957933,19.992610837438423,2.4823529411764707,2.4761904761904763,0,0,-0.7147904033746375,0.5476581009659195,-1.0383769738157105,0.8809390623361184,0.8809390623361184,0.8809390623361184,0.8694551458447992,0.8694551458447992,0.8694551458447992,4.392307692307693,4.392307692307693,4.392307692307693,0,0,0,2.7484407484407485,2.7484407484407485,2.7484407484407485,1.982315112540193,-0.19047619047619047,0.3431504002517277,-0.9679537597629456,1.8709281961471103,0.31495098039215685,0.46852571616591604
PAYC,2012-12-31,2012,FY,0.34269132608467645,0.3767640899572066,3.14769820971867,3.2122252747252746,-1.283916083916084,-1.2833333333333334,-1.2837837837837838,0,0,12.142758142758142,0.20792515134837644,1.8652715323417504,0.3426913260846765,0.3426913260846765,0.3426913260846765,0.20792515134837644,0.20792515134837644,0.20792515134837644,-1.283916083916084,-1.283916083916084,-1.283916083916084,0,0,0,12.142758142758142,12.142758142758142,12.142758142758142,0,0,0,0,0,0.33224489795918366,0.3159860355606073
PAYC,2011-12-31,2011,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
