symbol,date,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
WST,2015-12-31,2015,FY,2.1434934775692014,1.567292395800191,0.8736875596563792,47.36123032904149,70.03019387646997,117.39142420551146,46.3258819790232,71.06554222648825,0.3248211731044349,0.08991416309012876,0.08719599427753934,0.06838340486409156,0.21575061525840852,0.056397852634062884,0.09336849301689618,0.09103418308227115,0.7842493847415914,0.9697692919649961,0.08991416309012876,0.17591882484809157,0.29123937884559037,0.18271072796934865,0.22555026094849104,10.743589743589743,0.7122736418511066,1.6555327668717648,7.706725468577729,7.878964941569282,5.212037548315847,1.9389736477115118,0.8247301044186184,2.95,1.1222222222222222,3.813888888888889,0.3389121338912134,0.151931330472103,0.3804143126177024,0.7122736418511066,3.064935064935065,1.6139817629179332,1.2951219512195122,0.3389121338912134,4.234632288309405,4.234632288309405,3.101459227467811,45.35397489539749,53.661386138613864,20.413559322033898,20.413559322033898,-1.764861197016555,3.101459227467811,0.007472600464961807,20.024988516306845,4.234632288309405
WST,2014-12-31,2014,FY,2.611089108910891,1.8922772277227722,1.011089108910891,45.955546177111906,68.02988293284042,113.98542910995232,38.643972068186486,75.34145704176584,0.3150453682211437,0.12794541745797286,0.12259970457902511,0.08940001406766547,0.2707974756167527,0.07606679035250463,0.1328247465774898,0.1282430908065426,0.7292025243832473,0.9582188015393073,0.12794541745797286,0.20078999341672152,0.35061134914829134,0.24439355653821856,0.25959455277004023,9.328205128205129,0.545156482861401,1.7461594732991954,7.942458100558659,9.445198836081474,5.365289256198347,2.014310002833664,0.8508588186007541,2.5796897038081807,0.998589562764457,3.6008462623413258,0.22895357985837922,0.1286488007315186,0.3870967741935484,0.545156482861401,6.724264705882353,1.631578947368421,1.295325779036827,0.22895357985837922,3.9447340369944617,3.9447340369944617,2.6550720967855383,29.698788355625492,53.31519774011299,20.6381410606889,20.6381410606889,2.6563916251420583,2.6550720967855383,0.007709189247614919,13.841709156193897,3.9447340369944617
WST,2013-12-31,2013,FY,2.7467285774588435,2,0.970873786407767,49.53990644642596,68.78502183871312,118.3249282851391,41.99424736337488,76.33068092176421,0.31391609413828386,0.11453003946791404,0.1114603128197632,0.08207864347317644,0.2636065573770492,0.06718114381430965,0.12389673433362754,0.10922144002230431,0.7363934426229508,0.97319719208679,0.11453003946791404,0.2234386216798277,0.41206972639011474,0.2906002974094075,0.29181967341198534,7.874371859296482,0.5903614457831325,1.8442188879082082,7.3677975228863755,8.691666666666666,5.306387789711701,1.9224392300126458,0.8184972481454893,3.168103448275862,0.9295977011494253,3.4123563218390807,0.23864648263579696,0.1611606490279199,0.29342403628117913,0.5903614457831325,100.22727272727273,1.4152759948652118,1.2075575027382257,0.23864648263579696,3.767184466019418,3.767184466019418,2.495670223651513,30.40584149599288,52.77551777434312,15.48560544217687,15.48560544217687,0.8614988423864647,2.495670223651513,0.007848705080806519,14.108152260111023,3.767184466019418
WST,2012-12-31,2012,FY,2.128724216959511,1.5091673032849504,0.618411000763942,50.43825015792798,67.3833371272479,117.82158728517587,42.748122012292285,75.0734652728836,0.3062223626026532,0.10778584965255843,0.08954516740366393,0.06372394188250158,0.28835978835978837,0.05159846547314578,0.11071477568939497,0.10482260789433266,0.7116402116402116,0.8307692307692308,0.10778584965255843,0.2631074168797954,0.5645493208944986,0.34196984743161507,0.3608383023500526,9.413793103448276,0.45540704738760635,2.1456989984908765,7.236571428571429,8.538386783284743,5.416769420468557,1.8929745889387144,0.8097186700767264,2.7558823529411764,0.8147058823529412,2.5632352941176473,0.30855018587360594,0.1479785217940619,0.29562433297758806,0.45540704738760635,5.730886850152905,1.4196969696969697,1.1943913320586361,0.30855018587360594,2.5543147208121826,2.5543147208121826,1.4701831964624132,23.071127633209418,33.6072202166065,9.935112059765208,9.935112059765208,3.69138042131352,1.4701831964624132,0.013373866712499462,10.5572,2.5543147208121826
WST,2011-12-31,2011,FY,1.9407894736842106,1.316611842105263,0.3774671052631579,45.051148750628876,64.90979381443299,109.96094256506186,38.3985473289597,71.56239523610216,0.28425289283917493,0.09718262619486835,0.08301190675834312,0.063307060204595,0.23737373737373738,0.0539632620970624,0.11528477630172546,0.10026818928973094,0.7626262626262627,0.8541846419327006,0.09718262619486835,0.24973197055249804,0.5335165674148725,0.31366589813456297,0.34790401274519567,7.726666666666667,0.3740698340011448,2.1363566956787294,8.101902173913043,9.505567928730512,5.6231884057971016,2.009097035040431,0.8524051175755843,1.9391691394658754,0.5029673590504451,1.3620178041543027,0.3072847682119205,0.10959248700318631,0.2593726090283091,0.3740698340011448,2.6087824351297404,1.350206611570248,1.0891666666666666,0.3072847682119205,1.9533547106428462,1.9533547106428462,1.0726580580244842,16.94373509933775,37.73604719764012,9.78769701606733,9.78769701606733,1.1860614569536412,1.0726580580244842,0.01813559799007545,8.37978189749182,1.9533547106428462
WST,2010-12-31,2010,FY,2.572775486152033,1.7065409546258103,0.6493812610489098,41.76337467185661,68.16795832803965,109.93133299989626,29.30758480498031,80.62374819491595,0.28749886847107814,0.09595365257535983,0.07142210554901783,0.05911107087897167,0.17237008871989862,0.05045198176620567,0.10436311331308934,0.09425573537257692,0.8276299112801014,0.7443396226415094,0.09595365257535983,0.27690643591130343,0.5727984657183954,0.36399674730636306,0.3641906310334316,7.794117647058823,0.38588169642857145,2.06856320920569,8.739715189873417,12.454113924050633,5.354421768707483,1.9911679884643114,0.8535115506451364,2.0765765765765765,0.9684684684684685,1.6546546546546546,0.332312404287902,0.12519235991671948,0.46637744034707157,0.38588169642857145,461,1.8739837398373984,1.4481675392670157,0.332312404287902,2.192680198178041,2.192680198178041,1.2419299357291573,21.01010719754977,21.270697674418603,9.920173535791758,9.920173535791758,-1.7939399222523247,1.2419299357291573,0.015816787661447854,10.044389336639801,2.192680198178041
WST,2009-12-31,2009,FY,2.321449444769141,1.5663354763296318,0.4856808883693746,47.95443781377285,62.70176838186411,110.65620619563697,33.19505384922218,77.46115234641479,0.2875816993464052,0.10040731268352751,0.08155726058539357,0.06876953680022733,0.156794425087108,0.05712037765538946,0.12536694871352097,0.09637239749068097,0.8432055749128919,0.8122641509433962,0.10040731268352751,0.2986624704956727,0.6554999136591262,0.39563765393446043,0.39595285282152914,6.973684210526316,0.36275026343519495,2.1947850112243135,7.611391492429704,10.99561403508772,5.821207430340557,1.82931900883729,0.8306058221872541,2.0990853658536586,0.4557926829268293,1.266768292682927,0.2768595041322314,0.13043478260869565,0.21713870733478577,0.36275026343519495,275.4,1.2773654916512058,1.0766223612197028,0.2768595041322314,2.220272837161112,2.220272837161112,1.2179217580752109,17.710192837465566,43.00200668896321,9.337400145243283,9.337400145243283,-1.0706616579013275,1.2179217580752109,0.015632777501244397,9.508774038461539,2.220272837161112
WST,2008-12-31,2008,FY,2.3016970458830923,1.5744814582023885,0.5480829666876178,44.6570260152764,56.420173680694724,101.07719969597113,32.96459585838343,68.1126038375877,0.2878888785918456,0.11854247942017171,0.10493768443053723,0.08181904679080872,0.21486854034451497,0.07358603576623599,0.17655512215150893,0.12341521394611728,0.7796917497733454,0.8852327447833066,0.11854247942017171,0.3302815093693848,0.7924450831451447,0.43959963184537504,0.44210285190699805,7.7875,0.34974093264248707,2.3993019913775404,8.173405902021774,11.072485207100591,6.469317199654278,1.9794726911487759,0.8993753734919141,2.0833333333333335,-0.06327160493827161,1.412037037037037,0.21627906976744185,0.1284368757762695,-0.03037037037037037,0.34974093264248707,34.61538461538461,0.9705248023005032,0.8560558021559924,0.21627906976744185,2.5129788544446727,2.5129788544446727,1.1645628400385908,14.233395348837211,-298.5541463414634,9.0672,9.0672,0.6148826790697678,1.1645628400385908,0.01519518459698449,8.183084363245566,2.5129788544446727
WST,2007-12-31,2007,FY,2.2542372881355934,1.6429743028977584,0.5926735921268452,48.697676698362905,56.030481944253744,104.72815864261665,40.29383495812165,64.434323684495,0.28605038721693954,0.11077345358298206,0.08714831879227526,0.06930693069306931,0.19347581552305962,0.05963225371120108,0.14568308262930146,0.11269572155181011,0.7952755905511811,0.7867256637168142,0.11077345358298206,0.333248987854251,0.8141355862353183,0.44846005227866803,0.4487732848705134,7.793103448275862,0.3270058213110605,2.443024933031115,7.495224099926524,9.058457711442786,6.514311270125224,2.1177081170853227,0.8604082321187584,1.9755351681957187,-0.0030581039755351682,1.9785932721712538,0.24752475247524752,0.12665424958337418,-0.0015479876160990713,0.3270058213110605,258.4,0.9984544049459042,0.8795098706603132,0.24752475247524752,2.7356686585617145,2.7356686585617145,1.3014606411136163,18.778217821782178,-6638.1,10.275696594427245,10.275696594427245,6.572376237623734,1.3014606411136163,0.01318148265316883,10.249650793650794,2.7356686585617145
WST,2006-12-31,2006,FY,1.7954110898661568,1.1739961759082218,0.30019120458891013,44.16128325851309,54.623944742900996,98.78522800141408,34.287029930928625,64.49819807048546,0.28665279754735573,0.11573415088141903,0.09460199277345889,0.07346983466549874,0.2847222222222222,0.07307776083641908,0.16188178528347408,0.1388414554052279,0.7766203703703703,0.8174077578051088,0.11573415088141903,0.2573513395774341,0.5700844390832328,0.36260187605720434,0.3630915795943454,8.32283464566929,0.6085484553533643,2.215199034981906,8.265158371040725,10.645424836601308,6.682051282051282,2.374057707304393,0.9946634720104552,2.232919254658385,0.8307453416149069,0.7313664596273292,0.23695976154992549,0.1574510018613818,0.3720445062586926,0.6085484553533643,287.6,1.5924695459579181,1.3540489642184557,0.23695976154992549,3.980525934861279,3.980525934861279,1.8065564436658272,24.58909090909091,30.83977570093458,11.473769123783033,11.473769123783033,0.6147272727272726,1.8065564436658272,0.009636784150581116,12.269032688458973,3.980525934861279
