holder,shares,dateReported,change
VANGUARD GROUP INC,70056441,2025-09-30,1208958
"BlackRock, Inc.",36133158,2025-09-30,1093724
BAMCO INC /NY/,19255566,2025-09-30,-424369
PRINCIPAL FINANCIAL GROUP INC,18623370,2025-09-30,-23279
STATE STREET CORP,18284128,2025-09-30,551160
"GEODE CAPITAL MANAGEMENT, LLC",12601455,2025-09-30,243615
AKRE CAPITAL MANAGEMENT LLC,9306485,2025-09-30,-2747
MORGAN STANLEY,8543024,2025-09-30,1131496
BAILLIE GIFFORD & CO,8241642,2025-09-30,-298727
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,7406788,2025-09-30,821111
Capital International Investors,6788554,2025-09-30,-8030862
POLEN CAPITAL MANAGEMENT LLC,6380909,2025-09-30,-542919
JANUS HENDERSON GROUP PLC,6216807,2025-09-30,2180980
MIZUHO MARKETS AMERICAS LLC,5123216,2025-09-30,-734126
Capital Research Global Investors,4993854,2025-09-30,1062452
UBS Group AG,4607937,2025-09-30,-99997
Invesco Ltd.,4537343,2025-09-30,98879
Bank of New York Mellon Corp,4363371,2025-09-30,-481294
MACQUARIE GROUP LTD,4267156,2025-09-30,-567455
"Vulcan Value Partners, LLC",3831609,2025-09-30,115125
NORTHERN TRUST CORP,3752394,2025-09-30,-113838
FRANKLIN RESOURCES INC,3736949,2025-09-30,297045
BANK OF AMERICA CORP /DE/,3696857,2025-09-30,-1429746
"T. Rowe Price Investment Management, Inc.",3510524,2025-09-30,-2983613
"Nuveen, LLC",3506625,2025-09-30,2424722
TIGER GLOBAL MANAGEMENT LLC,3245109,2025-09-30,0
Amundi,3135136,2025-09-30,-63439
BLAIR WILLIAM & CO/IL,3128473,2025-09-30,257311
Third Point LLC,3017000,2025-09-30,-68000
Legal & General Group Plc,2699757,2025-09-30,195200
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2656604,2025-09-30,-435519
BROWN ADVISORY INC,2464724,2025-09-30,-211270
UBS ASSET MANAGEMENT AMERICAS INC,2459610,2025-09-30,-522088
BNP Paribas Asset Management Holding S.A.,2437206,2025-09-30,172176
DIMENSIONAL FUND ADVISORS LP,2236180,2025-09-30,67262
GOLDMAN SACHS GROUP INC,2195212,2025-09-30,12031
DF DENT & CO INC,2177724,2025-09-30,-92646
FAYEZ SAROFIM & CO,2174799,2025-09-30,17666
"RGM Capital, LLC",2092703,2025-09-30,-30000
JPMORGAN CHASE & CO,1916865,2025-09-30,-373986
VIKING GLOBAL INVESTORS LP,1849729,2025-09-30,-1368839
VOYA INVESTMENT MANAGEMENT LLC,1846286,2025-09-30,614515
"CIBC Private Wealth Group, LLC",1823106,2025-09-30,-13189
CITADEL ADVISORS LLC,1726618,2025-09-30,1695175
BECK MACK & OLIVER LLC,1723432,2025-09-30,-3214
ENVESTNET ASSET MANAGEMENT INC,1709175,2025-09-30,-30088
RIVERBRIDGE PARTNERS LLC,1659183,2025-09-30,-94835
MACKENZIE FINANCIAL CORP,1645936,2025-09-30,-217789
FMR LLC,1580154,2025-09-30,284277
"FEDERATED HERMES, INC.",1463345,2025-09-30,-6999
DEUTSCHE BANK AG\,1282786,2025-09-30,-243016
KENSICO CAPITAL MANAGEMENT CORP,1282400,2025-09-30,0
ROYAL BANK OF CANADA,1276840,2025-09-30,2036
